Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Hasanparthy,0.0,10.2,27.4,26.7,74.5,0.0,6.8
2019-01-02,Warangal (U),Hasanparthy,0.0,9.6,28.7,26.3,76.0,0.0,9.0
2019-01-03,Warangal (U),Hasanparthy,0.0,13.0,30.2,26.0,82.0,0.0,6.4
2019-01-04,Warangal (U),Hasanparthy,0.0,12.8,31.0,32.1,88.2,0.0,7.9
2019-01-05,Warangal (U),Hasanparthy,0.0,15.9,30.3,35.1,87.7,0.0,6.1
2019-01-06,Warangal (U),Hasanparthy,0.0,15.5,29.0,42.7,87.4,0.0,6.2
2019-01-07,Warangal (U),Hasanparthy,0.0,16.1,29.7,44.0,85.6,0.0,9.0
2019-01-08,Warangal (U),Hasanparthy,0.0,14.9,31.2,38.9,86.1,0.0,5.9
2019-01-09,Warangal (U),Hasanparthy,0.0,10.8,27.8,34.8,70.8,0.0,5.8
2019-01-10,Warangal (U),Hasanparthy,0.0,10.9,28.8,24.0,73.2,0.0,8.3
2019-01-11,Warangal (U),Hasanparthy,0.0,15.2,29.6,32.8,85.1,0.0,5.9
2019-01-12,Warangal (U),Hasanparthy,0.0,17.9,28.8,49.9,88.9,0.0,8.4
2019-01-13,Warangal (U),Hasanparthy,0.0,19.3,28.5,52.3,84.5,0.0,7.9
2019-01-14,Warangal (U),Hasanparthy,0.0,17.1,29.9,46.9,92.0,0.0,8.4
2019-01-15,Warangal (U),Hasanparthy,0.0,17.3,30.8,45.8,86.6,0.0,6.7
2019-01-16,Warangal (U),Hasanparthy,0.0,15.1,29.2,46.1,86.9,0.0,5.3
2019-01-17,Warangal (U),Hasanparthy,0.0,12.9,29.8,28.5,75.4,0.0,6.2
2019-01-18,Warangal (U),Hasanparthy,0.0,15.6,29.3,40.7,78.1,0.0,7.1
2019-01-19,Warangal (U),Hasanparthy,0.0,15.4,30.6,45.2,93.1,0.0,6.5
2019-01-20,Warangal (U),Hasanparthy,0.0,13.1,29.8,40.0,90.3,0.0,6.3
2019-01-21,Warangal (U),Hasanparthy,0.0,14.9,31.1,28.9,92.7,0.0,6.5
2019-01-22,Warangal (U),Hasanparthy,0.0,17.2,30.5,33.6,92.2,0.2,8.0
2019-01-23,Warangal (U),Hasanparthy,0.0,17.8,29.9,41.1,87.0,1.5,11.6
2019-01-24,Warangal (U),Hasanparthy,0.0,19.3,29.3,48.4,83.5,0.0,10.3
2019-01-25,Warangal (U),Hasanparthy,0.0,20.5,29.3,53.0,78.7,1.6,8.4
2019-01-26,Warangal (U),Hasanparthy,0.0,21.7,28.9,55.1,83.7,1.9,11.8
2019-01-27,Warangal (U),Hasanparthy,18.5,18.7,28.6,60.9,91.2,0.9,9.1
2019-01-28,Warangal (U),Hasanparthy,0.0,17.8,20.7,85.0,94.7,4.8,10.9
2019-01-29,Warangal (U),Hasanparthy,0.0,13.9,23.4,68.2,86.3,0.5,11.1
2019-01-30,Warangal (U),Hasanparthy,0.0,10.2,25.1,37.5,64.0,0.0,14.8
2019-01-31,Warangal (U),Hasanparthy,0.0,12.3,26.4,34.7,67.6,0.0,8.1
2019-02-01,Warangal (U),Hasanparthy,0.0,18.3,29.2,43.8,88.6,0.0,9.8
2019-02-02,Warangal (U),Hasanparthy,0.0,16.8,29.5,42.0,93.0,0.0,6.9
2019-02-03,Warangal (U),Hasanparthy,0.0,17.5,30.3,45.4,100.0,0.0,5.1
2019-02-04,Warangal (U),Hasanparthy,0.0,18.5,30.8,42.7,78.2,0.0,6.5
2019-02-05,Warangal (U),Hasanparthy,0.0,17.0,31.3,36.3,83.7,0.0,7.1
2019-02-06,Warangal (U),Hasanparthy,0.0,17.9,31.9,37.4,82.1,0.0,5.3
2019-02-07,Warangal (U),Hasanparthy,0.0,19.2,31.3,40.8,83.2,0.9,8.9
2019-02-08,Warangal (U),Hasanparthy,0.0,21.4,30.7,42.4,79.5,1.5,15.5
2019-02-09,Warangal (U),Hasanparthy,0.0,19.2,29.3,49.8,87.6,0.0,8.4
2019-02-10,Warangal (U),Hasanparthy,0.0,14.9,26.8,29.7,47.3,0.0,13.3
2019-02-11,Warangal (U),Hasanparthy,0.0,18.6,29.7,34.8,59.3,0.0,10.2
2019-02-12,Warangal (U),Hasanparthy,0.0,21.8,31.7,48.9,85.5,0.0,10.8
2019-02-13,Warangal (U),Hasanparthy,0.0,22.0,31.4,46.5,84.7,0.0,7.9
2019-02-14,Warangal (U),Hasanparthy,0.0,20.1,33.1,33.4,75.0,0.0,7.4
2019-02-15,Warangal (U),Hasanparthy,0.0,19.7,33.3,38.0,82.7,1.3,7.0
2019-02-16,Warangal (U),Hasanparthy,0.0,21.9,34.0,35.5,85.6,0.4,10.2
2019-02-17,Warangal (U),Hasanparthy,0.0,22.5,32.4,47.5,78.4,0.0,7.9
2019-02-18,Warangal (U),Hasanparthy,0.0,21.3,34.0,46.9,96.3,0.0,6.3
2019-02-19,Warangal (U),Hasanparthy,0.0,22.2,33.3,35.1,86.3,0.0,10.0
2019-02-20,Warangal (U),Hasanparthy,0.0,24.6,34.2,46.2,81.4,0.9,9.3
2019-02-21,Warangal (U),Hasanparthy,0.0,21.9,33.4,44.7,88.4,0.0,11.0
2019-02-22,Warangal (U),Hasanparthy,0.0,22.7,34.9,36.5,78.0,0.0,7.0
2019-02-23,Warangal (U),Hasanparthy,0.0,22.2,37.2,31.9,67.6,0.0,8.4
2019-02-24,Warangal (U),Hasanparthy,0.0,21.3,37.1,31.9,58.6,0.0,6.4
2019-02-25,Warangal (U),Hasanparthy,0.0,20.8,38.0,24.6,55.4,0.0,9.5
2019-02-26,Warangal (U),Hasanparthy,0.0,20.9,37.4,21.2,81.8,0.0,6.1
2019-02-27,Warangal (U),Hasanparthy,0.0,21.6,34.2,32.6,74.5,0.0,9.9
2019-02-28,Warangal (U),Hasanparthy,0.0,21.0,32.2,52.2,96.3,0.0,4.3
2019-03-01,Warangal (U),Hasanparthy,0.0,20.5,31.9,39.5,88.4,0.0,11.4
