Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Inole,0.0,10.2,26.8,26.4,73.9,0.0,1.0
2019-01-02,Warangal (U),Inole,0.0,11.9,28.8,19.2,79.1,0.0,1.2
2019-01-03,Warangal (U),Inole,0.0,13.1,30.0,24.8,92.8,0.0,0.8
2019-01-04,Warangal (U),Inole,0.0,13.7,29.7,25.9,87.9,0.0,0.7
2019-01-05,Warangal (U),Inole,0.0,14.3,29.5,37.1,99.8,0.0,1.1
2019-01-06,Warangal (U),Inole,0.0,14.1,29.0,38.4,100.0,0.0,1.4
2019-01-07,Warangal (U),Inole,0.0,14.7,28.0,45.9,100.0,0.0,1.2
2019-01-08,Warangal (U),Inole,0.0,16.1,28.3,37.3,93.1,0.0,1.0
2019-01-09,Warangal (U),Inole,0.0,11.6,27.5,32.1,80.1,0.0,2.1
2019-01-10,Warangal (U),Inole,0.0,11.7,28.6,24.0,73.3,0.0,1.6
2019-01-11,Warangal (U),Inole,0.0,15.4,28.7,36.4,96.1,0.0,1.1
2019-01-12,Warangal (U),Inole,0.0,16.8,28.3,47.2,99.8,0.0,1.5
2019-01-13,Warangal (U),Inole,0.0,17.7,28.2,51.1,99.3,0.0,1.6
2019-01-14,Warangal (U),Inole,0.0,15.4,29.3,43.1,99.8,0.0,1.3
2019-01-15,Warangal (U),Inole,0.0,16.7,29.7,41.5,95.3,0.0,1.2
2019-01-16,Warangal (U),Inole,0.0,15.1,29.1,39.1,93.4,0.0,1.5
2019-01-17,Warangal (U),Inole,0.0,13.9,29.1,29.0,81.2,0.0,1.3
2019-01-18,Warangal (U),Inole,0.0,15.5,29.1,33.5,99.8,0.0,1.1
2019-01-19,Warangal (U),Inole,0.0,15.4,31.1,34.2,99.0,0.0,1.2
2019-01-20,Warangal (U),Inole,0.0,13.6,30.2,34.9,94.4,0.0,2.0
2019-01-21,Warangal (U),Inole,0.0,14.2,31.1,24.6,99.2,0.0,0.8
2019-01-22,Warangal (U),Inole,0.0,15.3,30.9,35.9,100.0,0.0,1.1
2019-01-23,Warangal (U),Inole,0.0,16.5,30.0,39.9,99.2,0.0,1.6
2019-01-24,Warangal (U),Inole,0.0,18.0,29.9,45.0,99.3,0.0,1.5
2019-01-25,Warangal (U),Inole,0.0,19.8,29.8,51.2,94.4,0.0,1.9
2019-01-26,Warangal (U),Inole,0.0,20.9,29.0,52.8,93.1,0.4,2.5
2019-01-27,Warangal (U),Inole,5.3,18.7,28.2,61.6,99.4,0.0,1.6
2019-01-28,Warangal (U),Inole,6.0,17.9,22.3,86.4,99.8,0.0,1.5
2019-01-29,Warangal (U),Inole,0.0,14.5,23.8,69.0,99.2,0.0,2.1
