Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Kamalapur,0.0,12.8,32.1,20.8,78.9,0.0,8.4
2019-01-02,Warangal (U),Kamalapur,0.0,12.4,32.1,20.8,79.8,0.0,4.8
2019-01-03,Warangal (U),Kamalapur,0.0,15.1,34.6,23.4,88.4,0.0,6.2
2019-01-04,Warangal (U),Kamalapur,0.0,14.9,34.6,22.9,82.4,0.0,5.3
2019-01-05,Warangal (U),Kamalapur,0.0,17.6,34.6,30.7,88.6,0.0,7.6
2019-01-06,Warangal (U),Kamalapur,0.0,17.7,33.3,41.4,99.9,0.0,9.5
2019-01-07,Warangal (U),Kamalapur,0.0,18.1,32.1,45.3,99.9,0.0,14.4
2019-01-08,Warangal (U),Kamalapur,0.0,19.0,33.0,48.7,99.9,0.0,9.7
2019-01-09,Warangal (U),Kamalapur,0.0,13.7,32.1,28.9,99.9,0.0,8.9
2019-01-10,Warangal (U),Kamalapur,0.0,13.3,32.1,22.7,79.6,0.0,5.8
2019-01-11,Warangal (U),Kamalapur,0.0,17.1,34.6,26.0,97.3,0.0,9.0
2019-01-12,Warangal (U),Kamalapur,0.0,20.0,34.6,46.6,99.9,0.0,8.1
2019-01-13,Warangal (U),Kamalapur,0.0,21.2,32.1,45.1,99.9,0.9,14.1
2019-01-14,Warangal (U),Kamalapur,0.0,18.9,34.6,46.6,96.4,0.0,10.5
2019-01-15,Warangal (U),Kamalapur,0.0,20.0,34.6,44.0,96.5,0.0,9.0
2019-01-16,Warangal (U),Kamalapur,0.0,17.9,32.2,42.7,94.8,0.0,6.0
2019-01-17,Warangal (U),Kamalapur,0.0,14.6,34.6,21.5,78.8,0.0,5.6
2019-01-18,Warangal (U),Kamalapur,0.0,15.6,34.6,40.2,95.5,0.0,7.0
2019-01-19,Warangal (U),Kamalapur,0.0,16.5,33.3,42.6,95.9,0.0,7.8
2019-01-20,Warangal (U),Kamalapur,0.0,14.0,34.6,34.4,92.6,0.0,6.5
2019-01-21,Warangal (U),Kamalapur,0.0,17.4,34.6,23.9,89.0,0.0,7.8
2019-01-22,Warangal (U),Kamalapur,0.0,17.7,35.5,30.8,99.9,1.5,11.3
2019-01-23,Warangal (U),Kamalapur,0.0,20.8,34.6,39.4,95.6,0.0,13.1
2019-01-24,Warangal (U),Kamalapur,0.0,20.5,34.6,46.9,99.9,0.0,10.5
2019-01-25,Warangal (U),Kamalapur,0.0,20.7,32.9,52.1,99.9,0.0,15.2
2019-01-26,Warangal (U),Kamalapur,0.0,22.6,32.1,62.6,84.9,2.0,12.1
