Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Khazipet,0.0,9.3,27.8,27.1,89.4,0.0,7.4
2019-01-02,Warangal (U),Khazipet,0.0,8.8,29.5,23.1,89.5,0.0,8.4
2019-01-03,Warangal (U),Khazipet,0.0,12.2,31.1,25.2,89.2,0.0,5.3
2019-01-04,Warangal (U),Khazipet,0.0,12.0,30.9,28.5,89.2,0.0,4.1
2019-01-05,Warangal (U),Khazipet,0.0,15.0,30.7,36.6,89.1,0.0,7.7
2019-01-06,Warangal (U),Khazipet,0.0,14.7,30.2,40.8,89.2,0.0,5.3
2019-01-07,Warangal (U),Khazipet,0.0,15.3,28.9,47.7,89.3,0.0,9.0
2019-01-08,Warangal (U),Khazipet,0.0,14.0,30.3,42.6,89.8,0.0,5.9
2019-01-09,Warangal (U),Khazipet,0.0,9.9,28.3,34.3,89.2,0.0,5.7
2019-01-10,Warangal (U),Khazipet,0.0,10.1,30.3,21.3,89.3,0.0,4.5
2019-01-11,Warangal (U),Khazipet,0.0,14.2,30.0,33.7,88.8,0.0,3.4
2019-01-12,Warangal (U),Khazipet,0.0,17.9,29.2,49.3,89.4,0.0,10.8
2019-01-13,Warangal (U),Khazipet,0.0,18.5,28.8,53.2,89.1,0.0,8.3
2019-01-14,Warangal (U),Khazipet,0.0,16.3,30.1,47.0,89.2,0.0,6.5
2019-01-15,Warangal (U),Khazipet,0.0,16.5,30.5,46.6,89.1,0.0,7.6
2019-01-16,Warangal (U),Khazipet,0.0,14.2,29.2,47.0,89.2,0.0,8.4
2019-01-17,Warangal (U),Khazipet,0.0,11.8,29.6,29.0,89.5,0.0,5.2
2019-01-18,Warangal (U),Khazipet,0.0,14.7,29.8,37.7,89.2,0.0,7.5
2019-01-19,Warangal (U),Khazipet,0.0,14.3,30.3,44.0,89.8,0.0,6.5
2019-01-20,Warangal (U),Khazipet,0.0,12.3,30.4,39.7,89.3,0.0,4.2
2019-01-21,Warangal (U),Khazipet,0.0,13.8,30.9,29.0,89.3,0.0,4.6
2019-01-22,Warangal (U),Khazipet,0.0,16.5,32.3,31.0,89.0,0.0,4.9
2019-01-23,Warangal (U),Khazipet,0.0,17.7,31.4,41.0,89.2,0.0,8.5
2019-01-24,Warangal (U),Khazipet,0.0,18.6,30.3,47.0,89.2,0.0,4.9
2019-01-25,Warangal (U),Khazipet,0.0,20.0,29.9,53.6,88.4,0.0,7.2
2019-01-26,Warangal (U),Khazipet,0.0,21.3,29.7,55.5,86.9,0.0,10.2
2019-01-27,Warangal (U),Khazipet,28.3,18.4,28.3,63.7,89.5,0.0,9.5
2019-01-28,Warangal (U),Khazipet,2.0,17.5,20.9,88.3,90.6,0.0,11.0
2019-01-29,Warangal (U),Khazipet,0.0,13.3,24.0,70.6,90.9,0.0,9.0
2019-01-30,Warangal (U),Khazipet,0.0,9.3,25.5,35.6,90.2,0.0,12.3
2019-01-31,Warangal (U),Khazipet,0.0,11.8,27.5,33.7,89.9,0.0,7.9
2019-02-01,Warangal (U),Khazipet,0.0,16.6,30.5,44.1,89.5,0.0,4.8
2019-02-02,Warangal (U),Khazipet,0.0,16.0,30.0,42.2,94.5,0.0,5.9
2019-02-03,Warangal (U),Khazipet,0.0,16.4,29.8,44.7,100.0,0.0,8.5
2019-02-04,Warangal (U),Khazipet,0.0,17.3,31.3,43.1,85.6,0.0,7.1
2019-02-05,Warangal (U),Khazipet,0.0,16.2,32.6,34.7,89.2,0.0,8.7
2019-02-06,Warangal (U),Khazipet,0.0,17.2,30.9,37.4,89.3,0.0,6.4
2019-02-07,Warangal (U),Khazipet,0.0,18.8,31.8,42.8,87.3,0.0,5.9
2019-02-08,Warangal (U),Khazipet,0.0,21.3,32.0,41.9,87.1,0.2,9.9
2019-02-09,Warangal (U),Khazipet,0.0,18.8,29.5,46.3,89.1,0.0,5.4
