Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Khilla Warangal,0.0,12.3,30.4,24.7,90.4,0.0,0.1
2019-01-02,Warangal (U),Khilla Warangal,0.0,14.4,32.6,18.3,77.6,0.0,1.4
2019-01-03,Warangal (U),Khilla Warangal,0.0,14.5,34.0,21.1,96.2,0.0,0.1
2019-01-04,Warangal (U),Khilla Warangal,0.0,13.7,34.0,28.1,97.6,0.0,2.6
2019-01-05,Warangal (U),Khilla Warangal,0.0,17.6,34.8,21.3,96.2,0.0,5.1
2019-01-06,Warangal (U),Khilla Warangal,0.0,16.7,33.0,39.4,97.6,0.0,1.5
2019-01-07,Warangal (U),Khilla Warangal,0.0,19.6,31.4,39.1,96.2,0.0,0.2
2019-01-08,Warangal (U),Khilla Warangal,0.0,17.4,32.9,50.8,96.2,0.0,3.9
2019-01-09,Warangal (U),Khilla Warangal,0.0,13.4,30.8,42.2,93.9,0.0,3.7
2019-01-10,Warangal (U),Khilla Warangal,0.0,12.5,32.9,14.8,96.2,0.0,6.0
2019-01-11,Warangal (U),Khilla Warangal,0.0,15.7,34.2,21.8,97.6,0.0,6.4
2019-01-12,Warangal (U),Khilla Warangal,0.0,19.4,32.9,41.0,97.6,0.0,7.1
2019-01-13,Warangal (U),Khilla Warangal,0.0,20.3,31.4,43.9,96.2,0.0,0.1
2019-01-14,Warangal (U),Khilla Warangal,0.0,17.7,32.9,42.3,97.6,0.0,1.5
2019-01-15,Warangal (U),Khilla Warangal,0.0,18.0,34.0,34.6,97.6,0.0,4.4
2019-01-16,Warangal (U),Khilla Warangal,0.0,14.9,32.9,52.5,97.6,0.0,5.9
2019-01-17,Warangal (U),Khilla Warangal,0.0,13.5,33.4,28.7,91.8,0.0,4.3
2019-01-18,Warangal (U),Khilla Warangal,0.0,15.9,30.9,44.9,100.0,0.0,3.4
2019-01-19,Warangal (U),Khilla Warangal,0.0,16.6,31.5,39.5,100.0,0.0,4.8
2019-01-20,Warangal (U),Khilla Warangal,0.0,14.2,31.5,36.9,100.0,0.0,5.4
2019-01-21,Warangal (U),Khilla Warangal,0.0,15.8,32.6,25.3,100.0,0.0,1.7
2019-01-22,Warangal (U),Khilla Warangal,0.0,17.9,31.7,38.8,100.0,0.0,3.4
2019-01-23,Warangal (U),Khilla Warangal,0.0,17.8,30.9,44.6,100.0,0.0,9.5
2019-01-24,Warangal (U),Khilla Warangal,0.0,19.5,30.9,53.0,100.0,0.0,7.8
2019-01-25,Warangal (U),Khilla Warangal,0.0,20.6,31.0,55.6,98.5,0.0,6.7
2019-01-26,Warangal (U),Khilla Warangal,0.0,22.3,29.1,63.3,95.8,0.0,0.1
2019-01-27,Warangal (U),Khilla Warangal,16.8,19.1,28.9,66.4,100.0,0.0,1.1
2019-01-28,Warangal (U),Khilla Warangal,4.5,18.9,22.1,98.7,100.0,0.0,1.5
2019-01-29,Warangal (U),Khilla Warangal,0.0,14.0,24.7,84.0,100.0,0.0,0.9
2019-01-30,Warangal (U),Khilla Warangal,0.0,12.0,26.4,39.3,92.1,0.0,4.4
2019-01-31,Warangal (U),Khilla Warangal,0.0,13.2,27.7,32.4,98.7,0.0,0.9
2019-02-01,Warangal (U),Khilla Warangal,0.0,18.8,29.9,47.6,100.0,0.0,5.1
2019-02-02,Warangal (U),Khilla Warangal,0.0,17.2,31.4,37.0,100.0,0.0,5.6
2019-02-03,Warangal (U),Khilla Warangal,0.0,18.9,31.9,41.9,100.0,0.0,0.1
2019-02-04,Warangal (U),Khilla Warangal,0.0,18.8,33.4,39.6,96.5,0.0,5.2
2019-02-05,Warangal (U),Khilla Warangal,0.0,17.8,33.3,32.7,99.0,0.0,7.7
2019-02-06,Warangal (U),Khilla Warangal,0.0,18.9,33.5,35.0,99.9,0.0,2.3
2019-02-07,Warangal (U),Khilla Warangal,0.0,20.0,32.5,39.8,98.2,0.0,0.3
2019-02-08,Warangal (U),Khilla Warangal,0.0,22.4,32.4,40.1,95.9,0.0,0.1
2019-02-09,Warangal (U),Khilla Warangal,0.0,19.3,30.0,64.5,100.0,0.0,3.7
2019-02-10,Warangal (U),Khilla Warangal,0.0,16.5,29.0,29.8,58.6,0.0,3.7
2019-02-11,Warangal (U),Khilla Warangal,0.0,18.9,32.4,34.7,82.9,0.0,0.6
2019-02-12,Warangal (U),Khilla Warangal,0.0,22.2,32.2,51.1,98.8,0.0,6.3
2019-02-13,Warangal (U),Khilla Warangal,0.0,22.8,32.5,49.7,96.5,0.0,0.1
2019-02-14,Warangal (U),Khilla Warangal,0.0,21.3,34.0,33.5,99.6,0.0,5.1
