Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Velair,0.0,7.9,27.3,21.3,82.8,0.0,2.9
2019-01-02,Warangal (U),Velair,0.0,7.6,29.0,17.9,92.5,0.0,4.6
2019-01-03,Warangal (U),Velair,0.0,10.0,31.1,17.2,100.0,0.0,6.8
2019-01-04,Warangal (U),Velair,0.0,10.4,30.6,28.2,100.0,0.0,7.9
2019-01-05,Warangal (U),Velair,0.0,12.5,30.3,26.4,100.0,0.0,7.2
2019-01-06,Warangal (U),Velair,0.0,13.1,28.0,36.9,100.0,0.0,8.5
2019-01-07,Warangal (U),Velair,0.0,14.5,27.4,51.0,100.0,0.0,15.8
2019-01-08,Warangal (U),Velair,0.0,14.0,29.8,34.2,100.0,0.0,6.9
2019-01-09,Warangal (U),Velair,0.0,9.4,28.0,26.7,84.2,0.0,6.7
2019-01-10,Warangal (U),Velair,0.0,8.3,29.8,16.9,88.3,0.0,5.3
2019-01-11,Warangal (U),Velair,0.0,12.7,29.9,23.9,99.8,0.0,13.3
2019-01-12,Warangal (U),Velair,0.0,16.5,28.5,45.3,100.0,0.0,13.5
2019-01-13,Warangal (U),Velair,0.0,18.2,27.7,53.2,100.0,0.0,15.1
2019-01-14,Warangal (U),Velair,0.0,14.7,29.0,49.4,100.0,0.0,15.4
2019-01-15,Warangal (U),Velair,0.0,15.4,30.2,39.3,100.0,0.0,12.3
2019-01-16,Warangal (U),Velair,0.0,12.6,30.4,42.8,100.0,0.0,2.4
2019-01-17,Warangal (U),Velair,0.0,10.7,29.8,27.6,87.3,0.0,7.3
2019-01-18,Warangal (U),Velair,0.0,12.5,30.5,29.4,100.0,0.0,4.8
2019-01-19,Warangal (U),Velair,0.0,11.9,31.2,30.6,100.0,0.0,7.7
2019-01-20,Warangal (U),Velair,0.0,10.9,30.8,30.6,92.7,0.0,7.7
2019-01-21,Warangal (U),Velair,0.0,11.1,31.6,21.5,100.0,0.0,3.5
2019-01-22,Warangal (U),Velair,0.0,15.4,31.0,24.5,100.0,0.0,12.1
2019-01-23,Warangal (U),Velair,0.0,18.3,28.8,36.4,100.0,0.0,15.4
2019-01-24,Warangal (U),Velair,0.0,18.2,28.8,48.9,100.0,0.0,14.3
2019-01-25,Warangal (U),Velair,0.0,19.8,29.2,52.7,99.2,0.0,15.5
2019-01-26,Warangal (U),Velair,0.0,20.8,28.6,55.8,97.3,1.8,17.5
2019-01-27,Warangal (U),Velair,25.3,17.9,27.1,69.4,100.0,0.0,15.1
2019-01-28,Warangal (U),Velair,6.8,17.2,20.8,90.3,97.9,0.0,5.1
2019-01-29,Warangal (U),Velair,0.0,14.1,23.7,84.2,100.0,0.0,6.8
2019-01-30,Warangal (U),Velair,0.0,8.1,24.8,33.6,100.0,0.0,8.7
2019-01-31,Warangal (U),Velair,0.0,11.6,26.8,29.7,100.0,0.0,6.0
2019-02-01,Warangal (U),Velair,0.0,15.3,27.7,44.4,100.0,0.0,10.2
2019-02-02,Warangal (U),Velair,0.0,14.4,29.2,42.8,100.0,0.0,10.0
2019-02-03,Warangal (U),Velair,0.0,14.3,28.9,44.3,100.0,0.0,8.4
2019-02-04,Warangal (U),Velair,0.0,15.4,30.2,43.3,100.0,0.0,0.1
2019-02-05,Warangal (U),Velair,0.0,14.8,31.0,35.5,100.0,0.0,0.9
2019-02-06,Warangal (U),Velair,0.0,15.0,30.9,35.2,100.0,0.0,7.8
2019-02-07,Warangal (U),Velair,0.0,19.0,31.2,36.5,92.2,0.0,8.0
2019-02-08,Warangal (U),Velair,0.0,20.7,30.5,34.2,94.5,0.0,2.9
2019-02-09,Warangal (U),Velair,0.0,18.2,29.0,43.9,100.0,0.0,1.0
2019-02-10,Warangal (U),Velair,0.0,12.1,27.0,24.3,62.4,0.0,10.6
2019-02-11,Warangal (U),Velair,0.0,17.4,29.6,26.4,80.6,0.0,7.1
2019-02-12,Warangal (U),Velair,0.0,18.5,29.6,52.3,100.0,0.0,5.0
2019-02-13,Warangal (U),Velair,0.0,17.9,30.9,45.8,100.0,0.0,0.9
2019-02-14,Warangal (U),Velair,0.0,17.6,32.4,27.2,100.0,0.0,7.3
2019-02-15,Warangal (U),Velair,0.0,19.8,31.8,36.0,100.0,0.0,0.1
2019-02-16,Warangal (U),Velair,0.0,20.2,33.0,35.5,95.0,0.0,8.5
2019-02-17,Warangal (U),Velair,0.0,22.0,32.2,45.7,100.0,0.0,12.6
2019-02-18,Warangal (U),Velair,0.0,17.4,32.5,48.2,100.0,0.0,5.0
2019-02-19,Warangal (U),Velair,0.0,19.1,33.2,38.1,100.0,0.0,0.1
2019-02-20,Warangal (U),Velair,0.0,21.9,33.4,51.8,100.0,0.0,0.4
2019-02-21,Warangal (U),Velair,0.0,19.1,32.2,49.3,100.0,0.0,11.3
2019-02-22,Warangal (U),Velair,0.0,17.7,34.0,34.8,90.3,0.0,7.7
2019-02-23,Warangal (U),Velair,0.0,18.1,37.1,26.9,84.5,0.0,5.5
2019-02-24,Warangal (U),Velair,0.0,18.8,37.7,22.8,69.9,0.0,3.4
2019-02-25,Warangal (U),Velair,0.0,19.1,37.0,20.2,64.1,0.0,7.8
2019-02-26,Warangal (U),Velair,0.0,19.7,38.0,13.7,100.0,0.0,0.1
2019-02-27,Warangal (U),Velair,0.0,21.6,33.2,30.8,100.0,0.0,8.3
2019-02-28,Warangal (U),Velair,0.0,21.1,32.8,48.8,100.0,0.0,5.8
2019-03-01,Warangal (U),Velair,0.0,16.8,32.2,34.5,88.3,0.0,7.1
2019-03-02,Warangal (U),Velair,0.0,23.1,32.8,46.2,93.1,0.0,7.7
2019-03-03,Warangal (U),Velair,0.0,23.0,32.1,51.8,92.7,0.0,13.5
2019-03-04,Warangal (U),Velair,0.0,21.9,34.2,43.5,93.6,0.0,9.9
2019-03-05,Warangal (U),Velair,0.0,22.2,36.0,37.3,100.0,0.0,0.5
2019-03-06,Warangal (U),Velair,0.0,17.4,35.4,25.6,83.7,0.0,2.8
2019-03-07,Warangal (U),Velair,0.0,15.8,34.7,17.1,70.1,0.0,9.0
2019-03-08,Warangal (U),Velair,0.0,18.6,34.8,20.2,86.7,0.0,8.0
2019-03-09,Warangal (U),Velair,0.0,20.3,36.2,32.4,100.0,0.0,2.0
2019-03-10,Warangal (U),Velair,0.0,22.2,35.9,38.4,100.0,0.0,7.6
2019-03-11,Warangal (U),Velair,0.0,22.7,35.9,33.6,100.0,0.0,7.2
2019-03-12,Warangal (U),Velair,0.0,23.6,36.5,31.7,81.3,0.0,6.5
2019-03-13,Warangal (U),Velair,0.0,21.5,35.8,31.7,89.4,0.0,4.5
2019-03-14,Warangal (U),Velair,0.0,22.1,37.3,18.3,69.4,0.0,9.6
2019-03-15,Warangal (U),Velair,0.0,24.3,37.5,15.5,46.1,0.0,8.1
2019-03-16,Warangal (U),Velair,0.0,22.0,37.1,14.7,44.2,0.0,8.8
2019-03-17,Warangal (U),Velair,0.0,22.3,36.8,15.9,100.0,0.0,14.9
2019-03-18,Warangal (U),Velair,0.0,20.9,35.3,29.3,92.7,0.0,17.5
2019-03-19,Warangal (U),Velair,0.0,21.7,32.8,37.0,92.3,0.0,10.6
2019-03-20,Warangal (U),Velair,0.0,23.4,35.9,35.3,93.1,0.0,6.5
2019-03-21,Warangal (U),Velair,0.0,23.3,35.0,37.0,96.3,0.0,7.5
2019-03-22,Warangal (U),Velair,0.0,22.6,35.9,22.0,96.8,0.0,6.1
2019-03-23,Warangal (U),Velair,0.0,23.1,36.2,37.8,82.9,0.0,8.8
2019-03-24,Warangal (U),Velair,0.0,21.8,37.7,32.0,84.2,0.0,8.5
2019-03-25,Warangal (U),Velair,0.0,22.6,38.0,28.4,97.2,0.0,7.5
2019-03-26,Warangal (U),Velair,0.0,23.0,37.5,22.2,91.0,0.0,8.4
2019-03-27,Warangal (U),Velair,0.0,22.5,38.0,29.0,77.7,0.0,11.6
2019-03-28,Warangal (U),Velair,0.0,23.0,38.0,20.4,75.4,0.0,6.9
2019-03-29,Warangal (U),Velair,0.0,23.0,38.6,22.5,85.9,0.0,9.3
2019-03-30,Warangal (U),Velair,0.0,22.5,38.7,16.1,91.8,0.0,8.6
2019-03-31,Warangal (U),Velair,0.0,23.3,38.4,18.8,100.0,0.0,9.8
2019-04-01,Warangal (U),Velair,0.0,23.1,42.0,10.4,74.6,0.0,1.1
2019-04-02,Warangal (U),Velair,0.0,23.9,40.3,15.1,90.1,0.0,6.5
2019-04-03,Warangal (U),Velair,0.0,23.3,38.5,16.7,97.2,0.0,5.4
2019-04-04,Warangal (U),Velair,0.0,23.2,37.4,32.0,100.0,0.0,9.7
2019-04-05,Warangal (U),Velair,0.0,22.5,36.9,32.7,73.8,0.0,12.8
2019-04-06,Warangal (U),Velair,0.0,24.8,39.1,17.5,85.5,0.0,8.7
2019-04-07,Warangal (U),Velair,0.0,23.6,40.1,19.4,78.7,0.0,16.4
2019-04-08,Warangal (U),Velair,4.8,23.3,39.0,22.5,100.0,0.0,10.2
2019-04-09,Warangal (U),Velair,0.0,24.4,37.8,21.2,100.0,0.0,9.7
2019-04-10,Warangal (U),Velair,0.0,25.6,37.7,35.1,98.1,0.0,8.4
2019-04-11,Warangal (U),Velair,0.0,25.2,41.1,21.5,88.8,0.0,9.0
2019-04-12,Warangal (U),Velair,0.0,26.0,42.7,12.2,74.4,0.0,7.3
2019-04-13,Warangal (U),Velair,1.5,22.1,39.7,16.9,78.1,0.0,8.7
2019-04-14,Warangal (U),Velair,0.0,24.3,39.9,17.3,64.2,0.0,14.9
2019-04-15,Warangal (U),Velair,0.0,24.8,40.7,15.7,65.0,0.0,10.8
2019-04-16,Warangal (U),Velair,0.0,23.6,40.9,12.0,45.6,0.0,8.8
2019-04-17,Warangal (U),Velair,0.0,23.5,39.5,11.9,51.4,0.0,10.4
2019-04-18,Warangal (U),Velair,1.5,23.9,38.4,21.9,97.7,0.0,10.5
2019-04-19,Warangal (U),Velair,4.0,24.4,37.8,34.5,100.0,0.0,15.7
2019-04-20,Warangal (U),Velair,22.5,21.2,37.4,36.6,100.0,0.0,14.6
2019-04-21,Warangal (U),Velair,3.5,22.5,36.2,42.5,100.0,0.0,19.3
2019-04-22,Warangal (U),Velair,2.5,24.5,36.2,42.5,87.5,0.0,8.4
2019-04-23,Warangal (U),Velair,1.8,23.9,37.5,27.1,87.2,0.0,12.0
2019-04-24,Warangal (U),Velair,0.0,21.9,38.0,17.3,87.2,0.0,8.7
2019-04-25,Warangal (U),Velair,0.0,25.7,39.0,19.4,71.5,0.0,9.0
2019-04-26,Warangal (U),Velair,0.0,24.1,40.5,21.2,66.4,0.0,7.9
2019-04-27,Warangal (U),Velair,0.0,25.5,40.8,19.4,66.0,0.0,6.8
2019-04-28,Warangal (U),Velair,0.0,25.7,40.4,17.5,76.1,0.0,6.0
2019-04-29,Warangal (U),Velair,0.0,25.9,39.6,20.6,81.1,0.0,6.7
2019-04-30,Warangal (U),Velair,0.0,26.5,40.8,19.4,74.0,0.0,8.1
2019-05-01,Warangal (U),Velair,0.0,27.9,41.2,22.7,75.9,0.0,6.8
2019-05-02,Warangal (U),Velair,0.0,29.0,40.5,24.3,58.6,0.0,10.2
2019-05-03,Warangal (U),Velair,0.0,25.5,40.8,9.6,40.9,0.0,9.3
2019-05-04,Warangal (U),Velair,0.0,27.5,39.9,9.6,24.5,0.0,12.0
2019-05-05,Warangal (U),Velair,0.0,27.5,41.0,7.2,31.5,0.0,10.0
2019-05-06,Warangal (U),Velair,0.0,27.8,41.6,6.6,30.6,0.0,10.8
2019-05-07,Warangal (U),Velair,0.0,26.9,42.4,7.8,58.6,0.0,8.9
2019-05-08,Warangal (U),Velair,0.0,27.0,42.8,7.4,65.2,0.0,7.4
2019-05-09,Warangal (U),Velair,0.0,26.9,42.0,10.2,44.0,0.0,11.6
2019-05-10,Warangal (U),Velair,0.0,24.6,42.0,7.4,37.9,0.0,9.3
2019-05-11,Warangal (U),Velair,0.0,28.2,43.2,8.0,58.6,0.0,7.5
2019-05-12,Warangal (U),Velair,1.3,26.1,39.3,29.2,62.9,0.0,0.6
2019-05-13,Warangal (U),Velair,0.0,27.7,38.0,24.1,82.0,0.0,11.1
2019-05-14,Warangal (U),Velair,10.5,27.0,40.6,23.1,78.6,0.0,6.5
2019-05-15,Warangal (U),Velair,0.0,27.3,40.0,20.6,89.2,0.0,16.0
2019-05-16,Warangal (U),Velair,0.8,26.2,38.0,37.6,84.1,0.0,14.2
2019-05-17,Warangal (U),Velair,0.0,27.2,42.1,17.1,81.1,0.0,9.3
2019-05-18,Warangal (U),Velair,0.0,27.7,42.1,16.9,69.0,0.0,5.5
2019-05-19,Warangal (U),Velair,0.0,28.0,42.8,9.2,78.2,0.0,8.6
2019-05-20,Warangal (U),Velair,0.0,28.2,43.1,15.1,68.7,0.0,9.1
2019-05-21,Warangal (U),Velair,0.0,27.8,42.4,15.3,70.8,0.0,8.9
2019-05-22,Warangal (U),Velair,0.0,28.2,41.6,18.8,65.2,0.0,8.5
2019-05-23,Warangal (U),Velair,0.0,28.7,41.8,20.9,69.1,0.0,0.9
2019-05-24,Warangal (U),Velair,0.0,28.5,40.6,24.3,69.1,0.0,10.9
2019-05-25,Warangal (U),Velair,0.0,27.5,43.0,17.7,70.8,0.0,8.6
2019-05-26,Warangal (U),Velair,0.0,30.0,43.2,17.1,65.7,0.0,8.7
2019-05-27,Warangal (U),Velair,0.0,29.9,45.3,9.9,76.7,0.0,7.7
2019-05-28,Warangal (U),Velair,0.0,29.1,45.0,8.1,74.2,0.0,9.6
2019-05-29,Warangal (U),Velair,0.0,30.1,44.2,14.2,70.0,0.0,0.4
2019-05-30,Warangal (U),Velair,0.0,27.2,42.7,20.2,65.8,0.0,12.9
2019-05-31,Warangal (U),Velair,0.0,28.4,39.5,26.8,78.0,0.0,0.1
2019-06-01,Warangal (U),Velair,0.0,29.2,41.5,21.9,70.0,0.0,3.6
2019-06-02,Warangal (U),Velair,0.0,26.9,36.9,29.3,65.8,0.0,4.8
2019-06-03,Warangal (U),Velair,0.0,30.4,41.7,18.8,56.3,0.0,11.7
2019-06-04,Warangal (U),Velair,0.0,25.5,42.0,23.3,68.1,0.0,0.1
2019-06-05,Warangal (U),Velair,0.0,29.7,40.0,26.8,64.4,0.0,7.7
2019-06-06,Warangal (U),Velair,0.0,30.3,42.9,16.5,59.5,0.0,12.6
