Date,District,Mandal,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-01-01,Warangal (U),Warangal,0.0,9.7,27.2,24.3,92.2,0.0,5.9
2019-01-02,Warangal (U),Warangal,0.0,10.3,29.2,18.7,89.2,0.0,6.6
2019-01-03,Warangal (U),Warangal,0.0,13.0,31.6,20.6,98.7,0.0,4.5
2019-01-04,Warangal (U),Warangal,0.0,12.5,30.8,33.6,100.0,0.0,5.0
2019-01-05,Warangal (U),Warangal,0.0,16.4,30.2,31.5,100.0,0.0,6.9
2019-01-06,Warangal (U),Warangal,0.0,16.3,29.3,41.3,100.0,0.0,6.1
2019-01-07,Warangal (U),Warangal,0.0,16.6,28.0,50.1,100.0,0.0,7.1
2019-01-08,Warangal (U),Warangal,0.0,16.4,29.1,47.8,98.4,0.0,5.2
2019-01-09,Warangal (U),Warangal,0.0,11.8,28.3,34.0,85.7,0.0,6.7
2019-01-10,Warangal (U),Warangal,0.0,10.2,29.2,21.0,99.2,0.0,5.8
2019-01-11,Warangal (U),Warangal,0.0,16.0,29.3,34.9,99.7,0.0,7.3
2019-01-12,Warangal (U),Warangal,0.0,18.7,28.9,48.3,100.0,0.0,7.8
2019-01-13,Warangal (U),Warangal,0.0,18.4,28.3,53.9,100.0,0.0,7.0
2019-01-14,Warangal (U),Warangal,0.0,17.1,29.6,49.5,100.0,0.0,7.6
2019-01-15,Warangal (U),Warangal,0.0,17.1,29.9,44.2,100.0,0.0,5.6
2019-01-16,Warangal (U),Warangal,0.0,15.3,29.9,44.8,100.0,0.0,5.0
2019-01-17,Warangal (U),Warangal,0.0,13.2,30.2,29.4,88.0,0.0,3.9
2019-01-18,Warangal (U),Warangal,0.0,15.6,30.5,36.0,100.0,0.0,4.3
2019-01-19,Warangal (U),Warangal,0.0,15.6,30.8,32.2,100.0,0.0,7.0
2019-01-20,Warangal (U),Warangal,0.0,13.2,30.1,35.4,100.0,0.0,6.3
2019-01-21,Warangal (U),Warangal,0.0,14.8,31.5,20.3,100.0,0.0,6.6
2019-01-22,Warangal (U),Warangal,0.0,17.3,30.6,36.6,100.0,0.0,6.9
2019-01-23,Warangal (U),Warangal,0.0,17.7,29.6,43.7,100.0,0.1,7.4
2019-01-24,Warangal (U),Warangal,0.0,19.0,29.2,48.3,100.0,0.0,4.9
2019-01-25,Warangal (U),Warangal,0.0,20.3,29.3,54.9,94.0,0.0,6.0
2019-01-26,Warangal (U),Warangal,0.0,21.4,28.5,58.5,89.6,1.5,6.8
2019-01-27,Warangal (U),Warangal,16.5,18.6,28.7,63.7,100.0,1.4,8.7
2019-01-28,Warangal (U),Warangal,3.3,17.6,21.5,95.1,100.0,0.0,7.9
2019-01-29,Warangal (U),Warangal,0.0,14.4,23.9,84.0,100.0,0.0,7.9
2019-01-30,Warangal (U),Warangal,0.0,11.5,25.5,32.3,87.3,0.0,6.6
2019-01-31,Warangal (U),Warangal,0.0,12.7,26.7,33.3,95.0,0.0,5.9
2019-02-01,Warangal (U),Warangal,0.0,18.1,28.7,46.0,100.0,0.0,6.4
2019-02-02,Warangal (U),Warangal,0.0,16.7,29.5,39.0,100.0,0.0,5.4
2019-02-03,Warangal (U),Warangal,0.0,17.2,30.1,45.4,100.0,0.0,5.9
2019-02-04,Warangal (U),Warangal,0.0,18.3,31.5,39.0,90.6,0.0,5.2
2019-02-05,Warangal (U),Warangal,0.0,16.8,31.4,35.2,96.0,0.0,6.5
2019-02-06,Warangal (U),Warangal,0.0,17.4,31.3,34.3,99.7,0.0,7.5
2019-02-07,Warangal (U),Warangal,0.0,18.8,31.0,40.7,95.4,0.0,6.7
2019-02-08,Warangal (U),Warangal,0.0,21.1,31.3,41.1,90.6,1.7,9.2
2019-02-09,Warangal (U),Warangal,0.0,19.5,28.8,67.3,100.0,0.0,7.0
2019-02-10,Warangal (U),Warangal,0.0,15.5,27.7,28.1,63.6,0.0,9.8
2019-02-11,Warangal (U),Warangal,0.0,18.7,30.1,32.9,76.0,0.0,5.5
2019-02-12,Warangal (U),Warangal,0.0,20.9,31.4,50.1,96.7,0.0,8.5
2019-02-13,Warangal (U),Warangal,0.0,20.9,31.0,47.8,90.6,0.0,7.2
2019-02-14,Warangal (U),Warangal,0.0,19.9,33.3,30.4,98.9,0.0,6.5
2019-02-15,Warangal (U),Warangal,0.0,19.3,32.7,35.7,87.6,0.9,5.9
2019-02-16,Warangal (U),Warangal,0.0,21.3,33.3,35.2,95.6,0.0,10.4
2019-02-17,Warangal (U),Warangal,0.0,22.6,33.4,46.4,92.3,0.0,7.1
2019-02-18,Warangal (U),Warangal,0.0,20.8,32.4,49.9,100.0,0.0,5.1
2019-02-19,Warangal (U),Warangal,0.0,22.0,34.5,30.6,96.5,0.0,5.8
2019-02-20,Warangal (U),Warangal,0.0,23.1,33.8,47.4,90.4,0.9,7.2
2019-02-21,Warangal (U),Warangal,0.0,21.5,33.2,47.5,99.9,0.0,8.9
2019-02-22,Warangal (U),Warangal,0.0,21.2,34.2,34.9,87.9,0.0,7.4
2019-02-23,Warangal (U),Warangal,0.0,21.2,37.0,27.4,74.2,0.0,6.3
