Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Chennaraopeta,0.0,25.6,32.5,67.3,95.9,0.0,1.7
2019-09-12,Warangal Rural,Chennaraopeta,4.7,24.3,32.9,61.9,97.1,0.0,2.7
2019-09-13,Warangal Rural,Chennaraopeta,1.4,24.1,29.4,74.4,98.5,0.0,2.8
2019-09-14,Warangal Rural,Chennaraopeta,3.9,24.3,30.3,75.8,98.9,0.0,1.7
2019-09-15,Warangal Rural,Chennaraopeta,0.0,24.1,32.7,61.4,97.6,0.0,1.7
2019-09-16,Warangal Rural,Chennaraopeta,9.8,24.3,31.4,73.4,99.3,0.0,1.4
2019-09-17,Warangal Rural,Chennaraopeta,5.3,24.8,32.4,76.3,99.8,0.0,1.3
2019-09-18,Warangal Rural,Chennaraopeta,8.5,23.5,33.1,74.0,99.6,0.0,2.5
2019-09-19,Warangal Rural,Chennaraopeta,0.5,25.0,32.1,76.2,98.6,0.0,2.3
2019-09-20,Warangal Rural,Chennaraopeta,15.1,24.6,30.7,78.9,99.2,0.0,1.5
2019-09-21,Warangal Rural,Chennaraopeta,5.9,24.9,31.0,78.0,98.4,0.0,1.2
2019-09-22,Warangal Rural,Chennaraopeta,1.2,25.0,30.8,80.2,99.2,0.0,1.5
2019-09-23,Warangal Rural,Chennaraopeta,0.4,24.3,32.9,71.2,98.7,0.0,1.5
2019-09-24,Warangal Rural,Chennaraopeta,0.6,24.7,30.8,77.4,98.3,0.0,1.3
2019-09-25,Warangal Rural,Chennaraopeta,9.8,24.4,31.1,76.5,98.9,0.0,1.3
2019-09-26,Warangal Rural,Chennaraopeta,3.3,24.8,29.6,80.7,97.4,0.6,2.7
2019-09-27,Warangal Rural,Chennaraopeta,8.7,21.9,27.5,86.9,98.5,0.3,2.5
2019-09-28,Warangal Rural,Chennaraopeta,0.0,22.4,31.0,71.5,98.5,0.0,1.8
2019-09-29,Warangal Rural,Chennaraopeta,0.0,24.2,30.2,78.4,97.7,0.0,2.0
2019-09-30,Warangal Rural,Chennaraopeta,20.0,22.6,31.5,73.4,98.2,0.0,2.7
2019-10-01,Warangal Rural,Chennaraopeta,0.5,22.5,28.1,84.0,98.8,0.0,1.8
2019-10-02,Warangal Rural,Chennaraopeta,4.1,22.3,33.1,65.7,98.5,0.0,1.9
2019-10-03,Warangal Rural,Chennaraopeta,0.0,23.8,32.4,73.2,98.6,0.0,0.9
2019-10-04,Warangal Rural,Chennaraopeta,0.0,22.8,32.9,66.6,98.9,0.0,1.2
2019-10-05,Warangal Rural,Chennaraopeta,0.0,24.0,33.0,63.5,99.4,0.0,1.4
2019-10-06,Warangal Rural,Chennaraopeta,0.0,23.6,33.8,59.7,98.9,0.0,1.1
2019-10-07,Warangal Rural,Chennaraopeta,57.5,22.1,32.2,70.0,100.0,0.0,1.4
2019-10-08,Warangal Rural,Chennaraopeta,0.0,24.2,32.8,67.6,99.0,0.0,0.8
2019-10-09,Warangal Rural,Chennaraopeta,0.0,22.4,31.6,77.5,99.2,0.0,0.7
2019-10-10,Warangal Rural,Chennaraopeta,2.2,22.4,32.6,72.0,99.4,0.0,1.3
2019-10-11,Warangal Rural,Chennaraopeta,0.0,23.5,30.7,75.7,99.2,0.0,1.5
2019-10-12,Warangal Rural,Chennaraopeta,52.6,22.5,33.0,63.0,99.6,0.0,1.8
2019-10-13,Warangal Rural,Chennaraopeta,0.0,23.5,32.8,67.2,99.2,0.0,1.1
2019-10-14,Warangal Rural,Chennaraopeta,0.0,24.3,33.8,64.5,99.0,0.0,1.7
2019-10-15,Warangal Rural,Chennaraopeta,0.1,24.0,33.0,72.4,99.2,0.0,1.2
2019-10-16,Warangal Rural,Chennaraopeta,24.0,23.4,32.3,69.6,99.2,0.0,1.9
2019-10-17,Warangal Rural,Chennaraopeta,23.9,23.2,29.8,80.8,99.7,0.0,1.1
2019-10-18,Warangal Rural,Chennaraopeta,0.0,23.2,32.3,65.6,98.9,0.0,2.5
2019-10-19,Warangal Rural,Chennaraopeta,36.0,22.4,31.6,68.6,99.4,0.0,2.1
2019-10-20,Warangal Rural,Chennaraopeta,9.0,23.4,31.4,69.9,99.5,0.0,1.3
2019-10-21,Warangal Rural,Chennaraopeta,0.5,24.0,31.7,66.5,98.5,0.0,1.3
2019-10-22,Warangal Rural,Chennaraopeta,0.0,23.8,31.6,67.6,99.2,0.0,1.5
2019-10-23,Warangal Rural,Chennaraopeta,33.1,21.5,30.0,80.4,99.5,0.0,1.2
2019-10-24,Warangal Rural,Chennaraopeta,2.1,22.3,30.1,77.8,99.0,0.0,1.5
2019-10-25,Warangal Rural,Chennaraopeta,7.6,23.2,30.8,77.1,99.1,0.0,1.2
2019-10-26,Warangal Rural,Chennaraopeta,0.0,23.8,32.2,64.2,98.6,0.0,1.5
2019-10-27,Warangal Rural,Chennaraopeta,0.0,23.4,32.1,69.1,99.0,0.0,2.0
2019-10-28,Warangal Rural,Chennaraopeta,0.0,23.4,32.1,64.9,99.1,0.0,1.6
2019-10-29,Warangal Rural,Chennaraopeta,0.4,23.1,32.8,66.6,98.3,0.0,0.9
2019-10-30,Warangal Rural,Chennaraopeta,2.6,24.4,31.0,74.6,98.9,0.0,2.2
2019-10-31,Warangal Rural,Chennaraopeta,4.1,23.4,30.6,74.8,99.3,0.0,2.1
