Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Duggondi,0.0,27.5,33.3,73.8,99.9,1.2,12.9
2019-09-12,Warangal Rural,Duggondi,0.0,24.6,34.0,72.4,99.9,0.0,1.1
2019-09-13,Warangal Rural,Duggondi,0.0,24.9,30.5,89.4,99.9,0.0,2.9
2019-09-14,Warangal Rural,Duggondi,0.0,24.3,33.1,77.5,99.9,0.0,3.4
2019-09-15,Warangal Rural,Duggondi,7.2,24.9,35.5,64.2,99.9,0.0,9.2
2019-09-16,Warangal Rural,Duggondi,8.2,25.8,35.1,77.5,99.9,0.0,11.8
2019-09-17,Warangal Rural,Duggondi,2.2,25.8,32.7,84.3,99.9,0.0,2.0
2019-09-18,Warangal Rural,Duggondi,0.0,24.9,35.2,71.5,99.9,0.0,10.0
2019-09-19,Warangal Rural,Duggondi,0.0,24.9,35.6,71.1,99.9,0.0,5.9
2019-09-20,Warangal Rural,Duggondi,3.2,24.9,33.2,77.2,99.9,0.0,13.5
2019-09-21,Warangal Rural,Duggondi,0.0,24.8,35.2,63.6,99.9,0.0,5.3
2019-09-22,Warangal Rural,Duggondi,19.1,25.4,32.6,77.5,38.2,0.0,21.0
2019-09-23,Warangal Rural,Duggondi,0.0,24.9,35.4,66.3,99.9,0.0,7.5
2019-09-24,Warangal Rural,Duggondi,57.5,24.9,33.7,77.5,99.9,0.0,6.3
2019-09-25,Warangal Rural,Duggondi,2.0,24.9,35.2,71.4,99.9,0.0,6.2
2019-09-26,Warangal Rural,Duggondi,0.7,24.9,33.2,77.5,99.9,0.6,6.9
2019-09-27,Warangal Rural,Duggondi,6.1,24.9,30.7,84.0,99.9,0.7,9.2
2019-09-28,Warangal Rural,Duggondi,0.0,24.9,32.9,74.3,99.9,0.0,6.0
2019-09-29,Warangal Rural,Duggondi,0.0,24.9,33.0,73.8,99.9,0.0,9.6
2019-09-30,Warangal Rural,Duggondi,17.3,23.0,35.8,71.0,99.9,0.0,7.7
2019-10-01,Warangal Rural,Duggondi,0.4,22.5,32.7,74.0,99.9,0.0,6.7
2019-10-02,Warangal Rural,Duggondi,19.0,24.7,35.2,64.7,99.9,0.0,11.6
2019-10-03,Warangal Rural,Duggondi,0.0,24.9,35.3,71.6,99.9,0.0,6.9
2019-10-04,Warangal Rural,Duggondi,0.0,24.9,35.8,65.0,99.9,0.0,8.2
2019-10-05,Warangal Rural,Duggondi,0.0,24.9,35.4,63.5,99.9,0.0,5.9
2019-10-06,Warangal Rural,Duggondi,0.0,24.9,35.2,64.0,99.9,0.0,5.0
2019-10-07,Warangal Rural,Duggondi,46.4,24.9,35.2,71.4,99.9,0.0,11.8
2019-10-08,Warangal Rural,Duggondi,0.0,24.9,35.2,65.5,99.9,0.0,2.2
2019-10-09,Warangal Rural,Duggondi,0.0,24.9,33.1,77.5,99.9,0.0,3.6
2019-10-10,Warangal Rural,Duggondi,0.0,24.9,35.2,67.3,99.9,0.0,10.9
2019-10-11,Warangal Rural,Duggondi,0.3,24.9,33.1,77.5,99.9,0.0,10.7
2019-10-12,Warangal Rural,Duggondi,3.9,24.9,35.2,64.6,99.9,0.0,7.3
2019-10-13,Warangal Rural,Duggondi,0.0,24.9,35.3,71.0,99.9,0.0,4.1
2019-10-14,Warangal Rural,Duggondi,0.0,24.9,35.2,71.4,99.9,0.0,5.7
2019-10-15,Warangal Rural,Duggondi,0.0,24.9,34.1,77.5,99.9,0.0,8.3
2019-10-16,Warangal Rural,Duggondi,15.2,24.9,33.2,77.5,99.9,0.0,9.5
2019-10-17,Warangal Rural,Duggondi,26.3,24.0,32.6,78.8,99.9,0.0,10.2
2019-10-18,Warangal Rural,Duggondi,0.3,24.9,35.2,66.6,100.0,0.0,6.5
2019-10-19,Warangal Rural,Duggondi,119.5,22.4,35.2,63.9,100.0,0.0,15.4
2019-10-20,Warangal Rural,Duggondi,1.5,24.9,32.8,77.1,99.9,0.6,8.0
2019-10-21,Warangal Rural,Duggondi,5.4,24.9,35.2,67.2,99.9,0.0,11.4
2019-10-22,Warangal Rural,Duggondi,0.0,24.7,35.2,63.5,99.9,0.0,6.7
2019-10-23,Warangal Rural,Duggondi,1.2,24.9,32.2,84.3,99.9,0.0,8.3
2019-10-24,Warangal Rural,Duggondi,8.9,24.9,32.6,77.5,99.9,0.0,11.9
2019-10-25,Warangal Rural,Duggondi,15.1,24.9,32.6,77.5,99.9,0.0,9.0
2019-10-26,Warangal Rural,Duggondi,0.3,24.9,35.7,64.2,99.9,0.0,8.2
2019-10-27,Warangal Rural,Duggondi,0.0,24.5,35.5,55.7,99.9,0.0,9.4
2019-10-28,Warangal Rural,Duggondi,0.0,24.9,35.2,65.7,99.9,0.0,5.8
2019-10-29,Warangal Rural,Duggondi,14.8,22.4,35.2,70.1,100.0,0.0,0.7
2019-10-30,Warangal Rural,Duggondi,0.0,24.7,34.9,74.0,99.9,0.0,0.8
2019-10-31,Warangal Rural,Duggondi,0.0,24.9,33.1,77.2,99.9,0.0,2.7
2019-11-01,Warangal Rural,Duggondi,0.0,24.9,33.0,70.9,99.9,0.0,8.7
2019-11-02,Warangal Rural,Duggondi,5.9,24.9,35.3,59.5,99.9,0.0,7.4
2019-11-03,Warangal Rural,Duggondi,31.5,24.9,35.2,63.5,99.9,0.0,2.8
2019-11-04,Warangal Rural,Duggondi,0.0,22.4,34.9,72.7,99.9,0.0,5.1
2019-11-05,Warangal Rural,Duggondi,0.0,22.4,33.5,63.3,99.9,0.0,7.3
2019-11-06,Warangal Rural,Duggondi,0.0,22.4,35.5,66.8,99.9,0.0,4.9
2019-11-07,Warangal Rural,Duggondi,0.0,22.4,34.8,66.1,99.9,0.0,7.7
2019-11-08,Warangal Rural,Duggondi,0.0,22.4,35.3,63.2,99.9,0.0,6.5
2019-11-09,Warangal Rural,Duggondi,0.0,21.9,34.7,60.6,99.9,0.0,9.4
2019-11-10,Warangal Rural,Duggondi,0.0,21.8,33.3,56.4,99.9,0.0,11.3
2019-11-11,Warangal Rural,Duggondi,0.0,22.4,33.0,58.4,99.9,0.0,7.9
2019-11-12,Warangal Rural,Duggondi,0.0,22.2,33.4,60.8,99.9,0.0,7.4
2019-11-13,Warangal Rural,Duggondi,0.0,21.8,32.6,49.2,99.9,0.0,7.4
2019-11-14,Warangal Rural,Duggondi,0.0,21.8,33.0,55.7,99.9,0.0,5.4
2019-11-15,Warangal Rural,Duggondi,0.0,21.8,32.5,63.8,99.9,0.0,7.1
2019-11-16,Warangal Rural,Duggondi,0.0,21.9,35.0,55.1,99.9,0.0,2.2
2019-11-17,Warangal Rural,Duggondi,0.0,21.8,35.2,55.2,99.9,0.0,4.5
2019-11-18,Warangal Rural,Duggondi,0.0,20.2,32.9,63.6,99.9,0.0,9.1
2019-11-19,Warangal Rural,Duggondi,0.0,21.8,32.8,62.0,99.9,0.0,8.0
2019-11-20,Warangal Rural,Duggondi,0.0,21.8,35.3,59.5,99.9,0.0,4.7
2019-11-21,Warangal Rural,Duggondi,0.0,21.8,35.4,58.5,99.9,0.0,4.2
2019-11-22,Warangal Rural,Duggondi,0.0,19.8,32.6,62.7,99.9,0.0,4.3
2019-11-23,Warangal Rural,Duggondi,0.0,19.4,35.6,55.2,99.9,0.0,6.6
2019-11-24,Warangal Rural,Duggondi,0.0,19.3,32.9,48.5,99.9,0.0,8.1
2019-11-25,Warangal Rural,Duggondi,0.0,19.6,31.1,59.0,99.9,0.0,7.9
2019-11-26,Warangal Rural,Duggondi,0.0,19.6,33.0,56.1,99.9,0.0,5.4
2019-11-27,Warangal Rural,Duggondi,0.0,19.8,31.1,62.6,99.9,0.0,7.2
2019-11-28,Warangal Rural,Duggondi,0.0,19.1,32.7,58.3,99.9,0.0,5.3
2019-11-29,Warangal Rural,Duggondi,0.0,21.8,32.6,56.3,99.9,0.0,7.4
2019-11-30,Warangal Rural,Duggondi,0.0,21.8,32.8,62.7,99.9,0.0,8.5
2019-12-01,Warangal Rural,Duggondi,0.0,22.4,33.4,56.0,99.9,0.0,9.6
2019-12-02,Warangal Rural,Duggondi,0.0,24.9,32.7,61.0,99.9,0.0,3.2
2019-12-03,Warangal Rural,Duggondi,0.0,22.4,26.2,84.1,99.9,0.0,10.8
2019-12-04,Warangal Rural,Duggondi,0.0,21.8,32.7,62.6,99.9,0.0,5.0
2019-12-05,Warangal Rural,Duggondi,0.0,20.3,30.5,54.6,99.9,0.0,15.2
2019-12-06,Warangal Rural,Duggondi,0.0,19.3,30.9,56.0,99.9,0.0,8.2
