Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Nallabelly,0.0,25.0,33.05,81.15,100.0,0.0,3.3
2019-09-12,Warangal Rural,Nallabelly,0.4,24.15,33.0,80.4,100.0,0.0,1.9
2019-09-13,Warangal Rural,Nallabelly,0.0,23.9,29.0,92.25,100.0,0.0,2.9
2019-09-14,Warangal Rural,Nallabelly,0.0,24.2,31.65,85.45,100.0,0.0,0.8
2019-09-15,Warangal Rural,Nallabelly,6.2,24.0,34.0,71.1,99.6,0.0,2.3
2019-09-16,Warangal Rural,Nallabelly,6.7,24.15,32.2,85.65,100.0,0.0,1.4
2019-09-17,Warangal Rural,Nallabelly,4.0,24.8,33.1,84.9,100.0,0.0,5.3
2019-09-18,Warangal Rural,Nallabelly,5.3,23.5,33.5,87.1,100.0,0.0,7.8
2019-09-19,Warangal Rural,Nallabelly,3.0,24.2,32.7,84.3,100.0,0.0,8.6
2019-09-20,Warangal Rural,Nallabelly,1.4,23.9,32.5,86.6,100.0,0.0,1.2
2019-09-21,Warangal Rural,Nallabelly,1.3,24.4,33.5,79.9,100.0,0.0,5.9
2019-09-22,Warangal Rural,Nallabelly,0.3,24.4,32.5,83.5,100.0,0.0,21.0
2019-09-23,Warangal Rural,Nallabelly,0.0,24.2,35.2,74.8,99.3,0.0,7.5
2019-09-24,Warangal Rural,Nallabelly,28.3,24.7,33.5,84.1,100.0,0.0,0.9
2019-09-25,Warangal Rural,Nallabelly,9.0,23.6,32.8,85.25,100.0,0.0,6.5
2019-09-26,Warangal Rural,Nallabelly,0.2,23.8,31.55,87.15,100.0,0.0,4.0
2019-09-27,Warangal Rural,Nallabelly,12.7,22.75,29.5,91.2,100.0,0.0,9.0
2019-09-28,Warangal Rural,Nallabelly,0.0,23.9,33.45,67.45,100.0,0.0,1.9
2019-09-29,Warangal Rural,Nallabelly,0.0,24.1,32.5,67.9,100.0,0.0,3.3
2019-09-30,Warangal Rural,Nallabelly,31.5,22.35,33.75,80.25,100.0,0.0,11.0
2019-10-01,Warangal Rural,Nallabelly,0.2,22.5,31.95,88.05,100.0,0.0,5.3
2019-10-02,Warangal Rural,Nallabelly,0.7,22.5,33.5,76.0,100.0,0.0,0.9
2019-10-03,Warangal Rural,Nallabelly,0.0,24.0,34.0,81.0,100.0,0.0,0.2
2019-10-04,Warangal Rural,Nallabelly,0.0,23.3,34.4,65.0,99.6,0.0,2.2
2019-10-05,Warangal Rural,Nallabelly,0.0,24.0,35.2,65.3,100.0,0.0,0.7
2019-10-06,Warangal Rural,Nallabelly,0.0,23.4,35.2,66.1,100.0,0.0,3.4
2019-10-07,Warangal Rural,Nallabelly,3.7,23.5,35.7,56.1,99.6,0.0,7.1
2019-10-08,Warangal Rural,Nallabelly,0.0,24.1,34.1,65.9,99.9,0.0,2.2
2019-10-09,Warangal Rural,Nallabelly,0.0,23.7,32.6,85.1,99.5,0.0,3.9
2019-10-10,Warangal Rural,Nallabelly,12.2,23.6,34.4,74.1,99.6,0.0,8.8
2019-10-11,Warangal Rural,Nallabelly,11.6,23.7,33.0,83.3,100.0,0.0,4.6
2019-10-12,Warangal Rural,Nallabelly,13.4,23.0,33.4,73.8,100.0,0.0,3.2
2019-10-13,Warangal Rural,Nallabelly,0.0,23.9,33.0,63.0,100.0,0.0,8.5
2019-10-14,Warangal Rural,Nallabelly,0.0,24.0,32.7,83.4,100.0,0.0,12.1
2019-10-15,Warangal Rural,Nallabelly,0.0,23.5,32.3,81.2,100.0,0.0,14.9
2019-10-16,Warangal Rural,Nallabelly,18.6,23.9,31.6,85.4,100.0,0.0,9.4
2019-10-17,Warangal Rural,Nallabelly,13.1,22.6,31.0,86.5,100.0,0.0,14.8
2019-10-18,Warangal Rural,Nallabelly,0.0,23.5,33.9,73.1,100.0,0.0,13.9
2019-10-19,Warangal Rural,Nallabelly,87.3,22.5,33.4,71.4,100.0,0.0,12.9
2019-10-20,Warangal Rural,Nallabelly,12.2,23.2,31.2,84.3,100.0,0.0,17.9
2019-10-21,Warangal Rural,Nallabelly,0.5,23.5,30.6,88.4,100.0,0.0,11.4
2019-10-22,Warangal Rural,Nallabelly,1.1,24.0,33.3,59.3,100.0,0.0,9.6
2019-10-23,Warangal Rural,Nallabelly,2.7,23.1,30.5,88.9,100.0,0.0,10.7
2019-10-24,Warangal Rural,Nallabelly,3.2,22.7,31.2,86.8,100.0,0.0,26.5
2019-10-25,Warangal Rural,Nallabelly,8.2,23.7,31.2,87.2,100.0,0.0,14.6
2019-10-26,Warangal Rural,Nallabelly,1.7,23.3,34.1,71.1,100.0,0.0,14.5
2019-10-27,Warangal Rural,Nallabelly,0.0,23.0,34.1,70.5,100.0,0.0,15.4
2019-10-28,Warangal Rural,Nallabelly,0.0,23.1,34.0,60.1,100.0,0.0,14.5
2019-10-29,Warangal Rural,Nallabelly,6.9,22.0,32.9,72.2,100.0,0.0,6.9
2019-10-30,Warangal Rural,Nallabelly,0.0,23.2,33.8,74.1,100.0,0.0,14.9
2019-10-31,Warangal Rural,Nallabelly,0.0,24.1,32.0,84.4,100.0,0.0,13.5
2019-11-01,Warangal Rural,Nallabelly,0.0,24.2,31.9,80.9,100.0,0.0,20.9
2019-11-02,Warangal Rural,Nallabelly,5.3,23.6,34.1,67.0,100.0,0.0,18.7
2019-11-03,Warangal Rural,Nallabelly,6.2,23.5,34.5,60.8,100.0,0.0,14.9
2019-11-04,Warangal Rural,Nallabelly,0.0,22.1,31.7,77.7,100.0,0.0,5.7
2019-11-05,Warangal Rural,Nallabelly,0.0,22.2,32.2,56.7,100.0,0.0,9.9
2019-11-06,Warangal Rural,Nallabelly,0.0,22.9,33.2,64.8,100.0,0.0,9.6
2019-11-07,Warangal Rural,Nallabelly,0.0,21.6,33.4,56.6,100.0,0.0,18.2
2019-11-08,Warangal Rural,Nallabelly,0.2,21.7,32.0,56.6,100.0,0.0,8.5
2019-11-09,Warangal Rural,Nallabelly,0.0,19.1,31.4,54.3,100.0,0.0,15.3
2019-11-10,Warangal Rural,Nallabelly,0.0,19.7,30.9,49.7,100.0,0.0,14.1
2019-11-11,Warangal Rural,Nallabelly,0.0,21.5,31.9,56.3,100.0,0.0,17.1
2019-11-12,Warangal Rural,Nallabelly,0.0,20.9,31.7,56.0,100.0,0.0,9.1
2019-11-13,Warangal Rural,Nallabelly,0.0,19.8,31.4,47.3,100.0,0.0,16.8
2019-11-14,Warangal Rural,Nallabelly,0.0,21.8,32.3,55.7,99.5,0.0,5.4
2019-11-15,Warangal Rural,Nallabelly,0.0,21.8,32.4,56.9,99.9,0.0,7.1
2019-11-16,Warangal Rural,Nallabelly,0.0,20.6,32.7,55.6,88.7,0.0,2.2
2019-11-17,Warangal Rural,Nallabelly,0.0,21.3,31.7,55.8,98.1,1.9,9.6
2019-11-18,Warangal Rural,Nallabelly,0.0,21.0,32.8,57.6,99.9,0.0,9.1
2019-11-19,Warangal Rural,Nallabelly,0.0,21.8,32.4,50.0,99.9,0.0,10.3
2019-11-20,Warangal Rural,Nallabelly,0.0,22.0,35.5,55.2,99.9,0.0,4.5
2019-11-21,Warangal Rural,Nallabelly,0.0,21.8,34.0,60.8,99.9,0.0,5.6
2019-11-22,Warangal Rural,Nallabelly,0.0,19.2,32.2,58.2,100.0,0.0,6.4
2019-11-23,Warangal Rural,Nallabelly,0.0,20.3,35.6,55.1,99.9,0.0,5.3
2019-11-24,Warangal Rural,Nallabelly,0.0,20.2,32.8,47.1,99.9,0.0,9.0
2019-11-25,Warangal Rural,Nallabelly,0.0,21.2,32.1,57.4,99.9,0.0,6.6
2019-11-26,Warangal Rural,Nallabelly,0.0,20.8,32.8,57.1,99.4,0.0,3.5
2019-11-27,Warangal Rural,Nallabelly,0.0,19.8,31.7,63.0,100.0,0.0,6.1
2019-11-28,Warangal Rural,Nallabelly,0.0,19.2,30.8,61.6,99.9,0.0,8.2
2019-11-29,Warangal Rural,Nallabelly,0.0,21.8,32.9,61.2,99.9,0.0,4.7
2019-11-30,Warangal Rural,Nallabelly,0.0,21.8,32.7,59.3,99.9,0.0,5.0
2019-12-01,Warangal Rural,Nallabelly,0.0,22.4,32.7,61.2,99.9,0.0,7.3
2019-12-02,Warangal Rural,Nallabelly,0.0,24.8,32.8,62.1,99.9,0.0,4.3
2019-12-03,Warangal Rural,Nallabelly,0.3,22.0,25.2,81.0,99.9,0.0,12.8
2019-12-04,Warangal Rural,Nallabelly,0.0,21.8,31.9,58.0,99.9,0.0,5.0
2019-12-05,Warangal Rural,Nallabelly,0.0,20.6,31.75,54.6,99.0,0.0,9.2
2019-12-06,Warangal Rural,Nallabelly,0.0,19.3,31.95,52.7,99.9,0.0,11.3
2019-12-07,Warangal Rural,Nallabelly,0.0,18.7,32.2,52.0,99.2,0.0,4.6
2019-12-08,Warangal Rural,Nallabelly,0.0,20.1,32.2,50.3,99.6,0.0,5.4
2019-12-09,Warangal Rural,Nallabelly,0.0,21.6,33.0,55.7,99.35,0.0,8.0
2019-12-10,Warangal Rural,Nallabelly,0.0,20.75,33.05,54.7,99.35,0.0,5.4
2019-12-11,Warangal Rural,Nallabelly,0.0,19.75,32.8,50.5,99.9,0.0,4.0
2019-12-12,Warangal Rural,Nallabelly,0.0,19.3,33.0,49.8,99.9,0.0,4.8
2019-12-13,Warangal Rural,Nallabelly,0.0,20.05,33.0,46.15,99.15,0.0,4.9
2019-12-14,Warangal Rural,Nallabelly,0.0,21.8,33.0,52.1,99.35,0.0,5.5
2019-12-15,Warangal Rural,Nallabelly,0.0,21.8,34.75,50.0,99.9,0.0,4.6
2019-12-16,Warangal Rural,Nallabelly,0.0,19.3,33.55,47.95,99.9,0.0,6.1
2019-12-17,Warangal Rural,Nallabelly,0.0,19.6,33.3,44.05,100.0,0.0,6.2
2019-12-18,Warangal Rural,Nallabelly,0.0,18.7,31.4,57.75,99.9,0.0,8.5
2019-12-19,Warangal Rural,Nallabelly,0.0,18.4,32.5,55.0,99.9,0.0,7.0
2019-12-20,Warangal Rural,Nallabelly,0.0,19.3,31.4,54.4,99.9,0.0,9.3
2019-12-21,Warangal Rural,Nallabelly,0.0,19.3,30.7,46.8,99.9,0.0,14.4
2019-12-22,Warangal Rural,Nallabelly,0.0,19.5,31.2,50.0,99.9,0.0,14.6
2019-12-23,Warangal Rural,Nallabelly,0.0,18.6,33.3,47.15,99.9,0.0,5.1
2019-12-24,Warangal Rural,Nallabelly,0.0,19.3,30.1,55.0,99.9,0.0,6.4
2019-12-25,Warangal Rural,Nallabelly,0.0,20.9,32.5,42.55,99.9,0.0,8.6
2019-12-26,Warangal Rural,Nallabelly,0.0,22.4,33.2,49.25,95.6,0.0,5.3
2019-12-27,Warangal Rural,Nallabelly,0.0,19.9,30.3,58.6,99.6,0.0,8.1
2019-12-28,Warangal Rural,Nallabelly,0.0,18.3,31.1,66.25,94.95,0.0,10.9
2019-12-29,Warangal Rural,Nallabelly,0.0,15.3,30.5,52.7,81.5,0.0,8.3
2019-12-30,Warangal Rural,Nallabelly,0.0,15.7,30.1,46.0,97.15,0.0,8.3
2019-12-31,Warangal Rural,Nallabelly,0.0,19.7,30.1,49.75,84.25,0.0,5.4
