Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Narsampet,0.0,27.5,35.3,72.6,99.9,0.0,11.3
2019-09-12,Warangal Rural,Narsampet,2.0,24.6,35.4,64.0,99.9,0.0,7.1
2019-09-13,Warangal Rural,Narsampet,0.0,24.9,30.5,80.0,99.9,0.0,6.1
2019-09-14,Warangal Rural,Narsampet,0.0,24.3,33.1,76.4,99.9,0.0,9.2
2019-09-15,Warangal Rural,Narsampet,6.1,24.9,35.8,67.0,99.9,0.0,6.8
2019-09-16,Warangal Rural,Narsampet,16.1,24.5,34.8,77.3,99.9,0.0,4.9
2019-09-17,Warangal Rural,Narsampet,0.8,24.8,32.9,80.7,99.9,0.0,5.9
2019-09-18,Warangal Rural,Narsampet,9.8,24.9,32.6,85.9,99.9,0.0,10.6
2019-09-19,Warangal Rural,Narsampet,1.9,25.0,33.0,74.0,99.9,0.0,14.9
2019-09-20,Warangal Rural,Narsampet,4.4,24.9,32.8,77.2,99.9,0.0,8.2
2019-09-21,Warangal Rural,Narsampet,2.1,24.9,32.6,97.1,99.9,0.0,7.1
2019-09-22,Warangal Rural,Narsampet,2.2,25.1,32.6,88.7,99.9,0.0,7.1
2019-09-23,Warangal Rural,Narsampet,6.1,24.3,33.2,78.7,99.9,0.0,8.5
2019-09-24,Warangal Rural,Narsampet,2.4,24.8,34.8,81.6,99.9,0.0,7.2
2019-09-25,Warangal Rural,Narsampet,3.9,24.9,32.5,80.8,99.9,0.0,9.9
2019-09-26,Warangal Rural,Narsampet,1.6,24.9,31.3,81.8,99.9,0.0,12.4
2019-09-27,Warangal Rural,Narsampet,5.9,23.6,29.1,85.9,99.9,0.0,13.3
2019-09-28,Warangal Rural,Narsampet,0.0,22.4,33.1,93.5,99.9,0.0,9.7
2019-09-29,Warangal Rural,Narsampet,0.0,24.9,32.6,76.5,99.9,0.0,14.4
2019-09-30,Warangal Rural,Narsampet,3.4,22.6,34.7,95.6,99.9,0.0,13.6
2019-10-01,Warangal Rural,Narsampet,2.5,22.5,32.4,87.0,99.9,0.0,12.4
