Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Nekkonda,0.2,25.6,32.6,70.55,92.75,0.0,9.2
2019-09-12,Warangal Rural,Nekkonda,9.2,24.25,32.9,67.6,93.2,0.0,20.7
2019-09-13,Warangal Rural,Nekkonda,0.4,24.45,29.75,78.85,93.2,0.0,8.4
2019-09-14,Warangal Rural,Nekkonda,9.1,24.55,30.05,79.5,93.15,0.0,10.8
2019-09-15,Warangal Rural,Nekkonda,1.4,23.35,33.25,69.6,95.55,0.0,6.9
2019-09-16,Warangal Rural,Nekkonda,2.2,24.7,31.65,77.45,93.1,0.0,14.5
2019-09-17,Warangal Rural,Nekkonda,10.8,24.9,30.9,83.35,93.4,0.0,15.4
2019-09-18,Warangal Rural,Nekkonda,15.5,23.4,32.7,80.3,93.2,0.0,7.7
2019-09-19,Warangal Rural,Nekkonda,5.8,24.6,31.5,78.2,95.5,0.0,6.0
2019-09-20,Warangal Rural,Nekkonda,1.6,23.8,32.2,77.2,93.1,0.0,16.9
2019-09-21,Warangal Rural,Nekkonda,5.1,24.7,31.7,77.6,93.4,0.0,3.4
2019-09-22,Warangal Rural,Nekkonda,14.0,24.9,31.7,80.2,93.7,0.0,12.0
2019-09-23,Warangal Rural,Nekkonda,8.2,24.8,33.1,75.6,93.5,0.0,6.2
2019-09-24,Warangal Rural,Nekkonda,0.0,24.7,33.1,76.1,93.3,0.0,12.6
2019-09-25,Warangal Rural,Nekkonda,2.0,24.95,31.55,78.05,93.3,0.0,6.4
2019-09-26,Warangal Rural,Nekkonda,3.3,24.85,30.6,82.25,93.45,0.4,7.4
2019-09-27,Warangal Rural,Nekkonda,14.5,22.0,28.15,86.75,93.55,0.0,9.7
2019-09-28,Warangal Rural,Nekkonda,0.0,23.4,32.35,71.15,93.5,0.0,19.8
2019-09-29,Warangal Rural,Nekkonda,0.0,24.5,31.7,77.3,93.45,0.0,6.4
2019-09-30,Warangal Rural,Nekkonda,0.0,24.05,32.15,74.6,93.55,0.0,10.5
2019-10-01,Warangal Rural,Nekkonda,1.8,23.9,29.0,83.1,93.6,0.0,6.1
2019-10-02,Warangal Rural,Nekkonda,14.1,22.3,34.1,62.5,93.7,0.0,15.2
2019-10-03,Warangal Rural,Nekkonda,0.7,24.7,33.5,77.9,93.2,0.0,11.8
2019-10-04,Warangal Rural,Nekkonda,2.1,23.7,35.2,63.4,93.5,0.0,5.4
2019-10-05,Warangal Rural,Nekkonda,0.0,24.5,34.5,57.9,93.3,0.0,11.6
2019-10-06,Warangal Rural,Nekkonda,0.0,24.2,34.3,60.3,89.3,0.0,9.4
2019-10-07,Warangal Rural,Nekkonda,15.8,22.8,34.0,63.5,93.9,0.0,18.4
2019-10-08,Warangal Rural,Nekkonda,0.0,24.6,34.0,70.9,93.3,0.0,4.5
2019-10-09,Warangal Rural,Nekkonda,0.0,24.2,31.5,71.4,89.5,0.0,3.9
2019-10-10,Warangal Rural,Nekkonda,30.1,23.8,34.0,58.1,90.0,0.0,13.5
2019-10-11,Warangal Rural,Nekkonda,0.0,24.3,32.7,64.7,89.4,0.0,6.2
2019-10-12,Warangal Rural,Nekkonda,9.9,22.0,32.4,69.9,93.2,1.2,3.2
2019-10-13,Warangal Rural,Nekkonda,0.0,23.6,32.6,73.2,97.8,0.0,0.5
2019-10-14,Warangal Rural,Nekkonda,0.0,23.6,32.8,73.1,93.5,0.0,12.1
2019-10-15,Warangal Rural,Nekkonda,0.4,24.4,32.7,73.3,93.5,0.0,15.3
2019-10-16,Warangal Rural,Nekkonda,9.6,23.2,31.9,75.6,93.8,0.0,4.7
