Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Shayampet,0.0,25.7,34.7,59.1,97.3,0.0,15.2
2019-09-12,Warangal Rural,Shayampet,0.0,25.8,32.9,65.1,97.5,0.0,15.7
2019-09-13,Warangal Rural,Shayampet,0.0,25.0,29.8,75.3,97.2,0.0,25.2
2019-09-14,Warangal Rural,Shayampet,5.4,25.2,34.0,60.5,98.5,0.0,18.4
2019-09-15,Warangal Rural,Shayampet,10.4,24.9,34.9,59.7,99.1,0.0,15.7
2019-09-16,Warangal Rural,Shayampet,0.5,25.8,33.0,73.4,99.9,0.0,14.1
2019-09-17,Warangal Rural,Shayampet,0.3,26.6,32.8,77.5,98.8,0.0,21.5
2019-09-18,Warangal Rural,Shayampet,0.5,23.3,34.8,77.5,100.0,0.0,20.1
2019-09-19,Warangal Rural,Shayampet,3.9,24.1,32.7,77.3,100.0,0.0,19.2
2019-09-20,Warangal Rural,Shayampet,0.3,25.3,34.8,77.1,99.3,0.0,14.9
2019-09-21,Warangal Rural,Shayampet,4.1,25.1,35.2,71.4,99.8,0.0,6.5
2019-09-22,Warangal Rural,Shayampet,2.7,24.6,32.6,74.6,99.7,0.0,21.0
2019-09-23,Warangal Rural,Shayampet,0.0,24.8,34.2,67.5,100.0,0.0,7.5
2019-09-24,Warangal Rural,Shayampet,3.4,24.9,35.2,71.4,98.0,0.0,28.7
2019-09-25,Warangal Rural,Shayampet,83.9,24.8,32.6,74.7,100.0,0.0,17.7
2019-09-26,Warangal Rural,Shayampet,0.8,24.8,32.8,77.5,98.1,0.0,26.2
2019-09-27,Warangal Rural,Shayampet,7.9,23.0,30.3,84.3,98.0,0.0,24.4
2019-09-28,Warangal Rural,Shayampet,0.0,24.9,33.0,73.5,98.4,0.0,14.1
2019-09-29,Warangal Rural,Shayampet,0.0,24.9,33.1,77.5,98.3,0.0,18.5
2019-09-30,Warangal Rural,Shayampet,25.6,22.4,32.9,74.0,100.0,0.0,16.6
2019-10-01,Warangal Rural,Shayampet,0.7,23.1,32.6,77.5,100.0,0.0,15.6
2019-10-02,Warangal Rural,Shayampet,0.5,23.3,35.9,71.1,99.2,0.0,29.2
2019-10-03,Warangal Rural,Shayampet,0.0,24.7,35.7,70.9,99.3,0.0,12.7
2019-10-04,Warangal Rural,Shayampet,0.0,24.9,34.8,63.4,97.8,0.0,11.3
2019-10-05,Warangal Rural,Shayampet,0.0,24.5,35.5,70.9,98.2,0.0,16.7
2019-10-06,Warangal Rural,Shayampet,0.0,24.9,35.6,62.1,98.8,0.0,10.2
2019-10-07,Warangal Rural,Shayampet,3.2,24.9,35.3,71.5,99.5,0.0,17.1
2019-10-08,Warangal Rural,Shayampet,0.0,24.7,35.0,72.4,98.6,0.0,15.6
2019-10-09,Warangal Rural,Shayampet,0.0,24.9,35.1,65.4,99.9,0.0,17.1
2019-10-10,Warangal Rural,Shayampet,0.0,24.9,35.2,71.4,98.1,0.0,23.3
2019-10-11,Warangal Rural,Shayampet,1.0,24.7,32.6,77.5,99.2,0.0,17.4
2019-10-12,Warangal Rural,Shayampet,4.5,23.2,35.3,68.6,99.8,0.0,14.8
2019-10-13,Warangal Rural,Shayampet,0.0,24.6,35.2,63.3,99.1,0.0,10.2
2019-10-14,Warangal Rural,Shayampet,0.0,24.9,34.7,71.1,99.9,0.0,12.7
2019-10-15,Warangal Rural,Shayampet,0.0,24.9,35.4,70.6,98.2,0.0,13.6
2019-10-16,Warangal Rural,Shayampet,0.0,24.7,33.1,73.9,98.0,0.0,10.1
2019-10-17,Warangal Rural,Shayampet,8.2,23.1,32.6,77.5,100.0,2.5,21.2
2019-10-18,Warangal Rural,Shayampet,18.1,24.9,32.7,68.3,99.9,2.5,21.2
2019-10-19,Warangal Rural,Shayampet,45.4,22.0,35.4,71.0,100.0,2.5,21.2
2019-10-20,Warangal Rural,Shayampet,12.4,22.5,32.6,74.0,100.0,2.5,21.2
2019-10-21,Warangal Rural,Shayampet,8.4,24.9,34.8,73.4,98.9,2.5,21.2
2019-10-22,Warangal Rural,Shayampet,0.0,24.8,33.2,71.4,99.4,0.0,5.6
2019-10-23,Warangal Rural,Shayampet,0.0,24.9,33.0,73.9,97.6,0.0,7.7
2019-10-24,Warangal Rural,Shayampet,3.7,23.6,32.6,74.1,99.8,0.0,10.2
2019-10-25,Warangal Rural,Shayampet,8.0,24.1,32.6,77.5,99.7,0.0,5.6
2019-10-26,Warangal Rural,Shayampet,1.5,24.9,32.6,70.2,99.4,0.0,5.4
2019-10-27,Warangal Rural,Shayampet,0.0,23.9,35.0,69.7,100.0,0.0,6.6
2019-10-28,Warangal Rural,Shayampet,0.0,24.9,34.9,71.5,99.8,0.0,5.5
2019-10-29,Warangal Rural,Shayampet,11.6,22.1,35.2,70.7,100.0,0.0,12.8
2019-10-30,Warangal Rural,Shayampet,7.4,24.6,32.2,76.4,98.9,0.0,8.9
2019-10-31,Warangal Rural,Shayampet,19.4,23.6,32.1,77.6,99.9,0.0,5.2
2019-11-01,Warangal Rural,Shayampet,0.4,24.9,30.8,84.0,99.3,0.0,3.6
2019-11-02,Warangal Rural,Shayampet,0.0,24.9,35.3,65.8,98.7,0.0,3.9
2019-11-03,Warangal Rural,Shayampet,23.3,23.2,35.4,71.0,100.0,0.0,12.5
2019-11-04,Warangal Rural,Shayampet,0.0,22.2,32.8,71.5,100.0,0.0,4.8
2019-11-05,Warangal Rural,Shayampet,0.0,22.4,32.6,66.4,99.3,0.0,7.0
2019-11-06,Warangal Rural,Shayampet,0.0,22.5,32.7,65.6,100.0,0.0,9.0
2019-11-07,Warangal Rural,Shayampet,0.0,22.4,32.6,54.6,100.0,0.0,8.6
2019-11-08,Warangal Rural,Shayampet,0.0,22.4,32.9,58.9,98.0,0.0,8.1
2019-11-09,Warangal Rural,Shayampet,0.0,20.8,30.6,54.3,98.8,0.0,9.8
2019-11-10,Warangal Rural,Shayampet,0.0,20.1,32.7,51.0,98.6,0.0,10.6
2019-11-11,Warangal Rural,Shayampet,0.0,21.5,32.9,52.2,98.6,0.0,11.4
2019-11-12,Warangal Rural,Shayampet,0.0,21.6,33.2,53.5,98.7,0.0,7.4
2019-11-13,Warangal Rural,Shayampet,0.0,20.0,33.2,52.1,98.1,0.0,9.3
2019-11-14,Warangal Rural,Shayampet,0.0,19.5,32.8,59.0,100.0,0.0,6.5
2019-11-15,Warangal Rural,Shayampet,0.0,20.3,32.9,65.9,98.9,0.0,2.4
2019-11-16,Warangal Rural,Shayampet,0.0,20.1,33.1,61.6,99.1,0.0,3.3
2019-11-17,Warangal Rural,Shayampet,0.0,22.3,34.7,43.1,96.2,0.0,6.0
2019-11-18,Warangal Rural,Shayampet,0.0,19.0,32.1,47.7,94.4,0.0,6.9
2019-11-19,Warangal Rural,Shayampet,0.0,20.3,32.2,50.5,97.9,0.0,7.4
2019-11-20,Warangal Rural,Shayampet,0.0,19.3,32.3,51.6,100.0,0.0,5.7
2019-11-21,Warangal Rural,Shayampet,0.0,20.0,31.7,50.2,100.0,0.0,4.5
2019-11-22,Warangal Rural,Shayampet,0.0,19.7,30.6,52.1,100.0,0.0,6.3
2019-11-23,Warangal Rural,Shayampet,0.0,18.2,32.8,62.7,99.1,0.0,5.7
2019-11-24,Warangal Rural,Shayampet,0.0,17.9,31.9,51.7,100.0,0.0,3.1
2019-11-25,Warangal Rural,Shayampet,0.0,18.3,30.9,48.8,100.0,0.0,7.5
2019-11-26,Warangal Rural,Shayampet,0.0,18.7,33.3,57.3,99.6,0.0,9.2
2019-11-27,Warangal Rural,Shayampet,0.0,18.5,32.4,53.0,98.6,0.0,8.8
2019-11-28,Warangal Rural,Shayampet,0.0,18.7,31.6,42.6,98.4,0.0,4.1
2019-11-29,Warangal Rural,Shayampet,0.0,20.5,32.7,63.1,98.8,0.0,3.8
2019-11-30,Warangal Rural,Shayampet,0.0,20.4,33.3,58.9,99.0,0.0,6.9
2019-12-01,Warangal Rural,Shayampet,0.0,21.4,32.6,58.3,91.2,0.0,4.1
2019-12-02,Warangal Rural,Shayampet,0.0,23.2,33.1,58.7,91.2,0.0,2.7
2019-12-03,Warangal Rural,Shayampet,0.0,21.5,28.0,77.3,100.0,0.2,8.6
2019-12-04,Warangal Rural,Shayampet,0.0,20.4,32.6,64.5,92.2,0.0,3.9
2019-12-05,Warangal Rural,Shayampet,0.0,18.7,32.2,54.5,89.5,0.0,7.0
2019-12-06,Warangal Rural,Shayampet,0.0,16.6,32.5,52.7,91.7,0.0,5.9
2019-12-07,Warangal Rural,Shayampet,0.0,17.5,30.5,54.7,95.5,0.0,3.1
2019-12-08,Warangal Rural,Shayampet,0.0,17.6,30.4,51.0,96.1,0.0,6.2
2019-12-09,Warangal Rural,Shayampet,0.0,19.1,33.2,63.1,96.2,0.0,3.7
2019-12-10,Warangal Rural,Shayampet,0.0,18.9,32.7,49.2,98.6,0.0,6.2
2019-12-11,Warangal Rural,Shayampet,0.0,17.1,33.3,54.2,95.8,0.0,5.4
2019-12-12,Warangal Rural,Shayampet,0.0,17.8,31.3,47.3,99.2,0.0,5.3
2019-12-13,Warangal Rural,Shayampet,0.0,18.8,33.2,49.0,95.8,0.0,11.5
2019-12-14,Warangal Rural,Shayampet,0.0,19.1,32.2,56.4,96.2,0.0,9.4
2019-12-15,Warangal Rural,Shayampet,0.0,19.3,32.9,57.8,96.8,0.0,6.9
2019-12-16,Warangal Rural,Shayampet,0.0,18.1,32.8,40.8,89.0,0.0,5.8
2019-12-17,Warangal Rural,Shayampet,0.0,17.8,31.3,40.8,100.0,0.0,4.6
2019-12-18,Warangal Rural,Shayampet,0.0,18.4,32.4,62.6,98.1,0.0,4.1
2019-12-19,Warangal Rural,Shayampet,0.0,17.0,30.7,53.8,100.0,0.0,3.6
2019-12-20,Warangal Rural,Shayampet,0.0,16.6,30.9,48.9,99.0,0.0,3.4
2019-12-21,Warangal Rural,Shayampet,0.0,17.7,30.8,50.8,90.7,0.0,9.0
2019-12-22,Warangal Rural,Shayampet,0.0,17.9,32.6,50.4,95.7,0.0,3.5
2019-12-23,Warangal Rural,Shayampet,0.0,17.9,32.7,54.4,95.5,0.0,10.8
2019-12-24,Warangal Rural,Shayampet,0.0,18.0,30.1,57.3,95.5,0.0,7.2
2019-12-25,Warangal Rural,Shayampet,0.0,18.3,32.6,48.0,89.6,0.0,9.9
2019-12-26,Warangal Rural,Shayampet,0.0,21.3,31.3,47.9,91.9,0.0,12.3
2019-12-27,Warangal Rural,Shayampet,0.0,20.5,30.1,61.8,93.7,0.0,9.1
2019-12-28,Warangal Rural,Shayampet,0.0,16.3,30.1,66.1,89.5,0.0,12.4
2019-12-29,Warangal Rural,Shayampet,0.0,14.0,30.4,54.9,71.8,0.0,8.2
2019-12-30,Warangal Rural,Shayampet,0.0,14.4,27.6,40.3,88.8,0.0,5.6
2019-12-31,Warangal Rural,Shayampet,0.0,18.3,29.7,43.6,94.6,0.0,9.4
