Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Rural,Wardhannapet,0.0,24.4,34.2,73.4,100.0,0.0,11.0
2019-09-12,Warangal Rural,Wardhannapet,2.1,23.9,33.7,72.4,100.0,0.0,13.0
2019-09-13,Warangal Rural,Wardhannapet,0.0,23.6,29.7,96.1,100.0,0.0,11.1
2019-09-14,Warangal Rural,Wardhannapet,0.4,24.2,31.6,93.0,100.0,0.0,7.9
2019-09-15,Warangal Rural,Wardhannapet,4.2,23.2,35.6,66.6,100.0,0.0,14.4
2019-09-16,Warangal Rural,Wardhannapet,5.2,24.4,32.1,92.0,100.0,0.0,12.3
2019-09-17,Warangal Rural,Wardhannapet,8.6,24.6,32.0,97.8,100.0,0.0,5.5
2019-09-18,Warangal Rural,Wardhannapet,14.1,22.6,33.5,95.8,100.0,0.0,13.3
2019-09-19,Warangal Rural,Wardhannapet,23.2,23.2,32.8,95.8,100.0,0.0,5.3
2019-09-20,Warangal Rural,Wardhannapet,6.5,24.0,34.1,89.9,100.0,0.0,5.9
2019-09-21,Warangal Rural,Wardhannapet,9.7,24.3,34.2,64.6,100.0,0.0,6.9
2019-09-22,Warangal Rural,Wardhannapet,9.0,24.0,34.2,78.2,100.0,2.2,6.5
2019-09-23,Warangal Rural,Wardhannapet,0.0,24.7,34.8,87.4,100.0,0.0,7.7
2019-09-24,Warangal Rural,Wardhannapet,0.0,24.5,34.2,76.3,100.0,0.0,5.8
2019-09-25,Warangal Rural,Wardhannapet,5.8,23.2,34.2,82.0,100.0,0.0,5.2
2019-09-26,Warangal Rural,Wardhannapet,6.6,23.6,32.5,95.8,100.0,4.3,9.8
2019-09-27,Warangal Rural,Wardhannapet,16.0,21.9,29.7,80.7,91.4,1.4,8.2
2019-09-28,Warangal Rural,Wardhannapet,0.0,23.6,32.6,88.9,100.0,0.0,6.9
2019-09-29,Warangal Rural,Wardhannapet,0.0,24.9,35.2,75.2,99.9,0.2,1.5
2019-09-30,Warangal Rural,Wardhannapet,0.0,24.7,35.5,73.8,99.9,0.0,5.3
2019-10-01,Warangal Rural,Wardhannapet,0.0,24.9,30.1,84.0,99.9,0.0,6.6
2019-10-02,Warangal Rural,Wardhannapet,12.9,22.1,35.2,66.3,99.9,1.9,6.3
2019-10-03,Warangal Rural,Wardhannapet,5.8,24.9,35.2,73.1,99.9,0.0,7.1
2019-10-04,Warangal Rural,Wardhannapet,0.0,23.1,35.7,72.8,99.9,0.0,15.7
2019-10-05,Warangal Rural,Wardhannapet,0.0,24.2,35.2,67.6,99.9,0.0,3.6
2019-10-06,Warangal Rural,Wardhannapet,0.0,23.4,35.6,64.0,99.9,3.0,7.7
2019-10-07,Warangal Rural,Wardhannapet,0.7,24.9,35.2,70.3,99.9,0.0,1.9
2019-10-08,Warangal Rural,Wardhannapet,0.0,24.9,35.2,69.2,99.9,0.4,5.9
2019-10-09,Warangal Rural,Wardhannapet,0.0,24.9,34.7,82.9,99.9,0.0,2.0
2019-10-10,Warangal Rural,Wardhannapet,7.5,24.9,35.2,76.5,99.9,0.0,3.0
2019-10-11,Warangal Rural,Wardhannapet,22.4,23.5,34.2,68.1,99.9,0.0,9.1
2019-10-12,Warangal Rural,Wardhannapet,79.7,22.4,35.3,76.4,99.9,0.0,4.8
2019-10-13,Warangal Rural,Wardhannapet,0.0,24.5,33.5,60.1,99.9,0.0,1.7
2019-10-14,Warangal Rural,Wardhannapet,0.0,24.8,35.9,71.4,99.9,0.0,7.8
2019-10-15,Warangal Rural,Wardhannapet,0.0,24.9,35.4,81.1,99.9,0.0,1.8
2019-10-16,Warangal Rural,Wardhannapet,6.3,23.6,34.7,72.7,99.9,0.0,1.9
2019-10-17,Warangal Rural,Wardhannapet,11.6,23.2,30.2,80.8,99.9,2.3,8.9
2019-10-18,Warangal Rural,Wardhannapet,6.3,24.9,35.1,68.7,99.9,2.3,8.9
2019-10-19,Warangal Rural,Wardhannapet,77.9,22.3,35.3,84.5,99.9,2.3,8.9
2019-10-20,Warangal Rural,Wardhannapet,1.0,24.9,32.7,76.5,99.9,2.3,8.9
2019-10-21,Warangal Rural,Wardhannapet,19.7,23.9,32.6,67.5,99.9,2.3,8.9
2019-10-22,Warangal Rural,Wardhannapet,0.0,24.9,32.6,69.5,99.9,0.0,3.6
2019-10-23,Warangal Rural,Wardhannapet,4.2,23.8,30.2,82.4,99.9,0.0,5.3
2019-10-24,Warangal Rural,Wardhannapet,1.8,23.5,32.6,76.6,99.9,0.0,5.4
2019-10-25,Warangal Rural,Wardhannapet,1.5,23.5,33.3,71.7,99.9,0.0,4.4
2019-10-26,Warangal Rural,Wardhannapet,1.2,24.9,35.2,73.8,99.9,0.0,3.8
2019-10-27,Warangal Rural,Wardhannapet,0.0,24.9,35.3,71.0,99.9,0.0,5.0
2019-10-28,Warangal Rural,Wardhannapet,0.0,23.7,32.7,73.7,99.9,0.0,3.4
2019-10-29,Warangal Rural,Wardhannapet,88.6,22.4,35.8,65.3,99.9,0.0,4.6
2019-10-30,Warangal Rural,Wardhannapet,0.0,24.9,32.6,82.0,99.9,0.0,3.2
2019-10-31,Warangal Rural,Wardhannapet,0.5,23.6,32.8,76.4,99.9,0.0,4.4
2019-11-01,Warangal Rural,Wardhannapet,0.0,23.7,33.2,77.6,99.9,0.0,2.4
2019-11-02,Warangal Rural,Wardhannapet,0.0,24.9,32.8,65.2,99.9,0.0,4.0
2019-11-03,Warangal Rural,Wardhannapet,1.6,22.2,35.6,66.8,99.9,0.0,10.4
2019-11-04,Warangal Rural,Wardhannapet,0.0,23.6,32.6,75.6,99.9,0.0,4.2
2019-11-05,Warangal Rural,Wardhannapet,0.0,22.4,35.3,62.9,99.9,0.0,4.9
2019-11-06,Warangal Rural,Wardhannapet,0.0,23.4,34.9,60.4,99.9,0.0,5.3
2019-11-07,Warangal Rural,Wardhannapet,0.0,22.4,34.7,61.4,99.9,0.0,4.1
2019-11-08,Warangal Rural,Wardhannapet,0.0,22.4,34.8,63.1,99.9,0.0,3.5
2019-11-09,Warangal Rural,Wardhannapet,0.0,21.2,33.3,70.6,99.9,0.0,4.8
2019-11-10,Warangal Rural,Wardhannapet,0.0,21.4,33.2,57.7,99.9,0.0,5.8
2019-11-11,Warangal Rural,Wardhannapet,0.0,22.2,33.3,60.4,99.9,0.0,5.7
2019-11-12,Warangal Rural,Wardhannapet,0.0,22.0,32.8,63.1,99.9,0.1,3.6
2019-11-13,Warangal Rural,Wardhannapet,0.0,19.6,32.6,52.8,99.9,0.0,3.3
2019-11-14,Warangal Rural,Wardhannapet,0.0,20.4,33.2,55.4,99.9,0.0,2.3
2019-11-15,Warangal Rural,Wardhannapet,0.0,21.0,33.2,56.2,99.9,0.0,3.4
2019-11-16,Warangal Rural,Wardhannapet,0.0,21.1,34.8,57.9,99.9,0.0,2.7
2019-11-17,Warangal Rural,Wardhannapet,0.0,21.8,32.6,57.9,99.9,0.0,3.4
2019-11-18,Warangal Rural,Wardhannapet,0.0,21.8,32.6,59.9,99.9,0.5,5.4
2019-11-19,Warangal Rural,Wardhannapet,0.0,21.7,34.8,55.0,99.9,0.0,5.3
2019-11-20,Warangal Rural,Wardhannapet,0.0,21.1,32.6,53.9,99.9,0.0,2.9
2019-11-21,Warangal Rural,Wardhannapet,0.0,21.5,33.3,62.9,99.9,0.0,2.8
2019-11-22,Warangal Rural,Wardhannapet,0.0,21.5,32.9,58.6,99.9,0.0,2.0
2019-11-23,Warangal Rural,Wardhannapet,0.0,21.8,34.7,50.4,99.9,0.0,3.7
2019-11-24,Warangal Rural,Wardhannapet,0.0,19.0,32.6,48.3,99.9,0.0,3.2
2019-11-25,Warangal Rural,Wardhannapet,0.0,21.8,30.6,57.2,99.9,0.0,2.3
2019-11-26,Warangal Rural,Wardhannapet,0.0,19.7,33.0,62.7,99.9,0.0,4.0
2019-11-27,Warangal Rural,Wardhannapet,0.0,20.0,33.3,51.2,99.9,0.0,3.0
2019-11-28,Warangal Rural,Wardhannapet,0.0,21.6,33.3,49.2,99.9,0.0,2.7
2019-11-29,Warangal Rural,Wardhannapet,0.0,21.0,33.1,55.7,99.9,0.0,3.4
2019-11-30,Warangal Rural,Wardhannapet,0.0,20.4,32.6,57.9,99.9,0.0,2.9
2019-12-01,Warangal Rural,Wardhannapet,0.0,22.4,33.2,62.8,99.9,0.0,2.5
2019-12-02,Warangal Rural,Wardhannapet,0.0,22.7,33.0,70.9,99.9,0.0,3.0
2019-12-03,Warangal Rural,Wardhannapet,36.8,22.4,27.5,82.2,99.9,0.0,4.8
2019-12-04,Warangal Rural,Wardhannapet,0.0,20.6,29.5,91.2,99.9,0.0,2.5
2019-12-05,Warangal Rural,Wardhannapet,0.0,17.8,29.7,59.6,100.0,0.0,2.7
2019-12-06,Warangal Rural,Wardhannapet,0.0,16.0,30.4,53.0,100.0,0.0,2.0
2019-12-07,Warangal Rural,Wardhannapet,0.0,15.6,29.2,65.0,100.0,0.0,2.9
2019-12-08,Warangal Rural,Wardhannapet,0.0,16.8,31.3,48.7,100.0,0.0,1.8
2019-12-09,Warangal Rural,Wardhannapet,0.0,17.8,30.7,57.1,100.0,0.0,1.6
2019-12-10,Warangal Rural,Wardhannapet,0.0,17.5,30.8,53.5,100.0,0.0,1.1
2019-12-11,Warangal Rural,Wardhannapet,0.0,16.6,31.6,44.1,100.0,0.0,1.3
2019-12-12,Warangal Rural,Wardhannapet,0.0,16.0,32.4,41.8,100.0,0.0,1.0
2019-12-13,Warangal Rural,Wardhannapet,0.0,17.9,30.9,45.3,100.0,0.0,2.1
2019-12-14,Warangal Rural,Wardhannapet,0.0,18.9,31.2,53.5,100.0,0.0,1.8
2019-12-15,Warangal Rural,Wardhannapet,0.0,17.6,32.1,55.0,100.0,0.0,1.1
2019-12-16,Warangal Rural,Wardhannapet,0.0,17.5,31.7,45.8,100.0,0.0,2.5
2019-12-17,Warangal Rural,Wardhannapet,0.0,16.7,31.0,45.8,100.0,0.0,1.6
2019-12-18,Warangal Rural,Wardhannapet,0.0,17.3,30.7,47.0,100.0,0.0,1.1
2019-12-19,Warangal Rural,Wardhannapet,0.0,16.3,29.6,57.1,100.0,0.0,1.1
2019-12-20,Warangal Rural,Wardhannapet,0.0,15.5,30.5,58.0,100.0,0.0,1.2
2019-12-21,Warangal Rural,Wardhannapet,0.0,16.3,30.7,43.0,100.0,0.0,0.8
2019-12-22,Warangal Rural,Wardhannapet,0.0,17.3,30.1,51.0,100.0,0.0,1.7
2019-12-23,Warangal Rural,Wardhannapet,0.0,15.9,31.1,41.8,100.0,0.0,1.4
2019-12-24,Warangal Rural,Wardhannapet,0.0,17.1,28.9,57.1,100.0,0.0,1.4
2019-12-25,Warangal Rural,Wardhannapet,0.0,18.3,30.9,43.6,100.0,0.0,1.7
2019-12-26,Warangal Rural,Wardhannapet,0.0,19.6,31.3,47.5,100.0,0.0,2.1
2019-12-27,Warangal Rural,Wardhannapet,0.0,19.7,29.4,64.5,100.0,0.0,2.1
2019-12-28,Warangal Rural,Wardhannapet,0.0,17.2,29.5,71.8,100.0,0.1,1.8
2019-12-29,Warangal Rural,Wardhannapet,0.0,14.4,28.4,55.6,93.4,0.1,1.6
2019-12-30,Warangal Rural,Wardhannapet,0.0,14.0,29.7,44.7,100.0,0.0,1.5
