Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Bheemadevarapalle,3.2,25.4,32.6,58.0,100.0,0.0,12.4
2019-09-12,Warangal Urban,Bheemadevarapalle,4.4,24.6,33.0,64.5,100.0,0.0,12.2
2019-09-13,Warangal Urban,Bheemadevarapalle,0.0,24.4,28.5,66.1,100.0,0.0,11.6
2019-09-14,Warangal Urban,Bheemadevarapalle,0.0,24.4,32.8,65.1,97.1,0.0,8.0
2019-09-15,Warangal Urban,Bheemadevarapalle,0.0,24.9,32.6,71.7,96.9,0.0,9.3
2019-09-16,Warangal Urban,Bheemadevarapalle,0.0,25.6,32.8,73.8,100.0,0.0,13.3
2019-09-17,Warangal Urban,Bheemadevarapalle,0.0,25.5,32.8,60.3,100.0,0.0,11.2
2019-09-18,Warangal Urban,Bheemadevarapalle,5.0,23.5,33.0,72.9,99.9,0.0,16.4
2019-09-19,Warangal Urban,Bheemadevarapalle,1.5,24.5,32.5,76.8,100.0,0.0,9.7
2019-09-20,Warangal Urban,Bheemadevarapalle,5.3,24.6,32.7,76.2,100.0,0.0,13.3
2019-09-21,Warangal Urban,Bheemadevarapalle,1.2,24.4,33.0,59.5,100.0,0.0,10.6
2019-09-22,Warangal Urban,Bheemadevarapalle,26.1,23.8,32.6,80.7,99.9,0.0,0.7
2019-09-23,Warangal Urban,Bheemadevarapalle,0.0,24.5,34.8,64.0,99.9,0.0,8.2
2019-09-24,Warangal Urban,Bheemadevarapalle,0.0,24.7,35.3,71.9,99.9,0.0,6.3
2019-09-25,Warangal Urban,Bheemadevarapalle,19.8,22.4,32.6,82.0,99.9,0.0,4.3
2019-09-26,Warangal Urban,Bheemadevarapalle,3.5,24.6,32.6,84.4,99.9,0.0,11.9
2019-09-27,Warangal Urban,Bheemadevarapalle,0.0,22.3,29.6,90.8,98.8,0.0,14.6
2019-09-28,Warangal Urban,Bheemadevarapalle,0.3,24.9,32.7,77.4,99.2,0.0,5.8
2019-09-29,Warangal Urban,Bheemadevarapalle,0.0,24.3,33.0,77.5,98.6,0.0,6.2
2019-09-30,Warangal Urban,Bheemadevarapalle,0.3,23.7,32.6,73.8,98.5,0.0,7.4
2019-10-01,Warangal Urban,Bheemadevarapalle,0.3,24.1,33.3,77.2,99.3,0.0,5.1
2019-10-02,Warangal Urban,Bheemadevarapalle,9.0,21.9,33.2,77.5,99.9,0.0,7.6
2019-10-03,Warangal Urban,Bheemadevarapalle,0.3,24.9,34.7,75.9,99.9,0.0,6.3
2019-10-04,Warangal Urban,Bheemadevarapalle,0.0,22.5,34.9,77.4,99.6,0.0,3.0
2019-10-05,Warangal Urban,Bheemadevarapalle,0.0,24.1,34.7,72.4,99.7,0.0,4.6
2019-10-06,Warangal Urban,Bheemadevarapalle,0.0,24.2,35.4,64.8,99.9,0.0,2.3
2019-10-07,Warangal Urban,Bheemadevarapalle,3.3,22.9,32.8,72.7,99.9,0.0,6.5
2019-10-08,Warangal Urban,Bheemadevarapalle,0.0,24.3,32.9,71.1,99.9,0.0,1.2
2019-10-09,Warangal Urban,Bheemadevarapalle,7.3,23.5,34.7,74.7,99.9,0.0,2.0
2019-10-10,Warangal Urban,Bheemadevarapalle,1.7,24.9,34.8,72.3,99.9,0.0,1.1
2019-10-11,Warangal Urban,Bheemadevarapalle,28.2,22.3,34.8,74.3,99.9,0.0,2.3
2019-10-12,Warangal Urban,Bheemadevarapalle,5.4,21.8,33.1,75.3,99.9,0.0,3.5
2019-10-13,Warangal Urban,Bheemadevarapalle,0.0,23.6,33.0,80.7,99.9,0.0,0.9
2019-10-14,Warangal Urban,Bheemadevarapalle,0.0,24.9,35.0,77.5,99.9,0.0,0.7
2019-10-15,Warangal Urban,Bheemadevarapalle,0.0,23.5,33.1,78.1,99.9,0.0,2.2
2019-10-16,Warangal Urban,Bheemadevarapalle,0.0,24.9,33.0,73.7,99.9,0.0,0.4
2019-10-17,Warangal Urban,Bheemadevarapalle,1.1,22.0,32.7,78.9,99.9,0.0,1.0
2019-10-18,Warangal Urban,Bheemadevarapalle,4.0,22.8,32.6,70.9,99.9,0.0,0.1
2019-10-19,Warangal Urban,Bheemadevarapalle,41.5,22.1,32.7,77.6,100.0,0.0,3.3
2019-10-20,Warangal Urban,Bheemadevarapalle,13.4,23.2,32.6,77.5,99.9,0.0,8.4
2019-10-21,Warangal Urban,Bheemadevarapalle,40.6,22.7,32.5,84.3,100.0,0.0,5.4
2019-10-22,Warangal Urban,Bheemadevarapalle,0.0,22.7,30.1,82.2,100.0,0.0,3.0
2019-10-23,Warangal Urban,Bheemadevarapalle,1.3,24.3,32.6,78.1,100.0,0.0,0.8
2019-10-24,Warangal Urban,Bheemadevarapalle,0.0,22.5,30.2,84.8,100.0,0.0,0.7
2019-10-25,Warangal Urban,Bheemadevarapalle,24.9,22.7,33.1,77.5,100.0,0.0,1.6
2019-10-26,Warangal Urban,Bheemadevarapalle,12.6,24.9,33.3,74.4,99.9,0.0,8.3
2019-10-27,Warangal Urban,Bheemadevarapalle,0.0,24.8,33.3,73.9,100.0,0.0,0.3
2019-10-28,Warangal Urban,Bheemadevarapalle,0.0,23.7,32.9,67.1,100.0,0.0,7.9
2019-10-29,Warangal Urban,Bheemadevarapalle,19.4,22.4,33.0,64.4,100.0,0.0,1.7
2019-10-30,Warangal Urban,Bheemadevarapalle,0.4,24.5,33.0,70.6,100.0,0.0,9.0
2019-10-31,Warangal Urban,Bheemadevarapalle,10.5,22.7,33.1,77.5,100.0,0.0,7.1
2019-11-01,Warangal Urban,Bheemadevarapalle,0.0,24.9,30.7,90.8,99.9,0.0,5.8
2019-11-02,Warangal Urban,Bheemadevarapalle,0.0,22.9,32.9,64.2,100.0,0.0,7.1
2019-11-03,Warangal Urban,Bheemadevarapalle,0.5,22.0,32.6,64.9,100.0,0.0,1.7
2019-11-04,Warangal Urban,Bheemadevarapalle,0.0,21.6,33.3,52.1,100.0,0.0,3.9
2019-11-05,Warangal Urban,Bheemadevarapalle,0.0,22.4,33.2,59.3,100.0,0.0,4.6
2019-11-06,Warangal Urban,Bheemadevarapalle,0.0,22.2,32.6,60.3,100.0,0.0,2.8
2019-11-07,Warangal Urban,Bheemadevarapalle,0.0,22.2,34.8,55.3,100.0,0.0,2.9
2019-11-08,Warangal Urban,Bheemadevarapalle,0.0,21.6,33.3,56.0,100.0,0.0,3.7
2019-11-09,Warangal Urban,Bheemadevarapalle,0.0,22.4,33.3,54.4,100.0,0.0,7.5
2019-11-10,Warangal Urban,Bheemadevarapalle,0.0,18.9,33.3,50.3,83.7,0.0,9.5
2019-11-11,Warangal Urban,Bheemadevarapalle,0.0,20.8,31.4,48.5,100.0,0.0,9.6
2019-11-12,Warangal Urban,Bheemadevarapalle,0.0,19.5,31.3,49.4,100.0,0.0,4.4
2019-11-13,Warangal Urban,Bheemadevarapalle,0.0,19.6,32.9,47.2,100.0,0.0,6.9
2019-11-14,Warangal Urban,Bheemadevarapalle,0.0,19.2,33.0,44.8,100.0,0.0,4.6
2019-11-15,Warangal Urban,Bheemadevarapalle,0.0,19.3,30.9,45.4,100.0,0.0,2.7
2019-11-16,Warangal Urban,Bheemadevarapalle,0.0,19.2,32.8,45.1,100.0,-1.0,-1.0
2019-11-17,Warangal Urban,Bheemadevarapalle,0.0,20.4,32.6,46.8,100.0,-1.0,-1.0
2019-11-18,Warangal Urban,Bheemadevarapalle,0.0,21.3,32.7,42.1,95.5,0.0,7.3
2019-11-19,Warangal Urban,Bheemadevarapalle,0.0,19.9,32.9,45.2,100.0,0.0,4.6
2019-11-20,Warangal Urban,Bheemadevarapalle,0.0,19.1,32.6,44.8,100.0,0.0,4.4
2019-11-21,Warangal Urban,Bheemadevarapalle,0.0,20.2,32.8,47.2,100.0,0.0,7.3
2019-11-22,Warangal Urban,Bheemadevarapalle,0.0,19.2,32.9,43.5,100.0,0.0,7.9
2019-11-23,Warangal Urban,Bheemadevarapalle,0.0,16.2,33.0,42.2,99.9,0.0,0.8
2019-11-24,Warangal Urban,Bheemadevarapalle,0.0,17.3,32.4,46.5,98.7,0.0,5.8
2019-11-25,Warangal Urban,Bheemadevarapalle,0.0,20.2,30.1,54.0,98.2,0.0,6.1
