Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Dharmasagar,0.0,26.1,34.4,57.5,91.3,0.0,12.1
2019-09-12,Warangal Urban,Dharmasagar,4.5,24.05,33.95,56.15,94.95,0.0,14.0
2019-09-13,Warangal Urban,Dharmasagar,0.0,24.55,29.4,70.85,94.2,0.0,10.9
2019-09-14,Warangal Urban,Dharmasagar,0.0,24.25,33.2,61.6,95.4,0.0,8.4
2019-09-15,Warangal Urban,Dharmasagar,18.5,23.95,35.2,56.45,96.6,0.0,12.0
2019-09-16,Warangal Urban,Dharmasagar,3.3,24.4,32.7,61.6,96.1,0.0,6.8
2019-09-17,Warangal Urban,Dharmasagar,0.0,25.3,32.35,65.85,95.4,0.0,7.9
2019-09-18,Warangal Urban,Dharmasagar,28.5,22.6,33.3,71.2,96.6,0.0,9.1
2019-09-19,Warangal Urban,Dharmasagar,2.6,24.3,31.7,69.4,96.6,0.0,6.3
2019-09-20,Warangal Urban,Dharmasagar,2.3,24.3,34.5,57.7,96.4,0.0,10.2
2019-09-21,Warangal Urban,Dharmasagar,6.5,24.3,33.5,58.5,96.4,0.0,8.1
2019-09-22,Warangal Urban,Dharmasagar,2.8,24.0,34.6,70.2,96.6,0.0,7.8
2019-09-23,Warangal Urban,Dharmasagar,2.6,24.8,33.1,63.2,96.4,0.0,8.0
2019-09-24,Warangal Urban,Dharmasagar,0.0,24.4,34.4,67.1,95.6,0.0,7.7
2019-09-25,Warangal Urban,Dharmasagar,18.5,22.9,34.0,77.95,98.8,0.0,7.5
2019-09-26,Warangal Urban,Dharmasagar,0.7,24.7,31.4,86.4,98.15,1.8,12.0
2019-09-27,Warangal Urban,Dharmasagar,3.9,23.2,28.4,87.05,98.15,0.0,13.0
2019-09-28,Warangal Urban,Dharmasagar,7.7,24.75,32.15,69.5,97.65,0.0,10.1
2019-09-29,Warangal Urban,Dharmasagar,0.0,24.8,32.8,75.9,98.0,0.0,13.1
2019-09-30,Warangal Urban,Dharmasagar,0.8,24.6,34.65,72.5,97.85,0.0,11.3
2019-10-01,Warangal Urban,Dharmasagar,0.0,24.7,32.35,83.15,98.15,0.0,5.8
