Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Hanamkonda,0.4,27.0,35.8,72.9,99.9,0.0,4.5
2019-09-12,Warangal Urban,Hanamkonda,3.2,24.9,35.4,66.6,99.9,0.0,3.5
2019-09-13,Warangal Urban,Hanamkonda,0.0,24.9,30.5,83.7,99.9,0.0,4.2
2019-09-14,Warangal Urban,Hanamkonda,0.0,27.5,35.6,81.3,99.9,0.0,4.2
2019-09-15,Warangal Urban,Hanamkonda,6.8,24.9,35.4,70.9,99.9,0.0,3.8
2019-09-16,Warangal Urban,Hanamkonda,0.0,27.5,33.2,77.5,99.9,0.0,1.9
2019-09-17,Warangal Urban,Hanamkonda,0.0,25.9,35.2,77.5,99.9,0.0,3.3
2019-09-18,Warangal Urban,Hanamkonda,8.9,24.9,35.2,77.8,99.9,0.0,7.5
2019-09-19,Warangal Urban,Hanamkonda,39.7,24.9,33.1,80.4,99.9,0.0,3.6
2019-09-20,Warangal Urban,Hanamkonda,8.8,24.9,35.2,87.4,99.9,0.0,5.9
2019-09-21,Warangal Urban,Hanamkonda,20.4,24.9,35.2,73.1,100.0,0.0,2.2
2019-09-22,Warangal Urban,Hanamkonda,9.4,24.9,35.2,80.6,99.9,0.0,5.0
2019-09-23,Warangal Urban,Hanamkonda,29.7,24.8,35.9,88.7,100.0,0.0,4.6
2019-09-24,Warangal Urban,Hanamkonda,3.5,24.9,35.2,85.7,99.9,0.0,4.7
2019-09-25,Warangal Urban,Hanamkonda,11.2,24.6,34.7,77.0,100.0,0.0,3.8
2019-09-26,Warangal Urban,Hanamkonda,7.8,24.6,32.6,89.2,99.9,0.2,5.5
2019-09-27,Warangal Urban,Hanamkonda,2.3,24.4,30.5,96.7,100.0,0.0,7.2
2019-09-28,Warangal Urban,Hanamkonda,0.0,23.7,33.3,87.0,100.0,0.0,4.3
2019-09-29,Warangal Urban,Hanamkonda,0.0,24.9,35.5,78.1,99.9,0.0,6.4
2019-09-30,Warangal Urban,Hanamkonda,0.0,24.8,35.9,71.1,99.9,0.0,5.6
2019-10-01,Warangal Urban,Hanamkonda,0.0,24.9,34.9,77.1,99.9,0.0,3.9
2019-10-02,Warangal Urban,Hanamkonda,9.7,21.5,35.2,71.9,99.9,0.0,4.1
2019-10-03,Warangal Urban,Hanamkonda,0.0,24.9,35.2,78.3,100.0,0.0,4.6
2019-10-04,Warangal Urban,Hanamkonda,2.6,24.9,35.2,71.9,100.0,0.0,3.4
2019-10-05,Warangal Urban,Hanamkonda,0.0,24.9,35.2,65.4,99.9,0.0,1.5
2019-10-06,Warangal Urban,Hanamkonda,0.0,24.5,35.4,64.0,100.0,0.0,2.2
2019-10-07,Warangal Urban,Hanamkonda,10.1,24.9,35.2,67.9,99.9,0.0,3.5
2019-10-08,Warangal Urban,Hanamkonda,0.0,24.9,35.2,72.4,99.9,0.0,0.1
2019-10-09,Warangal Urban,Hanamkonda,0.0,24.9,35.5,76.2,99.9,0.0,2.4
2019-10-10,Warangal Urban,Hanamkonda,0.0,24.4,35.2,74.0,99.9,0.0,1.6
2019-10-11,Warangal Urban,Hanamkonda,0.9,24.9,35.2,71.9,99.9,0.0,2.2
2019-10-12,Warangal Urban,Hanamkonda,32.1,23.8,35.0,64.3,100.0,0.0,1.8
2019-10-13,Warangal Urban,Hanamkonda,0.0,24.9,35.2,73.6,99.9,0.0,4.0
2019-10-14,Warangal Urban,Hanamkonda,0.3,24.9,35.7,71.9,99.9,0.0,1.4
2019-10-15,Warangal Urban,Hanamkonda,0.0,24.9,35.9,79.9,99.9,0.0,0.6
2019-10-16,Warangal Urban,Hanamkonda,2.5,24.9,35.2,78.2,100.0,0.0,1.5
2019-10-17,Warangal Urban,Hanamkonda,0.5,24.5,30.5,89.6,99.9,0.0,3.2
2019-10-18,Warangal Urban,Hanamkonda,31.0,24.4,35.2,64.0,99.9,0.0,11.6
2019-10-19,Warangal Urban,Hanamkonda,60.9,22.4,35.4,67.3,100.0,0.0,3.9
2019-10-20,Warangal Urban,Hanamkonda,24.0,22.9,35.6,86.2,100.0,0.0,3.0
2019-10-21,Warangal Urban,Hanamkonda,5.7,24.9,35.2,74.8,99.9,0.0,1.7
2019-10-22,Warangal Urban,Hanamkonda,0.0,24.9,35.2,73.5,100.0,0.0,2.0
2019-10-23,Warangal Urban,Hanamkonda,0.0,24.9,34.8,93.5,99.9,0.0,1.3
2019-10-24,Warangal Urban,Hanamkonda,10.7,22.6,35.2,78.7,99.9,0.0,3.1
2019-10-25,Warangal Urban,Hanamkonda,81.9,24.8,35.2,87.4,99.9,0.0,2.8
2019-10-26,Warangal Urban,Hanamkonda,7.5,24.9,35.6,86.6,100.0,0.0,4.1
2019-10-27,Warangal Urban,Hanamkonda,0.0,24.9,35.2,73.4,99.9,0.0,5.3
2019-10-28,Warangal Urban,Hanamkonda,0.0,24.9,35.2,71.4,99.9,0.0,2.4
2019-10-29,Warangal Urban,Hanamkonda,0.4,24.9,35.2,66.1,99.9,0.0,2.2
2019-10-30,Warangal Urban,Hanamkonda,0.0,24.3,35.2,85.1,99.9,0.0,4.0
2019-10-31,Warangal Urban,Hanamkonda,28.0,24.6,32.4,86.3,100.0,0.0,3.4
2019-11-01,Warangal Urban,Hanamkonda,1.8,24.9,31.3,89.7,99.9,0.0,0.9
2019-11-02,Warangal Urban,Hanamkonda,0.0,24.9,35.2,59.6,99.9,0.0,1.9
2019-11-03,Warangal Urban,Hanamkonda,39.2,22.4,35.2,68.5,99.9,0.0,3.0
2019-11-04,Warangal Urban,Hanamkonda,0.0,22.4,35.2,78.1,99.9,0.0,1.9
2019-11-05,Warangal Urban,Hanamkonda,0.0,22.4,35.2,62.0,99.9,0.0,2.5
2019-11-06,Warangal Urban,Hanamkonda,0.0,24.6,35.2,71.4,99.9,0.0,1.6
2019-11-07,Warangal Urban,Hanamkonda,0.0,22.4,33.3,71.4,99.9,0.0,1.5
2019-11-08,Warangal Urban,Hanamkonda,0.0,22.4,33.4,56.5,99.9,0.0,2.2
2019-11-09,Warangal Urban,Hanamkonda,0.0,22.3,35.4,62.1,99.9,0.0,1.4
2019-11-10,Warangal Urban,Hanamkonda,0.0,20.5,32.6,53.3,99.9,0.0,2.3
2019-11-11,Warangal Urban,Hanamkonda,0.0,22.4,32.2,55.7,99.9,0.0,2.0
2019-11-12,Warangal Urban,Hanamkonda,0.0,22.4,33.6,55.6,99.9,0.0,2.3
2019-11-13,Warangal Urban,Hanamkonda,0.0,21.8,32.3,44.2,99.9,0.0,2.7
2019-11-14,Warangal Urban,Hanamkonda,0.0,19.9,32.1,53.2,99.9,0.0,2.2
2019-11-15,Warangal Urban,Hanamkonda,0.0,22.1,31.9,55.7,99.9,0.0,1.7
2019-11-16,Warangal Urban,Hanamkonda,0.0,21.5,35.2,57.2,99.9,0.0,2.2
2019-11-17,Warangal Urban,Hanamkonda,0.0,22.0,33.1,48.3,99.9,0.0,1.7
2019-11-18,Warangal Urban,Hanamkonda,0.0,20.2,32.0,58.0,99.9,0.0,3.7
2019-11-19,Warangal Urban,Hanamkonda,0.0,22.4,32.2,51.0,99.9,0.0,2.3
2019-11-20,Warangal Urban,Hanamkonda,0.0,22.4,33.1,54.9,99.9,0.0,2.0
2019-11-21,Warangal Urban,Hanamkonda,0.0,22.4,32.1,59.3,99.9,0.0,3.6
2019-11-22,Warangal Urban,Hanamkonda,0.0,22.4,33.2,63.1,99.9,0.0,2.2
2019-11-23,Warangal Urban,Hanamkonda,0.0,21.8,31.9,54.4,99.9,0.0,4.6
2019-11-24,Warangal Urban,Hanamkonda,0.0,21.8,33.0,47.2,99.9,0.0,2.1
