Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Inole,0.0,24.6,32.55,63.65,90.9,0.0,2.6
2019-09-12,Warangal Urban,Inole,4.2,23.75,32.8,60.8,93.2,0.0,2.9
2019-09-13,Warangal Urban,Inole,0.0,24.1,27.75,74.7,94.6,0.0,2.4
2019-09-14,Warangal Urban,Inole,0.0,24.6,33.0,70.8,97.2,0.0,2.8
2019-09-15,Warangal Urban,Inole,30.9,23.35,33.75,60.75,99.35,0.0,2.3
2019-09-16,Warangal Urban,Inole,10.4,24.05,32.25,72.8,97.65,0.0,2.7
2019-09-17,Warangal Urban,Inole,0.0,25.1,31.45,71.2,99.7,0.0,6.5
2019-09-18,Warangal Urban,Inole,49.8,22.8,32.1,71.7,100.0,0.0,1.9
2019-09-19,Warangal Urban,Inole,4.9,22.4,31.5,73.7,100.0,0.0,0.9
2019-09-20,Warangal Urban,Inole,5.1,24.3,32.3,71.9,99.2,0.0,0.9
2019-09-21,Warangal Urban,Inole,9.0,24.3,33.1,62.0,99.3,0.0,3.7
2019-09-22,Warangal Urban,Inole,1.9,24.1,33.4,62.9,99.5,0.0,1.2
2019-09-23,Warangal Urban,Inole,0.0,24.9,32.9,70.3,96.3,0.0,1.1
2019-09-24,Warangal Urban,Inole,0.0,24.4,33.4,65.3,96.3,0.0,0.8
2019-09-25,Warangal Urban,Inole,4.0,22.75,30.95,73.4,99.2,0.0,0.8
2019-09-26,Warangal Urban,Inole,4.8,23.8,30.55,78.1,97.3,0.7,2.8
2019-09-27,Warangal Urban,Inole,6.8,22.2,28.4,81.0,95.8,0.4,8.1
2019-09-28,Warangal Urban,Inole,0.0,23.75,31.35,71.7,96.8,0.1,1.6
2019-09-29,Warangal Urban,Inole,0.0,23.1,31.95,71.55,95.35,0.0,1.7
2019-09-30,Warangal Urban,Inole,0.0,23.85,32.95,69.9,96.8,0.0,1.9
2019-10-01,Warangal Urban,Inole,0.0,23.65,29.2,77.3,99.1,0.0,1.8
2019-10-02,Warangal Urban,Inole,16.4,21.4,33.9,67.0,97.0,0.0,1.4
2019-10-03,Warangal Urban,Inole,2.2,23.7,31.7,69.5,99.4,0.0,0.7
2019-10-04,Warangal Urban,Inole,0.0,22.5,32.3,62.5,96.2,0.0,3.4
2019-10-05,Warangal Urban,Inole,0.0,23.2,32.8,64.1,95.7,0.0,1.3
2019-10-06,Warangal Urban,Inole,5.2,23.1,33.7,62.7,100.0,0.0,1.4
2019-10-07,Warangal Urban,Inole,1.2,22.8,33.5,67.4,100.0,0.0,2.3
2019-10-08,Warangal Urban,Inole,0.0,23.8,33.3,62.7,99.6,0.0,1.2
2019-10-09,Warangal Urban,Inole,0.0,23.5,32.0,70.8,100.0,0.0,1.0
2019-10-10,Warangal Urban,Inole,0.0,23.7,32.8,68.2,99.4,0.0,1.0
2019-10-11,Warangal Urban,Inole,34.3,23.2,33.1,68.0,100.0,0.0,8.2
2019-10-12,Warangal Urban,Inole,39.5,21.5,31.9,65.7,100.0,0.0,11.3
2019-10-13,Warangal Urban,Inole,0.0,23.6,33.8,60.5,99.4,0.0,5.4
2019-10-14,Warangal Urban,Inole,1.3,24.3,32.9,67.8,99.4,0.0,9.3
2019-10-15,Warangal Urban,Inole,2.4,23.9,32.2,75.0,99.5,0.0,10.8
2019-10-16,Warangal Urban,Inole,0.4,23.8,32.3,67.8,97.8,0.0,8.4
2019-10-17,Warangal Urban,Inole,0.0,23.2,28.9,74.1,99.7,0.0,7.2
2019-10-18,Warangal Urban,Inole,3.6,23.2,33.0,66.1,99.4,0.0,12.1
2019-10-19,Warangal Urban,Inole,77.6,22.0,32.7,67.3,99.7,0.0,9.3
2019-10-20,Warangal Urban,Inole,0.8,22.9,30.8,74.5,99.4,0.0,12.0
2019-10-21,Warangal Urban,Inole,10.2,23.2,32.3,70.2,99.5,0.0,11.7
2019-10-22,Warangal Urban,Inole,0.0,23.8,31.7,71.1,99.2,0.0,6.8
2019-10-23,Warangal Urban,Inole,0.0,23.1,29.9,78.2,98.9,0.0,5.5
