Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Kamalapur,0.0,25.55,33.4,72.15,98.75,2.3,13.4
2019-09-12,Warangal Urban,Kamalapur,1.3,24.55,32.5,67.3,99.6,1.8,17.9
2019-09-13,Warangal Urban,Kamalapur,0.2,24.45,28.35,88.85,99.9,0.0,13.6
2019-09-14,Warangal Urban,Kamalapur,0.0,24.55,32.05,83.35,99.15,0.0,15.8
2019-09-15,Warangal Urban,Kamalapur,7.8,24.15,33.85,64.05,100.0,0.0,16.2
2019-09-16,Warangal Urban,Kamalapur,0.0,26.1,32.3,82.3,99.45,0.0,16.9
2019-09-17,Warangal Urban,Kamalapur,0.0,25.55,32.1,84.75,99.65,0.0,18.1
2019-09-18,Warangal Urban,Kamalapur,0.0,22.9,33.6,81.5,100.0,0.0,22.6
2019-09-19,Warangal Urban,Kamalapur,3.2,24.0,31.9,86.7,100.0,0.0,11.2
2019-09-20,Warangal Urban,Kamalapur,16.7,24.1,35.6,62.9,100.0,0.0,12.7
2019-09-21,Warangal Urban,Kamalapur,39.2,24.5,34.8,67.6,100.0,0.0,10.5
2019-09-22,Warangal Urban,Kamalapur,0.9,24.2,33.8,71.0,100.0,0.0,10.5
2019-09-23,Warangal Urban,Kamalapur,0.0,25.6,35.6,59.5,100.0,0.0,9.0
2019-09-24,Warangal Urban,Kamalapur,0.0,24.5,34.7,62.4,100.0,0.0,8.2
2019-09-25,Warangal Urban,Kamalapur,11.0,22.95,32.05,81.8,100.0,0.0,10.7
2019-09-26,Warangal Urban,Kamalapur,7.6,24.85,31.45,87.65,100.0,0.0,13.4
2019-09-27,Warangal Urban,Kamalapur,1.6,23.4,29.5,86.85,100.0,0.0,17.5
2019-09-28,Warangal Urban,Kamalapur,0.0,23.7,32.3,76.35,100.0,0.0,14.2
2019-09-29,Warangal Urban,Kamalapur,0.0,24.4,32.35,78.0,100.0,0.0,15.5
2019-09-30,Warangal Urban,Kamalapur,0.4,23.0,34.6,67.8,100.0,0.0,25.0
2019-10-01,Warangal Urban,Kamalapur,2.2,23.25,32.45,79.4,100.0,0.0,8.8
2019-10-02,Warangal Urban,Kamalapur,10.1,22.0,35.0,65.1,99.6,0.0,27.3
2019-10-03,Warangal Urban,Kamalapur,0.0,24.4,33.9,69.2,100.0,0.0,9.6
2019-10-04,Warangal Urban,Kamalapur,0.0,23.6,35.2,58.8,100.0,0.0,9.9
2019-10-05,Warangal Urban,Kamalapur,0.0,23.5,34.7,58.1,100.0,0.0,8.3
2019-10-06,Warangal Urban,Kamalapur,0.0,23.8,35.3,61.0,100.0,0.0,7.9
2019-10-07,Warangal Urban,Kamalapur,0.0,23.5,35.1,63.9,100.0,0.0,16.5
2019-10-08,Warangal Urban,Kamalapur,0.0,24.1,34.4,58.5,100.0,0.0,6.3
2019-10-09,Warangal Urban,Kamalapur,0.0,24.1,34.1,65.7,100.0,0.0,6.6
2019-10-10,Warangal Urban,Kamalapur,0.0,24.0,34.2,55.6,99.7,0.0,9.8
2019-10-11,Warangal Urban,Kamalapur,6.5,22.8,33.2,72.4,100.0,0.0,7.0
2019-10-12,Warangal Urban,Kamalapur,3.1,22.7,34.7,61.8,100.0,0.0,11.0
2019-10-13,Warangal Urban,Kamalapur,0.0,23.6,34.2,60.1,100.0,0.0,6.5
2019-10-14,Warangal Urban,Kamalapur,0.0,24.5,33.9,63.8,100.0,0.0,8.5
2019-10-15,Warangal Urban,Kamalapur,0.0,23.4,33.6,76.2,100.0,0.0,5.8
2019-10-16,Warangal Urban,Kamalapur,0.0,23.7,33.9,60.5,100.0,0.0,9.7
2019-10-17,Warangal Urban,Kamalapur,8.0,22.7,32.7,76.4,100.0,0.0,6.3
2019-10-18,Warangal Urban,Kamalapur,39.9,23.1,34.8,57.7,100.0,0.0,15.0
2019-10-19,Warangal Urban,Kamalapur,32.5,22.2,34.1,58.0,99.5,0.0,5.3
2019-10-20,Warangal Urban,Kamalapur,24.6,22.2,33.2,63.8,99.8,0.0,10.0
2019-10-21,Warangal Urban,Kamalapur,40.1,23.4,33.5,69.1,94.0,0.0,5.9
2019-10-22,Warangal Urban,Kamalapur,0.0,23.2,32.6,72.4,93.9,0.0,8.6
2019-10-23,Warangal Urban,Kamalapur,0.0,24.1,33.1,79.8,92.8,0.0,5.9
