Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Khilla_Warangal,0.0,24.8,35.3,71.0,93.1,0.0,6.5
2019-09-12,Warangal Urban,Khilla_Warangal,2.8,24.9,35.4,64.0,96.9,0.0,5.4
2019-09-13,Warangal Urban,Khilla_Warangal,0.0,24.7,29.9,83.8,97.2,0.0,5.3
2019-09-14,Warangal Urban,Khilla_Warangal,0.0,26.2,33.4,66.7,97.8,0.0,3.4
2019-09-15,Warangal Urban,Khilla_Warangal,17.8,24.9,35.6,63.2,98.7,0.0,4.2
2019-09-16,Warangal Urban,Khilla_Warangal,0.0,25.1,32.9,73.1,99.0,0.0,4.0
2019-09-17,Warangal Urban,Khilla_Warangal,0.0,25.9,35.2,71.4,97.6,0.0,3.6
2019-09-18,Warangal Urban,Khilla_Warangal,9.8,23.9,35.0,77.2,100.0,0.0,7.0
2019-09-19,Warangal Urban,Khilla_Warangal,12.8,24.9,33.0,73.8,99.6,0.0,5.4
2019-09-20,Warangal Urban,Khilla_Warangal,7.5,24.6,32.8,72.7,100.0,0.0,4.4
2019-09-21,Warangal Urban,Khilla_Warangal,0.8,24.8,35.3,64.4,100.0,0.0,5.6
2019-09-22,Warangal Urban,Khilla_Warangal,0.8,24.9,35.2,66.1,98.5,0.0,4.4
2019-09-23,Warangal Urban,Khilla_Warangal,0.0,24.4,35.1,73.1,100.0,0.0,8.2
2019-09-24,Warangal Urban,Khilla_Warangal,0.0,24.4,32.7,73.3,100.0,0.0,4.7
2019-09-25,Warangal Urban,Khilla_Warangal,6.5,24.0,32.4,77.0,100.0,0.0,3.9
2019-09-26,Warangal Urban,Khilla_Warangal,9.0,24.5,33.0,77.5,100.0,0.5,5.5
2019-09-27,Warangal Urban,Khilla_Warangal,5.3,24.4,30.1,79.9,100.0,0.0,5.9
2019-09-28,Warangal Urban,Khilla_Warangal,0.0,23.7,32.8,74.1,100.0,0.0,3.4
2019-09-29,Warangal Urban,Khilla_Warangal,0.0,24.9,34.7,72.8,99.7,0.0,6.3
2019-09-30,Warangal Urban,Khilla_Warangal,0.0,24.8,35.9,71.0,99.7,0.0,4.6
2019-10-01,Warangal Urban,Khilla_Warangal,0.0,24.6,33.0,77.1,98.4,0.0,5.9
