Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-09-11,Warangal Urban,Velair,0.0,24.9,32.2,86.9,100.0,0.0,7.1
2019-09-12,Warangal Urban,Velair,11.8,23.3,31.8,84.7,100.0,0.0,12.3
2019-09-13,Warangal Urban,Velair,0.5,23.9,27.7,97.6,100.0,0.0,11.1
2019-09-14,Warangal Urban,Velair,0.0,23.3,31.7,88.6,100.0,0.0,6.2
2019-09-15,Warangal Urban,Velair,6.3,23.1,32.7,86.9,100.0,0.0,12.7
2019-09-16,Warangal Urban,Velair,1.0,24.8,31.5,90.8,100.0,0.0,9.0
2019-09-17,Warangal Urban,Velair,0.0,24.5,31.8,90.3,100.0,0.0,10.2
2019-09-18,Warangal Urban,Velair,45.0,22.5,33.3,87.3,100.0,0.0,15.3
2019-09-19,Warangal Urban,Velair,0.8,23.6,31.1,94.7,100.0,0.0,6.4
2019-09-20,Warangal Urban,Velair,12.5,23.0,31.2,93.5,100.0,0.0,10.5
2019-09-21,Warangal Urban,Velair,51.8,23.8,31.9,91.2,100.0,0.0,4.9
2019-09-22,Warangal Urban,Velair,5.3,23.1,35.8,72.0,100.0,0.0,9.0
2019-09-23,Warangal Urban,Velair,0.0,24.4,34.5,75.4,100.0,0.0,7.0
2019-09-24,Warangal Urban,Velair,0.0,23.7,33.3,87.3,100.0,0.0,8.4
2019-09-25,Warangal Urban,Velair,21.3,22.2,31.7,92.1,100.0,0.0,6.0
2019-09-26,Warangal Urban,Velair,3.0,23.9,30.3,96.6,100.0,0.0,10.8
2019-09-27,Warangal Urban,Velair,1.3,22.2,26.4,92.4,96.1,0.0,12.2
2019-09-28,Warangal Urban,Velair,0.0,22.5,29.6,97.1,100.0,0.0,10.5
2019-09-29,Warangal Urban,Velair,0.0,23.6,30.3,95.7,100.0,0.0,9.2
2019-09-30,Warangal Urban,Velair,0.0,23.2,31.7,94.7,100.0,0.0,13.0
2019-10-01,Warangal Urban,Velair,0.0,23.0,29.0,98.0,100.0,0.0,6.5
2019-10-02,Warangal Urban,Velair,5.8,21.5,32.8,90.8,100.0,0.0,6.1
2019-10-03,Warangal Urban,Velair,0.0,23.3,32.9,86.4,100.0,0.0,4.4
2019-10-04,Warangal Urban,Velair,0.0,21.9,32.9,89.9,100.0,0.0,1.7
2019-10-05,Warangal Urban,Velair,0.0,22.2,33.3,85.5,100.0,0.0,0.8
2019-10-06,Warangal Urban,Velair,0.0,22.5,33.4,71.8,100.0,0.0,2.5
2019-10-07,Warangal Urban,Velair,22.8,22.0,33.7,72.2,100.0,0.0,7.5
2019-10-08,Warangal Urban,Velair,0.0,23.0,33.3,75.2,100.0,0.0,1.0
2019-10-09,Warangal Urban,Velair,4.0,22.2,33.1,76.9,100.0,0.0,4.8
2019-10-10,Warangal Urban,Velair,0.0,23.1,33.0,73.5,100.0,0.0,3.8
2019-10-11,Warangal Urban,Velair,40.3,21.9,32.7,87.7,100.0,0.0,4.0
2019-10-12,Warangal Urban,Velair,53.3,21.2,32.8,85.5,100.0,0.0,3.5
2019-10-13,Warangal Urban,Velair,0.0,22.0,31.8,87.7,100.0,0.0,4.5
2019-10-14,Warangal Urban,Velair,0.0,23.1,32.2,86.0,100.0,0.0,4.0
2019-10-15,Warangal Urban,Velair,0.0,22.3,30.9,92.2,100.0,0.0,4.9
2019-10-16,Warangal Urban,Velair,0.0,23.3,32.4,86.9,100.0,0.0,3.6
2019-10-17,Warangal Urban,Velair,0.0,21.7,30.6,94.3,100.0,0.5,4.7
2019-10-18,Warangal Urban,Velair,6.0,22.6,31.3,82.5,100.0,0.0,0.9
2019-10-19,Warangal Urban,Velair,50.0,21.4,30.9,86.6,100.0,0.0,11.4
2019-10-20,Warangal Urban,Velair,0.5,22.3,30.4,93.0,100.0,0.0,0.9
2019-10-21,Warangal Urban,Velair,28.5,22.0,30.5,92.2,100.0,0.0,1.8
2019-10-22,Warangal Urban,Velair,0.0,22.5,31.4,89.0,100.0,0.0,5.5
2019-10-23,Warangal Urban,Velair,5.0,22.1,30.9,91.3,100.0,0.0,4.0
2019-10-24,Warangal Urban,Velair,0.0,21.7,31.1,92.6,100.0,0.0,4.2
2019-10-25,Warangal Urban,Velair,43.0,22.1,31.6,87.3,100.0,0.0,1.6
2019-10-26,Warangal Urban,Velair,2.0,23.3,31.2,74.0,100.0,0.0,5.4
2019-10-27,Warangal Urban,Velair,0.0,23.1,30.6,90.0,100.0,0.0,4.7
2019-10-28,Warangal Urban,Velair,0.0,22.5,30.9,89.1,100.0,0.0,6.9
2019-10-29,Warangal Urban,Velair,10.0,22.0,32.7,88.2,100.0,0.0,4.5
2019-10-30,Warangal Urban,Velair,0.0,22.7,30.7,94.3,100.0,0.0,8.2
2019-10-31,Warangal Urban,Velair,1.3,22.3,30.5,95.7,100.0,0.0,8.3
2019-11-01,Warangal Urban,Velair,0.0,22.1,29.9,90.9,100.0,0.0,5.6
2019-11-02,Warangal Urban,Velair,0.0,21.2,32.0,84.8,100.0,0.0,6.5
2019-11-03,Warangal Urban,Velair,0.0,21.1,30.8,86.1,100.0,0.0,5.0
2019-11-04,Warangal Urban,Velair,0.0,20.8,31.4,87.0,100.0,0.0,5.8
2019-11-05,Warangal Urban,Velair,0.0,19.7,32.9,69.3,100.0,0.0,4.4
2019-11-06,Warangal Urban,Velair,0.0,20.5,32.8,64.4,100.0,0.0,5.1
2019-11-07,Warangal Urban,Velair,0.0,19.5,32.7,63.5,100.0,0.0,4.8
2019-11-08,Warangal Urban,Velair,0.0,19.0,33.4,55.4,100.0,0.0,5.1
2019-11-09,Warangal Urban,Velair,0.0,18.9,31.8,64.9,100.0,0.0,6.4
2019-11-10,Warangal Urban,Velair,0.0,17.6,31.6,54.1,100.0,0.0,7.9
2019-11-11,Warangal Urban,Velair,0.0,19.1,32.5,55.4,100.0,0.0,6.9
2019-11-12,Warangal Urban,Velair,0.0,17.8,31.9,57.7,100.0,0.0,5.5
2019-11-13,Warangal Urban,Velair,0.0,16.0,32.5,46.2,100.0,0.0,7.9
2019-11-14,Warangal Urban,Velair,0.0,17.0,30.9,47.3,100.0,0.0,3.8
2019-11-15,Warangal Urban,Velair,0.0,18.0,31.2,54.1,100.0,0.0,4.8
2019-11-16,Warangal Urban,Velair,0.0,17.7,32.4,47.2,100.0,0.0,4.7
2019-11-17,Warangal Urban,Velair,0.0,17.9,32.7,44.2,100.0,0.0,4.7
2019-11-18,Warangal Urban,Velair,0.0,17.8,32.7,46.2,100.0,0.0,7.6
2019-11-19,Warangal Urban,Velair,0.0,18.2,32.3,46.2,100.0,0.0,6.1
2019-11-20,Warangal Urban,Velair,0.0,17.8,33.5,47.2,100.0,0.0,6.1
2019-11-21,Warangal Urban,Velair,0.0,18.7,31.0,55.0,100.0,0.0,4.8
2019-11-22,Warangal Urban,Velair,0.0,17.3,31.4,52.3,100.0,0.0,6.9
2019-11-23,Warangal Urban,Velair,0.0,15.5,31.8,51.3,100.0,0.0,4.9
2019-11-24,Warangal Urban,Velair,0.0,14.7,30.8,42.8,100.0,0.0,6.9
2019-11-25,Warangal Urban,Velair,0.0,15.8,30.7,50.4,100.0,0.0,7.1
2019-11-26,Warangal Urban,Velair,0.0,16.1,30.7,52.3,100.0,0.0,7.6
2019-11-27,Warangal Urban,Velair,0.0,16.3,31.2,51.3,100.0,0.0,4.3
2019-11-28,Warangal Urban,Velair,0.0,16.3,31.0,43.3,100.0,0.0,7.0
2019-11-29,Warangal Urban,Velair,0.0,17.0,30.2,55.4,100.0,0.0,7.3
2019-11-30,Warangal Urban,Velair,0.0,17.9,31.5,55.9,100.0,0.0,4.8
2019-12-01,Warangal Urban,Velair,0.0,19.1,32.0,50.8,100.0,0.0,5.3
2019-12-02,Warangal Urban,Velair,0.0,21.5,30.6,56.8,100.0,0.0,7.1
2019-12-03,Warangal Urban,Velair,3.0,20.7,27.3,84.1,100.0,0.0,5.9
2019-12-04,Warangal Urban,Velair,0.0,18.5,29.4,64.4,100.0,0.0,5.2
2019-12-05,Warangal Urban,Velair,0.0,16.9,30.0,53.2,100.0,0.0,7.7
2019-12-06,Warangal Urban,Velair,0.0,14.7,29.6,50.9,100.0,0.0,5.8
2019-12-07,Warangal Urban,Velair,0.0,14.8,28.0,51.9,100.0,0.0,5.1
2019-12-08,Warangal Urban,Velair,0.0,15.8,28.3,50.9,100.0,0.0,4.3
2019-12-09,Warangal Urban,Velair,0.0,16.6,28.8,59.8,100.0,0.0,6.3
2019-12-10,Warangal Urban,Velair,0.0,16.1,29.6,52.3,100.0,0.0,6.7
2019-12-11,Warangal Urban,Velair,0.0,15.5,32.4,46.3,100.0,0.0,5.3
2019-12-12,Warangal Urban,Velair,0.0,15.4,31.1,43.7,100.0,0.0,5.6
2019-12-13,Warangal Urban,Velair,0.0,17.1,29.7,43.3,100.0,0.0,6.2
