Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Adilabad,Bazarhathnoor,1.7,17.8,24.2,70.9,99.7,0,15.1
2020-01-02,Adilabad,Bazarhathnoor,2.2,17.8,26.2,68.2,99.7,0,2.4
2020-01-03,Adilabad,Bazarhathnoor,8.4,16.3,24.7,78.8,100.0,0,2.0
2020-01-04,Adilabad,Bazarhathnoor,0.0,14.4,19.7,90.1,100.0,0,1.9
2020-01-05,Adilabad,Bazarhathnoor,0.0,15.6,24.9,77.6,99.9,0,1.6
2020-01-06,Adilabad,Bazarhathnoor,0.0,16.7,25.1,64.1,91.1,0,2.6
2020-01-07,Adilabad,Bazarhathnoor,0.0,16.8,30.5,54.4,90.7,0,4.2
2020-01-08,Adilabad,Bazarhathnoor,0.0,19.8,28.2,69.9,99.2,0,2.4
2020-01-09,Adilabad,Bazarhathnoor,5.2,18.9,30.2,70.7,96.7,0,15.5
2020-01-10,Adilabad,Bazarhathnoor,0.0,13.2,25.2,80.7,91.0,0,18.7
2020-01-11,Adilabad,Bazarhathnoor,0.0,10.2,24.9,61.7,76.0,0,15.6
2020-01-12,Adilabad,Bazarhathnoor,0.0,8.3,26.9,47.6,96.9,0,6.5
2020-01-13,Adilabad,Bazarhathnoor,0.0,7.2,26.4,27.1,97.1,0,7.3
2020-01-14,Adilabad,Bazarhathnoor,0.0,9.7,30.2,20.5,94.9,0,4.9
2020-01-15,Adilabad,Bazarhathnoor,0.0,13.0,30.4,31.4,98.9,0,8.1
2020-01-16,Adilabad,Bazarhathnoor,0.0,13.1,29.6,38.7,99.4,0,17.0
2020-01-17,Adilabad,Bazarhathnoor,0.0,15.4,27.9,40.6,90.8,0,13.6
2020-01-18,Adilabad,Bazarhathnoor,0.0,15.5,27.3,53.8,96.4,0,12.2
2020-01-19,Adilabad,Bazarhathnoor,0.0,15.3,29.3,49.1,99.4,0,14.0
2020-01-20,Adilabad,Bazarhathnoor,0.0,15.6,29.7,50.1,93.5,0,12.5
2020-01-21,Adilabad,Bazarhathnoor,0.0,14.6,26.6,63.3,99.9,0,9.9
2020-01-22,Adilabad,Bazarhathnoor,0.0,15.1,30.1,51.8,99.7,0,13.7
2020-01-23,Adilabad,Bazarhathnoor,0.0,14.4,30.8,46.1,99.9,0,15.3
2020-01-24,Adilabad,Bazarhathnoor,0.0,16.8,31.6,38.7,92.0,0,10.1
2020-01-25,Adilabad,Bazarhathnoor,0.0,13.6,30.6,38.7,97.6,0,6.5
2020-01-26,Adilabad,Bazarhathnoor,0.0,14.0,31.0,39.3,95.3,0,9.9
2020-01-27,Adilabad,Bazarhathnoor,0.0,12.0,29.7,35.3,93.6,0,8.3
2020-01-28,Adilabad,Bazarhathnoor,0.0,17.6,32.0,31.7,86.4,0,11.2
2020-01-29,Adilabad,Bazarhathnoor,0.0,14.6,30.3,37.5,89.7,0,14.0
2020-01-30,Adilabad,Bazarhathnoor,0.0,14.8,28.8,42.9,85.1,0,10.9
2020-01-31,Adilabad,Bazarhathnoor,0.0,13.7,27.4,44.0,80.6,0,9.7
2020-02-01,Adilabad,Bazarhathnoor,0.0,15.4,27.6,40.6,80.6,0,8.1
2020-02-02,Adilabad,Bazarhathnoor,0.0,16.4,29.4,46.7,73.4,0,11.7
2020-02-03,Adilabad,Bazarhathnoor,0.0,18.4,27.7,54.3,78.9,0,12.5
2020-02-04,Adilabad,Bazarhathnoor,0.0,18.1,29.0,45.5,97.1,0,15.2
2020-02-05,Adilabad,Bazarhathnoor,0.0,18.7,29.0,47.3,97.1,0,14.6
2020-02-06,Adilabad,Bazarhathnoor,0.0,16.3,29.6,51.3,95.3,0,10.4
2020-02-07,Adilabad,Bazarhathnoor,0.0,16.6,31.1,42.1,95.3,0,18.4
2020-02-08,Adilabad,Bazarhathnoor,8.8,17.9,30.4,46.7,98.7,0,16.1
2020-02-09,Adilabad,Bazarhathnoor,0.0,15.8,20.9,81.7,100.0,0,12.9
2020-02-10,Adilabad,Bazarhathnoor,0.0,13.5,24.6,66.2,98.7,0,7.3
2020-02-11,Adilabad,Bazarhathnoor,0.0,15.4,28.0,53.8,91.3,0,9.0
2020-02-12,Adilabad,Bazarhathnoor,0.0,15.6,29.9,44.4,93.3,0,8.5
2020-02-13,Adilabad,Bazarhathnoor,0.0,12.4,30.3,36.7,86.2,0,9.7
2020-02-14,Adilabad,Bazarhathnoor,0.0,14.2,31.1,29.7,78.6,0,10.8
2020-02-15,Adilabad,Bazarhathnoor,0.0,13.9,32.5,25.5,77.6,0,12.5
2020-02-16,Adilabad,Bazarhathnoor,0.0,13.3,32.7,29.9,83.2,0,8.9
2020-02-17,Adilabad,Bazarhathnoor,0.0,13.4,33.4,31.6,79.2,0,9.9
2020-02-18,Adilabad,Bazarhathnoor,0.0,10.9,32.5,24.0,71.3,0,9.0
