Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Adilabad,Mavala,9.8,16.4,27.7,62.4,99.9,0,14.7
2020-01-02,Adilabad,Mavala,2.5,19.6,27.4,75.9,95.5,0,6.5
2020-01-03,Adilabad,Mavala,20.8,16.9,24.9,84.7,99.9,0,14.3
2020-01-04,Adilabad,Mavala,0.0,16.7,22.9,89.1,99.9,0,7.2
2020-01-05,Adilabad,Mavala,0.0,17.4,24.9,75.8,100.0,0,2.2
2020-01-06,Adilabad,Mavala,0.0,11.1,25.2,61.7,99.9,0,10.8
2020-01-07,Adilabad,Mavala,0.0,14.5,27.7,47.4,98.5,0,6.5
2020-01-08,Adilabad,Mavala,0.0,19.8,29.7,62.6,95.9,0,7.3
2020-01-09,Adilabad,Mavala,6.0,20.0,30.4,62.3,99.9,0,18.9
2020-01-10,Adilabad,Mavala,0.0,13.4,24.9,78.4,99.2,0,8.4
2020-01-11,Adilabad,Mavala,0.0,12.3,24.9,56.4,93.4,0,5.4
2020-01-12,Adilabad,Mavala,0.0,9.1,25.5,40.1,98.9,0,7.6
2020-01-13,Adilabad,Mavala,0.0,9.9,28.0,38.5,99.9,0,5.2
2020-01-14,Adilabad,Mavala,0.0,13.3,30.2,30.5,99.9,0,2.9
2020-01-15,Adilabad,Mavala,0.0,15.6,32.9,32.6,99.9,0,9.5
2020-01-16,Adilabad,Mavala,0.0,17.4,30.4,42.1,92.7,0,16.0
2020-01-17,Adilabad,Mavala,0.0,19.2,30.5,45.9,78.1,0,13.2
2020-01-18,Adilabad,Mavala,0.0,17.0,28.2,54.3,97.2,0,9.9
2020-01-19,Adilabad,Mavala,0.0,16.9,30.3,50.3,99.1,0,9.0
2020-01-20,Adilabad,Mavala,0.0,15.9,30.2,54.6,96.2,0,13.7
2020-01-21,Adilabad,Mavala,0.0,16.7,28.0,61.9,97.6,0,6.4
2020-01-22,Adilabad,Mavala,0.0,19.3,30.7,47.4,97.1,0,12.1
2020-01-23,Adilabad,Mavala,0.0,17.0,32.7,46.6,99.0,0,21.1
2020-01-24,Adilabad,Mavala,0.0,16.8,32.6,41.1,93.9,0,8.1
2020-01-25,Adilabad,Mavala,0.0,16.9,30.1,41.3,95.5,0,8.2
2020-01-26,Adilabad,Mavala,0.0,15.4,32.1,41.1,97.5,0,9.1
2020-01-27,Adilabad,Mavala,0.0,13.8,30.1,39.1,92.9,0,4.9
2020-01-28,Adilabad,Mavala,0.0,22.4,34.3,28.9,70.1,0,10.1
2020-01-29,Adilabad,Mavala,0.0,18.2,32.7,33.4,81.9,0,14.7
2020-01-30,Adilabad,Mavala,0.0,17.1,30.2,39.4,89.2,0,6.3
2020-01-31,Adilabad,Mavala,0.0,13.3,30.1,39.8,87.7,0,9.0
2020-02-01,Adilabad,Mavala,0.0,15.4,29.6,39.1,86.6,0,7.2
2020-02-02,Adilabad,Mavala,0.0,18.7,29.6,47.4,73.4,0,12.7
2020-02-03,Adilabad,Mavala,0.0,19.0,29.5,49.8,82.5,0,10.3
2020-02-04,Adilabad,Mavala,0.0,19.5,30.1,47.4,92.1,0,5.7
2020-02-05,Adilabad,Mavala,0.0,21.1,31.7,41.0,83.7,0,16.2
2020-02-06,Adilabad,Mavala,0.0,17.1,30.5,54.6,98.2,0,6.9
2020-02-07,Adilabad,Mavala,0.0,19.5,32.7,46.8,89.1,0,7.4
2020-02-08,Adilabad,Mavala,12.0,19.9,30.2,54.6,97.2,0,9.5
2020-02-09,Adilabad,Mavala,0.0,16.2,23.1,70.9,98.6,0,10.8
2020-02-10,Adilabad,Mavala,0.0,14.7,26.5,61.7,99.0,0,12.6
2020-02-11,Adilabad,Mavala,0.0,16.6,29.6,54.3,95.2,0,6.7
2020-02-12,Adilabad,Mavala,0.0,17.1,30.1,48.9,98.0,0,4.4
2020-02-13,Adilabad,Mavala,0.0,17.4,31.4,38.4,83.2,0,9.6
2020-02-14,Adilabad,Mavala,0.0,18.9,33.3,31.1,74.6,0,0.9
2020-02-15,Adilabad,Mavala,0.0,16.4,32.9,24.5,84.0,0,10.5
2020-02-16,Adilabad,Mavala,0.0,15.7,33.5,31.0,90.0,0,4.8
2020-02-17,Adilabad,Mavala,0.0,15.7,32.6,30.7,86.7,0,1.9
2020-02-18,Adilabad,Mavala,0.0,13.1,32.6,22.9,80.1,0,7.3
2020-02-19,Adilabad,Mavala,0.0,15.4,32.6,15.5,80.7,0,10.6
2020-02-20,Adilabad,Mavala,0.0,22.2,35.3,16.9,82.0,0,8.1
2020-02-21,Adilabad,Mavala,0.0,19.6,33.3,39.4,82.0,0,18.4
2020-02-22,Adilabad,Mavala,0.0,21.5,33.2,41.5,72.4,0,16.3
2020-02-23,Adilabad,Mavala,0.0,22.6,35.8,30.9,68.8,0,5.9
2020-02-24,Adilabad,Mavala,0.0,21.6,34.8,29.0,73.0,0,7.3
2020-02-25,Adilabad,Mavala,0.0,20.4,35.2,30.3,63.3,0,6.6
2020-02-26,Adilabad,Mavala,0.0,15.1,33.0,25.3,74.6,0,0.4
2020-02-27,Adilabad,Mavala,0.0,14.9,32.7,16.4,60.4,0,8.7
2020-02-28,Adilabad,Mavala,0.0,15.3,33.3,21.7,74.7,0,5.8
2020-02-29,Adilabad,Mavala,0.0,17.5,34.3,20.5,81.0,0,2.9
2020-03-01,Adilabad,Mavala,0.0,19.0,35.1,24.9,79.1,0,13.3
2020-03-02,Adilabad,Mavala,0.0,21.3,34.2,29.6,70.7,0,14.3
2020-03-03,Adilabad,Mavala,0.0,23.7,35.5,28.1,70.4,0,12.2
2020-03-04,Adilabad,Mavala,0.0,20.0,35.8,25.7,76.9,0,16.6
2020-03-05,Adilabad,Mavala,0.0,18.3,35.6,20.3,67.9,0,14.7
2020-03-06,Adilabad,Mavala,0.0,22.0,35.5,25.2,85.2,0,6.3
2020-03-07,Adilabad,Mavala,0.0,22.4,34.7,27.5,77.3,0,7.0
2020-03-08,Adilabad,Mavala,0.0,23.8,32.8,30.7,77.5,0,4.7
2020-03-09,Adilabad,Mavala,1.3,22.1,34.7,41.9,92.5,0,15.2
