Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Adilabad,Narnoor,0.0,19.4,25.3,72.9,93.8,0,3.3
2020-01-02,Adilabad,Narnoor,0.0,19.4,27.6,64.4,95.4,0,3.6
2020-01-03,Adilabad,Narnoor,18.3,16.1,26.9,73.8,97.9,0,3.0
2020-01-04,Adilabad,Narnoor,2.4,15.5,19.1,94.6,98.7,0,1.4
2020-01-05,Adilabad,Narnoor,0.0,14.7,22.9,65.8,98.2,0,2.5
2020-01-06,Adilabad,Narnoor,0.0,13.2,24.3,54.8,87.1,0,2.5
2020-01-07,Adilabad,Narnoor,0.0,16.3,27.6,48.9,90.2,0,2.7
2020-01-08,Adilabad,Narnoor,0.0,20.7,26.6,63.8,94.8,0,2.9
2020-01-09,Adilabad,Narnoor,0.3,19.9,26.8,69.5,95.9,0,2.8
2020-01-10,Adilabad,Narnoor,2.9,11.8,22.1,87.4,95.1,0,2.5
2020-01-11,Adilabad,Narnoor,0.0,10.1,23.9,61.0,91.8,0,1.3
2020-01-12,Adilabad,Narnoor,0.0,10.6,26.0,39.1,87.7,0,2.3
2020-01-13,Adilabad,Narnoor,0.0,11.5,26.1,39.7,77.2,0,2.5
2020-01-14,Adilabad,Narnoor,0.0,14.1,29.4,22.6,76.1,0,1.8
2020-01-15,Adilabad,Narnoor,0.0,15.7,29.7,37.3,96.6,0,2.1
2020-01-16,Adilabad,Narnoor,0.0,16.3,29.1,38.5,95.2,0,2.7
2020-01-17,Adilabad,Narnoor,0.0,18.2,27.5,49.3,95.3,0,5.0
2020-01-18,Adilabad,Narnoor,0.0,17.5,27.9,54.6,95.4,0,3.3
2020-01-19,Adilabad,Narnoor,0.0,17.4,28.6,54.9,96.0,0,2.7
2020-01-20,Adilabad,Narnoor,0.0,15.1,28.6,52.1,98.1,0,1.4
2020-01-21,Adilabad,Narnoor,0.0,16.2,25.7,76.0,98.3,0,2.0
2020-01-22,Adilabad,Narnoor,0.0,18.1,30.0,51.9,95.8,0,4.8
2020-01-23,Adilabad,Narnoor,0.0,17.5,28.1,62.0,94.4,0,2.1
2020-01-24,Adilabad,Narnoor,0.0,15.9,30.0,42.9,96.0,0,1.3
2020-01-25,Adilabad,Narnoor,0.0,15.9,30.0,43.3,95.1,0,5.9
2020-01-26,Adilabad,Narnoor,0.0,15.8,29.8,36.3,92.6,0,16.1
2020-01-27,Adilabad,Narnoor,0.0,13.8,29.8,30.5,84.2,0,5.2
2020-01-28,Adilabad,Narnoor,0.0,20.8,32.6,27.1,78.1,0,5.7
