Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Adilabad,Talamadugu,1.7,16.6,26.0,71.0,97.2,0,14.4
2020-01-02,Adilabad,Talamadugu,0.3,17.1,26.2,74.4,96.7,0,7.1
2020-01-03,Adilabad,Talamadugu,28.4,16.7,22.6,86.7,98.1,0,9.1
2020-01-04,Adilabad,Talamadugu,0.0,15.9,21.0,89.6,98.8,0,7.6
2020-01-05,Adilabad,Talamadugu,0.0,14.4,24.8,89.8,99.5,0,5.0
2020-01-06,Adilabad,Talamadugu,0.0,11.2,24.7,66.5,97.3,0,11.4
2020-01-07,Adilabad,Talamadugu,0.0,15.0,27.4,50.8,96.3,0,8.4
2020-01-08,Adilabad,Talamadugu,0.0,19.2,29.4,64.3,96.2,0,7.7
2020-01-09,Adilabad,Talamadugu,2.8,20.7,29.7,66.3,98.2,0,14.3
2020-01-10,Adilabad,Talamadugu,0.0,12.1,24.2,80.0,96.0,0,5.0
2020-01-11,Adilabad,Talamadugu,0.0,10.3,24.5,57.9,98.5,0,4.3
2020-01-12,Adilabad,Talamadugu,0.0,9.8,26.0,39.1,99.1,0,8.3
2020-01-13,Adilabad,Talamadugu,0.0,11.1,28.0,26.2,89.6,0,9.0
2020-01-14,Adilabad,Talamadugu,0.0,13.0,30.4,24.7,88.9,0,9.8
2020-01-15,Adilabad,Talamadugu,0.0,17.2,31.4,31.5,97.9,0,8.2
2020-01-16,Adilabad,Talamadugu,0.0,18.5,30.5,35.5,88.7,0,14.9
2020-01-17,Adilabad,Talamadugu,0.0,18.7,30.2,37.9,90.4,0,14.7
2020-01-18,Adilabad,Talamadugu,0.0,16.9,29.4,53.9,95.7,0,7.6
2020-01-19,Adilabad,Talamadugu,0.0,16.9,29.4,56.4,97.0,0,12.2
2020-01-20,Adilabad,Talamadugu,0.0,15.4,30.9,57.4,96.1,0,6.0
2020-01-21,Adilabad,Talamadugu,0.0,15.3,27.5,65.7,96.8,0,8.8
2020-01-22,Adilabad,Talamadugu,0.0,19.7,30.3,54.2,95.5,0,13.7
2020-01-23,Adilabad,Talamadugu,0.0,17.0,30.9,50.8,95.8,0,13.0
2020-01-24,Adilabad,Talamadugu,0.0,15.8,32.1,34.7,96.1,0,7.6
2020-01-25,Adilabad,Talamadugu,0.0,15.3,30.7,42.8,95.5,0,7.6
2020-01-26,Adilabad,Talamadugu,0.0,14.9,31.4,44.7,92.9,0,8.4
2020-01-27,Adilabad,Talamadugu,0.0,13.8,31.2,34.8,88.0,0,10.1
2020-01-28,Adilabad,Talamadugu,0.0,20.8,34.4,25.1,77.5,0,12.8
2020-01-29,Adilabad,Talamadugu,0.0,17.5,33.0,31.3,82.3,0,10.8
2020-01-30,Adilabad,Talamadugu,0.0,14.3,31.4,37.8,94.0,0,9.6
2020-01-31,Adilabad,Talamadugu,0.0,10.8,29.3,38.5,94.0,0,14.1
2020-02-01,Adilabad,Talamadugu,0.0,14.9,28.8,37.7,90.2,0,9.1
2020-02-02,Adilabad,Talamadugu,0.0,15.6,28.2,49.8,84.7,0,11.4
2020-02-03,Adilabad,Talamadugu,0.0,18.9,28.4,52.1,81.8,0,10.2
2020-02-04,Adilabad,Talamadugu,0.0,16.6,30.4,43.9,96.1,0,10.3
2020-02-05,Adilabad,Talamadugu,0.0,18.6,32.3,38.8,94.7,0,12.6
2020-02-06,Adilabad,Talamadugu,0.0,16.8,30.2,60.3,94.9,0,11.5
2020-02-07,Adilabad,Talamadugu,0.0,17.1,32.1,39.6,95.2,0,10.0
2020-02-08,Adilabad,Talamadugu,5.8,18.8,29.8,59.8,96.2,0,14.1
2020-02-09,Adilabad,Talamadugu,0.5,16.1,22.4,75.9,94.1,0,12.0
2020-02-10,Adilabad,Talamadugu,0.0,13.7,25.8,69.4,96.6,0,14.3
2020-02-11,Adilabad,Talamadugu,0.0,15.0,29.1,59.1,95.2,0,8.5
2020-02-12,Adilabad,Talamadugu,0.0,15.9,30.4,53.4,95.5,0,8.6
2020-02-13,Adilabad,Talamadugu,0.0,13.8,31.1,36.8,92.0,0,9.6
2020-02-14,Adilabad,Talamadugu,0.0,17.4,32.4,31.0,72.1,0,9.5
2020-02-15,Adilabad,Talamadugu,0.0,15.4,34.5,22.3,80.1,0,11.3
2020-02-16,Adilabad,Talamadugu,0.0,14.9,33.2,30.6,87.7,0,10.9
2020-02-17,Adilabad,Talamadugu,0.0,13.8,34.1,26.7,86.2,0,10.8
2020-02-18,Adilabad,Talamadugu,0.0,12.0,32.7,20.6,74.2,0,9.7
2020-02-19,Adilabad,Talamadugu,0.0,13.2,33.5,15.5,74.1,0,9.6
2020-02-20,Adilabad,Talamadugu,0.0,18.9,34.1,18.2,82.1,0,13.0
2020-02-21,Adilabad,Talamadugu,0.0,19.2,33.3,34.8,76.5,0,14.4
2020-02-22,Adilabad,Talamadugu,0.0,20.0,32.4,44.1,78.0,0,8.0
2020-02-23,Adilabad,Talamadugu,0.0,22.0,34.2,30.2,69.1,0,9.7
2020-02-24,Adilabad,Talamadugu,0.0,22.0,35.4,29.3,70.8,0,14.1
2020-02-25,Adilabad,Talamadugu,0.0,18.6,35.3,31.4,67.7,0,13.4
2020-02-26,Adilabad,Talamadugu,0.0,13.2,32.8,24.5,74.0,0,10.2
2020-02-27,Adilabad,Talamadugu,0.0,12.3,31.7,18.7,51.2,0,11.0
2020-02-28,Adilabad,Talamadugu,0.0,14.2,33.4,19.1,72.9,0,11.5
2020-02-29,Adilabad,Talamadugu,0.0,15.7,34.1,24.9,81.7,0,14.4
2020-03-01,Adilabad,Talamadugu,0.0,19.5,35.1,24.7,77.4,0,10.2
2020-03-02,Adilabad,Talamadugu,4.1,18.7,33.8,32.7,93.0,0,16.2
2020-03-03,Adilabad,Talamadugu,6.1,22.3,34.8,32.7,83.5,0,12.8
2020-03-04,Adilabad,Talamadugu,0.0,19.2,36.2,28.4,67.6,0,10.3
2020-03-05,Adilabad,Talamadugu,0.0,16.6,35.7,21.8,67.5,0,7.7
2020-03-06,Adilabad,Talamadugu,0.0,20.1,35.0,23.0,89.7,0,9.8
2020-03-07,Adilabad,Talamadugu,0.0,19.1,34.5,21.9,87.9,0,14.6
2020-03-08,Adilabad,Talamadugu,0.0,20.2,33.9,29.5,91.6,0,16.4
2020-03-09,Adilabad,Talamadugu,1.3,21.2,33.9,46.6,95.8,0,11.4
2020-03-10,Adilabad,Talamadugu,23.1,21.5,31.9,60.8,96.7,0,15.4
2020-03-11,Adilabad,Talamadugu,0.0,24.0,35.9,36.2,85.4,0,17.1
2020-03-12,Adilabad,Talamadugu,0.0,23.0,36.1,34.5,77.5,0,14.7
2020-03-13,Adilabad,Talamadugu,0.0,23.8,35.2,30.7,86.2,0,11.7
2020-03-14,Adilabad,Talamadugu,0.3,21.9,33.5,48.2,87.0,0,10.8
2020-03-15,Adilabad,Talamadugu,0.0,20.6,32.9,39.0,87.9,0,9.4
2020-03-16,Adilabad,Talamadugu,0.0,20.9,34.1,40.5,90.5,0,11.9
2020-03-17,Adilabad,Talamadugu,0.0,21.2,35.8,35.8,83.8,0,11.5
2020-03-18,Adilabad,Talamadugu,0.0,20.9,36.6,35.5,94.9,0,14.9
2020-03-19,Adilabad,Talamadugu,5.6,20.7,36.1,30.1,95.3,0,10.8
