Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Gangadhara,0.0,19.1,26.1,51.4,100.0,0,14.6
2020-01-02,Karimnagar,Gangadhara,0.0,20.8,30.9,45.7,100.0,0,15.2
2020-01-03,Karimnagar,Gangadhara,4.4,19.9,29.1,48.1,100.0,0,14.7
2020-01-04,Karimnagar,Gangadhara,6.1,18.6,21.6,97.3,99.1,0,4.4
2020-01-05,Karimnagar,Gangadhara,0.0,17.4,24.8,85.8,100.0,0,10.0
2020-01-06,Karimnagar,Gangadhara,0.0,15.3,26.0,48.7,100.0,0,10.2
2020-01-07,Karimnagar,Gangadhara,0.0,18.2,29.0,45.0,100.0,0,7.1
2020-01-08,Karimnagar,Gangadhara,0.0,21.1,28.1,65.9,100.0,0,13.4
2020-01-09,Karimnagar,Gangadhara,0.0,20.4,28.4,65.6,100.0,0,19.3
2020-01-10,Karimnagar,Gangadhara,0.0,16.6,27.3,73.5,100.0,0,8.6
2020-01-11,Karimnagar,Gangadhara,0.0,14.9,25.9,66.5,100.0,0,8.3
2020-01-12,Karimnagar,Gangadhara,0.0,13.3,27.0,48.8,100.0,0,6.3
2020-01-13,Karimnagar,Gangadhara,0.0,11.6,27.6,23.0,96.3,0,8.4
2020-01-14,Karimnagar,Gangadhara,0.0,14.4,29.2,27.9,98.5,0,9.6
2020-01-15,Karimnagar,Gangadhara,0.0,17.6,29.0,49.7,100.0,0,8.5
2020-01-16,Karimnagar,Gangadhara,0.0,17.4,27.9,51.9,100.0,0,15.5
2020-01-17,Karimnagar,Gangadhara,0.0,18.7,28.3,50.4,97.3,0,14.9
2020-01-18,Karimnagar,Gangadhara,0.0,19.3,28.9,55.7,93.8,0,13.9
2020-01-19,Karimnagar,Gangadhara,0.0,18.8,28.7,67.3,93.8,0,9.9
2020-01-20,Karimnagar,Gangadhara,0.0,19.3,28.7,59.8,93.6,0,11.4
2020-01-21,Karimnagar,Gangadhara,0.0,18.5,26.6,63.6,94.0,0,7.4
2020-01-22,Karimnagar,Gangadhara,0.0,19.6,30.8,56.1,90.7,0,14.8
2020-01-23,Karimnagar,Gangadhara,0.0,17.8,31.0,53.9,91.0,0,12.2
2020-01-24,Karimnagar,Gangadhara,0.0,17.9,30.4,51.0,93.8,0,12.6
2020-01-25,Karimnagar,Gangadhara,0.0,17.1,30.2,56.7,93.9,0,8.0
2020-01-26,Karimnagar,Gangadhara,0.0,18.3,30.3,49.0,92.9,0,5.5
2020-01-27,Karimnagar,Gangadhara,0.0,15.7,31.0,46.5,93.0,0,6.5
2020-01-28,Karimnagar,Gangadhara,0.0,18.2,32.3,44.1,84.8,0,14.5
2020-01-29,Karimnagar,Gangadhara,0.0,19.3,32.8,46.6,89.5,0,11.9
2020-01-30,Karimnagar,Gangadhara,0.0,17.0,29.5,52.2,83.4,0,5.3
2020-01-31,Karimnagar,Gangadhara,0.0,16.1,28.3,52.8,88.9,0,6.3
2020-02-01,Karimnagar,Gangadhara,0.0,18.5,27.9,52.1,77.4,0,9.6
2020-02-02,Karimnagar,Gangadhara,0.0,18.8,29.4,55.5,82.8,0,12.9
2020-02-03,Karimnagar,Gangadhara,0.0,19.5,27.4,59.7,88.7,0,9.0
2020-02-04,Karimnagar,Gangadhara,0.0,20.2,30.6,54.0,89.2,0,16.1
2020-02-05,Karimnagar,Gangadhara,0.0,19.0,33.7,45.1,90.4,0,15.5
2020-02-06,Karimnagar,Gangadhara,0.0,19.4,31.5,52.8,89.7,0,13.0
2020-02-07,Karimnagar,Gangadhara,0.0,20.8,32.0,49.5,88.4,0,13.0
2020-02-08,Karimnagar,Gangadhara,0.0,21.5,30.4,55.5,88.4,0,15.2
2020-02-09,Karimnagar,Gangadhara,8.5,16.7,22.9,85.9,90.8,0,10.8
2020-02-10,Karimnagar,Gangadhara,0.0,17.3,24.3,68.2,90.7,0,9.0
2020-02-11,Karimnagar,Gangadhara,0.0,18.6,27.4,62.1,100.0,0,6.5
2020-02-12,Karimnagar,Gangadhara,0.0,18.9,28.5,60.6,94.0,0,13.9
2020-02-13,Karimnagar,Gangadhara,0.0,15.9,29.5,55.5,93.3,0,10.8
2020-02-14,Karimnagar,Gangadhara,0.0,17.4,30.0,43.5,87.9,0,8.4
2020-02-15,Karimnagar,Gangadhara,0.0,17.1,32.2,37.3,85.8,0,6.3
2020-02-16,Karimnagar,Gangadhara,0.0,17.3,33.1,42.5,86.2,0,7.4
2020-02-17,Karimnagar,Gangadhara,0.0,16.4,32.3,43.9,87.1,0,7.0
2020-02-18,Karimnagar,Gangadhara,0.0,14.9,31.5,41.0,84.6,0,4.3
2020-02-19,Karimnagar,Gangadhara,0.0,14.4,31.7,33.6,86.2,0,8.4
2020-02-20,Karimnagar,Gangadhara,0.0,19.0,31.3,42.1,90.5,0,12.7
2020-02-21,Karimnagar,Gangadhara,0.0,18.8,30.8,52.7,89.7,0,13.3
2020-02-22,Karimnagar,Gangadhara,0.0,18.0,31.5,49.4,86.1,0,15.0
2020-02-23,Karimnagar,Gangadhara,0.0,17.8,31.8,49.2,88.6,0,13.9
2020-02-24,Karimnagar,Gangadhara,0.0,18.8,32.3,46.3,88.8,0,12.2
2020-02-25,Karimnagar,Gangadhara,0.0,20.6,32.7,46.4,84.8,0,13.4
2020-02-26,Karimnagar,Gangadhara,0.0,17.1,30.6,50.8,87.1,0,8.1
2020-02-27,Karimnagar,Gangadhara,0.0,17.7,30.3,38.9,67.9,0,8.4
2020-02-28,Karimnagar,Gangadhara,0.0,15.7,31.7,24.0,92.0,0,9.6
2020-02-29,Karimnagar,Gangadhara,0.0,18.4,30.6,37.2,100.0,0,11.0
2020-03-01,Karimnagar,Gangadhara,0.0,19.5,31.8,40.2,100.0,0,15.5
2020-03-02,Karimnagar,Gangadhara,0.0,21.5,31.3,42.5,99.0,0,13.5
2020-03-03,Karimnagar,Gangadhara,0.0,20.2,33.4,41.7,97.9,0,9.9
2020-03-04,Karimnagar,Gangadhara,0.0,21.5,33.5,40.0,89.9,0,11.7
2020-03-05,Karimnagar,Gangadhara,0.0,18.5,35.2,26.0,97.3,0,12.1
2020-03-06,Karimnagar,Gangadhara,0.0,22.0,32.1,37.0,100.0,0,12.3
2020-03-07,Karimnagar,Gangadhara,0.0,22.8,33.2,37.4,99.5,0,18.2
2020-03-08,Karimnagar,Gangadhara,0.0,22.4,30.9,45.5,100.0,0,14.4
2020-03-09,Karimnagar,Gangadhara,18.6,22.5,30.6,70.9,100.0,0,33.0
2020-03-10,Karimnagar,Gangadhara,0.0,21.0,29.7,80.5,99.3,0,12.2
2020-03-11,Karimnagar,Gangadhara,0.0,21.3,33.8,39.7,97.1,0,13.1
2020-03-12,Karimnagar,Gangadhara,0.3,21.4,32.2,62.3,99.8,0,14.4
2020-03-13,Karimnagar,Gangadhara,4.3,21.6,30.2,74.0,99.5,0,9.6
2020-03-14,Karimnagar,Gangadhara,0.0,20.5,31.9,65.8,99.6,0,14.6
2020-03-15,Karimnagar,Gangadhara,0.0,20.9,30.7,72.2,99.7,0,13.1
2020-03-16,Karimnagar,Gangadhara,0.0,21.2,31.1,46.3,98.8,0,10.4
2020-03-17,Karimnagar,Gangadhara,0.0,21.2,32.4,50.9,100.0,0,10.1
2020-03-18,Karimnagar,Gangadhara,0.0,21.4,33.3,52.7,92.2,0,11.1
2020-03-19,Karimnagar,Gangadhara,0.4,21.7,33.9,48.1,96.2,0,10.4
2020-03-20,Karimnagar,Gangadhara,0.0,19.6,36.0,35.6,84.0,0,10.8
2020-03-21,Karimnagar,Gangadhara,0.9,20.6,34.4,45.1,95.8,0,13.3
2020-03-22,Karimnagar,Gangadhara,0.0,21.2,33.6,42.9,95.7,0,14.5
2020-03-23,Karimnagar,Gangadhara,0.0,20.7,35.3,32.4,100.0,0,8.9
2020-03-24,Karimnagar,Gangadhara,0.0,21.6,35.9,39.0,94.2,0,8.4
2020-03-25,Karimnagar,Gangadhara,0.0,21.8,34.4,39.7,79.0,0,11.4
2020-03-26,Karimnagar,Gangadhara,0.0,23.1,34.2,38.6,69.6,0,10.9
2020-03-27,Karimnagar,Gangadhara,0.0,22.7,36.6,34.3,65.1,0,7.1
2020-03-28,Karimnagar,Gangadhara,0.0,21.1,36.9,22.9,68.3,0,14.3
2020-03-29,Karimnagar,Gangadhara,0.0,21.7,37.7,21.9,82.5,0,10.5
2020-03-30,Karimnagar,Gangadhara,0.0,22.5,37.8,30.5,66.9,0,8.8
2020-03-31,Karimnagar,Gangadhara,0.0,23.1,35.8,38.1,66.1,0,10.4
2020-04-01,Karimnagar,Gangadhara,0.0,24.0,37.9,25.5,76.4,,9.0
2020-04-02,Karimnagar,Gangadhara,0.0,21.1,38.2,20.7,78.1,,10.4
2020-04-03,Karimnagar,Gangadhara,0.0,24.5,36.2,31.5,57.7,,9.1
2020-04-04,Karimnagar,Gangadhara,0.0,21.3,34.9,31.3,63.6,,8.7
2020-04-05,Karimnagar,Gangadhara,0.0,19.7,32.7,32.0,72.7,,15.1
2020-04-06,Karimnagar,Gangadhara,0.0,21.5,33.2,32.5,73.5,,12.5
2020-04-07,Karimnagar,Gangadhara,0.3,20.4,35.3,33.7,77.4,,11.3
2020-04-08,Karimnagar,Gangadhara,0.0,21.6,36.6,28.4,63.2,,15.0
2020-04-09,Karimnagar,Gangadhara,0.0,20.9,35.8,27.2,56.0,,13.2
2020-04-10,Karimnagar,Gangadhara,0.0,19.4,35.4,34.1,75.4,,13.7
2020-04-11,Karimnagar,Gangadhara,0.0,20.2,35.3,30.0,82.9,,9.7
2020-04-12,Karimnagar,Gangadhara,0.0,22.0,35.8,22.4,72.8,,9.0
2020-04-13,Karimnagar,Gangadhara,0.0,22.7,36.1,24.3,58.8,,7.6
2020-04-14,Karimnagar,Gangadhara,0.0,22.1,36.8,24.1,46.7,,9.7
2020-04-15,Karimnagar,Gangadhara,0.0,21.8,37.5,15.4,60.3,,15.3
2020-04-16,Karimnagar,Gangadhara,0.0,21.9,37.2,22.1,59.0,,11.8
2020-04-17,Karimnagar,Gangadhara,0.0,23.4,37.8,22.6,57.6,,11.4
2020-04-18,Karimnagar,Gangadhara,0.0,22.8,38.7,23.0,68.9,,14.2
2020-04-19,Karimnagar,Gangadhara,0.7,21.7,37.4,28.5,77.4,,13.7
2020-04-20,Karimnagar,Gangadhara,0.3,21.4,33.5,34.4,76.7,,13.1
2020-04-21,Karimnagar,Gangadhara,0.0,21.3,36.2,29.4,66.2,,10.9
2020-04-22,Karimnagar,Gangadhara,0.0,22.1,37.6,20.2,71.6,,15.3
2020-04-23,Karimnagar,Gangadhara,0.0,22.6,36.6,24.9,72.5,,14.9
2020-04-24,Karimnagar,Gangadhara,0.0,24.9,38.5,44.6,73.0,,15.2
2020-04-25,Karimnagar,Gangadhara,0.0,24.3,38.0,45.8,76.0,,23.0
2020-04-26,Karimnagar,Gangadhara,0.0,26.1,39.3,39.1,83.5,,16.4
2020-04-27,Karimnagar,Gangadhara,0.0,23.5,38.7,40.3,81.5,,14.1
2020-04-28,Karimnagar,Gangadhara,0.0,23.0,38.8,42.4,74.6,,12.5
2020-04-29,Karimnagar,Gangadhara,3.8,21.1,37.3,43.5,74.9,,12.7
2020-04-30,Karimnagar,Gangadhara,0.0,24.1,37.3,43.9,79.4,,14.7
2020-05-01,Karimnagar,Gangadhara,1.2,23.4,39.7,38.7,83.7,,14.2
2020-05-02,Karimnagar,Gangadhara,0.0,23.3,37.8,46.3,75.9,,10.8
2020-05-03,Karimnagar,Gangadhara,0.0,26.6,40.2,41.8,73.4,,11.7
2020-05-04,Karimnagar,Gangadhara,0.0,26.7,40.7,36.1,77.2,,13.6
2020-05-05,Karimnagar,Gangadhara,0.0,28.2,41.7,37.5,72.0,,16.3
2020-05-06,Karimnagar,Gangadhara,0.0,27.2,40.6,42.7,74.9,,15.3
2020-05-07,Karimnagar,Gangadhara,0.0,26.7,37.3,41.8,77.9,,15.6
2020-05-08,Karimnagar,Gangadhara,0.0,28.7,37.6,48.3,73.1,,18.9
2020-05-09,Karimnagar,Gangadhara,0.0,27.6,37.9,41.7,70.5,,13.2
2020-05-10,Karimnagar,Gangadhara,14.2,24.2,39.5,42.5,78.6,,28.6
2020-05-11,Karimnagar,Gangadhara,0.0,23.8,36.2,32.1,70.4,,20.1
2020-05-12,Karimnagar,Gangadhara,0.0,24.8,38.4,37.4,76.8,,19.4
2020-05-13,Karimnagar,Gangadhara,0.0,25.8,37.8,45.0,69.1,,15.2
2020-05-14,Karimnagar,Gangadhara,0.0,26.6,39.2,43.6,73.5,,15.5
2020-05-15,Karimnagar,Gangadhara,0.0,27.2,38.6,41.1,70.8,,15.2
2020-05-16,Karimnagar,Gangadhara,0.0,28.4,39.5,40.7,72.2,,18.5
2020-05-17,Karimnagar,Gangadhara,3.4,24.3,39.1,40.6,85.1,,18.3
2020-05-18,Karimnagar,Gangadhara,0.0,27.2,38.3,42.3,76.4,,9.4
2020-05-19,Karimnagar,Gangadhara,0.5,26.6,39.5,39.9,65.6,,29.4
