Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Karimnagar_Rural,0.0,20.7,25.9,67.8,89.4,0,13.8
2020-01-02,Karimnagar,Karimnagar_Rural,0.0,21.7,28.9,62.5,88.8,0,14.7
2020-01-03,Karimnagar,Karimnagar_Rural,0.3,21.4,30.0,63.2,95.8,0,12.5
2020-01-04,Karimnagar,Karimnagar_Rural,3.0,19.5,23.5,86.8,97.7,0,11.2
2020-01-05,Karimnagar,Karimnagar_Rural,0.0,17.5,25.9,77.5,99.2,0,11.0
2020-01-06,Karimnagar,Karimnagar_Rural,0.0,15.0,26.8,60.6,97.0,0,12.9
2020-01-07,Karimnagar,Karimnagar_Rural,0.0,19.2,28.6,63.1,95.9,0,9.4
2020-01-08,Karimnagar,Karimnagar_Rural,0.0,21.9,30.1,65.8,95.4,0,11.7
2020-01-09,Karimnagar,Karimnagar_Rural,0.0,21.2,29.5,68.8,95.3,0,14.6
2020-01-10,Karimnagar,Karimnagar_Rural,0.0,18.0,29.6,66.8,94.3,0,14.5
2020-01-11,Karimnagar,Karimnagar_Rural,0.0,14.6,26.6,64.3,98.9,0,10.9
2020-01-12,Karimnagar,Karimnagar_Rural,0.0,12.7,27.4,56.3,96.0,0,9.6
2020-01-13,Karimnagar,Karimnagar_Rural,0.0,11.5,28.8,23.7,94.0,0,8.5
2020-01-14,Karimnagar,Karimnagar_Rural,0.0,14.2,30.1,32.0,98.7,0,6.5
2020-01-15,Karimnagar,Karimnagar_Rural,0.0,17.9,29.0,55.0,98.5,0,9.0
2020-01-16,Karimnagar,Karimnagar_Rural,0.0,18.4,29.1,56.3,96.4,0,11.3
2020-01-17,Karimnagar,Karimnagar_Rural,0.0,20.1,29.8,52.3,95.5,0,14.6
2020-01-18,Karimnagar,Karimnagar_Rural,0.0,20.2,30.3,57.1,96.0,0,9.6
2020-01-19,Karimnagar,Karimnagar_Rural,0.0,19.1,29.6,67.2,98.0,0,9.0
2020-01-20,Karimnagar,Karimnagar_Rural,0.0,20.0,30.3,68.2,97.5,0,10.8
2020-01-21,Karimnagar,Karimnagar_Rural,0.0,18.7,28.3,78.7,100.0,0,8.6
2020-01-22,Karimnagar,Karimnagar_Rural,0.0,20.2,30.3,64.5,97.3,0,13.3
2020-01-23,Karimnagar,Karimnagar_Rural,0.0,18.1,30.9,57.4,99.9,0,13.5
2020-01-24,Karimnagar,Karimnagar_Rural,0.0,17.3,30.9,52.4,100.0,0,12.1
2020-01-25,Karimnagar,Karimnagar_Rural,0.0,17.7,31.2,48.8,100.0,0,10.8
