Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Manakondur,0.0,20.1,26.8,66.5,94.5,0,15.5
2020-01-02,Karimnagar,Manakondur,0.0,21.3,29.5,60.6,96.1,0,22.0
2020-01-03,Karimnagar,Manakondur,0.0,22.1,28.8,66.9,92.2,0,14.9
2020-01-04,Karimnagar,Manakondur,4.0,19.5,23.6,88.7,95.1,0,8.4
2020-01-05,Karimnagar,Manakondur,0.0,17.8,25.3,81.9,96.1,0,7.4
2020-01-06,Karimnagar,Manakondur,0.0,15.7,26.5,60.2,91.6,0,8.7
2020-01-07,Karimnagar,Manakondur,0.0,19.4,27.7,64.4,97.8,0,7.7
2020-01-08,Karimnagar,Manakondur,0.0,21.3,29.8,64.3,97.3,0,13.9
2020-01-09,Karimnagar,Manakondur,0.0,20.6,29.1,67.3,92.3,0,16.2
2020-01-10,Karimnagar,Manakondur,0.0,17.9,29.7,61.2,90.2,0,13.2
2020-01-11,Karimnagar,Manakondur,0.0,14.8,26.6,63.4,91.4,0,7.5
2020-01-12,Karimnagar,Manakondur,0.0,13.9,27.4,56.5,95.2,0,5.3
2020-01-13,Karimnagar,Manakondur,0.0,13.6,27.5,34.9,93.1,0,6.8
2020-01-14,Karimnagar,Manakondur,0.0,15.6,29.6,36.1,92.9,0,6.0
2020-01-15,Karimnagar,Manakondur,0.0,17.4,28.4,57.2,94.8,0,9.7
2020-01-16,Karimnagar,Manakondur,0.0,17.3,28.6,53.1,93.8,0,15.5
2020-01-17,Karimnagar,Manakondur,0.0,20.1,29.7,54.1,93.0,0,19.2
2020-01-18,Karimnagar,Manakondur,0.0,20.4,29.3,58.7,94.6,0,14.4
2020-01-19,Karimnagar,Manakondur,0.0,19.4,28.7,60.9,95.1,0,13.4
2020-01-20,Karimnagar,Manakondur,0.0,19.8,29.8,67.1,95.3,0,14.5
2020-01-21,Karimnagar,Manakondur,0.0,19.4,28.1,69.1,96.6,0,8.5
2020-01-22,Karimnagar,Manakondur,0.0,20.5,29.4,63.9,94.6,0,15.2
2020-01-23,Karimnagar,Manakondur,0.0,18.4,30.0,58.5,95.9,0,13.0
2020-01-24,Karimnagar,Manakondur,0.0,18.5,30.9,53.1,94.9,0,7.4
2020-01-25,Karimnagar,Manakondur,0.0,18.2,30.9,52.3,96.7,0,7.7
2020-01-26,Karimnagar,Manakondur,0.0,18.4,31.7,47.3,94.8,0,6.5
2020-01-27,Karimnagar,Manakondur,0.0,17.3,31.5,47.8,98.2,0,6.9
2020-01-28,Karimnagar,Manakondur,0.0,20.6,32.1,50.2,88.6,0,14.9
2020-01-29,Karimnagar,Manakondur,0.0,20.2,32.5,51.1,92.4,0,15.4
2020-01-30,Karimnagar,Manakondur,0.0,18.7,31.1,51.8,93.8,0,10.5
2020-01-31,Karimnagar,Manakondur,0.0,16.5,29.0,55.0,89.1,0,6.6
2020-02-01,Karimnagar,Manakondur,0.0,19.6,28.6,57.7,92.9,0,9.5
2020-02-02,Karimnagar,Manakondur,1.3,18.8,30.3,59.8,92.4,0,17.3
2020-02-03,Karimnagar,Manakondur,0.0,20.6,29.5,63.4,95.9,0,9.8
2020-02-04,Karimnagar,Manakondur,0.0,21.1,30.3,61.2,92.2,0,12.9
2020-02-05,Karimnagar,Manakondur,0.0,19.7,32.2,50.4,94.3,0,14.7
2020-02-06,Karimnagar,Manakondur,0.0,19.8,30.8,56.9,94.8,0,14.4
2020-02-07,Karimnagar,Manakondur,0.0,21.5,32.3,48.6,90.2,0,13.7
2020-02-08,Karimnagar,Manakondur,0.0,21.7,30.7,58.5,92.5,0,15.6
2020-02-09,Karimnagar,Manakondur,23.7,18.0,26.7,82.3,96.4,0,10.7
2020-02-10,Karimnagar,Manakondur,0.0,17.6,25.2,79.1,96.4,0,8.7
2020-02-11,Karimnagar,Manakondur,0.0,19.8,27.8,71.8,96.3,0,10.1
2020-02-12,Karimnagar,Manakondur,0.0,20.5,29.7,62.8,97.2,0,12.1
2020-02-13,Karimnagar,Manakondur,0.0,17.9,30.5,60.0,97.1,0,11.1
2020-02-14,Karimnagar,Manakondur,0.0,18.8,30.5,43.5,89.6,0,6.3
2020-02-15,Karimnagar,Manakondur,0.0,16.9,32.9,35.5,97.0,0,6.9
2020-02-16,Karimnagar,Manakondur,0.0,17.6,32.3,43.5,94.6,0,6.9
2020-02-17,Karimnagar,Manakondur,0.0,17.4,33.1,41.9,94.5,0,7.4
2020-02-18,Karimnagar,Manakondur,0.0,16.4,32.7,42.4,94.9,0,9.0
2020-02-19,Karimnagar,Manakondur,0.0,15.1,32.2,33.0,93.8,0,6.9
2020-02-20,Karimnagar,Manakondur,0.0,19.9,31.6,43.4,95.4,0,11.6
2020-02-21,Karimnagar,Manakondur,0.0,19.7,30.7,60.2,95.0,0,18.5
2020-02-22,Karimnagar,Manakondur,0.0,18.0,30.6,53.5,97.0,0,15.4
2020-02-23,Karimnagar,Manakondur,0.0,18.6,31.4,52.8,96.3,0,15.4
2020-02-24,Karimnagar,Manakondur,0.0,19.7,32.2,47.9,94.6,0,13.4
2020-02-25,Karimnagar,Manakondur,0.0,20.6,32.5,48.4,92.0,0,16.6
2020-02-26,Karimnagar,Manakondur,0.0,18.8,31.6,57.0,90.5,0,8.6
2020-02-27,Karimnagar,Manakondur,0.0,15.7,30.2,41.2,81.2,0,9.1
2020-02-28,Karimnagar,Manakondur,0.0,16.3,31.6,36.0,92.6,0,12.6
2020-02-29,Karimnagar,Manakondur,0.0,19.3,31.7,47.3,96.0,0,15.5
2020-03-01,Karimnagar,Manakondur,0.0,20.6,31.2,59.2,96.0,0,14.5
2020-03-02,Karimnagar,Manakondur,0.0,22.0,30.8,53.7,92.6,0,15.7
2020-03-03,Karimnagar,Manakondur,0.0,20.4,31.8,61.7,95.2,0,10.6
