Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Shankarapatnam,0.0,20.1,27.4,60.9,91.1,0,11.9
2020-01-02,Karimnagar,Shankarapatnam,0.0,21.1,30.6,55.2,91.7,0,13.5
2020-01-03,Karimnagar,Shankarapatnam,0.0,22.0,29.7,60.8,91.4,0,9.8
2020-01-04,Karimnagar,Shankarapatnam,7.8,19.8,23.5,88.4,98.3,0,9.8
2020-01-05,Karimnagar,Shankarapatnam,0.0,18.3,25.3,85.1,98.2,0,7.8
2020-01-06,Karimnagar,Shankarapatnam,0.0,15.6,26.4,59.1,93.2,0,12.6
2020-01-07,Karimnagar,Shankarapatnam,0.0,20.1,28.2,60.4,89.4,0,8.4
2020-01-08,Karimnagar,Shankarapatnam,0.0,21.3,30.7,58.5,92.1,0,10.3
2020-01-09,Karimnagar,Shankarapatnam,0.0,20.7,29.7,62.9,91.7,0,12.2
2020-01-10,Karimnagar,Shankarapatnam,0.0,18.3,31.1,56.9,86.4,0,13.5
2020-01-11,Karimnagar,Shankarapatnam,0.0,15.6,26.2,64.1,90.0,0,9.0
2020-01-12,Karimnagar,Shankarapatnam,0.0,14.1,28.0,54.8,92.2,0,5.1
2020-01-13,Karimnagar,Shankarapatnam,0.0,12.9,28.1,39.4,91.5,0,9.4
2020-01-14,Karimnagar,Shankarapatnam,0.0,15.8,29.2,38.4,90.7,0,5.4
2020-01-15,Karimnagar,Shankarapatnam,0.0,18.1,29.6,48.8,92.2,0,8.8
2020-01-16,Karimnagar,Shankarapatnam,0.0,17.2,29.9,53.1,92.1,0,9.2
2020-01-17,Karimnagar,Shankarapatnam,0.0,20.0,31.2,48.6,91.6,0,10.1
2020-01-18,Karimnagar,Shankarapatnam,0.0,20.6,30.9,52.7,92.5,0,7.6
2020-01-19,Karimnagar,Shankarapatnam,0.0,19.6,30.8,59.1,92.6,0,11.0
2020-01-20,Karimnagar,Shankarapatnam,0.0,20.5,31.3,59.9,93.2,0,9.6
2020-01-21,Karimnagar,Shankarapatnam,0.0,19.5,29.9,70.0,95.1,0,6.5
2020-01-22,Karimnagar,Shankarapatnam,0.0,20.5,31.1,57.4,94.4,0,12.7
2020-01-23,Karimnagar,Shankarapatnam,0.0,19.3,32.3,51.4,94.3,0,10.0
2020-01-24,Karimnagar,Shankarapatnam,0.0,18.1,31.7,49.9,94.0,0,5.3
2020-01-25,Karimnagar,Shankarapatnam,0.0,17.3,30.7,50.5,97.0,0,5.4
2020-01-26,Karimnagar,Shankarapatnam,0.0,18.3,31.8,44.7,97.6,0,5.1
2020-01-27,Karimnagar,Shankarapatnam,0.0,17.0,31.3,47.8,92.6,0,6.3
2020-01-28,Karimnagar,Shankarapatnam,0.0,20.5,34.1,42.6,85.8,0,10.2
2020-01-29,Karimnagar,Shankarapatnam,0.0,21.0,33.7,45.7,90.7,0,9.5
2020-01-30,Karimnagar,Shankarapatnam,0.0,19.9,30.4,56.2,89.3,0,8.1
2020-01-31,Karimnagar,Shankarapatnam,0.0,16.6,28.4,53.8,88.6,0,8.5
2020-02-01,Karimnagar,Shankarapatnam,0.0,20.3,28.8,55.8,89.7,0,6.9
2020-02-02,Karimnagar,Shankarapatnam,0.0,19.0,32.1,53.0,84.9,0,10.9
2020-02-03,Karimnagar,Shankarapatnam,0.0,20.6,31.0,54.4,91.9,0,7.2
2020-02-04,Karimnagar,Shankarapatnam,0.0,20.9,32.4,52.6,91.6,0,11.4
2020-02-05,Karimnagar,Shankarapatnam,0.0,20.1,33.9,46.0,90.0,0,11.5
2020-02-06,Karimnagar,Shankarapatnam,0.0,19.9,32.4,51.8,89.8,0,9.2
2020-02-07,Karimnagar,Shankarapatnam,0.0,21.8,34.1,42.9,87.5,0,12.1
2020-02-08,Karimnagar,Shankarapatnam,0.0,22.1,31.8,51.7,88.3,0,12.3
2020-02-09,Karimnagar,Shankarapatnam,12.2,18.3,26.8,81.4,96.7,0,12.1
2020-02-10,Karimnagar,Shankarapatnam,0.0,17.9,26.6,82.9,98.6,0,9.0
2020-02-11,Karimnagar,Shankarapatnam,0.0,20.6,28.1,81.7,98.7,0,8.5
