Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,V_Saidapur,0.0,20.7,26.4,61.0,85.5,0,14.1
2020-01-02,Karimnagar,V_Saidapur,0.0,21.3,29.6,44.5,85.4,0,15.9
2020-01-03,Karimnagar,V_Saidapur,0.0,22.0,29.1,59.4,84.6,0,16.2
2020-01-04,Karimnagar,V_Saidapur,2.8,19.9,23.4,83.6,98.3,0,8.2
2020-01-05,Karimnagar,V_Saidapur,0.0,18.7,25.3,75.2,91.2,0,0.9
2020-01-06,Karimnagar,V_Saidapur,0.0,16.0,26.6,45.4,82.9,0,8.6
2020-01-07,Karimnagar,V_Saidapur,0.0,20.6,28.4,44.6,84.1,0,4.1
2020-01-08,Karimnagar,V_Saidapur,0.0,21.3,29.6,58.4,89.3,0,14.8
2020-01-09,Karimnagar,V_Saidapur,0.0,20.9,29.6,60.5,87.1,0,15.3
2020-01-10,Karimnagar,V_Saidapur,0.0,18.6,30.7,45.4,82.7,0,8.0
2020-01-11,Karimnagar,V_Saidapur,0.0,15.8,26.7,62.1,78.2,0,2.3
2020-01-12,Karimnagar,V_Saidapur,0.0,15.3,27.8,44.4,73.2,0,0.2
2020-01-13,Karimnagar,V_Saidapur,0.0,12.9,27.8,37.8,83.2,0,0.9
2020-01-14,Karimnagar,V_Saidapur,0.0,15.7,29.5,36.8,87.9,0,4.2
2020-01-15,Karimnagar,V_Saidapur,0.0,18.4,29.1,45.0,92.2,0,10.7
2020-01-16,Karimnagar,V_Saidapur,0.0,17.8,28.9,45.0,91.9,0,14.6
2020-01-17,Karimnagar,V_Saidapur,0.0,20.0,29.9,42.2,86.5,0,15.2
2020-01-18,Karimnagar,V_Saidapur,0.0,20.9,30.0,43.0,89.1,0,16.5
2020-01-19,Karimnagar,V_Saidapur,0.0,19.9,29.3,45.2,92.6,0,14.8
2020-01-20,Karimnagar,V_Saidapur,0.0,20.7,30.9,43.8,92.8,0,10.0
2020-01-21,Karimnagar,V_Saidapur,0.0,19.4,29.7,46.3,95.0,0,6.5
2020-01-22,Karimnagar,V_Saidapur,0.0,20.7,30.1,42.2,88.5,0,13.8
2020-01-23,Karimnagar,V_Saidapur,0.0,19.6,31.4,43.1,94.2,0,14.0
