Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Khammam,Bonakal,0.0,19.1,29.9,49.2,95.3,0,8.6
2020-01-02,Khammam,Bonakal,0.0,20.7,31.2,54.1,83.6,0,10.8
2020-01-03,Khammam,Bonakal,0.0,20.5,28.8,67.4,98.2,0,8.6
2020-01-04,Khammam,Bonakal,6.6,22.9,30.5,61.7,100.0,0,8.2
2020-01-05,Khammam,Bonakal,0.0,21.9,30.1,82.8,100.0,0,6.0
2020-01-06,Khammam,Bonakal,0.0,20.3,30.2,56.6,100.0,0,7.9
2020-01-07,Khammam,Bonakal,0.0,21.7,29.8,54.7,96.2,0,8.2
2020-01-08,Khammam,Bonakal,0.0,19.8,31.6,50.1,100.0,0,5.7
2020-01-09,Khammam,Bonakal,0.0,19.7,31.5,50.9,100.0,0,10.9
2020-01-10,Khammam,Bonakal,0.0,20.0,30.3,55.5,100.0,0,6.9
2020-01-11,Khammam,Bonakal,0.0,21.4,30.0,61.1,100.0,0,6.5
2020-01-12,Khammam,Bonakal,0.0,18.6,30.5,52.0,100.0,0,7.7
2020-01-13,Khammam,Bonakal,0.0,17.0,30.2,44.3,100.0,0,5.2
2020-01-14,Khammam,Bonakal,0.0,18.4,30.9,42.2,100.0,0,7.9
2020-01-15,Khammam,Bonakal,0.0,17.0,31.1,47.3,100.0,0,3.9
2020-01-16,Khammam,Bonakal,0.0,17.4,29.8,46.9,100.0,0,8.3
2020-01-17,Khammam,Bonakal,0.0,18.5,31.1,42.6,100.0,0,10.6
2020-01-18,Khammam,Bonakal,0.0,19.5,33.5,39.3,100.0,0,9.0
2020-01-19,Khammam,Bonakal,0.0,20.3,30.8,46.9,100.0,0,7.6
2020-01-20,Khammam,Bonakal,0.0,19.7,31.6,49.9,100.0,0,9.3
2020-01-21,Khammam,Bonakal,0.0,19.8,32.3,49.9,100.0,0,2.3
