Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Khammam,Enkuru,0.0,20.5,31.1,54.6,92.3,0,11.6
2020-01-02,Khammam,Enkuru,0.0,21.8,32.7,55.5,93.3,0,14.6
2020-01-03,Khammam,Enkuru,0.0,21.8,32.3,62.6,94.1,0,14.6
2020-01-04,Khammam,Enkuru,2.2,23.3,31.3,67.2,96.2,0,13.4
2020-01-05,Khammam,Enkuru,0.0,22.7,28.6,74.0,93.5,0,5.0
2020-01-06,Khammam,Enkuru,0.0,21.7,32.4,56.6,91.4,0,8.4
2020-01-07,Khammam,Enkuru,0.0,21.4,31.2,55.2,91.9,0,11.5
2020-01-08,Khammam,Enkuru,0.0,21.4,32.6,55.4,94.4,0,11.0
2020-01-09,Khammam,Enkuru,0.0,23.1,31.1,57.3,92.8,0,14.5
2020-01-10,Khammam,Enkuru,0.0,22.0,31.4,59.6,96.1,0,12.1
2020-01-11,Khammam,Enkuru,0.0,21.5,32.7,54.9,95.3,0,8.3
2020-01-12,Khammam,Enkuru,0.0,17.9,32.7,52.6,95.5,0,5.0
2020-01-13,Khammam,Enkuru,0.0,18.2,33.2,42.9,92.2,0,9.1
2020-01-14,Khammam,Enkuru,0.0,19.5,33.2,47.6,96.2,0,4.3
2020-01-15,Khammam,Enkuru,0.0,19.3,31.5,54.5,93.9,0,10.7
2020-01-16,Khammam,Enkuru,0.0,18.6,31.4,53.4,96.5,0,12.7
2020-01-17,Khammam,Enkuru,0.0,20.0,32.7,54.3,95.2,0,15.2
2020-01-18,Khammam,Enkuru,0.0,21.6,33.9,52.1,95.8,0,13.3
2020-01-19,Khammam,Enkuru,0.0,22.3,33.1,52.3,93.8,0,11.0
2020-01-20,Khammam,Enkuru,0.0,21.7,32.9,54.0,96.0,0,12.1
2020-01-21,Khammam,Enkuru,0.0,21.8,32.7,54.3,94.8,0,7.0
2020-01-22,Khammam,Enkuru,0.0,21.2,32.6,53.7,93.9,0,11.4
2020-01-23,Khammam,Enkuru,0.0,22.1,33.8,48.7,95.0,0,10.0
2020-01-24,Khammam,Enkuru,0.0,20.6,33.8,54.9,95.4,0,7.7
2020-01-25,Khammam,Enkuru,0.0,21.6,34.9,46.0,95.1,0,7.2
2020-01-26,Khammam,Enkuru,0.0,21.8,35.4,46.6,96.1,0,7.3
2020-01-27,Khammam,Enkuru,0.0,20.2,35.0,49.2,96.1,0,9.7
2020-01-28,Khammam,Enkuru,0.0,23.4,35.5,44.5,93.6,0,9.9
2020-01-29,Khammam,Enkuru,0.0,24.7,33.8,52.4,89.9,0,15.8
2020-01-30,Khammam,Enkuru,0.0,23.0,34.0,54.9,94.2,0,10.7
2020-01-31,Khammam,Enkuru,0.0,23.4,35.0,55.2,86.8,0,6.8
2020-02-01,Khammam,Enkuru,0.0,24.4,33.8,54.0,90.7,0,12.4
2020-02-02,Khammam,Enkuru,0.0,21.7,33.9,54.8,96.1,0,13.6
2020-02-03,Khammam,Enkuru,0.0,22.0,33.8,55.3,94.3,0,14.5
2020-02-04,Khammam,Enkuru,0.0,23.1,33.2,52.9,92.1,0,10.6
2020-02-05,Khammam,Enkuru,0.0,23.4,33.9,54.9,95.0,0,12.9
2020-02-06,Khammam,Enkuru,0.0,20.5,34.0,51.2,95.4,0,12.5
2020-02-07,Khammam,Enkuru,0.0,24.0,33.6,50.2,92.9,0,15.5
2020-02-08,Khammam,Enkuru,0.0,23.1,33.4,54.8,92.3,0,13.2
2020-02-09,Khammam,Enkuru,0.0,23.4,33.1,51.8,92.5,0,13.9
2020-02-10,Khammam,Enkuru,0.2,21.9,28.5,66.3,93.0,0,7.1
2020-02-11,Khammam,Enkuru,0.7,23.4,31.4,56.2,91.6,0,9.8
2020-02-12,Khammam,Enkuru,0.0,21.6,32.4,56.7,96.0,0,9.8
2020-02-13,Khammam,Enkuru,0.0,21.8,35.5,46.9,92.9,0,8.9
2020-02-14,Khammam,Enkuru,0.0,19.5,35.2,33.0,81.6,0,7.7
2020-02-15,Khammam,Enkuru,0.0,18.4,35.2,31.0,89.3,0,6.7
2020-02-16,Khammam,Enkuru,0.0,19.6,36.5,37.2,94.9,0,5.9
2020-02-17,Khammam,Enkuru,0.0,19.3,36.2,40.8,95.2,0,10.1
2020-02-18,Khammam,Enkuru,0.0,19.3,35.3,44.7,95.2,0,10.8
2020-02-19,Khammam,Enkuru,0.0,22.3,35.0,48.6,93.4,0,9.9
2020-02-20,Khammam,Enkuru,0.0,22.0,33.8,49.9,93.6,0,13.9
2020-02-21,Khammam,Enkuru,0.0,21.6,33.9,53.8,93.7,0,15.5
2020-02-22,Khammam,Enkuru,0.0,19.4,33.7,50.0,89.6,0,15.3
