Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Khammam,Kalluru,0.0,20.6,30.8,52.9,90.8,0,0.7
2020-01-02,Khammam,Kalluru,0.0,21.4,30.1,66.1,96.2,0,3.3
2020-01-03,Khammam,Kalluru,0.0,21.7,30.1,58.2,89.7,0,6.4
2020-01-04,Khammam,Kalluru,2.6,21.3,30.7,72.7,100.0,0,0.1
2020-01-05,Khammam,Kalluru,0.0,21.7,28.2,75.8,95.9,0,5.3
2020-01-06,Khammam,Kalluru,0.0,20.9,30.7,60.0,100.0,0,0.1
2020-01-07,Khammam,Kalluru,0.0,21.9,30.1,63.5,100.0,0,7.9
2020-01-08,Khammam,Kalluru,0.0,20.3,30.4,57.6,92.3,0,5.5
2020-01-09,Khammam,Kalluru,0.0,20.3,30.1,54.7,96.2,0,2.4
2020-01-10,Khammam,Kalluru,0.0,20.4,30.6,62.6,96.2,0,0.9
2020-01-11,Khammam,Kalluru,0.0,22.0,30.1,67.2,100.0,0,2.3
2020-01-12,Khammam,Kalluru,0.0,19.8,30.1,62.6,88.9,0,4.2
2020-01-13,Khammam,Kalluru,0.0,19.7,31.5,49.1,97.8,0,2.0
2020-01-14,Khammam,Kalluru,0.0,22.4,32.4,55.8,98.8,0,5.8
2020-01-15,Khammam,Kalluru,0.0,20.6,30.1,49.4,95.5,0,0.1
2020-01-16,Khammam,Kalluru,0.0,20.3,30.5,57.2,95.6,0,3.0
2020-01-17,Khammam,Kalluru,0.0,21.5,30.1,62.6,96.2,0,2.1
2020-01-18,Khammam,Kalluru,0.0,22.4,33.3,51.8,90.7,0,1.3
2020-01-19,Khammam,Kalluru,0.0,22.3,33.0,54.0,100.0,0,7.2
2020-01-20,Khammam,Kalluru,0.0,22.2,31.9,51.8,98.2,0,6.0
2020-01-21,Khammam,Kalluru,0.0,22.2,33.2,55.8,100.0,0,4.5
2020-01-22,Khammam,Kalluru,0.0,22.2,33.1,55.8,98.7,0,1.5
2020-01-23,Khammam,Kalluru,0.0,21.9,32.6,50.9,91.2,0,2.5
2020-01-24,Khammam,Kalluru,0.0,21.1,33.2,58.5,91.2,0,0.1
2020-01-25,Khammam,Kalluru,0.0,22.4,34.9,52.5,92.6,0,4.8
2020-01-26,Khammam,Kalluru,0.0,22.4,33.0,50.9,96.2,0,0.1
2020-01-27,Khammam,Kalluru,0.0,20.7,34.7,52.8,91.4,0,0.9
2020-01-28,Khammam,Kalluru,0.0,22.1,34.8,46.0,100.0,0,0.1
2020-01-29,Khammam,Kalluru,0.0,24.5,32.8,55.4,91.7,0,1.8
2020-01-30,Khammam,Kalluru,0.0,22.2,33.2,58.0,92.2,0,7.6
2020-01-31,Khammam,Kalluru,0.0,22.5,32.8,58.9,91.5,0,5.6
2020-02-01,Khammam,Kalluru,0.0,22.3,32.7,56.7,98.2,0,4.5
2020-02-02,Khammam,Kalluru,0.0,22.0,33.1,58.7,93.2,0,9.3
2020-02-03,Khammam,Kalluru,0.0,21.8,33.3,55.7,99.8,0,4.9
2020-02-04,Khammam,Kalluru,0.0,21.5,32.8,62.6,92.4,0,1.4
2020-02-05,Khammam,Kalluru,0.0,22.2,32.7,63.1,96.3,0,9.4
2020-02-06,Khammam,Kalluru,0.0,22.4,33.2,55.0,90.2,0,6.2
2020-02-07,Khammam,Kalluru,0.0,22.1,32.8,55.6,100.0,0,5.8
2020-02-08,Khammam,Kalluru,0.0,21.8,33.0,55.0,98.1,0,8.9
2020-02-09,Khammam,Kalluru,0.0,21.9,32.2,55.1,91.5,0,5.9
2020-02-10,Khammam,Kalluru,0.0,21.9,27.5,73.2,100.0,0,4.8
2020-02-11,Khammam,Kalluru,0.6,22.5,30.1,61.1,96.5,0,1.3
2020-02-12,Khammam,Kalluru,0.0,22.4,33.3,59.0,100.0,0,0.2
2020-02-13,Khammam,Kalluru,0.0,19.0,32.6,55.9,96.6,0,0.2
2020-02-14,Khammam,Kalluru,0.0,20.1,34.7,40.9,90.1,0,7.5
2020-02-15,Khammam,Kalluru,0.0,21.8,35.2,34.8,91.0,0,0.3
2020-02-16,Khammam,Kalluru,0.0,22.4,35.2,40.0,98.3,0,0.1
2020-02-17,Khammam,Kalluru,0.0,21.8,35.7,42.5,95.7,0,4.5
2020-02-18,Khammam,Kalluru,0.0,21.8,32.6,48.9,95.6,0,0.2
2020-02-19,Khammam,Kalluru,0.0,22.4,33.1,50.1,97.1,0,2.3
2020-02-20,Khammam,Kalluru,0.0,22.4,32.6,55.1,96.7,0,8.0
2020-02-21,Khammam,Kalluru,0.0,21.8,33.1,54.8,99.9,0,0.4
2020-02-22,Khammam,Kalluru,0.0,21.8,33.2,55.0,95.5,0,1.8
2020-02-23,Khammam,Kalluru,0.0,22.1,33.3,48.9,96.2,0,2.9
2020-02-24,Khammam,Kalluru,0.0,22.4,35.8,55.2,97.8,0,5.6
2020-02-25,Khammam,Kalluru,0.0,22.4,35.7,41.7,96.5,0,0.1
2020-02-26,Khammam,Kalluru,0.0,22.4,34.8,57.3,99.9,0,1.7
2020-02-27,Khammam,Kalluru,0.0,22.8,34.9,56.7,96.9,0,0.1
2020-02-28,Khammam,Kalluru,0.0,22.4,34.9,46.8,96.2,0,0.3
2020-02-29,Khammam,Kalluru,0.0,22.4,34.9,51.6,98.8,0,8.3
2020-03-01,Khammam,Kalluru,0.0,22.4,35.0,49.8,99.9,0,1.6
2020-03-02,Khammam,Kalluru,0.0,22.4,35.6,55.2,96.2,0,0.6
2020-03-03,Khammam,Kalluru,0.0,22.4,33.3,63.1,97.0,0,0.1
2020-03-04,Khammam,Kalluru,0.0,24.5,35.7,56.9,98.2,0,0.3
2020-03-05,Khammam,Kalluru,0.0,22.4,35.3,47.1,99.9,0,4.0
2020-03-06,Khammam,Kalluru,0.0,24.9,35.5,58.1,97.0,0,10.8
2020-03-07,Khammam,Kalluru,0.9,24.9,33.1,59.4,97.5,0,14.8
2020-03-08,Khammam,Kalluru,5.2,24.9,32.2,77.0,99.9,0,0.1
2020-03-09,Khammam,Kalluru,0.0,24.8,35.1,63.2,98.0,0,7.0
2020-03-10,Khammam,Kalluru,0.0,24.4,35.7,50.6,96.9,0,0.3
2020-03-11,Khammam,Kalluru,0.0,24.7,36.7,51.6,97.0,0,10.8
2020-03-12,Khammam,Kalluru,0.0,22.4,35.9,57.6,97.3,0,7.5
