Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Khammam,Khammam_Urban,0.0,19.5,30.8,55.3,97.4,0,0.9
2020-01-02,Khammam,Khammam_Urban,0.0,21.3,31.7,60.3,97.5,0,1.1
2020-01-03,Khammam,Khammam_Urban,0.0,22.0,30.2,68.6,96.4,0,0.9
2020-01-04,Khammam,Khammam_Urban,2.7,21.8,29.8,74.1,99.1,0,1.1
2020-01-05,Khammam,Khammam_Urban,0.0,21.7,27.6,79.7,97.2,0,1.3
2020-01-06,Khammam,Khammam_Urban,0.0,20.3,31.7,62.3,95.0,0,1.2
2020-01-07,Khammam,Khammam_Urban,0.0,22.1,31.2,60.2,96.9,0,0.8
2020-01-08,Khammam,Khammam_Urban,0.0,21.4,31.3,59.3,98.0,0,1.1
2020-01-09,Khammam,Khammam_Urban,0.0,19.8,31.7,63.0,98.4,0,1.4
2020-01-10,Khammam,Khammam_Urban,0.0,21.9,31.1,63.1,97.2,0,0.8
2020-01-11,Khammam,Khammam_Urban,0.0,22.0,31.0,61.3,93.0,0,0.9
2020-01-12,Khammam,Khammam_Urban,0.0,20.0,31.7,57.0,97.1,0,1.2
2020-01-13,Khammam,Khammam_Urban,0.0,18.5,32.0,39.8,95.8,0,1.1
2020-01-14,Khammam,Khammam_Urban,0.0,20.2,32.2,47.3,98.6,0,1.1
2020-01-15,Khammam,Khammam_Urban,0.0,19.6,31.3,54.0,98.8,0,0.9
2020-01-16,Khammam,Khammam_Urban,0.0,19.6,31.4,51.7,98.0,0,0.9
2020-01-17,Khammam,Khammam_Urban,0.0,21.2,32.0,50.6,99.1,0,1.0
2020-01-18,Khammam,Khammam_Urban,0.0,22.0,32.2,49.0,99.0,0,0.9
2020-01-19,Khammam,Khammam_Urban,0.0,22.2,32.5,55.1,98.2,0,0.8
2020-01-20,Khammam,Khammam_Urban,0.0,21.4,32.4,59.9,98.8,0,0.8
2020-01-21,Khammam,Khammam_Urban,0.0,21.7,32.5,58.1,97.5,0,0.9
2020-01-22,Khammam,Khammam_Urban,0.0,20.9,32.3,53.7,99.0,0,0.8
2020-01-23,Khammam,Khammam_Urban,0.0,21.6,32.9,43.3,98.3,0,0.9
2020-01-24,Khammam,Khammam_Urban,0.0,21.4,33.3,53.8,98.7,0,0.7
2020-01-25,Khammam,Khammam_Urban,0.0,22.4,34.8,43.9,98.0,0,1.0
2020-01-26,Khammam,Khammam_Urban,0.0,21.1,34.5,43.9,99.1,0,
2020-01-27,Khammam,Khammam_Urban,0.0,21.4,34.7,44.2,97.8,0,0.1
2020-01-28,Khammam,Khammam_Urban,0.0,22.1,34.6,40.3,98.6,0,
2020-01-29,Khammam,Khammam_Urban,0.0,23.0,33.4,48.2,97.0,0,1.0
2020-01-30,Khammam,Khammam_Urban,0.0,22.4,33.4,56.1,97.3,0,
2020-01-31,Khammam,Khammam_Urban,0.0,23.8,34.7,57.5,95.2,0,
2020-02-01,Khammam,Khammam_Urban,0.0,22.7,32.5,57.5,96.8,0,
2020-02-02,Khammam,Khammam_Urban,0.0,22.1,33.6,55.1,98.0,0,65.1
2020-02-03,Khammam,Khammam_Urban,0.0,22.0,32.3,53.9,98.9,0,65.1
2020-02-04,Khammam,Khammam_Urban,0.0,21.9,32.2,57.4,98.5,0,65.1
2020-02-05,Khammam,Khammam_Urban,0.0,22.2,33.7,51.3,98.5,0,
2020-02-06,Khammam,Khammam_Urban,0.0,21.3,33.6,52.0,97.7,0,
2020-02-07,Khammam,Khammam_Urban,0.0,22.2,34.1,47.5,97.1,0,
2020-02-08,Khammam,Khammam_Urban,0.0,22.2,32.3,56.6,95.6,0,
2020-02-09,Khammam,Khammam_Urban,0.4,22.6,32.4,58.0,95.2,0,
2020-02-10,Khammam,Khammam_Urban,1.9,21.7,27.2,70.4,97.1,0,
2020-02-11,Khammam,Khammam_Urban,0.0,23.6,30.3,66.3,96.4,0,
2020-02-12,Khammam,Khammam_Urban,0.0,22.3,32.7,56.4,98.0,0,
2020-02-13,Khammam,Khammam_Urban,0.0,22.2,32.3,56.9,97.2,0,
2020-02-14,Khammam,Khammam_Urban,0.0,21.6,35.2,24.2,89.6,0,
2020-02-15,Khammam,Khammam_Urban,0.0,20.7,35.3,19.7,91.6,0,
2020-02-16,Khammam,Khammam_Urban,0.0,21.7,36.6,38.6,97.3,0,
2020-02-17,Khammam,Khammam_Urban,0.0,20.7,35.8,42.9,96.9,0,
2020-02-18,Khammam,Khammam_Urban,0.0,21.3,35.5,41.6,97.4,0,
2020-02-19,Khammam,Khammam_Urban,0.0,22.0,34.7,44.8,97.7,0,
