Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Khammam,Mudigonda,0.0,19.8,30.0,52.1,97.5,0,9.2
2020-01-02,Khammam,Mudigonda,0.0,21.9,31.9,55.1,97.0,0,7.3
2020-01-03,Khammam,Mudigonda,0.0,21.9,30.8,68.0,96.6,0,6.6
2020-01-04,Khammam,Mudigonda,2.2,21.9,30.3,71.5,99.5,0,8.0
2020-01-05,Khammam,Mudigonda,0.0,21.9,29.7,76.0,99.3,0,5.0
2020-01-06,Khammam,Mudigonda,0.0,20.9,31.1,54.2,95.9,0,2.7
2020-01-07,Khammam,Mudigonda,0.0,21.8,30.2,58.3,95.9,0,7.1
2020-01-08,Khammam,Mudigonda,0.0,21.3,31.4,54.2,99.0,0,7.4
2020-01-09,Khammam,Mudigonda,0.0,19.9,31.5,55.8,98.9,0,5.0
2020-01-10,Khammam,Mudigonda,0.0,21.5,31.5,57.4,97.6,0,5.7
2020-01-11,Khammam,Mudigonda,0.0,21.7,32.0,55.5,94.4,0,3.5
2020-01-12,Khammam,Mudigonda,0.0,20.0,31.9,50.6,98.1,0,3.7
2020-01-13,Khammam,Mudigonda,0.0,17.4,30.8,47.8,96.1,0,5.4
2020-01-14,Khammam,Mudigonda,0.0,20.0,32.0,44.8,98.8,0,3.9
2020-01-15,Khammam,Mudigonda,0.0,19.2,32.2,46.3,99.0,0,4.6
2020-01-16,Khammam,Mudigonda,0.0,18.8,31.1,47.4,99.1,0,8.6
2020-01-17,Khammam,Mudigonda,0.0,19.3,32.4,45.4,99.2,0,8.3
2020-01-18,Khammam,Mudigonda,0.0,21.4,32.6,46.5,99.0,0,6.7
2020-01-19,Khammam,Mudigonda,0.0,21.8,32.6,48.7,99.0,0,6.0
2020-01-20,Khammam,Mudigonda,0.0,21.7,32.6,50.3,99.0,0,4.7
2020-01-21,Khammam,Mudigonda,0.0,21.2,33.2,45.5,98.4,0,5.2
2020-01-22,Khammam,Mudigonda,0.0,19.8,32.9,49.8,99.0,0,4.6
2020-01-23,Khammam,Mudigonda,0.0,21.3,34.8,40.9,99.0,0,6.2
2020-01-24,Khammam,Mudigonda,0.0,20.1,33.2,45.9,99.0,0,2.7
2020-01-25,Khammam,Mudigonda,0.0,21.6,34.2,38.7,99.3,0,4.5
2020-01-26,Khammam,Mudigonda,0.0,21.1,34.5,41.8,99.2,0,5.6
2020-01-27,Khammam,Mudigonda,0.0,19.8,34.8,41.0,99.1,0,4.5
2020-01-28,Khammam,Mudigonda,0.0,21.8,34.9,34.6,99.2,0,5.9
2020-01-29,Khammam,Mudigonda,0.0,22.0,34.0,41.3,98.9,0,6.4
2020-01-30,Khammam,Mudigonda,0.0,22.6,34.2,51.2,97.4,0,5.2
2020-01-31,Khammam,Mudigonda,0.0,22.4,33.8,56.0,94.5,0,2.2
2020-02-01,Khammam,Mudigonda,0.0,21.8,33.6,46.5,98.2,0,5.4
2020-02-02,Khammam,Mudigonda,0.0,21.4,33.5,49.8,98.8,0,5.1
2020-02-03,Khammam,Mudigonda,0.0,21.6,34.0,49.2,99.3,0,5.1
2020-02-04,Khammam,Mudigonda,0.0,21.3,32.4,46.1,98.9,0,4.1
2020-02-05,Khammam,Mudigonda,0.0,21.0,34.1,48.5,98.9,0,10.4
2020-02-06,Khammam,Mudigonda,0.0,20.3,35.0,40.6,97.9,0,7.2
2020-02-07,Khammam,Mudigonda,0.0,21.4,34.1,43.0,97.9,0,8.3
2020-02-08,Khammam,Mudigonda,0.0,21.7,33.2,52.3,95.7,0,6.9
2020-02-09,Khammam,Mudigonda,3.2,21.6,32.1,51.5,97.6,0,7.8
2020-02-10,Khammam,Mudigonda,2.9,21.6,27.4,76.5,98.7,0,6.9
2020-02-11,Khammam,Mudigonda,0.0,22.0,29.6,68.4,97.9,0,6.6
2020-02-12,Khammam,Mudigonda,0.0,21.9,32.4,54.2,99.3,0,6.5
2020-02-13,Khammam,Mudigonda,0.0,21.7,33.5,47.6,98.9,0,6.2
2020-02-14,Khammam,Mudigonda,0.0,20.5,35.2,28.1,88.4,0,7.9
2020-02-15,Khammam,Mudigonda,0.0,18.9,35.1,24.1,95.1,0,4.4
2020-02-16,Khammam,Mudigonda,0.0,20.8,34.9,36.4,99.0,0,2.8
2020-02-17,Khammam,Mudigonda,0.0,20.1,36.5,40.3,99.3,0,2.9
2020-02-18,Khammam,Mudigonda,0.0,20.1,35.2,39.5,97.7,0,4.6
2020-02-19,Khammam,Mudigonda,0.0,21.0,35.7,39.7,98.8,0,6.4
2020-02-20,Khammam,Mudigonda,0.0,20.5,34.3,42.1,97.4,0,5.1
2020-02-21,Khammam,Mudigonda,0.0,19.7,33.9,44.7,97.7,0,6.7
2020-02-22,Khammam,Mudigonda,0.0,19.2,32.6,40.5,97.3,0,7.7
2020-02-23,Khammam,Mudigonda,0.0,19.5,34.4,39.5,97.4,0,6.8
2020-02-24,Khammam,Mudigonda,0.0,21.4,35.2,41.6,99.2,0,4.1
2020-02-25,Khammam,Mudigonda,0.0,21.9,36.0,38.9,99.0,0,7.8
2020-02-26,Khammam,Mudigonda,0.0,21.9,34.0,45.0,98.2,0,5.6
2020-02-27,Khammam,Mudigonda,0.0,23.4,35.2,47.4,88.4,0,4.8
2020-02-28,Khammam,Mudigonda,0.0,21.7,35.9,32.9,96.1,0,4.7
2020-02-29,Khammam,Mudigonda,0.0,21.2,34.9,41.9,96.3,0,5.0
2020-03-01,Khammam,Mudigonda,0.0,21.7,36.2,41.1,97.5,0,5.8
