Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Khammam,Nelakondapalle,0.0,19.9,30.5,50.0,100.0,0,0.3
2020-01-02,Khammam,Nelakondapalle,0.0,21.6,32.8,50.4,100.0,0,4.8
2020-01-03,Khammam,Nelakondapalle,0.0,21.8,31.1,64.8,98.8,0,0.3
2020-01-04,Khammam,Nelakondapalle,0.0,21.5,28.6,74.4,100.0,0,1.8
2020-01-05,Khammam,Nelakondapalle,0.0,21.6,30.0,72.3,98.7,0,5.0
2020-01-06,Khammam,Nelakondapalle,0.0,19.8,32.9,48.7,89.3,0,0.1
2020-01-07,Khammam,Nelakondapalle,0.0,21.8,31.7,51.5,98.8,0,0.9
2020-01-08,Khammam,Nelakondapalle,0.0,20.5,30.1,58.5,100.0,0,0.2
2020-01-09,Khammam,Nelakondapalle,0.0,19.5,30.8,56.0,100.0,0,5.0
2020-01-10,Khammam,Nelakondapalle,0.0,21.4,31.3,53.6,100.0,0,2.9
2020-01-11,Khammam,Nelakondapalle,0.0,20.7,31.4,58.0,93.8,0,1.2
2020-01-12,Khammam,Nelakondapalle,0.0,19.6,32.3,43.2,100.0,0,3.7
2020-01-13,Khammam,Nelakondapalle,0.0,17.4,31.1,38.9,97.1,0,5.1
2020-01-14,Khammam,Nelakondapalle,0.0,19.8,32.1,43.7,100.0,0,2.0
2020-01-15,Khammam,Nelakondapalle,0.0,19.1,31.7,44.3,100.0,0,2.4
2020-01-16,Khammam,Nelakondapalle,0.0,19.4,33.3,40.3,100.0,0,1.1
2020-01-17,Khammam,Nelakondapalle,0.0,19.8,31.3,42.8,100.0,0,0.2
2020-01-18,Khammam,Nelakondapalle,0.0,21.5,34.2,37.3,100.0,0,5.5
2020-01-19,Khammam,Nelakondapalle,0.0,21.8,33.8,42.0,100.0,0,3.9
2020-01-20,Khammam,Nelakondapalle,0.0,21.4,34.2,46.9,100.0,0,3.1
2020-01-21,Khammam,Nelakondapalle,0.0,21.3,33.6,42.0,100.0,0,0.5
2020-01-22,Khammam,Nelakondapalle,0.0,20.5,33.9,42.0,100.0,0,1.7
2020-01-23,Khammam,Nelakondapalle,0.0,20.9,34.3,37.6,100.0,0,1.3
2020-01-24,Khammam,Nelakondapalle,0.0,20.6,33.6,41.5,100.0,0,1.7
2020-01-25,Khammam,Nelakondapalle,0.0,21.7,35.3,29.1,100.0,0,0.1
2020-01-26,Khammam,Nelakondapalle,0.0,20.5,34.2,37.9,100.0,0,4.3
2020-01-27,Khammam,Nelakondapalle,0.0,20.3,35.9,36.8,100.0,0,4.5
2020-01-28,Khammam,Nelakondapalle,0.0,21.2,35.6,30.5,100.0,0,3.8
2020-01-29,Khammam,Nelakondapalle,0.0,22.6,35.8,33.1,100.0,0,6.6
2020-01-30,Khammam,Nelakondapalle,0.0,23.3,34.8,44.1,100.0,0,0.4
2020-01-31,Khammam,Nelakondapalle,0.0,23.1,34.8,49.7,100.0,0,0.1
2020-02-01,Khammam,Nelakondapalle,0.0,21.7,33.3,46.5,100.0,0,0.5
2020-02-02,Khammam,Nelakondapalle,0.0,21.5,34.7,43.7,100.0,0,0.9
2020-02-03,Khammam,Nelakondapalle,0.0,21.6,33.1,45.4,100.0,0,2.9
2020-02-04,Khammam,Nelakondapalle,0.0,21.3,33.4,44.8,100.0,0,0.1
2020-02-05,Khammam,Nelakondapalle,0.0,21.0,35.1,42.4,100.0,0,2.2
2020-02-06,Khammam,Nelakondapalle,0.0,20.5,35.2,39.6,100.0,0,4.0
2020-02-07,Khammam,Nelakondapalle,0.0,21.3,35.0,39.0,100.0,0,1.6
2020-02-08,Khammam,Nelakondapalle,0.0,21.8,32.9,48.2,96.3,0,3.4
2020-02-09,Khammam,Nelakondapalle,1.3,22.1,33.3,48.7,100.0,0,0.6
2020-02-10,Khammam,Nelakondapalle,9.6,21.3,27.3,81.8,100.0,0,2.1
2020-02-11,Khammam,Nelakondapalle,3.1,22.2,28.8,78.8,100.0,0,3.4
2020-02-12,Khammam,Nelakondapalle,0.0,22.1,32.4,50.4,100.0,0,5.9
2020-02-13,Khammam,Nelakondapalle,0.0,21.9,34.4,44.6,100.0,0,3.4
2020-02-14,Khammam,Nelakondapalle,0.0,19.3,35.2,29.8,92.2,0,4.7
2020-02-15,Khammam,Nelakondapalle,0.0,18.5,34.9,19.1,99.5,0,3.6
2020-02-16,Khammam,Nelakondapalle,0.0,21.2,35.8,36.2,100.0,0,0.1
2020-02-17,Khammam,Nelakondapalle,0.0,20.8,36.8,32.5,100.0,0,0.1
2020-02-18,Khammam,Nelakondapalle,0.0,20.3,36.3,36.8,100.0,0,3.4
2020-02-19,Khammam,Nelakondapalle,0.0,21.3,34.8,40.3,100.0,0,3.5
2020-02-20,Khammam,Nelakondapalle,0.0,20.2,35.6,37.3,100.0,0,3.6
2020-02-21,Khammam,Nelakondapalle,0.0,20.1,35.3,40.1,100.0,0,0.9
2020-02-22,Khammam,Nelakondapalle,0.0,19.0,34.9,35.6,100.0,0,0.2
2020-02-23,Khammam,Nelakondapalle,0.0,19.9,33.9,38.7,100.0,0,0.1
2020-02-24,Khammam,Nelakondapalle,0.0,21.7,34.2,45.9,100.0,0,2.7
2020-02-25,Khammam,Nelakondapalle,0.0,21.7,35.6,37.3,100.0,0,1.0
2020-02-26,Khammam,Nelakondapalle,0.0,22.7,33.3,46.5,100.0,0,4.6
2020-02-27,Khammam,Nelakondapalle,0.0,21.7,34.9,45.2,84.6,0,2.4
2020-02-28,Khammam,Nelakondapalle,0.0,21.7,35.8,25.1,99.8,0,0.1
2020-02-29,Khammam,Nelakondapalle,0.0,21.4,35.0,36.8,100.0,0,0.1
2020-03-01,Khammam,Nelakondapalle,0.0,21.3,35.8,36.8,100.0,0,0.2
2020-03-02,Khammam,Nelakondapalle,0.0,22.2,36.4,37.3,100.0,0,0.1
