Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Armur,0.0,19.6,26.3,67.6,92.1,0,16.7
2020-01-02,Nizamabad,Armur,4.9,19.5,28.8,60.4,96.2,0,15.4
2020-01-03,Nizamabad,Armur,20.9,19.3,28.7,64.0,95.8,0,15.2
2020-01-04,Nizamabad,Armur,2.1,18.5,22.9,89.0,95.2,0,9.6
2020-01-05,Nizamabad,Armur,0.0,16.4,23.7,76.1,95.4,0,11.0
2020-01-06,Nizamabad,Armur,0.0,14.8,25.4,58.4,93.5,0,15.0
2020-01-07,Nizamabad,Armur,0.0,17.8,27.2,55.4,93.7,0,9.3
2020-01-08,Nizamabad,Armur,0.0,20.5,28.2,66.5,95.6,0,9.3
2020-01-09,Nizamabad,Armur,0.0,20.3,29.7,63.6,95.8,0,11.8
2020-01-10,Nizamabad,Armur,0.0,15.7,25.5,78.2,92.7,0,11.5
2020-01-11,Nizamabad,Armur,0.0,14.9,25.8,59.5,89.5,0,14.9
2020-01-12,Nizamabad,Armur,0.0,13.7,26.4,51.3,92.4,0,11.0
2020-01-13,Nizamabad,Armur,0.0,12.5,27.7,35.1,94.6,0,7.7
2020-01-14,Nizamabad,Armur,0.0,14.3,29.4,30.8,96.0,0,6.8
2020-01-15,Nizamabad,Armur,0.0,16.8,29.4,44.0,96.8,0,8.4
2020-01-16,Nizamabad,Armur,0.0,17.0,29.3,39.7,95.2,0,16.1
2020-01-17,Nizamabad,Armur,0.0,18.5,28.0,53.4,92.8,0,10.1
2020-01-18,Nizamabad,Armur,0.0,19.1,28.7,56.4,95.9,0,11.8
2020-01-19,Nizamabad,Armur,0.0,18.5,28.9,63.0,96.6,0,8.4
2020-01-20,Nizamabad,Armur,0.0,18.4,30.2,54.1,96.7,0,10.4
2020-01-21,Nizamabad,Armur,0.0,18.7,28.1,66.4,95.6,0,12.8
2020-01-22,Nizamabad,Armur,0.0,19.2,30.5,47.1,95.6,0,11.4
2020-01-23,Nizamabad,Armur,0.0,17.3,30.6,46.2,96.9,0,15.5
2020-01-24,Nizamabad,Armur,0.0,18.1,30.7,43.9,94.5,0,10.8
2020-01-25,Nizamabad,Armur,0.0,17.1,29.8,43.3,96.7,0,9.0
2020-01-26,Nizamabad,Armur,0.0,17.8,31.3,41.1,96.4,0,8.6
2020-01-27,Nizamabad,Armur,0.0,16.2,31.5,32.3,94.5,0,6.1
2020-01-28,Nizamabad,Armur,0.0,20.9,33.5,32.9,80.1,0,9.5
2020-01-29,Nizamabad,Armur,0.0,18.0,30.2,39.9,94.8,0,10.7
2020-01-30,Nizamabad,Armur,0.0,16.5,30.1,43.5,95.3,0,9.7
2020-01-31,Nizamabad,Armur,0.0,15.2,28.9,43.7,90.3,0,10.3
2020-02-01,Nizamabad,Armur,0.0,17.2,28.6,44.5,88.1,0,10.5
2020-02-02,Nizamabad,Armur,0.0,17.5,30.5,52.9,84.2,0,17.5
2020-02-03,Nizamabad,Armur,0.0,19.3,28.5,61.9,95.2,0,8.1
2020-02-04,Nizamabad,Armur,0.0,20.2,30.7,44.8,89.5,0,11.3
2020-02-05,Nizamabad,Armur,0.0,20.0,31.4,44.6,90.5,0,9.4
2020-02-06,Nizamabad,Armur,0.0,19.6,30.7,49.7,94.9,0,10.4
2020-02-07,Nizamabad,Armur,0.0,19.9,32.9,39.2,91.6,0,9.8
2020-02-08,Nizamabad,Armur,0.0,20.0,31.1,43.8,93.2,0,10.8
2020-02-09,Nizamabad,Armur,1.0,17.2,25.3,75.5,95.2,0,16.4
2020-02-10,Nizamabad,Armur,0.0,17.1,25.1,69.5,97.5,0,15.0
2020-02-11,Nizamabad,Armur,0.0,18.6,27.7,69.8,97.4,0,10.2
2020-02-12,Nizamabad,Armur,0.0,18.8,28.9,63.6,97.5,0,11.5
2020-02-13,Nizamabad,Armur,0.0,16.6,30.6,43.2,97.5,0,7.1
2020-02-14,Nizamabad,Armur,0.0,18.3,32.7,28.8,87.9,0,8.6
2020-02-15,Nizamabad,Armur,0.0,16.1,33.0,25.3,93.8,0,10.3
2020-02-16,Nizamabad,Armur,0.0,17.5,33.1,35.7,91.9,0,5.9
2020-02-17,Nizamabad,Armur,0.0,16.6,32.8,35.3,91.6,0,6.6
2020-02-18,Nizamabad,Armur,0.0,14.7,33.4,26.6,96.0,0,6.6
2020-02-19,Nizamabad,Armur,0.0,14.5,33.2,19.0,91.8,0,7.3
2020-02-20,Nizamabad,Armur,0.0,18.7,32.8,29.9,93.5,0,9.5
2020-02-21,Nizamabad,Armur,0.0,18.6,31.9,39.1,95.1,0,15.0
2020-02-22,Nizamabad,Armur,0.0,17.3,31.7,36.9,88.6,0,21.0
2020-02-23,Nizamabad,Armur,0.0,17.5,32.1,41.5,90.2,0,10.2
2020-02-24,Nizamabad,Armur,0.0,18.9,33.5,31.1,84.2,0,14.0
2020-02-25,Nizamabad,Armur,0.0,20.0,33.8,37.9,86.8,0,8.6
2020-02-26,Nizamabad,Armur,0.0,15.2,31.9,29.5,85.5,0,14.3
2020-02-27,Nizamabad,Armur,0.0,14.3,31.5,25.9,81.3,0,9.8
2020-02-28,Nizamabad,Armur,0.0,15.4,32.4,22.5,84.9,0,13.3
2020-02-29,Nizamabad,Armur,0.0,17.9,31.9,32.2,92.0,0,14.2
2020-03-01,Nizamabad,Armur,0.0,18.8,32.7,35.8,93.4,0,13.6
2020-03-02,Nizamabad,Armur,0.0,20.4,31.9,45.5,91.9,0,10.9
2020-03-03,Nizamabad,Armur,0.0,20.1,33.5,42.3,93.2,0,10.4
2020-03-04,Nizamabad,Armur,0.0,19.7,34.7,31.7,84.2,0,13.4
2020-03-05,Nizamabad,Armur,0.0,16.4,33.6,29.8,80.1,0,13.8
2020-03-06,Nizamabad,Armur,0.0,21.4,32.9,26.4,94.7,0,11.5
2020-03-07,Nizamabad,Armur,0.0,19.5,33.0,35.0,91.5,0,12.5
2020-03-08,Nizamabad,Armur,0.0,21.5,33.3,31.9,96.0,0,23.8
2020-03-09,Nizamabad,Armur,0.0,21.4,32.6,52.6,95.0,0,25.2
2020-03-10,Nizamabad,Armur,0.0,20.8,31.0,56.8,95.1,0,15.3
2020-03-11,Nizamabad,Armur,0.0,23.0,36.0,42.3,90.1,0,23.4
2020-03-12,Nizamabad,Armur,0.0,22.5,34.5,38.1,91.4,0,22.0
2020-03-13,Nizamabad,Armur,1.1,22.0,33.4,50.7,95.9,0,23.0
2020-03-14,Nizamabad,Armur,1.9,21.1,32.8,60.0,95.9,0,17.8
2020-03-15,Nizamabad,Armur,0.0,21.6,32.2,53.3,94.5,0,12.3
2020-03-16,Nizamabad,Armur,0.0,21.3,33.8,40.6,89.9,0,11.1
2020-03-17,Nizamabad,Armur,0.0,21.2,34.2,37.6,92.5,0,10.4
2020-03-18,Nizamabad,Armur,0.0,22.6,35.0,34.8,83.9,0,12.5
2020-03-19,Nizamabad,Armur,3.2,21.5,35.1,34.6,91.9,0,15.2
2020-03-20,Nizamabad,Armur,0.0,20.2,35.8,37.0,94.9,0,8.0
2020-03-21,Nizamabad,Armur,0.0,20.4,36.0,24.0,92.1,0,11.5
2020-03-22,Nizamabad,Armur,0.0,18.3,35.3,21.0,89.0,0,6.0
2020-03-23,Nizamabad,Armur,0.0,20.5,35.8,19.2,88.9,0,6.7
2020-03-24,Nizamabad,Armur,0.0,21.6,36.3,27.6,91.0,0,7.7
2020-03-25,Nizamabad,Armur,0.0,21.4,36.4,33.4,90.3,0,8.8
2020-03-26,Nizamabad,Armur,0.0,21.7,36.1,36.5,82.2,0,15.2
2020-03-27,Nizamabad,Armur,0.0,22.7,36.2,34.8,82.2,0,8.4
2020-03-28,Nizamabad,Armur,0.0,22.3,38.0,26.7,86.3,0,10.0
2020-03-29,Nizamabad,Armur,0.0,22.8,37.3,25.2,82.6,0,10.6
2020-03-30,Nizamabad,Armur,0.0,22.3,37.6,30.3,75.8,0,12.2
2020-03-31,Nizamabad,Armur,0.0,22.4,36.1,35.7,80.2,0,13.8
2020-04-01,Nizamabad,Armur,0.0,24.3,37.5,27.9,80.1,,12.1
2020-04-02,Nizamabad,Armur,0.0,23.1,37.5,28.1,80.5,,8.4
2020-04-03,Nizamabad,Armur,0.0,26.0,37.8,30.0,72.7,,9.9
2020-04-04,Nizamabad,Armur,0.0,24.6,37.2,28.0,85.7,,13.6
2020-04-05,Nizamabad,Armur,0.0,23.4,37.0,20.5,78.8,,14.8
2020-04-06,Nizamabad,Armur,0.0,23.3,36.9,26.5,83.0,,14.3
