Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Balkonda,0.0,19.5,25.8,67.8,80.8,0,6.3
2020-01-02,Nizamabad,Balkonda,8.1,19.9,28.2,61.9,83.7,0,6.8
2020-01-03,Nizamabad,Balkonda,12.1,19.2,26.9,71.5,85.5,0,2.0
2020-01-04,Nizamabad,Balkonda,7.0,18.3,22.9,78.3,85.6,0,1.2
2020-01-05,Nizamabad,Balkonda,0.0,16.0,24.1,68.9,85.0,0,1.2
2020-01-06,Nizamabad,Balkonda,0.0,15.3,25.1,59.4,79.3,0,3.1
2020-01-07,Nizamabad,Balkonda,0.0,18.5,26.4,58.0,80.2,0,2.0
2020-01-08,Nizamabad,Balkonda,0.0,19.8,28.9,61.3,82.5,0,2.2
2020-01-09,Nizamabad,Balkonda,0.0,19.9,28.9,66.7,82.0,0,2.4
2020-01-10,Nizamabad,Balkonda,0.0,15.0,25.4,73.7,80.5,0,3.6
2020-01-11,Nizamabad,Balkonda,0.0,15.0,25.8,58.6,78.2,0,1.8
2020-01-12,Nizamabad,Balkonda,0.0,16.0,26.3,53.8,78.5,0,1.5
2020-01-13,Nizamabad,Balkonda,0.0,12.1,27.6,36.4,79.2,0,0.7
2020-01-14,Nizamabad,Balkonda,0.0,14.4,29.6,34.4,80.0,0,0.5
2020-01-15,Nizamabad,Balkonda,0.0,17.2,28.8,46.3,84.6,0,1.6
2020-01-16,Nizamabad,Balkonda,0.0,16.3,29.4,39.7,83.7,0,4.5
2020-01-17,Nizamabad,Balkonda,0.0,17.2,27.3,58.0,81.9,0,2.8
2020-01-18,Nizamabad,Balkonda,0.0,18.8,28.0,60.1,82.8,0,0.9
2020-01-19,Nizamabad,Balkonda,0.0,18.0,28.6,62.3,83.5,0,1.4
2020-01-20,Nizamabad,Balkonda,0.0,18.1,29.0,55.2,82.8,0,1.2
2020-01-21,Nizamabad,Balkonda,0.0,18.9,27.0,70.3,84.0,0,2.1
2020-01-22,Nizamabad,Balkonda,0.0,19.1,30.7,49.9,82.8,0,3.8
2020-01-23,Nizamabad,Balkonda,0.0,16.9,30.2,50.4,84.7,0,3.1
2020-01-24,Nizamabad,Balkonda,0.0,18.7,29.9,48.0,80.8,0,2.3
2020-01-25,Nizamabad,Balkonda,0.0,18.1,29.2,50.4,81.1,0,2.6
2020-01-26,Nizamabad,Balkonda,0.0,18.0,30.5,45.8,80.3,0,1.4
2020-01-27,Nizamabad,Balkonda,0.0,18.0,31.5,38.5,78.8,0,1.4
2020-01-28,Nizamabad,Balkonda,0.0,20.2,32.2,36.1,76.5,0,3.3
2020-01-29,Nizamabad,Balkonda,0.0,18.4,29.8,45.2,76.3,0,3.4
2020-01-30,Nizamabad,Balkonda,0.0,17.5,29.3,46.7,77.9,0,2.3
2020-01-31,Nizamabad,Balkonda,0.0,15.8,28.8,46.1,76.2,0,3.6
2020-02-01,Nizamabad,Balkonda,0.0,18.6,28.2,48.8,74.2,0,3.4
2020-02-02,Nizamabad,Balkonda,0.0,17.7,30.0,56.1,76.4,0,5.0
2020-02-03,Nizamabad,Balkonda,0.0,19.5,26.7,66.4,79.8,0,3.9
2020-02-04,Nizamabad,Balkonda,0.0,19.9,29.6,52.3,79.2,0,5.6
2020-02-05,Nizamabad,Balkonda,0.0,20.1,29.9,54.6,79.5,0,3.8
2020-02-06,Nizamabad,Balkonda,0.0,19.9,30.9,50.2,80.1,0,6.0
2020-02-07,Nizamabad,Balkonda,0.0,19.9,31.6,44.6,79.8,0,2.6
2020-02-08,Nizamabad,Balkonda,0.0,19.8,30.1,48.3,82.1,0,3.6
2020-02-09,Nizamabad,Balkonda,0.9,17.1,24.8,72.2,82.4,0,4.3
2020-02-10,Nizamabad,Balkonda,0.0,16.8,25.6,66.2,83.3,0,3.8
2020-02-11,Nizamabad,Balkonda,0.0,19.4,26.7,61.8,81.8,0,2.3
2020-02-12,Nizamabad,Balkonda,0.0,19.9,29.0,61.4,81.1,0,3.4
2020-02-13,Nizamabad,Balkonda,0.0,17.1,29.9,47.3,80.6,0,2.5
2020-02-14,Nizamabad,Balkonda,0.0,22.1,31.8,36.5,72.0,0,1.8
2020-02-15,Nizamabad,Balkonda,0.0,16.7,33.8,27.9,77.3,0,2.3
2020-02-16,Nizamabad,Balkonda,0.0,17.9,32.9,36.9,77.1,0,1.3
2020-02-17,Nizamabad,Balkonda,0.0,19.9,32.4,39.0,70.6,0,2.6
2020-02-18,Nizamabad,Balkonda,0.0,15.5,32.2,31.2,78.0,0,1.8
2020-02-19,Nizamabad,Balkonda,0.0,18.4,32.4,25.5,63.3,0,1.7
2020-02-20,Nizamabad,Balkonda,0.0,17.6,32.4,34.5,80.4,0,2.8
2020-02-21,Nizamabad,Balkonda,0.0,18.5,31.7,42.9,79.7,0,4.7
2020-02-22,Nizamabad,Balkonda,0.0,17.1,31.7,40.7,79.5,0,5.5
2020-02-23,Nizamabad,Balkonda,0.0,18.0,31.4,49.3,80.0,0,2.9
2020-02-24,Nizamabad,Balkonda,0.0,19.5,33.7,36.2,76.7,0,3.7
2020-02-25,Nizamabad,Balkonda,0.0,21.7,33.2,42.8,74.4,0,2.6
2020-02-26,Nizamabad,Balkonda,0.0,17.3,31.5,33.5,64.6,0,1.9
2020-02-27,Nizamabad,Balkonda,0.0,14.7,31.7,31.3,67.9,0,2.3
2020-02-28,Nizamabad,Balkonda,0.0,17.2,31.2,29.4,71.7,0,3.0
2020-02-29,Nizamabad,Balkonda,0.0,19.9,31.3,36.6,77.9,0,3.4
2020-03-01,Nizamabad,Balkonda,0.0,19.8,32.2,44.6,78.6,0,3.1
2020-03-02,Nizamabad,Balkonda,0.0,21.8,30.9,52.7,77.5,0,3.0
2020-03-03,Nizamabad,Balkonda,0.0,21.7,32.4,46.5,77.1,0,2.9
2020-03-04,Nizamabad,Balkonda,0.0,21.4,33.9,36.8,72.5,0,4.1
2020-03-05,Nizamabad,Balkonda,0.0,18.3,32.8,35.1,62.6,0,3.1
2020-03-06,Nizamabad,Balkonda,0.0,21.1,32.7,32.5,80.6,0,3.3
2020-03-07,Nizamabad,Balkonda,0.0,21.0,32.2,39.7,77.6,0,4.6
2020-03-08,Nizamabad,Balkonda,0.0,21.9,33.0,38.2,81.6,0,3.0
2020-03-09,Nizamabad,Balkonda,0.0,22.1,32.0,55.9,82.0,0,4.0
2020-03-10,Nizamabad,Balkonda,0.0,21.6,30.6,55.1,80.1,0,4.2
2020-03-11,Nizamabad,Balkonda,0.0,23.9,34.3,46.5,75.8,0,3.6
2020-03-12,Nizamabad,Balkonda,0.0,23.8,33.7,43.8,76.6,0,3.2
2020-03-13,Nizamabad,Balkonda,2.3,22.3,31.7,58.2,81.8,0,4.8
2020-03-14,Nizamabad,Balkonda,0.0,23.3,31.6,61.4,80.8,0,2.0
2020-03-15,Nizamabad,Balkonda,0.0,21.3,31.4,56.7,80.4,0,3.0
2020-03-16,Nizamabad,Balkonda,0.0,22.4,33.1,45.4,77.2,0,2.9
2020-03-17,Nizamabad,Balkonda,0.0,21.8,34.3,40.2,79.6,0,4.2
2020-03-18,Nizamabad,Balkonda,0.0,23.3,35.2,41.1,86.2,0,5.2
2020-03-19,Nizamabad,Balkonda,0.0,22.3,35.8,36.8,76.1,0,4.5
2020-03-20,Nizamabad,Balkonda,0.0,21.8,35.0,43.8,77.2,0,2.5
2020-03-21,Nizamabad,Balkonda,0.0,23.0,35.6,33.2,75.0,0,4.1
2020-03-22,Nizamabad,Balkonda,0.0,20.0,34.7,27.6,74.4,0,2.5
2020-03-23,Nizamabad,Balkonda,0.0,22.3,35.8,22.4,74.2,0,2.5
2020-03-24,Nizamabad,Balkonda,0.0,22.3,35.9,31.4,77.5,0,3.0
2020-03-25,Nizamabad,Balkonda,0.0,22.4,35.7,39.0,76.3,0,2.6
2020-03-26,Nizamabad,Balkonda,0.0,21.7,35.6,40.5,75.6,0,4.8
2020-03-27,Nizamabad,Balkonda,0.0,23.7,35.6,40.2,71.4,0,2.9
2020-03-28,Nizamabad,Balkonda,0.0,24.3,37.8,30.6,70.4,0,3.7
2020-03-29,Nizamabad,Balkonda,0.0,25.1,36.7,30.5,71.0,0,2.9
2020-03-30,Nizamabad,Balkonda,0.0,23.0,37.1,35.3,71.2,0,3.9
2020-03-31,Nizamabad,Balkonda,0.0,24.6,35.3,43.5,71.2,0,4.3
2020-04-01,Nizamabad,Balkonda,0.0,25.0,37.8,30.4,72.2,,4.3
2020-04-02,Nizamabad,Balkonda,0.0,24.8,36.9,33.7,73.0,,3.2
2020-04-03,Nizamabad,Balkonda,0.0,26.8,37.6,38.8,67.6,,4.6
2020-04-04,Nizamabad,Balkonda,0.0,25.4,37.6,31.7,74.3,,4.1
2020-04-05,Nizamabad,Balkonda,0.0,24.3,37.0,26.0,74.9,,5.1
2020-04-06,Nizamabad,Balkonda,0.0,25.0,37.1,32.0,74.6,,4.6
2020-04-07,Nizamabad,Balkonda,41.8,21.3,37.9,35.4,78.6,,7.1
2020-04-08,Nizamabad,Balkonda,0.0,22.6,37.2,30.5,76.0,,5.6
2020-04-09,Nizamabad,Balkonda,0.0,22.7,37.4,33.5,71.6,,5.9
2020-04-10,Nizamabad,Balkonda,0.0,22.6,37.6,27.3,74.5,,5.9
2020-04-11,Nizamabad,Balkonda,0.0,23.9,36.9,32.3,74.1,,4.3
2020-04-12,Nizamabad,Balkonda,0.0,23.6,36.6,30.6,65.8,,3.7
2020-04-13,Nizamabad,Balkonda,0.0,26.2,37.4,34.8,64.0,,2.5
2020-04-14,Nizamabad,Balkonda,0.0,25.4,38.6,29.8,64.5,,3.7
2020-04-15,Nizamabad,Balkonda,0.0,26.6,38.3,30.4,61.8,,5.1
2020-04-16,Nizamabad,Balkonda,0.0,24.2,38.2,26.1,61.3,,3.7
2020-04-17,Nizamabad,Balkonda,0.0,25.4,39.3,26.5,63.7,,4.5
2020-04-18,Nizamabad,Balkonda,0.0,24.8,39.6,26.6,69.5,,2.8
2020-04-19,Nizamabad,Balkonda,0.0,27.2,39.2,29.0,66.3,,5.7
2020-04-20,Nizamabad,Balkonda,0.0,25.4,37.0,36.2,73.5,,7.6
2020-04-21,Nizamabad,Balkonda,0.4,24.3,38.4,32.1,73.9,,5.8
2020-04-22,Nizamabad,Balkonda,0.0,24.1,38.6,31.3,67.0,,3.5
2020-04-23,Nizamabad,Balkonda,0.0,25.9,39.3,25.0,68.9,,4.7
2020-04-24,Nizamabad,Balkonda,0.0,27.5,39.8,26.3,73.0,,3.8
2020-04-25,Nizamabad,Balkonda,0.0,25.5,39.7,29.2,71.9,,4.4
2020-04-26,Nizamabad,Balkonda,0.0,26.3,39.1,27.6,72.4,,4.8
