Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Bodhan,0.0,19.3,28.3,61.9,90.3,0,14.6
2020-01-02,Nizamabad,Bodhan,0.6,19.2,30.6,53.2,95.5,0,9.6
2020-01-03,Nizamabad,Bodhan,16.1,19.4,29.5,61.9,98.7,0,9.6
2020-01-04,Nizamabad,Bodhan,0.0,18.4,25.2,75.3,96.0,0,11.5
2020-01-05,Nizamabad,Bodhan,0.0,15.9,24.5,76.9,98.4,0,9.7
2020-01-06,Nizamabad,Bodhan,0.0,14.3,25.5,63.8,97.1,0,11.9
2020-01-07,Nizamabad,Bodhan,0.0,18.7,28.1,56.6,89.3,0,11.4
2020-01-08,Nizamabad,Bodhan,0.0,19.9,30.5,57.0,94.0,0,11.3
2020-01-09,Nizamabad,Bodhan,0.0,20.3,30.2,60.3,92.4,0,14.9
2020-01-10,Nizamabad,Bodhan,0.0,15.6,25.9,72.3,89.7,0,12.0
2020-01-11,Nizamabad,Bodhan,0.0,15.1,26.2,60.8,87.2,0,10.9
2020-01-12,Nizamabad,Bodhan,0.0,14.0,27.2,49.6,91.5,0,8.9
2020-01-13,Nizamabad,Bodhan,0.0,11.7,28.4,36.3,94.0,0,8.4
2020-01-14,Nizamabad,Bodhan,0.0,14.2,31.2,31.0,92.3,0,9.0
2020-01-15,Nizamabad,Bodhan,0.0,17.0,31.9,36.9,95.7,0,10.2
2020-01-16,Nizamabad,Bodhan,0.0,16.9,32.1,31.5,93.1,0,9.3
2020-01-17,Nizamabad,Bodhan,0.0,15.5,30.4,42.7,91.9,0,11.7
2020-01-18,Nizamabad,Bodhan,0.0,18.3,29.0,51.0,90.6,0,12.3
2020-01-19,Nizamabad,Bodhan,0.0,18.6,30.0,55.6,95.5,0,8.4
2020-01-20,Nizamabad,Bodhan,0.0,18.3,31.5,49.0,96.4,0,8.9
2020-01-21,Nizamabad,Bodhan,0.0,19.0,29.0,70.6,97.8,0,13.1
2020-01-22,Nizamabad,Bodhan,0.0,18.9,32.9,41.5,90.7,0,8.6
2020-01-23,Nizamabad,Bodhan,0.0,17.1,32.7,42.4,92.7,0,10.6
2020-01-24,Nizamabad,Bodhan,0.0,16.2,32.1,38.0,97.5,0,9.0
2020-01-25,Nizamabad,Bodhan,0.0,16.2,31.0,43.6,93.2,0,8.2
2020-01-26,Nizamabad,Bodhan,0.0,16.6,32.9,41.5,95.1,0,5.3
2020-01-27,Nizamabad,Bodhan,0.0,15.8,32.2,38.6,93.4,0,6.5
2020-01-28,Nizamabad,Bodhan,0.0,18.6,33.6,40.8,90.2,0,8.4
2020-01-29,Nizamabad,Bodhan,0.0,16.6,31.6,33.9,85.1,0,10.5
2020-01-30,Nizamabad,Bodhan,0.0,15.8,30.9,44.0,87.4,0,11.5
2020-01-31,Nizamabad,Bodhan,0.0,14.4,29.7,46.3,89.7,0,11.1
2020-02-01,Nizamabad,Bodhan,0.0,16.8,29.0,49.2,86.7,0,14.5
2020-02-02,Nizamabad,Bodhan,0.0,16.6,32.1,50.7,85.1,0,15.3
2020-02-03,Nizamabad,Bodhan,0.0,19.3,29.8,56.7,92.8,0,11.0
2020-02-04,Nizamabad,Bodhan,0.0,19.7,31.6,45.7,88.6,0,16.0
2020-02-05,Nizamabad,Bodhan,0.0,18.8,32.5,40.0,90.0,0,8.9
2020-02-06,Nizamabad,Bodhan,0.0,19.1,32.8,44.3,94.7,0,10.2
2020-02-07,Nizamabad,Bodhan,0.0,19.4,34.0,33.8,88.4,0,8.4
2020-02-08,Nizamabad,Bodhan,0.0,19.8,32.1,41.7,89.1,0,11.2
2020-02-09,Nizamabad,Bodhan,0.0,16.9,25.3,76.9,92.5,0,15.4
2020-02-10,Nizamabad,Bodhan,0.0,17.1,25.5,72.4,94.6,0,10.4
2020-02-11,Nizamabad,Bodhan,0.0,19.1,27.9,65.6,95.2,0,12.1
2020-02-12,Nizamabad,Bodhan,0.0,18.2,29.2,64.8,93.3,0,8.2
2020-02-13,Nizamabad,Bodhan,0.0,16.4,30.8,52.2,98.7,0,6.1
2020-02-14,Nizamabad,Bodhan,0.0,17.0,32.2,37.7,89.9,0,9.9
2020-02-15,Nizamabad,Bodhan,0.0,14.9,33.4,25.3,89.7,0,12.4
2020-02-16,Nizamabad,Bodhan,0.0,16.2,32.8,32.9,91.4,0,4.9
2020-02-17,Nizamabad,Bodhan,0.0,15.8,33.0,36.7,96.5,0,10.4
2020-02-18,Nizamabad,Bodhan,0.0,13.8,32.7,27.9,96.3,0,7.5
2020-02-19,Nizamabad,Bodhan,0.0,13.0,33.3,22.4,90.7,0,7.3
2020-02-20,Nizamabad,Bodhan,0.0,16.9,33.8,31.1,92.2,0,8.8
2020-02-21,Nizamabad,Bodhan,0.0,18.2,34.1,35.2,92.1,0,9.0
2020-02-22,Nizamabad,Bodhan,0.0,16.0,33.7,33.7,90.1,0,11.4
2020-02-23,Nizamabad,Bodhan,0.0,16.2,33.8,37.5,92.2,0,8.0
2020-02-24,Nizamabad,Bodhan,0.0,18.3,35.1,30.0,86.4,0,10.9
2020-02-25,Nizamabad,Bodhan,0.0,19.2,35.2,36.2,77.7,0,9.6
2020-02-26,Nizamabad,Bodhan,0.0,14.9,33.0,26.4,78.5,0,8.0
2020-02-27,Nizamabad,Bodhan,0.0,13.5,31.3,27.0,70.7,0,7.1
2020-02-28,Nizamabad,Bodhan,0.0,14.4,32.1,23.4,87.4,0,8.6
2020-02-29,Nizamabad,Bodhan,0.0,16.5,32.7,30.5,90.4,0,8.8
2020-03-01,Nizamabad,Bodhan,0.0,18.6,34.0,37.1,90.7,0,10.6
2020-03-02,Nizamabad,Bodhan,0.0,20.0,33.6,43.5,88.4,0,29.4
2020-03-03,Nizamabad,Bodhan,0.0,19.7,34.3,36.0,86.5,0,7.5
2020-03-04,Nizamabad,Bodhan,0.0,18.6,35.7,24.1,74.2,0,14.5
2020-03-05,Nizamabad,Bodhan,0.0,15.4,34.6,20.4,80.8,0,12.4
2020-03-06,Nizamabad,Bodhan,0.0,19.6,32.8,29.1,90.0,0,9.8
2020-03-07,Nizamabad,Bodhan,0.0,19.0,34.1,29.3,75.1,0,12.0
2020-03-08,Nizamabad,Bodhan,0.0,19.6,33.5,33.5,87.8,0,13.1
2020-03-09,Nizamabad,Bodhan,18.1,21.4,33.2,49.4,96.1,0,15.2
2020-03-10,Nizamabad,Bodhan,0.0,21.1,31.2,64.0,94.6,0,11.7
2020-03-11,Nizamabad,Bodhan,0.0,21.8,36.1,39.3,86.5,0,14.2
2020-03-12,Nizamabad,Bodhan,0.0,22.2,35.3,35.2,85.6,0,11.2
2020-03-13,Nizamabad,Bodhan,0.0,21.4,34.0,47.2,95.8,0,11.5
2020-03-14,Nizamabad,Bodhan,2.6,20.7,34.5,45.7,94.6,0,10.8
2020-03-15,Nizamabad,Bodhan,0.0,21.6,32.7,50.3,94.8,0,12.5
2020-03-16,Nizamabad,Bodhan,0.0,20.4,33.8,43.6,91.3,0,9.3
2020-03-17,Nizamabad,Bodhan,0.0,20.7,35.7,33.8,91.8,0,7.6
2020-03-18,Nizamabad,Bodhan,0.0,21.7,36.5,34.2,83.1,0,8.6
2020-03-19,Nizamabad,Bodhan,0.4,21.3,36.3,33.1,85.0,0,9.7
2020-03-20,Nizamabad,Bodhan,0.0,19.6,36.1,37.5,92.9,0,14.2
2020-03-21,Nizamabad,Bodhan,0.0,18.9,37.4,19.8,83.3,0,8.9
2020-03-22,Nizamabad,Bodhan,0.0,16.9,36.5,17.3,77.2,0,10.7
2020-03-23,Nizamabad,Bodhan,0.0,19.7,35.9,21.1,74.7,0,11.4
2020-03-24,Nizamabad,Bodhan,0.0,21.3,36.8,28.5,81.3,0,7.9
2020-03-25,Nizamabad,Bodhan,0.0,21.3,37.3,30.8,83.5,0,9.6
2020-03-26,Nizamabad,Bodhan,0.0,22.3,36.9,35.2,80.1,0,24.3
2020-03-27,Nizamabad,Bodhan,0.0,21.7,36.2,35.0,77.4,0,9.3
2020-03-28,Nizamabad,Bodhan,0.0,22.0,38.7,19.0,74.4,0,15.2
2020-03-29,Nizamabad,Bodhan,0.0,23.0,37.9,25.2,79.5,0,7.6
2020-03-30,Nizamabad,Bodhan,0.0,21.8,38.4,26.4,79.7,0,8.4
2020-03-31,Nizamabad,Bodhan,0.0,22.0,37.1,35.7,78.0,0,19.2
2020-04-01,Nizamabad,Bodhan,0.2,24.5,38.4,25.6,72.9,,21.7
2020-04-02,Nizamabad,Bodhan,0.0,23.0,38.4,23.1,71.8,,7.7
2020-04-03,Nizamabad,Bodhan,0.0,25.4,38.8,25.1,69.0,,9.3
2020-04-04,Nizamabad,Bodhan,0.0,24.6,37.4,29.5,78.5,,13.8
2020-04-05,Nizamabad,Bodhan,0.0,24.1,38.0,16.9,67.0,,11.0
2020-04-06,Nizamabad,Bodhan,0.2,23.8,38.0,25.8,77.7,,10.3
2020-04-07,Nizamabad,Bodhan,0.0,20.3,39.0,28.7,88.6,,16.4
2020-04-08,Nizamabad,Bodhan,0.6,20.3,39.5,22.9,83.4,,15.5
2020-04-09,Nizamabad,Bodhan,0.0,19.5,38.9,20.3,77.7,,14.8
2020-04-10,Nizamabad,Bodhan,0.0,20.0,37.8,17.7,81.8,,9.8
2020-04-11,Nizamabad,Bodhan,0.0,23.1,38.7,18.7,66.2,,10.8
2020-04-12,Nizamabad,Bodhan,0.0,22.2,38.4,20.4,60.4,,7.8
2020-04-13,Nizamabad,Bodhan,0.0,24.3,39.7,19.0,59.0,,11.6
2020-04-14,Nizamabad,Bodhan,0.2,22.8,40.7,18.2,56.6,,15.2
2020-04-15,Nizamabad,Bodhan,0.0,26.6,40.3,17.0,49.6,,9.7
2020-04-16,Nizamabad,Bodhan,0.0,24.3,40.2,15.9,52.7,,11.5
2020-04-17,Nizamabad,Bodhan,0.0,24.3,41.6,15.3,55.0,,12.9
2020-04-18,Nizamabad,Bodhan,0.0,24.0,40.6,16.0,61.4,,12.5
2020-04-19,Nizamabad,Bodhan,0.0,25.6,41.4,21.3,59.3,,8.8
2020-04-20,Nizamabad,Bodhan,0.0,24.5,38.8,22.9,65.4,,14.9
2020-04-21,Nizamabad,Bodhan,8.9,21.9,39.3,23.4,84.9,,30.5
2020-04-22,Nizamabad,Bodhan,0.0,21.8,40.2,20.2,67.0,,8.9
2020-04-23,Nizamabad,Bodhan,0.0,24.5,39.9,17.6,70.9,,10.9
2020-04-24,Nizamabad,Bodhan,0.0,25.0,40.8,16.9,59.6,,10.6
2020-04-25,Nizamabad,Bodhan,0.0,24.8,41.0,19.4,64.6,,11.4
2020-04-26,Nizamabad,Bodhan,0.0,22.2,40.5,18.3,47.6,,16.2
2020-04-27,Nizamabad,Bodhan,0.0,23.1,39.8,16.2,56.6,,6.7
2020-04-28,Nizamabad,Bodhan,0.0,26.6,40.4,16.8,69.1,,9.1
2020-04-29,Nizamabad,Bodhan,0.3,21.9,38.6,24.8,79.6,,16.9
2020-04-30,Nizamabad,Bodhan,0.0,25.4,39.7,16.3,53.5,,8.1
2020-05-01,Nizamabad,Bodhan,0.2,28.2,40.1,18.1,50.6,,15.0
2020-05-02,Nizamabad,Bodhan,0.0,24.9,40.7,20.6,58.6,,17.4
2020-05-03,Nizamabad,Bodhan,0.0,26.4,42.0,15.0,54.0,,9.6
2020-05-04,Nizamabad,Bodhan,0.0,26.5,42.7,13.8,48.0,,15.2
2020-05-05,Nizamabad,Bodhan,0.0,27.3,43.4,11.0,48.7,,17.4
2020-05-06,Nizamabad,Bodhan,0.0,29.1,42.9,11.4,51.0,,13.7
2020-05-07,Nizamabad,Bodhan,0.0,28.2,43.3,13.5,61.4,,14.8
2020-05-08,Nizamabad,Bodhan,5.2,25.8,39.7,32.1,85.2,,23.8
2020-05-09,Nizamabad,Bodhan,0.0,26.5,40.4,26.6,70.4,,18.7
2020-05-10,Nizamabad,Bodhan,8.4,23.2,42.1,21.5,70.0,,30.0
