Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Jakranpalle,0.0,20.4,26.4,66.1,89.9,0,5.8
2020-01-02,Nizamabad,Jakranpalle,0.0,19.4,28.9,58.0,97.2,0,5.0
2020-01-03,Nizamabad,Jakranpalle,9.4,19.9,28.9,60.4,98.6,0,3.1
2020-01-04,Nizamabad,Jakranpalle,0.0,18.7,23.5,86.0,98.9,0,4.7
2020-01-05,Nizamabad,Jakranpalle,0.0,15.9,23.5,74.3,98.5,0,3.9
2020-01-06,Nizamabad,Jakranpalle,0.0,14.0,25.5,57.8,94.6,0,5.3
2020-01-07,Nizamabad,Jakranpalle,0.0,17.8,27.7,54.3,96.4,0,4.8
2020-01-08,Nizamabad,Jakranpalle,0.0,21.3,29.3,58.9,91.6,0,5.3
2020-01-09,Nizamabad,Jakranpalle,0.0,21.3,30.7,54.8,92.5,0,5.8
2020-01-10,Nizamabad,Jakranpalle,0.0,15.3,27.0,70.5,94.2,0,3.2
2020-01-11,Nizamabad,Jakranpalle,0.0,14.2,25.6,60.2,93.2,0,6.7
2020-01-12,Nizamabad,Jakranpalle,0.0,13.3,27.1,53.1,95.5,0,1.9
2020-01-13,Nizamabad,Jakranpalle,0.0,13.0,27.7,29.2,82.9,0,4.4
2020-01-14,Nizamabad,Jakranpalle,0.0,14.7,29.3,32.1,93.7,0,1.7
2020-01-15,Nizamabad,Jakranpalle,0.0,18.5,29.8,43.3,93.6,0,5.0
2020-01-16,Nizamabad,Jakranpalle,0.0,18.4,30.1,33.1,90.0,0,7.4
2020-01-17,Nizamabad,Jakranpalle,0.0,19.0,29.3,46.6,89.7,0,5.3
2020-01-18,Nizamabad,Jakranpalle,0.0,19.2,28.4,50.6,96.0,0,5.3
2020-01-19,Nizamabad,Jakranpalle,0.0,19.2,29.2,55.4,93.2,0,4.1
2020-01-20,Nizamabad,Jakranpalle,0.0,18.8,30.2,52.3,97.6,0,3.5
2020-01-21,Nizamabad,Jakranpalle,0.0,19.6,29.2,60.5,96.0,0,6.2
2020-01-22,Nizamabad,Jakranpalle,0.0,20.4,31.1,46.2,90.0,0,6.6
2020-01-23,Nizamabad,Jakranpalle,0.0,16.9,30.8,45.8,96.7,0,6.3
2020-01-24,Nizamabad,Jakranpalle,0.0,17.5,31.4,44.2,96.0,0,5.7
2020-01-25,Nizamabad,Jakranpalle,0.0,18.8,30.5,45.6,90.0,0,3.1
2020-01-26,Nizamabad,Jakranpalle,0.0,17.5,31.8,42.6,91.2,0,3.1
2020-01-27,Nizamabad,Jakranpalle,0.0,17.3,31.9,34.6,88.3,0,4.3
2020-01-28,Nizamabad,Jakranpalle,0.0,20.9,33.3,33.1,78.8,0,5.8
2020-01-29,Nizamabad,Jakranpalle,0.0,18.7,31.8,39.8,86.5,0,4.7
2020-01-30,Nizamabad,Jakranpalle,0.0,16.1,29.8,45.0,91.7,0,3.8
2020-01-31,Nizamabad,Jakranpalle,0.0,15.0,28.6,46.9,91.4,0,5.0
2020-02-01,Nizamabad,Jakranpalle,0.0,17.3,28.8,46.9,85.9,0,6.7
2020-02-02,Nizamabad,Jakranpalle,0.0,17.2,30.5,52.5,89.9,0,8.2
2020-02-03,Nizamabad,Jakranpalle,0.0,19.7,28.2,57.5,93.8,0,4.6
2020-02-04,Nizamabad,Jakranpalle,0.0,21.3,30.2,47.6,85.8,0,6.1
2020-02-05,Nizamabad,Jakranpalle,0.0,19.2,32.2,39.1,92.0,0,4.0
2020-02-06,Nizamabad,Jakranpalle,0.0,19.4,30.5,49.4,96.9,0,3.7
2020-02-07,Nizamabad,Jakranpalle,0.0,20.6,32.5,38.5,88.8,0,4.9
2020-02-08,Nizamabad,Jakranpalle,0.0,20.2,32.9,39.8,96.4,0,5.6
2020-02-09,Nizamabad,Jakranpalle,0.0,17.3,25.0,75.5,95.4,0,11.2
2020-02-10,Nizamabad,Jakranpalle,0.0,17.3,25.2,70.0,98.8,0,10.2
2020-02-11,Nizamabad,Jakranpalle,0.0,20.3,28.0,60.3,96.2,0,10.1
2020-02-12,Nizamabad,Jakranpalle,0.0,19.3,29.1,58.8,97.3,0,11.0
2020-02-13,Nizamabad,Jakranpalle,0.0,17.8,30.7,48.9,91.4,0,5.6
2020-02-14,Nizamabad,Jakranpalle,0.0,20.8,31.6,32.9,66.0,0,9.9
2020-02-15,Nizamabad,Jakranpalle,0.0,18.6,32.6,26.3,74.5,0,3.6
2020-02-16,Nizamabad,Jakranpalle,0.0,19.6,31.7,33.1,81.2,0,2.4
2020-02-17,Nizamabad,Jakranpalle,0.0,16.7,32.9,36.3,88.4,0,3.6
2020-02-18,Nizamabad,Jakranpalle,0.0,14.8,33.4,28.3,90.9,0,4.0
2020-02-19,Nizamabad,Jakranpalle,0.0,18.9,32.4,22.7,63.6,0,4.8
2020-02-20,Nizamabad,Jakranpalle,0.0,20.4,33.8,26.3,87.5,0,3.8
2020-02-21,Nizamabad,Jakranpalle,0.0,20.0,32.0,43.0,89.2,0,9.0
2020-02-22,Nizamabad,Jakranpalle,0.0,18.7,31.6,35.1,76.5,0,9.7
2020-02-23,Nizamabad,Jakranpalle,0.0,18.1,33.3,39.5,86.2,0,5.9
2020-02-24,Nizamabad,Jakranpalle,0.0,21.4,33.6,33.1,77.4,0,6.1
2020-02-25,Nizamabad,Jakranpalle,0.0,20.7,35.0,31.3,82.8,0,3.1
2020-02-26,Nizamabad,Jakranpalle,0.0,16.1,31.7,33.1,72.2,0,4.7
2020-02-27,Nizamabad,Jakranpalle,0.0,14.7,31.6,26.2,63.7,0,6.8
2020-02-28,Nizamabad,Jakranpalle,0.0,19.1,32.7,25.0,66.9,0,6.4
2020-02-29,Nizamabad,Jakranpalle,0.0,20.0,32.1,32.7,88.3,0,7.3
2020-03-01,Nizamabad,Jakranpalle,0.0,20.8,32.8,34.5,88.4,0,4.7
2020-03-02,Nizamabad,Jakranpalle,0.0,21.3,32.0,42.7,88.3,0,5.6
2020-03-03,Nizamabad,Jakranpalle,0.0,21.5,32.9,41.7,85.1,0,5.5
2020-03-04,Nizamabad,Jakranpalle,0.0,21.5,35.1,29.2,77.4,0,6.5
2020-03-05,Nizamabad,Jakranpalle,0.0,17.2,34.2,28.0,65.3,0,4.1
2020-03-06,Nizamabad,Jakranpalle,0.0,23.0,32.4,30.2,89.8,0,4.6
2020-03-07,Nizamabad,Jakranpalle,0.0,21.9,33.8,33.4,85.3,0,5.4
