Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Nizamabad_Rural,0.0,19.1,28.7,61.9,95.7,0,4.5
2020-01-02,Nizamabad,Nizamabad_Rural,0.0,19.1,29.6,62.3,100.0,0,5.9
2020-01-03,Nizamabad,Nizamabad_Rural,18.5,19.7,32.2,53.7,100.0,0,4.9
2020-01-04,Nizamabad,Nizamabad_Rural,9.0,18.6,23.5,92.3,100.0,0,3.2
2020-01-05,Nizamabad,Nizamabad_Rural,0.0,16.5,26.1,73.7,100.0,0,5.1
2020-01-06,Nizamabad,Nizamabad_Rural,0.0,15.2,25.8,67.1,96.3,0,6.3
2020-01-07,Nizamabad,Nizamabad_Rural,0.0,18.0,28.1,59.1,97.1,0,4.9
2020-01-08,Nizamabad,Nizamabad_Rural,0.0,20.0,30.5,64.2,98.2,0,4.7
2020-01-09,Nizamabad,Nizamabad_Rural,0.0,20.5,31.8,58.0,97.7,0,5.5
2020-01-10,Nizamabad,Nizamabad_Rural,0.0,16.3,26.9,74.9,95.2,0,6.2
2020-01-11,Nizamabad,Nizamabad_Rural,0.0,15.8,26.4,61.0,92.8,0,5.3
2020-01-12,Nizamabad,Nizamabad_Rural,0.0,14.3,28.3,45.7,95.6,0,5.0
2020-01-13,Nizamabad,Nizamabad_Rural,0.0,12.6,29.0,32.3,98.9,0,5.2
2020-01-14,Nizamabad,Nizamabad_Rural,0.0,14.4,32.1,28.5,97.6,0,3.5
2020-01-15,Nizamabad,Nizamabad_Rural,0.0,16.5,31.4,42.9,99.9,0,4.7
2020-01-16,Nizamabad,Nizamabad_Rural,0.0,17.3,32.1,31.5,97.6,0,6.2
2020-01-17,Nizamabad,Nizamabad_Rural,0.0,17.5,30.2,50.3,97.9,0,6.0
2020-01-18,Nizamabad,Nizamabad_Rural,0.0,18.7,30.6,53.2,98.6,0,4.8
2020-01-19,Nizamabad,Nizamabad_Rural,0.0,18.7,31.4,59.3,99.7,0,0.7
2020-01-20,Nizamabad,Nizamabad_Rural,0.0,19.3,32.4,44.3,97.9,0,3.9
2020-01-21,Nizamabad,Nizamabad_Rural,0.0,19.0,29.7,70.6,99.4,0,5.5
2020-01-22,Nizamabad,Nizamabad_Rural,0.0,19.2,33.3,44.8,92.0,0,0.1
2020-01-23,Nizamabad,Nizamabad_Rural,0.0,17.8,30.7,47.0,85.2,0,0.2
2020-01-24,Nizamabad,Nizamabad_Rural,0.0,18.4,30.9,42.0,90.0,0,0.1
2020-01-25,Nizamabad,Nizamabad_Rural,0.0,17.7,30.6,54.0,88.6,0,0.2
2020-01-26,Nizamabad,Nizamabad_Rural,0.0,18.0,34.3,39.0,99.9,0,3.5
2020-01-27,Nizamabad,Nizamabad_Rural,0.0,16.1,34.0,35.5,98.9,0,3.3
2020-01-28,Nizamabad,Nizamabad_Rural,0.0,20.7,35.3,35.5,83.2,0,10.2
2020-01-29,Nizamabad,Nizamabad_Rural,0.0,17.8,33.3,33.3,97.9,0,4.6
2020-01-30,Nizamabad,Nizamabad_Rural,0.0,16.9,32.2,41.5,98.9,0,4.5
2020-01-31,Nizamabad,Nizamabad_Rural,0.0,15.4,30.5,43.8,100.0,0,4.3
2020-02-01,Nizamabad,Nizamabad_Rural,0.0,16.8,29.6,50.1,94.4,0,5.2
2020-02-02,Nizamabad,Nizamabad_Rural,0.0,17.8,32.6,53.7,90.9,0,6.9
2020-02-03,Nizamabad,Nizamabad_Rural,0.0,19.6,28.3,66.9,96.9,0,6.1
2020-02-04,Nizamabad,Nizamabad_Rural,0.0,19.5,33.2,45.6,95.1,0,5.1
2020-02-05,Nizamabad,Nizamabad_Rural,0.0,19.4,33.6,41.7,97.4,0,7.9
2020-02-06,Nizamabad,Nizamabad_Rural,0.0,19.9,34.1,45.4,92.0,0,0.1
2020-02-07,Nizamabad,Nizamabad_Rural,0.0,20.6,31.8,42.0,84.0,0,0.3
2020-02-08,Nizamabad,Nizamabad_Rural,0.0,20.3,29.5,53.0,93.0,0,0.4
2020-02-09,Nizamabad,Nizamabad_Rural,0.0,17.6,24.5,79.0,93.5,0,0.3
2020-02-10,Nizamabad,Nizamabad_Rural,0.0,17.8,24.9,72.0,95.0,0,0.2
2020-02-11,Nizamabad,Nizamabad_Rural,0.0,19.3,27.0,69.0,94.0,0,0.2
2020-02-12,Nizamabad,Nizamabad_Rural,0.0,19.2,28.1,64.0,94.0,0,0.3
2020-02-13,Nizamabad,Nizamabad_Rural,0.0,17.2,29.5,57.0,96.0,0,0.1
2020-02-14,Nizamabad,Nizamabad_Rural,0.0,18.1,30.0,39.0,89.5,0,0.2
2020-02-15,Nizamabad,Nizamabad_Rural,0.0,16.8,31.3,25.0,93.0,0,0.2
2020-02-16,Nizamabad,Nizamabad_Rural,0.0,17.7,31.6,38.0,90.0,0,0.1
2020-02-17,Nizamabad,Nizamabad_Rural,0.0,17.6,31.7,43.0,93.0,0,0.2
2020-02-18,Nizamabad,Nizamabad_Rural,0.0,15.6,31.3,32.0,95.0,0,0.2
2020-02-19,Nizamabad,Nizamabad_Rural,0.0,15.2,31.5,27.0,90.0,0,0.2
2020-02-20,Nizamabad,Nizamabad_Rural,0.0,17.8,31.7,34.0,92.0,0,0.2
2020-02-21,Nizamabad,Nizamabad_Rural,0.0,18.4,31.7,42.0,93.0,0,0.1
2020-02-22,Nizamabad,Nizamabad_Rural,0.0,17.1,31.3,42.0,92.0,0,0.1
2020-02-23,Nizamabad,Nizamabad_Rural,0.0,17.6,30.8,45.0,91.0,0,0.2
2020-02-24,Nizamabad,Nizamabad_Rural,0.0,18.7,32.5,38.0,87.0,0,0.2
2020-02-25,Nizamabad,Nizamabad_Rural,0.0,20.1,34.0,43.0,90.0,0,0.2
2020-02-26,Nizamabad,Nizamabad_Rural,0.0,15.3,29.9,36.0,93.0,0,0.2
2020-02-27,Nizamabad,Nizamabad_Rural,0.0,15.1,29.7,32.0,79.0,0,0.3
2020-02-28,Nizamabad,Nizamabad_Rural,0.0,15.1,30.5,28.0,93.0,0,0.2
2020-02-29,Nizamabad,Nizamabad_Rural,0.0,18.3,31.0,41.0,89.0,0,0.2
2020-03-01,Nizamabad,Nizamabad_Rural,0.0,19.5,32.1,44.0,91.0,0,0.1
2020-03-02,Nizamabad,Nizamabad_Rural,0.0,20.4,30.7,50.0,90.0,0,0.3
2020-03-03,Nizamabad,Nizamabad_Rural,0.0,20.4,32.5,46.0,90.0,0,0.1
2020-03-04,Nizamabad,Nizamabad_Rural,0.0,19.2,33.2,38.0,87.0,0,0.3
2020-03-05,Nizamabad,Nizamabad_Rural,0.0,17.0,32.4,34.0,92.0,0,0.3
2020-03-06,Nizamabad,Nizamabad_Rural,0.0,21.6,31.2,32.0,93.0,0,0.2
2020-03-07,Nizamabad,Nizamabad_Rural,0.0,19.1,31.6,44.0,81.0,0,0.3
2020-03-08,Nizamabad,Nizamabad_Rural,0.0,20.9,30.4,43.0,88.0,0,0.2
2020-03-09,Nizamabad,Nizamabad_Rural,1.5,21.3,32.0,58.0,96.0,0,0.5
2020-03-10,Nizamabad,Nizamabad_Rural,0.0,21.0,30.4,63.0,94.0,0,0.2
2020-03-11,Nizamabad,Nizamabad_Rural,0.0,22.4,34.1,50.0,89.0,0,0.3
2020-03-12,Nizamabad,Nizamabad_Rural,0.0,22.1,32.5,46.0,92.0,0,0.2
2020-03-13,Nizamabad,Nizamabad_Rural,0.0,21.9,32.0,51.0,93.0,0,0.2
2020-03-14,Nizamabad,Nizamabad_Rural,1.0,21.6,31.4,62.0,95.0,0,0.2
2020-03-15,Nizamabad,Nizamabad_Rural,0.0,21.5,30.6,56.0,94.0,0,0.2
2020-03-16,Nizamabad,Nizamabad_Rural,0.0,21.4,32.4,49.0,91.0,0,0.2
2020-03-17,Nizamabad,Nizamabad_Rural,0.0,21.1,33.6,40.0,92.0,0,0.1
2020-03-18,Nizamabad,Nizamabad_Rural,0.0,22.2,34.8,41.0,86.0,0,0.1
2020-03-19,Nizamabad,Nizamabad_Rural,1.0,21.0,34.3,44.0,92.0,0,0.2
2020-03-20,Nizamabad,Nizamabad_Rural,0.0,19.8,33.7,46.0,95.0,0,0.2
2020-03-21,Nizamabad,Nizamabad_Rural,0.0,19.8,35.5,24.0,94.0,0,0.3
2020-03-22,Nizamabad,Nizamabad_Rural,0.0,17.6,32.7,23.7,92.0,0,0.2
2020-03-23,Nizamabad,Nizamabad_Rural,0.0,20.3,34.2,25.0,92.0,0,0.2
2020-03-24,Nizamabad,Nizamabad_Rural,0.0,21.5,35.1,37.0,93.0,0,0.2
2020-03-25,Nizamabad,Nizamabad_Rural,0.0,21.2,34.8,42.0,92.0,0,0.3
2020-03-26,Nizamabad,Nizamabad_Rural,0.0,21.6,34.6,44.0,86.0,0,0.2
2020-03-27,Nizamabad,Nizamabad_Rural,0.0,21.6,34.6,40.0,88.0,0,0.2
2020-03-28,Nizamabad,Nizamabad_Rural,0.0,21.9,36.4,34.0,87.0,0,0.2
2020-03-29,Nizamabad,Nizamabad_Rural,0.0,22.8,35.8,33.0,87.0,0,0.2
2020-03-30,Nizamabad,Nizamabad_Rural,0.0,21.4,36.1,40.0,86.0,0,0.1
2020-03-31,Nizamabad,Nizamabad_Rural,0.0,21.9,34.9,40.0,89.0,0,0.2
2020-04-01,Nizamabad,Nizamabad_Rural,0.0,24.0,36.0,39.0,85.0,,0.2
2020-04-02,Nizamabad,Nizamabad_Rural,0.0,23.0,36.8,34.0,89.0,,0.2
2020-04-03,Nizamabad,Nizamabad_Rural,1.0,25.5,37.6,34.0,84.0,,0.2
2020-04-04,Nizamabad,Nizamabad_Rural,0.0,24.1,34.9,43.0,87.0,,0.2
2020-04-05,Nizamabad,Nizamabad_Rural,0.0,23.4,35.6,34.0,80.0,,0.1
2020-04-06,Nizamabad,Nizamabad_Rural,0.0,23.2,36.0,39.0,84.0,,0.2
2020-04-07,Nizamabad,Nizamabad_Rural,0.0,20.5,36.2,38.0,91.0,,0.3
2020-04-08,Nizamabad,Nizamabad_Rural,0.0,20.4,37.7,29.0,91.0,,0.5
2020-04-09,Nizamabad,Nizamabad_Rural,0.0,19.8,37.1,34.0,87.0,,0.3
2020-04-10,Nizamabad,Nizamabad_Rural,0.0,19.6,36.8,25.0,90.0,,0.1
2020-04-11,Nizamabad,Nizamabad_Rural,0.0,21.7,37.1,29.0,86.0,,0.2
2020-04-12,Nizamabad,Nizamabad_Rural,0.0,21.9,37.2,27.0,82.0,,0.2
2020-04-13,Nizamabad,Nizamabad_Rural,0.0,23.0,37.7,26.0,79.0,,0.2
2020-04-14,Nizamabad,Nizamabad_Rural,0.0,22.3,38.0,27.0,80.0,,0.3
2020-04-15,Nizamabad,Nizamabad_Rural,0.0,25.3,38.0,23.0,73.0,,0.3
2020-04-16,Nizamabad,Nizamabad_Rural,0.0,22.4,38.2,22.0,77.0,,0.3
2020-04-17,Nizamabad,Nizamabad_Rural,0.0,23.2,38.8,22.0,76.0,,0.4
2020-04-18,Nizamabad,Nizamabad_Rural,0.0,23.6,38.9,22.0,82.0,,0.2
2020-04-19,Nizamabad,Nizamabad_Rural,1.0,24.6,38.1,29.0,80.0,,0.3
2020-04-20,Nizamabad,Nizamabad_Rural,0.0,22.7,35.2,33.0,65.0,,0.3
2020-04-21,Nizamabad,Nizamabad_Rural,0.0,22.4,38.0,29.0,81.0,,0.4
