Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Varni,0.0,20.2,27.8,63.8,88.3,0,3.6
2020-01-02,Nizamabad,Varni,0.0,21.5,30.9,55.8,89.4,0,3.6
2020-01-03,Nizamabad,Varni,37.1,19.2,29.6,61.8,96.9,0,2.8
2020-01-04,Nizamabad,Varni,0.0,18.7,25.3,80.2,97.2,0,1.0
2020-01-05,Nizamabad,Varni,0.0,16.9,24.7,72.5,97.0,0,1.1
2020-01-06,Nizamabad,Varni,0.0,15.0,26.7,59.0,92.1,0,1.3
2020-01-07,Nizamabad,Varni,0.0,18.8,29.6,55.8,92.7,0,1.8
2020-01-08,Nizamabad,Varni,0.0,20.8,30.6,59.6,91.2,0,3.6
2020-01-09,Nizamabad,Varni,0.0,20.1,30.5,60.7,89.4,0,3.8
2020-01-10,Nizamabad,Varni,0.0,16.7,28.6,65.2,90.9,0,1.5
2020-01-11,Nizamabad,Varni,0.0,15.6,27.3,58.1,89.4,0,1.7
2020-01-12,Nizamabad,Varni,0.0,13.9,28.4,52.2,91.6,0,0.9
2020-01-13,Nizamabad,Varni,0.0,13.7,29.0,38.2,86.2,0,1.3
2020-01-14,Nizamabad,Varni,0.0,14.9,30.2,37.4,85.7,0,1.1
2020-01-15,Nizamabad,Varni,0.0,18.6,31.4,39.3,86.4,0,2.6
2020-01-16,Nizamabad,Varni,0.0,19.0,30.5,32.2,82.3,0,4.1
2020-01-17,Nizamabad,Varni,0.0,18.2,29.8,44.4,85.9,0,2.8
2020-01-18,Nizamabad,Varni,0.0,17.5,29.6,51.0,95.1,0,2.9
2020-01-19,Nizamabad,Varni,0.0,19.6,30.6,52.4,89.5,0,1.8
2020-01-20,Nizamabad,Varni,0.0,19.0,31.6,44.6,95.2,0,1.4
2020-01-21,Nizamabad,Varni,0.0,20.4,31.1,58.4,90.8,0,1.6
2020-01-22,Nizamabad,Varni,0.0,20.7,31.6,45.7,87.7,0,3.4
2020-01-23,Nizamabad,Varni,0.0,17.0,31.9,43.5,88.1,0,3.8
2020-01-24,Nizamabad,Varni,0.0,18.1,32.5,39.6,90.7,0,2.2
2020-01-25,Nizamabad,Varni,0.0,17.3,31.9,44.3,88.8,0,1.5
2020-01-26,Nizamabad,Varni,0.0,17.5,32.0,43.7,88.0,0,1.4
2020-01-27,Nizamabad,Varni,0.0,18.5,31.9,32.7,86.2,0,2.5
2020-01-28,Nizamabad,Varni,0.0,20.5,33.2,32.1,80.4,0,2.0
2020-01-29,Nizamabad,Varni,0.0,19.8,32.1,36.6,90.7,0,0.6
2020-01-30,Nizamabad,Varni,0.0,17.5,30.4,46.3,87.2,0,1.4
2020-01-31,Nizamabad,Varni,0.0,15.6,29.2,47.9,86.7,0,1.0
2020-02-01,Nizamabad,Varni,0.0,19.4,30.0,50.7,93.2,0,2.3
2020-02-02,Nizamabad,Varni,0.0,20.5,30.8,45.6,92.6,0,3.4
2020-02-03,Nizamabad,Varni,0.0,19.1,28.4,60.1,92.4,0,2.6
2020-02-04,Nizamabad,Varni,0.0,19.6,30.2,45.4,89.5,0,3.9
2020-02-05,Nizamabad,Varni,0.0,19.3,32.5,29.4,76.2,0,2.9
2020-02-06,Nizamabad,Varni,0.0,19.8,32.0,35.3,90.5,0,3.1
2020-02-07,Nizamabad,Varni,0.0,20.1,32.1,32.9,94.3,0,0.5
2020-02-08,Nizamabad,Varni,0.0,20.5,31.7,46.0,89.4,0,1.7
2020-02-09,Nizamabad,Varni,0.0,18.9,28.5,58.0,96.9,0,4.5
2020-02-10,Nizamabad,Varni,0.0,18.3,22.9,82.0,95.1,0,2.0
2020-02-11,Nizamabad,Varni,0.0,19.9,26.4,71.1,95.2,0,2.3
2020-02-12,Nizamabad,Varni,0.0,19.4,28.2,56.6,96.0,0,4.0
2020-02-13,Nizamabad,Varni,0.0,18.1,31.2,54.1,91.4,0,1.0
2020-02-14,Nizamabad,Varni,0.0,18.3,31.5,25.6,72.3,0,2.3
2020-02-15,Nizamabad,Varni,0.0,17.8,33.2,22.9,79.6,0,3.0
2020-02-16,Nizamabad,Varni,0.0,19.3,33.2,33.4,72.5,0,1.5
2020-02-17,Nizamabad,Varni,0.0,15.3,34.7,35.4,89.1,0,1.0
2020-02-18,Nizamabad,Varni,0.0,13.1,33.5,32.6,88.0,0,0.9
2020-02-19,Nizamabad,Varni,0.0,14.1,34.2,23.9,79.3,0,1.6
