Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Damera,0.0,19.2,28.1,52.9,92.9,0,6.0
2020-01-02,Warangal Rural,Damera,0.0,19.9,30.6,51.0,96.2,0,5.9
2020-01-03,Warangal Rural,Damera,0.0,20.7,29.6,51.0,91.5,0,5.9
2020-01-04,Warangal Rural,Damera,0.8,18.8,26.2,62.6,100.0,0,7.7
2020-01-05,Warangal Rural,Damera,0.0,17.8,24.7,62.3,100.0,0,6.0
2020-01-06,Warangal Rural,Damera,0.0,15.7,27.2,49.5,89.3,0,10.3
2020-01-07,Warangal Rural,Damera,0.0,20.2,31.2,47.4,93.4,0,4.7
2020-01-08,Warangal Rural,Damera,0.0,20.3,30.1,51.2,91.5,0,6.1
2020-01-09,Warangal Rural,Damera,0.0,19.3,28.7,52.9,96.7,0,6.7
2020-01-10,Warangal Rural,Damera,0.0,18.0,30.4,49.4,96.0,0,8.1
2020-01-11,Warangal Rural,Damera,0.0,16.5,26.4,55.7,81.0,0,7.7
2020-01-12,Warangal Rural,Damera,0.0,14.3,29.6,47.6,86.3,0,7.9
2020-01-13,Warangal Rural,Damera,0.0,12.0,27.9,37.3,76.7,0,7.9
2020-01-14,Warangal Rural,Damera,0.0,15.8,29.5,34.4,96.9,0,7.7
2020-01-15,Warangal Rural,Damera,0.0,16.7,31.1,48.2,100.0,0,3.8
2020-01-16,Warangal Rural,Damera,0.0,15.7,30.3,47.4,99.9,0,5.5
2020-01-17,Warangal Rural,Damera,0.0,19.0,30.8,45.6,98.8,0,7.1
2020-01-18,Warangal Rural,Damera,0.0,19.2,30.4,46.5,98.4,0,6.2
2020-01-19,Warangal Rural,Damera,0.0,18.9,31.4,46.8,98.8,0,7.0
2020-01-20,Warangal Rural,Damera,0.0,18.9,31.3,51.6,98.4,0,3.7
2020-01-21,Warangal Rural,Damera,0.0,18.3,30.9,46.9,99.7,0,5.9
2020-01-22,Warangal Rural,Damera,0.0,19.2,31.5,45.7,95.6,0,5.7
2020-01-23,Warangal Rural,Damera,0.0,19.0,32.7,43.5,93.2,0,6.1
2020-01-24,Warangal Rural,Damera,0.0,17.4,32.7,41.8,95.0,0,3.7
2020-01-25,Warangal Rural,Damera,0.0,17.4,31.1,44.5,95.2,0,4.2
2020-01-26,Warangal Rural,Damera,0.0,17.9,32.7,36.8,98.9,0,4.4
2020-01-27,Warangal Rural,Damera,0.0,16.1,31.3,42.2,96.5,0,8.4
2020-01-28,Warangal Rural,Damera,0.0,19.4,34.7,32.7,94.5,0,9.9
2020-01-29,Warangal Rural,Damera,0.0,20.2,33.1,40.8,90.1,0,7.1
2020-01-30,Warangal Rural,Damera,0.0,20.1,31.5,48.4,91.2,0,7.2
2020-01-31,Warangal Rural,Damera,0.0,18.4,28.5,46.8,74.9,0,8.5
2020-02-01,Warangal Rural,Damera,0.0,20.2,30.3,48.7,88.3,0,5.5
2020-02-02,Warangal Rural,Damera,0.0,19.9,31.6,46.1,81.8,0,7.5
2020-02-03,Warangal Rural,Damera,0.0,20.3,30.4,44.8,91.6,0,6.7
2020-02-04,Warangal Rural,Damera,0.0,20.3,31.6,45.4,90.1,0,6.7
2020-02-05,Warangal Rural,Damera,0.0,19.6,32.6,43.3,93.4,0,9.0
2020-02-06,Warangal Rural,Damera,0.0,18.9,32.9,40.8,88.0,0,6.8
2020-02-07,Warangal Rural,Damera,0.0,21.3,33.2,44.1,84.6,0,8.6
2020-02-08,Warangal Rural,Damera,0.0,21.6,31.3,45.5,83.6,0,8.9
2020-02-09,Warangal Rural,Damera,2.5,18.3,27.6,41.6,99.4,0,11.0
2020-02-10,Warangal Rural,Damera,0.0,18.2,23.7,41.9,100.0,0,6.5
2020-02-11,Warangal Rural,Damera,0.0,20.5,28.2,40.8,99.5,0,4.8
2020-02-12,Warangal Rural,Damera,0.0,21.2,31.2,54.0,97.4,0,7.6
2020-02-13,Warangal Rural,Damera,0.0,17.6,31.7,48.0,91.3,0,3.5
2020-02-14,Warangal Rural,Damera,0.0,18.5,30.2,36.2,75.5,0,6.7
2020-02-15,Warangal Rural,Damera,0.0,17.5,32.2,33.8,65.0,0,6.2
2020-02-16,Warangal Rural,Damera,0.0,17.5,31.9,35.8,84.3,0,5.8
2020-02-17,Warangal Rural,Damera,0.0,18.2,34.0,34.0,83.4,0,7.1
2020-02-18,Warangal Rural,Damera,0.0,18.9,34.2,34.5,74.5,0,5.3
2020-02-19,Warangal Rural,Damera,0.0,18.2,33.7,25.0,83.9,0,6.3
2020-02-20,Warangal Rural,Damera,0.0,20.0,32.7,43.1,82.6,0,5.5
2020-02-21,Warangal Rural,Damera,0.0,19.5,31.6,44.1,79.1,0,7.9
2020-02-22,Warangal Rural,Damera,0.0,18.4,31.9,43.6,75.8,0,5.4
2020-02-23,Warangal Rural,Damera,0.0,18.7,32.2,41.4,81.4,0,5.3
2020-02-24,Warangal Rural,Damera,0.0,20.8,32.8,43.0,89.3,0,7.1
