Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Warangal Rural,Geesugonda,0.0,21.7,28.0,61.1,87.3,0,11.5
2020-01-02,Warangal Rural,Geesugonda,0.8,22.2,31.3,56.1,88.6,0,11.9
2020-01-03,Warangal Rural,Geesugonda,0.0,22.6,29.8,63.1,91.0,0,10.5
2020-01-04,Warangal Rural,Geesugonda,0.0,21.1,28.5,72.7,93.7,0,5.9
2020-01-05,Warangal Rural,Geesugonda,0.0,19.7,26.2,75.6,93.0,0,5.9
2020-01-06,Warangal Rural,Geesugonda,0.0,18.1,28.7,53.3,87.8,0,7.4
2020-01-07,Warangal Rural,Geesugonda,0.0,22.1,31.6,50.3,90.7,0,5.8
2020-01-08,Warangal Rural,Geesugonda,0.0,22.8,30.9,57.8,89.8,0,12.0
2020-01-09,Warangal Rural,Geesugonda,0.0,21.4,29.2,63.5,93.0,0,13.3
2020-01-10,Warangal Rural,Geesugonda,0.0,20.4,30.8,57.5,90.9,0,7.5
2020-01-11,Warangal Rural,Geesugonda,0.0,18.6,28.0,64.1,81.4,0,2.7
2020-01-12,Warangal Rural,Geesugonda,0.0,16.4,30.7,43.5,81.5,0,5.3
2020-01-13,Warangal Rural,Geesugonda,0.0,14.7,29.3,36.5,80.1,0,4.9
2020-01-14,Warangal Rural,Geesugonda,0.0,18.5,31.9,34.5,83.4,0,1.5
2020-01-15,Warangal Rural,Geesugonda,0.0,19.8,30.8,53.6,89.4,0,10.9
2020-01-16,Warangal Rural,Geesugonda,0.0,17.4,30.7,45.5,91.5,0,12.1
2020-01-17,Warangal Rural,Geesugonda,0.0,21.8,30.7,50.8,85.9,0,9.1
2020-01-18,Warangal Rural,Geesugonda,0.0,22.1,31.2,52.3,87.9,0,10.2
2020-01-19,Warangal Rural,Geesugonda,0.0,21.9,31.3,53.3,85.7,0,9.1
2020-01-20,Warangal Rural,Geesugonda,0.0,20.6,32.0,54.7,88.2,0,7.0
2020-01-21,Warangal Rural,Geesugonda,0.0,20.5,31.4,52.3,88.1,0,5.7
2020-01-22,Warangal Rural,Geesugonda,0.0,21.5,31.9,52.8,86.5,0,8.0
2020-01-23,Warangal Rural,Geesugonda,0.0,21.6,32.9,47.2,87.7,0,6.4
2020-01-24,Warangal Rural,Geesugonda,0.0,19.2,32.8,43.6,89.6,0,10.8
2020-01-25,Warangal Rural,Geesugonda,0.0,19.3,32.3,44.8,84.5,0,3.7
2020-01-26,Warangal Rural,Geesugonda,0.0,20.0,33.0,34.7,91.2,0,1.9
2020-01-27,Warangal Rural,Geesugonda,0.0,18.6,32.7,41.7,86.9,0,3.1
2020-01-28,Warangal Rural,Geesugonda,0.0,22.6,34.9,36.4,90.5,0,11.9
2020-01-29,Warangal Rural,Geesugonda,0.0,23.4,33.5,42.9,85.2,0,12.1
2020-01-30,Warangal Rural,Geesugonda,0.0,21.6,33.0,55.8,85.5,0,6.6
