Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Bheempoor,0.0,10.1,30.0,37.8,95.7,0.0,3.1
2021-01-02,Adilabad,Bheempoor,0.0,11.7,29.9,40.6,96.6,0.0,2.2
2021-01-03,Adilabad,Bheempoor,0.0,10.4,30.4,45.8,97.0,0.0,2.2
2021-01-04,Adilabad,Bheempoor,0.0,13.1,30.5,38.4,96.4,0.0,2.0
2021-01-05,Adilabad,Bheempoor,0.0,13.4,29.8,50.7,97.0,0.0,2.0
2021-01-06,Adilabad,Bheempoor,0.0,15.6,30.9,43.3,93.6,0.0,1.6
2021-01-07,Adilabad,Bheempoor,0.0,19.3,31.2,48.2,92.6,0.0,1.4
2021-01-08,Adilabad,Bheempoor,0.0,21.3,29.6,59.8,91.8,0.0,2.0
2021-01-09,Adilabad,Bheempoor,0.0,17.3,31.2,51.8,96.1,0.0,1.6
2021-01-10,Adilabad,Bheempoor,0.0,12.4,33.7,24.8,88.1,0.0,2.8
2021-01-11,Adilabad,Bheempoor,0.0,13.1,34.3,24.2,85.8,0.0,1.9
2021-01-12,Adilabad,Bheempoor,0.0,15.9,34.0,35.5,93.0,0.0,1.4
2021-01-13,Adilabad,Bheempoor,0.0,14.7,32.8,42.6,95.9,0.0,1.5
2021-01-14,Adilabad,Bheempoor,0.0,12.0,31.7,40.6,95.3,0.0,1.5
2021-01-15,Adilabad,Bheempoor,0.0,9.9,31.8,36.2,94.6,0.0,1.3
2021-01-16,Adilabad,Bheempoor,0.0,11.9,32.3,32.9,89.9,0.0,1.3
2021-01-17,Adilabad,Bheempoor,0.0,12.7,32.7,32.4,91.3,0.0,1.6
2021-01-18,Adilabad,Bheempoor,0.0,12.6,32.6,32.1,91.6,0.0,1.7
2021-01-19,Adilabad,Bheempoor,0.0,13.5,32.1,33.2,93.4,0.0,2.1
2021-01-20,Adilabad,Bheempoor,0.0,15.8,33.5,36.9,90.5,0.0,1.9
2021-01-21,Adilabad,Bheempoor,0.0,15.1,33.1,38.8,90.1,0.0,2.3
2021-01-22,Adilabad,Bheempoor,0.0,10.6,32.5,25.4,91.1,0.0,1.5
2021-01-23,Adilabad,Bheempoor,0.0,10.6,32.3,28.8,88.9,0.0,1.7
2021-01-24,Adilabad,Bheempoor,0.0,14.7,34.4,31.9,90.5,0.0,2.6
2021-01-25,Adilabad,Bheempoor,0.0,13.4,34.8,38.3,91.2,0.0,1.6
2021-01-26,Adilabad,Bheempoor,0.0,15.1,33.4,40.4,89.7,0.0,1.8
2021-01-27,Adilabad,Bheempoor,0.0,15.1,32.9,42.4,87.7,0.0,1.5
2021-01-28,Adilabad,Bheempoor,0.0,16.2,32.9,42.2,93.7,0.0,0.9
2021-01-29,Adilabad,Bheempoor,0.0,17.8,31.9,43.9,91.3,0.0,1.9
2021-01-30,Adilabad,Bheempoor,0.0,13.6,31.5,46.2,88.5,0.0,1.5
2021-01-31,Adilabad,Bheempoor,0.0,9.6,29.6,28.3,83.2,0.0,2.0
2021-02-01,Adilabad,Bheempoor,0.0,9.9,30.6,30.7,85.9,0.0,1.8
2021-02-02,Adilabad,Bheempoor,0.0,8.0,32.2,26.3,85.9,0.0,2.0
2021-02-03,Adilabad,Bheempoor,0.0,7.0,33.0,18.3,83.6,0.0,1.9
2021-02-04,Adilabad,Bheempoor,0.0,7.1,32.9,16.3,80.7,0.0,1.9
2021-02-05,Adilabad,Bheempoor,0.0,8.6,32.2,17.7,84.8,0.0,6.7
2021-02-06,Adilabad,Bheempoor,0.0,13.0,33.5,21.7,76.7,0.1,2.6
2021-02-07,Adilabad,Bheempoor,0.0,11.9,31.1,32.5,81.9,0.0,1.9
2021-02-08,Adilabad,Bheempoor,0.0,6.3,29.6,26.5,88.8,0.0,1.5
2021-02-09,Adilabad,Bheempoor,0.0,6.0,30.6,20.6,78.6,0.0,1.6
2021-02-10,Adilabad,Bheempoor,0.0,7.3,32.5,20.2,79.2,0.0,1.2
2021-02-11,Adilabad,Bheempoor,0.0,9.5,33.5,19.6,79.8,0.0,1.3
2021-02-12,Adilabad,Bheempoor,0.0,11.7,34.2,22.6,81.6,0.0,1.2
2021-02-13,Adilabad,Bheempoor,0.0,13.0,34.0,25.0,80.2,0.0,1.4
2021-02-14,Adilabad,Bheempoor,0.0,15.2,34.8,26.1,83.4,0.0,1.6
2021-02-15,Adilabad,Bheempoor,0.0,17.7,34.4,30.0,74.1,0.0,1.1
2021-02-16,Adilabad,Bheempoor,0.0,14.4,35.1,28.0,83.0,0.0,1.7
2021-02-17,Adilabad,Bheempoor,0.0,17.9,34.6,28.3,76.7,0.0,2.2
2021-02-18,Adilabad,Bheempoor,0.0,17.6,30.5,38.4,83.0,0.0,2.6
2021-02-19,Adilabad,Bheempoor,0.0,16.7,28.8,43.6,87.7,0.0,2.7
2021-02-20,Adilabad,Bheempoor,0.0,11.6,23.2,61.5,95.9,0.0,1.8
2021-02-21,Adilabad,Bheempoor,0.0,15.4,31.8,36.5,81.8,0.0,2.1
2021-02-22,Adilabad,Bheempoor,0.0,14.7,33.0,36.1,83.6,0.0,1.4
2021-02-23,Adilabad,Bheempoor,0.0,12.3,34.7,22.9,75.9,0.0,3.4
2021-02-24,Adilabad,Bheempoor,0.0,12.0,35.5,22.8,78.3,0.0,2.4
2021-02-25,Adilabad,Bheempoor,0.0,13.1,36.4,20.5,76.2,0.0,1.8
2021-02-26,Adilabad,Bheempoor,0.0,15.3,37.7,18.6,67.2,0.0,1.2
2021-02-27,Adilabad,Bheempoor,0.0,14.9,37.6,25.2,66.7,0.0,2.4
2021-02-28,Adilabad,Bheempoor,0.0,14.1,36.6,19.1,66.5,0.0,2.2
2021-03-01,Adilabad,Bheempoor,0.0,22.1,38.1,18.4,59.0,0.0,2.1
2021-03-02,Adilabad,Bheempoor,0.0,15.8,37.8,18.3,62.2,0.0,1.5
2021-03-03,Adilabad,Bheempoor,0.0,13.4,37.4,15.6,58.9,0.0,1.8
2021-03-04,Adilabad,Bheempoor,0.0,13.2,36.9,15.5,63.6,0.0,1.9
2021-03-05,Adilabad,Bheempoor,0.0,15.0,37.6,11.8,59.5,0.0,1.8
2021-03-06,Adilabad,Bheempoor,0.0,14.2,36.7,16.1,59.8,0.0,3.3
2021-03-07,Adilabad,Bheempoor,0.0,13.8,37.3,13.9,57.0,0.0,2.0
2021-03-08,Adilabad,Bheempoor,0.0,17.3,38.1,17.0,55.4,0.0,2.5
2021-03-09,Adilabad,Bheempoor,0.0,19.2,38.5,18.2,59.6,0.0,3.0
