Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Gadiguda,0.0,12.8,29.1,44.9,82.7,0.0,5.1
2021-01-02,Adilabad,Gadiguda,0.0,14.4,29.6,44.8,85.5,0.0,4.0
2021-01-03,Adilabad,Gadiguda,0.0,13.0,29.7,51.0,91.7,0.0,3.5
2021-01-04,Adilabad,Gadiguda,0.0,13.9,29.3,50.6,91.3,0.0,5.0
2021-01-05,Adilabad,Gadiguda,0.0,14.2,30.9,46.2,86.5,0.0,3.9
2021-01-06,Adilabad,Gadiguda,0.0,17.0,29.7,52.0,83.2,0.0,3.8
2021-01-07,Adilabad,Gadiguda,0.0,20.1,29.7,55.9,85.2,0.0,3.8
2021-01-08,Adilabad,Gadiguda,0.0,21.0,27.9,66.8,84.7,0.0,3.7
2021-01-09,Adilabad,Gadiguda,0.0,16.5,30.3,59.2,87.4,0.0,3.3
2021-01-10,Adilabad,Gadiguda,0.0,15.7,33.2,34.0,89.2,0.0,5.5
2021-01-11,Adilabad,Gadiguda,0.0,16.3,33.4,32.0,82.6,0.0,4.0
2021-01-12,Adilabad,Gadiguda,0.0,17.3,32.3,42.6,82.8,0.0,4.9
2021-01-13,Adilabad,Gadiguda,0.0,16.6,32.2,44.9,85.6,0.0,4.0
2021-01-14,Adilabad,Gadiguda,0.0,14.7,30.8,44.4,86.0,0.0,4.0
2021-01-15,Adilabad,Gadiguda,0.0,13.7,30.9,42.0,80.5,0.0,3.5
2021-01-16,Adilabad,Gadiguda,0.0,14.2,31.4,32.6,74.2,0.0,3.4
2021-01-17,Adilabad,Gadiguda,0.0,15.9,31.7,37.9,79.0,0.0,3.3
2021-01-18,Adilabad,Gadiguda,0.0,14.3,31.1,35.1,77.9,0.0,4.5
2021-01-19,Adilabad,Gadiguda,0.0,16.4,31.5,37.4,83.3,0.0,3.1
2021-01-20,Adilabad,Gadiguda,0.0,18.8,32.8,39.8,80.8,0.0,4.0
2021-01-21,Adilabad,Gadiguda,0.0,17.6,31.9,43.2,80.1,0.0,6.3
2021-01-22,Adilabad,Gadiguda,0.0,14.0,30.7,40.2,75.8,0.0,4.2
2021-01-23,Adilabad,Gadiguda,0.0,14.3,31.7,32.8,79.5,0.0,4.4
2021-01-24,Adilabad,Gadiguda,0.0,17.4,32.7,40.5,87.6,0.0,7.3
2021-01-25,Adilabad,Gadiguda,0.0,17.6,34.3,46.1,85.3,0.0,5.8
2021-01-26,Adilabad,Gadiguda,0.0,17.2,32.1,45.1,87.6,0.0,6.0
2021-01-27,Adilabad,Gadiguda,0.0,16.0,32.5,44.8,81.1,0.0,3.8
2021-01-28,Adilabad,Gadiguda,0.0,18.4,31.4,48.9,85.4,0.0,3.7
2021-01-29,Adilabad,Gadiguda,0.0,19.2,31.5,49.3,82.0,0.0,8.6
2021-01-30,Adilabad,Gadiguda,0.0,15.0,30.5,50.3,87.4,0.0,4.9
2021-01-31,Adilabad,Gadiguda,0.0,12.4,27.5,46.7,76.6,0.0,5.9
2021-02-01,Adilabad,Gadiguda,0.0,13.0,29.9,37.1,69.4,0.0,3.4
2021-02-02,Adilabad,Gadiguda,0.0,11.4,31.5,29.4,67.6,0.0,5.2
2021-02-03,Adilabad,Gadiguda,0.0,11.4,31.5,22.1,59.9,0.0,4.2
2021-02-04,Adilabad,Gadiguda,0.0,11.7,32.0,16.5,55.1,0.0,4.1
2021-02-05,Adilabad,Gadiguda,0.0,13.4,31.7,21.6,68.7,0.0,5.1
2021-02-06,Adilabad,Gadiguda,0.0,16.5,32.2,24.6,60.3,0.0,5.4
2021-02-07,Adilabad,Gadiguda,0.0,13.1,30.4,33.4,72.4,0.0,4.8
2021-02-08,Adilabad,Gadiguda,0.0,10.0,28.2,32.3,66.0,0.0,4.1
2021-02-09,Adilabad,Gadiguda,0.0,10.0,29.3,21.3,61.8,0.0,4.3
2021-02-10,Adilabad,Gadiguda,0.0,10.9,30.9,22.4,63.6,0.0,4.0
2021-02-11,Adilabad,Gadiguda,0.0,13.2,32.0,20.6,62.5,0.0,4.7
2021-02-12,Adilabad,Gadiguda,0.0,15.7,32.7,21.8,66.1,0.1,6.1
2021-02-13,Adilabad,Gadiguda,0.0,15.5,32.1,30.5,67.6,0.0,5.7
2021-02-14,Adilabad,Gadiguda,0.0,19.5,33.0,32.1,63.7,0.0,6.7
2021-02-15,Adilabad,Gadiguda,0.0,20.3,33.0,32.7,60.7,0.0,4.8
2021-02-16,Adilabad,Gadiguda,0.0,21.0,32.9,31.8,60.4,0.0,6.4
2021-02-17,Adilabad,Gadiguda,0.0,17.8,32.4,30.2,69.4,0.0,11.0
2021-02-18,Adilabad,Gadiguda,0.8,17.3,31.5,35.1,83.4,0.0,6.0
2021-02-19,Adilabad,Gadiguda,0.0,16.7,28.1,49.3,86.4,0.0,6.9
