Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Jainad,0.0,11.4,30.9,32.1,89.6,0.0,10.6
2021-01-02,Adilabad,Jainad,0.0,13.0,31.2,31.3,94.1,0.0,6.5
2021-01-03,Adilabad,Jainad,0.0,11.7,31.4,38.7,94.9,0.0,8.9
2021-01-04,Adilabad,Jainad,0.0,13.5,30.5,37.6,94.1,0.0,4.6
2021-01-05,Adilabad,Jainad,0.0,13.6,32.1,35.5,94.0,0.0,6.1
2021-01-06,Adilabad,Jainad,0.0,16.3,30.7,40.2,88.5,0.0,6.6
2021-01-07,Adilabad,Jainad,0.0,19.7,31.6,40.7,91.2,0.0,6.5
2021-01-08,Adilabad,Jainad,0.0,21.2,29.0,48.7,86.6,0.0,9.8
2021-01-09,Adilabad,Jainad,0.0,16.3,31.2,45.3,87.3,0.0,3.9
2021-01-10,Adilabad,Jainad,0.0,14.8,34.3,23.1,70.8,0.0,7.2
2021-01-11,Adilabad,Jainad,0.0,14.5,33.8,23.8,70.4,0.0,5.4
2021-01-12,Adilabad,Jainad,0.0,16.0,34.8,29.5,80.3,0.0,5.3
2021-01-13,Adilabad,Jainad,0.0,16.2,33.5,31.9,74.6,0.0,7.8
2021-01-14,Adilabad,Jainad,0.0,18.8,35.5,35.4,83.5,0.0,7.8
2021-01-15,Adilabad,Jainad,0.0,11.6,32.0,29.7,72.7,0.0,5.8
2021-01-16,Adilabad,Jainad,0.0,12.7,33.3,26.3,69.4,0.0,5.0
2021-01-17,Adilabad,Jainad,0.0,13.6,34.0,27.3,81.0,0.0,7.4
2021-01-18,Adilabad,Jainad,0.0,13.2,33.6,26.7,82.8,0.0,9.7
2021-01-19,Adilabad,Jainad,0.0,14.9,33.6,29.4,73.5,0.0,6.6
2021-01-20,Adilabad,Jainad,0.0,18.5,34.2,31.9,68.0,0.0,7.4
2021-01-21,Adilabad,Jainad,0.0,16.7,33.1,32.7,80.3,0.0,9.6
2021-01-22,Adilabad,Jainad,0.0,11.7,32.3,28.4,84.1,0.0,5.2
2021-01-23,Adilabad,Jainad,0.0,12.2,34.0,24.3,81.7,0.0,5.1
2021-01-24,Adilabad,Jainad,0.0,17.4,35.0,27.3,83.2,0.0,9.8
2021-01-25,Adilabad,Jainad,0.0,16.3,34.9,32.9,81.3,0.0,8.0
2021-01-26,Adilabad,Jainad,0.0,16.3,33.8,35.7,82.0,0.0,5.8
2021-01-27,Adilabad,Jainad,0.0,15.5,33.3,32.9,84.2,0.0,4.1
2021-01-28,Adilabad,Jainad,0.0,18.0,32.8,37.4,80.9,0.0,2.8
2021-01-29,Adilabad,Jainad,0.0,18.5,31.6,37.5,80.6,0.0,5.0
2021-01-30,Adilabad,Jainad,0.0,14.9,32.4,36.6,79.5,0.2,4.4
2021-01-31,Adilabad,Jainad,0.0,11.3,28.9,25.5,73.1,0.0,7.6
2021-02-01,Adilabad,Jainad,0.0,11.3,31.4,25.9,79.8,0.0,4.3
2021-02-02,Adilabad,Jainad,0.0,9.8,33.4,21.3,80.5,0.0,1.5
2021-02-03,Adilabad,Jainad,0.0,8.9,33.1,16.2,74.2,0.0,8.0
2021-02-04,Adilabad,Jainad,0.0,9.0,34.6,12.1,75.4,0.0,11.6
2021-02-05,Adilabad,Jainad,0.0,11.0,33.0,15.2,78.1,0.0,10.4
2021-02-06,Adilabad,Jainad,0.0,15.4,33.2,17.6,66.5,0.0,8.4
2021-02-07,Adilabad,Jainad,0.0,10.9,31.8,27.8,76.5,0.0,8.9
2021-02-08,Adilabad,Jainad,0.0,7.7,31.0,22.0,79.4,0.0,7.1
2021-02-09,Adilabad,Jainad,0.0,7.7,31.8,15.9,75.0,0.0,6.7
2021-02-10,Adilabad,Jainad,0.0,8.5,32.8,15.9,74.1,0.0,6.3
2021-02-11,Adilabad,Jainad,0.0,10.7,33.8,14.1,72.6,0.0,3.4
2021-02-12,Adilabad,Jainad,0.0,13.2,35.5,17.1,75.9,0.0,8.6
