Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Tamsi,0.0,11.3,29.1,43.2,92.8,0.0,4.9
2021-01-02,Adilabad,Tamsi,0.0,13.2,29.2,42.9,95.0,0.0,5.7
2021-01-03,Adilabad,Tamsi,0.0,11.4,29.8,49.3,95.7,0.0,4.1
2021-01-04,Adilabad,Tamsi,0.0,14.5,29.0,45.7,92.5,0.0,3.7
2021-01-05,Adilabad,Tamsi,0.0,13.4,29.8,47.0,94.5,0.0,5.1
2021-01-06,Adilabad,Tamsi,0.0,16.5,30.5,50.5,90.6,0.0,2.7
2021-01-07,Adilabad,Tamsi,0.0,19.4,30.2,56.1,90.2,0.0,3.5
2021-01-08,Adilabad,Tamsi,0.0,21.1,28.8,61.3,90.4,0.0,4.6
2021-01-09,Adilabad,Tamsi,0.0,16.6,30.4,58.1,91.1,0.0,4.1
2021-01-10,Adilabad,Tamsi,0.0,13.5,33.0,28.2,85.4,0.0,6.8
2021-01-11,Adilabad,Tamsi,0.0,14.2,33.5,25.1,83.4,0.0,4.5
2021-01-12,Adilabad,Tamsi,0.0,16.3,33.1,36.6,88.6,0.0,4.7
2021-01-13,Adilabad,Tamsi,0.0,14.9,32.9,45.5,91.9,0.0,4.0
2021-01-14,Adilabad,Tamsi,0.0,13.1,30.1,47.7,92.2,0.0,4.0
2021-01-15,Adilabad,Tamsi,0.0,11.7,29.8,42.5,90.6,0.0,5.4
2021-01-16,Adilabad,Tamsi,0.0,13.2,31.1,37.0,87.4,0.0,6.7
2021-01-17,Adilabad,Tamsi,0.0,13.9,32.2,34.6,89.6,0.0,5.3
2021-01-18,Adilabad,Tamsi,0.0,13.3,31.7,38.4,89.6,0.0,5.9
2021-01-19,Adilabad,Tamsi,0.0,14.2,31.6,40.2,91.6,0.0,5.4
2021-01-20,Adilabad,Tamsi,0.0,17.3,33.3,39.8,82.5,0.0,3.4
2021-01-21,Adilabad,Tamsi,0.0,17.2,33.8,38.5,82.7,0.0,5.0
2021-01-22,Adilabad,Tamsi,0.0,11.7,30.3,32.3,87.5,0.0,6.6
2021-01-23,Adilabad,Tamsi,0.0,12.2,31.0,32.6,85.7,0.0,5.7
2021-01-24,Adilabad,Tamsi,0.0,16.4,33.1,37.2,87.1,0.0,7.6
2021-01-25,Adilabad,Tamsi,0.0,15.4,34.7,38.2,87.3,0.0,4.7
2021-01-26,Adilabad,Tamsi,0.0,15.8,31.6,44.1,88.6,0.0,6.9
2021-01-27,Adilabad,Tamsi,0.0,15.6,34.2,40.6,84.2,0.0,4.0
2021-01-28,Adilabad,Tamsi,0.0,17.6,31.5,46.3,91.3,0.0,5.2
2021-01-29,Adilabad,Tamsi,0.0,18.9,33.6,42.9,83.7,0.0,4.6
2021-01-30,Adilabad,Tamsi,0.0,15.9,31.9,44.3,81.0,0.0,4.4
2021-01-31,Adilabad,Tamsi,0.0,11.2,26.8,32.0,77.5,0.0,7.1
2021-02-01,Adilabad,Tamsi,0.0,11.9,29.8,34.2,78.2,0.0,5.0
2021-02-02,Adilabad,Tamsi,0.0,8.9,31.1,30.6,84.5,0.0,6.7
2021-02-03,Adilabad,Tamsi,0.0,8.5,32.7,20.9,82.3,0.0,4.6
2021-02-04,Adilabad,Tamsi,0.0,9.1,33.3,16.7,81.4,0.0,5.3
2021-02-05,Adilabad,Tamsi,0.0,10.3,31.2,20.1,86.6,0.0,9.6
2021-02-06,Adilabad,Tamsi,0.0,14.7,32.6,21.3,70.3,0.0,7.4
2021-02-07,Adilabad,Tamsi,0.0,10.5,31.5,31.7,83.4,0.0,9.1
2021-02-08,Adilabad,Tamsi,0.0,7.8,29.7,25.7,79.3,0.0,8.5
2021-02-09,Adilabad,Tamsi,0.0,7.5,29.8,23.0,79.3,0.0,7.6
2021-02-10,Adilabad,Tamsi,0.0,9.3,31.2,21.2,77.5,0.0,7.7
2021-02-11,Adilabad,Tamsi,0.0,12.5,32.4,20.1,78.2,0.0,5.1
2021-02-12,Adilabad,Tamsi,0.0,13.7,34.7,23.5,78.7,0.0,6.4
2021-02-13,Adilabad,Tamsi,0.0,14.8,32.7,25.6,75.2,0.0,4.8
2021-02-14,Adilabad,Tamsi,0.0,15.8,33.5,29.0,79.3,0.0,7.4
2021-02-15,Adilabad,Tamsi,0.0,17.6,33.3,35.6,74.3,0.0,4.1
2021-02-16,Adilabad,Tamsi,0.0,16.6,34.9,30.6,75.6,0.0,7.8
2021-02-17,Adilabad,Tamsi,0.0,17.0,35.4,29.2,78.4,0.0,3.8
2021-02-18,Adilabad,Tamsi,0.0,17.5,31.5,38.7,78.0,0.0,10.8
2021-02-19,Adilabad,Tamsi,0.8,16.2,26.4,49.8,89.5,0.0,12.3
2021-02-20,Adilabad,Tamsi,0.0,12.3,23.4,60.8,92.1,0.0,7.8
2021-02-21,Adilabad,Tamsi,0.0,15.6,30.2,40.4,82.0,0.0,8.1
2021-02-22,Adilabad,Tamsi,0.0,15.4,31.9,35.6,81.6,0.0,6.8
2021-02-23,Adilabad,Tamsi,0.0,13.2,33.8,24.9,75.1,0.0,6.5
2021-02-24,Adilabad,Tamsi,0.0,13.9,33.7,24.2,73.3,0.0,8.2
2021-02-25,Adilabad,Tamsi,0.0,13.6,36.1,22.4,78.7,0.0,5.8
2021-02-26,Adilabad,Tamsi,0.0,15.8,37.5,17.6,70.2,0.0,7.7
2021-02-27,Adilabad,Tamsi,0.0,16.1,37.0,25.1,67.5,0.0,9.9
2021-02-28,Adilabad,Tamsi,0.0,15.4,36.0,18.2,66.5,0.0,10.6
2021-03-01,Adilabad,Tamsi,0.0,22.5,36.8,18.5,62.3,0.0,7.1
2021-03-02,Adilabad,Tamsi,0.0,18.1,37.8,17.1,67.9,0.0,5.2
2021-03-03,Adilabad,Tamsi,0.0,14.7,37.3,17.1,67.0,0.0,7.3
2021-03-04,Adilabad,Tamsi,0.0,14.0,36.0,16.2,66.5,0.0,7.0
2021-03-05,Adilabad,Tamsi,0.0,18.4,37.4,14.3,57.5,0.0,6.2
2021-03-06,Adilabad,Tamsi,0.0,16.0,37.1,15.5,56.6,0.0,10.4
