Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Adilabad,Utnur,0.0,12.7,29.4,41.9,92.1,0.0,1.9
2021-01-02,Adilabad,Utnur,0.0,14.0,28.8,50.0,95.2,0.0,2.1
2021-01-03,Adilabad,Utnur,0.0,12.1,29.5,47.1,97.4,0.0,1.7
2021-01-04,Adilabad,Utnur,0.0,13.7,29.3,44.0,96.7,0.0,2.1
2021-01-05,Adilabad,Utnur,0.0,13.8,29.1,38.5,94.8,0.0,2.8
2021-01-06,Adilabad,Utnur,0.0,16.4,28.7,51.5,90.2,0.0,2.0
2021-01-07,Adilabad,Utnur,0.0,19.2,28.8,57.1,94.1,0.0,1.5
2021-01-08,Adilabad,Utnur,0.0,20.6,28.1,65.1,91.7,0.0,1.6
2021-01-09,Adilabad,Utnur,0.0,15.1,30.2,46.7,91.1,0.0,2.2
2021-01-10,Adilabad,Utnur,0.0,14.2,30.6,29.7,91.3,0.0,3.0
2021-01-11,Adilabad,Utnur,0.0,15.1,32.0,25.5,89.0,0.0,2.8
2021-01-12,Adilabad,Utnur,0.0,15.4,32.3,34.8,93.1,0.0,1.8
2021-01-13,Adilabad,Utnur,0.0,17.1,32.5,30.2,86.8,0.0,2.0
2021-01-14,Adilabad,Utnur,0.0,15.5,31.9,35.5,86.7,0.0,2.0
2021-01-15,Adilabad,Utnur,0.0,12.3,31.9,34.5,88.4,0.0,2.2
2021-01-16,Adilabad,Utnur,0.0,13.7,32.1,34.0,86.5,0.0,1.8
2021-01-17,Adilabad,Utnur,0.0,15.0,31.1,35.5,86.4,0.0,2.0
2021-01-18,Adilabad,Utnur,0.0,13.2,31.5,34.4,90.0,0.0,2.3
2021-01-19,Adilabad,Utnur,0.0,14.0,30.7,37.8,95.9,0.0,2.5
2021-01-20,Adilabad,Utnur,0.0,14.9,32.1,37.8,94.3,0.0,2.2
2021-01-21,Adilabad,Utnur,0.0,16.6,31.0,41.9,88.5,0.0,2.3
2021-01-22,Adilabad,Utnur,0.0,14.2,31.6,34.5,78.9,0.0,2.5
2021-01-23,Adilabad,Utnur,0.0,13.1,32.3,28.4,84.9,0.0,1.8
2021-01-24,Adilabad,Utnur,0.0,15.3,32.4,39.6,95.3,0.0,2.2
2021-01-25,Adilabad,Utnur,0.0,16.5,32.2,43.1,94.4,0.0,3.1
2021-01-26,Adilabad,Utnur,0.0,15.8,32.1,43.8,94.9,0.0,2.0
2021-01-27,Adilabad,Utnur,0.0,17.8,31.2,44.1,88.1,0.0,2.2
2021-01-28,Adilabad,Utnur,0.0,16.8,30.9,44.2,94.7,0.0,3.0
2021-01-29,Adilabad,Utnur,0.0,16.2,29.7,50.6,96.9,0.0,2.7
2021-01-30,Adilabad,Utnur,0.0,16.6,30.3,46.6,82.5,0.0,2.8
2021-01-31,Adilabad,Utnur,0.0,16.0,28.6,35.9,59.5,0.2,3.1
2021-02-01,Adilabad,Utnur,0.0,14.7,30.2,32.8,63.8,0.2,2.3
2021-02-02,Adilabad,Utnur,0.0,11.8,31.6,26.2,77.2,0.0,2.5
2021-02-03,Adilabad,Utnur,0.0,11.1,31.3,18.9,70.9,0.0,3.3
2021-02-04,Adilabad,Utnur,0.0,10.0,31.2,15.1,74.4,0.0,2.8
2021-02-05,Adilabad,Utnur,0.0,11.3,29.3,25.1,84.6,0.0,3.6
2021-02-06,Adilabad,Utnur,0.0,12.2,31.2,26.3,80.9,0.0,3.0
2021-02-07,Adilabad,Utnur,0.0,16.5,30.2,31.9,60.0,0.0,3.3
2021-02-08,Adilabad,Utnur,0.0,12.0,29.2,29.6,63.1,0.0,4.3
2021-02-09,Adilabad,Utnur,0.0,9.2,29.2,20.4,71.4,0.0,3.1
2021-02-10,Adilabad,Utnur,0.0,10.6,31.7,21.3,72.6,0.0,2.2
2021-02-11,Adilabad,Utnur,0.0,11.4,32.7,22.2,78.0,0.0,1.4
2021-02-12,Adilabad,Utnur,0.0,12.4,32.6,21.6,86.5,0.0,3.1
2021-02-13,Adilabad,Utnur,0.0,13.5,32.0,34.9,82.8,0.0,1.8
2021-02-14,Adilabad,Utnur,0.0,15.0,32.7,34.6,87.2,0.0,2.2
2021-02-15,Adilabad,Utnur,0.0,16.3,32.4,33.4,84.5,0.0,1.9
2021-02-16,Adilabad,Utnur,0.0,14.9,33.7,29.8,85.8,0.0,2.1
2021-02-17,Adilabad,Utnur,0.0,17.8,32.7,34.1,76.6,0.0,3.3
2021-02-18,Adilabad,Utnur,0.3,17.3,30.4,31.2,80.8,0.2,2.9
2021-02-19,Adilabad,Utnur,0.3,17.0,27.0,45.8,85.1,0.1,4.0
2021-02-20,Adilabad,Utnur,2.9,16.2,24.5,58.2,92.7,0.0,2.3
