Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Karimnagar,Ellandakunta,0.0,17.7,29.5,52.8,87.4,,
2021-01-02,Karimnagar,Ellandakunta,0.0,16.2,28.8,56.0,91.7,,
2021-01-03,Karimnagar,Ellandakunta,0.0,16.5,29.6,53.0,90.4,,
2021-01-04,Karimnagar,Ellandakunta,0.0,16.9,29.7,51.8,91.8,,
2021-01-05,Karimnagar,Ellandakunta,0.0,16.4,31.0,49.1,90.6,,
2021-01-06,Karimnagar,Ellandakunta,0.0,21.4,30.3,51.8,87.8,,
2021-01-07,Karimnagar,Ellandakunta,0.0,22.1,28.1,63.0,84.6,,
2021-01-08,Karimnagar,Ellandakunta,0.0,21.2,29.4,62.8,90.5,,
2021-01-09,Karimnagar,Ellandakunta,0.0,17.4,32.2,43.4,86.1,,
2021-01-10,Karimnagar,Ellandakunta,0.0,16.6,33.5,30.2,92.6,,
2021-01-11,Karimnagar,Ellandakunta,0.0,17.1,32.7,38.6,100.0,,
2021-01-12,Karimnagar,Ellandakunta,0.0,18.8,31.8,49.2,93.6,,
2021-01-13,Karimnagar,Ellandakunta,0.0,18.7,33.4,49.0,92.5,,
2021-01-14,Karimnagar,Ellandakunta,0.0,18.2,32.7,48.4,92.9,,
2021-01-15,Karimnagar,Ellandakunta,0.0,16.4,32.7,42.5,91.8,,
2021-01-16,Karimnagar,Ellandakunta,0.0,16.6,31.9,39.8,92.8,,
2021-01-17,Karimnagar,Ellandakunta,0.0,18.0,31.4,48.1,91.8,,
2021-01-18,Karimnagar,Ellandakunta,0.0,18.0,30.8,46.1,91.1,,
2021-01-19,Karimnagar,Ellandakunta,0.0,18.9,31.2,50.7,91.7,,
2021-01-20,Karimnagar,Ellandakunta,0.0,17.8,31.8,50.0,92.4,,
2021-01-21,Karimnagar,Ellandakunta,0.0,17.5,33.6,38.5,88.9,,
2021-01-22,Karimnagar,Ellandakunta,0.0,19.2,33.8,40.2,91.3,,
2021-01-23,Karimnagar,Ellandakunta,0.0,18.6,33.4,44.0,92.0,,
2021-01-24,Karimnagar,Ellandakunta,0.0,18.6,33.7,44.6,92.3,,
2021-01-25,Karimnagar,Ellandakunta,0.0,18.7,33.8,46.1,91.1,,
2021-01-26,Karimnagar,Ellandakunta,0.0,18.6,33.4,46.6,80.0,,
2021-01-27,Karimnagar,Ellandakunta,0.0,19.7,33.4,44.7,88.8,,
