Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Kamepalle,0.0,16.9,30.2,51.1,92.5,,
2021-01-02,Khammam,Kamepalle,0.0,15.9,30.9,57.3,92.9,,
2021-01-03,Khammam,Kamepalle,0.0,15.7,31.9,46.0,92.1,,
2021-01-04,Khammam,Kamepalle,0.0,15.2,31.8,46.9,98.9,,
2021-01-05,Khammam,Kamepalle,0.0,17.0,31.8,39.2,91.9,,
2021-01-06,Khammam,Kamepalle,0.0,20.6,32.3,40.1,89.2,,
2021-01-07,Khammam,Kamepalle,0.0,21.0,29.6,50.8,86.0,,
2021-01-08,Khammam,Kamepalle,0.0,19.8,32.0,68.9,88.0,,
2021-01-09,Khammam,Kamepalle,0.0,16.6,33.4,42.2,93.3,,
2021-01-10,Khammam,Kamepalle,0.0,15.9,31.6,39.4,91.1,,
2021-01-11,Khammam,Kamepalle,0.0,16.8,32.3,39.9,90.1,,
2021-01-12,Khammam,Kamepalle,0.0,18.3,32.7,41.9,92.0,,
2021-01-13,Khammam,Kamepalle,0.0,19.0,33.9,45.1,93.3,,
2021-01-14,Khammam,Kamepalle,0.0,20.3,32.2,48.8,93.1,,
2021-01-15,Khammam,Kamepalle,0.0,19.4,32.8,47.2,93.2,,
2021-01-16,Khammam,Kamepalle,0.0,18.8,30.8,50.1,93.2,,
2021-01-17,Khammam,Kamepalle,0.0,18.3,31.7,48.5,93.5,,
2021-01-18,Khammam,Kamepalle,0.0,18.3,32.0,55.1,93.1,,
2021-01-19,Khammam,Kamepalle,0.0,17.5,31.4,48.1,93.5,,
2021-01-20,Khammam,Kamepalle,0.0,17.5,31.6,48.8,93.7,,
2021-01-21,Khammam,Kamepalle,0.0,17.8,33.9,39.5,90.2,,
2021-01-22,Khammam,Kamepalle,0.0,21.4,34.9,51.8,82.1,,
2021-01-23,Khammam,Kamepalle,0.0,22.0,34.9,47.0,87.7,,
2021-01-24,Khammam,Kamepalle,0.0,21.2,33.4,46.8,99.9,,
2021-01-25,Khammam,Kamepalle,0.0,20.8,33.6,52.2,99.9,,
2021-01-26,Khammam,Kamepalle,0.0,17.7,33.4,43.4,89.8,,
2021-01-27,Khammam,Kamepalle,0.0,19.2,32.7,47.9,93.2,,
2021-01-28,Khammam,Kamepalle,0.0,19.1,31.0,55.2,93.4,,
2021-01-29,Khammam,Kamepalle,0.0,19.6,31.9,50.5,93.1,,
2021-01-30,Khammam,Kamepalle,0.0,20.3,31.9,48.2,93.5,,
2021-01-31,Khammam,Kamepalle,0.0,19.7,32.9,46.1,93.1,,
2021-02-01,Khammam,Kamepalle,0.0,19.2,32.7,46.7,92.3,,
2021-02-02,Khammam,Kamepalle,0.0,16.1,32.2,42.9,92.3,,
2021-02-03,Khammam,Kamepalle,0.0,16.0,32.3,28.0,90.7,,
2021-02-04,Khammam,Kamepalle,0.0,16.4,33.3,26.5,89.7,,
2021-02-05,Khammam,Kamepalle,0.0,18.2,32.4,28.1,95.5,,
2021-02-06,Khammam,Kamepalle,0.0,19.4,33.2,28.9,91.7,,
2021-02-07,Khammam,Kamepalle,0.0,19.3,33.9,34.5,95.6,,
2021-02-08,Khammam,Kamepalle,0.0,17.2,33.6,41.7,84.2,,
2021-02-09,Khammam,Kamepalle,0.0,17.5,32.8,35.1,91.7,,
2021-02-10,Khammam,Kamepalle,0.0,19.5,34.2,36.5,81.8,,
2021-02-11,Khammam,Kamepalle,0.0,20.1,35.4,33.4,99.9,,
2021-02-12,Khammam,Kamepalle,0.0,19.5,33.1,48.9,98.4,,
2021-02-13,Khammam,Kamepalle,0.0,20.0,33.5,43.6,91.1,,
2021-02-14,Khammam,Kamepalle,0.0,17.8,34.4,44.7,89.5,,
2021-02-15,Khammam,Kamepalle,0.0,21.2,34.5,39.4,99.9,,
2021-02-16,Khammam,Kamepalle,0.0,22.3,35.1,34.3,88.1,,
2021-02-17,Khammam,Kamepalle,0.0,19.9,32.5,36.0,99.9,,
2021-02-18,Khammam,Kamepalle,0.0,18.1,33.1,39.4,99.9,,
2021-02-19,Khammam,Kamepalle,0.0,19.0,31.5,48.8,80.4,,
2021-02-20,Khammam,Kamepalle,0.0,20.0,28.0,47.1,83.5,,
2021-02-21,Khammam,Kamepalle,0.0,18.3,34.1,36.2,89.6,,
2021-02-22,Khammam,Kamepalle,0.0,20.2,32.3,42.2,92.0,,
2021-02-23,Khammam,Kamepalle,0.0,19.0,34.1,43.8,92.2,,
2021-02-24,Khammam,Kamepalle,0.0,19.4,34.9,40.2,92.6,,
2021-02-25,Khammam,Kamepalle,0.0,19.1,35.9,37.5,89.9,,
2021-02-26,Khammam,Kamepalle,0.0,18.1,36.5,36.1,89.2,,
2021-02-27,Khammam,Kamepalle,0.0,18.9,37.3,33.2,89.8,,
2021-02-28,Khammam,Kamepalle,0.0,20.0,37.2,31.0,92.5,,
2021-03-01,Khammam,Kamepalle,0.0,20.5,37.3,30.3,92.2,,
2021-03-02,Khammam,Kamepalle,0.0,20.9,36.2,32.1,92.1,,
2021-03-03,Khammam,Kamepalle,0.0,19.3,35.6,27.3,86.8,,
2021-03-04,Khammam,Kamepalle,0.0,18.3,36.7,30.5,87.6,,
2021-03-05,Khammam,Kamepalle,0.0,18.6,35.1,29.2,92.4,,
2021-03-06,Khammam,Kamepalle,0.0,17.5,34.6,27.2,83.8,,
2021-03-07,Khammam,Kamepalle,0.0,19.2,36.0,26.9,91.7,,
2021-03-08,Khammam,Kamepalle,0.0,23.7,35.4,36.0,87.9,,
2021-03-09,Khammam,Kamepalle,0.0,21.1,33.9,44.0,99.9,,
2021-03-10,Khammam,Kamepalle,0.0,20.9,33.0,48.1,92.2,,
2021-03-11,Khammam,Kamepalle,0.0,22.0,34.1,43.7,90.6,,
2021-03-12,Khammam,Kamepalle,0.0,21.4,35.0,32.9,91.2,,
2021-03-13,Khammam,Kamepalle,0.0,18.4,34.2,43.3,91.6,,
2021-03-14,Khammam,Kamepalle,0.0,19.8,37.3,23.0,90.0,,
2021-03-15,Khammam,Kamepalle,0.0,21.2,36.0,29.5,91.2,,
2021-03-16,Khammam,Kamepalle,0.0,22.3,34.9,31.2,91.6,,
2021-03-17,Khammam,Kamepalle,0.0,23.7,35.2,46.6,90.9,,
2021-03-18,Khammam,Kamepalle,0.0,21.4,34.2,39.4,90.8,,
2021-03-19,Khammam,Kamepalle,0.0,20.7,33.9,41.4,91.8,,
2021-03-20,Khammam,Kamepalle,0.0,20.7,34.6,40.0,88.4,,
2021-03-21,Khammam,Kamepalle,0.0,22.1,36.3,33.1,83.1,,
2021-03-22,Khammam,Kamepalle,0.0,22.4,37.4,30.2,84.5,,
2021-03-23,Khammam,Kamepalle,0.0,21.3,36.7,36.6,88.1,,
2021-03-24,Khammam,Kamepalle,0.0,22.9,37.4,28.3,73.1,,
2021-03-25,Khammam,Kamepalle,0.0,22.1,37.8,35.2,84.3,,
2021-03-26,Khammam,Kamepalle,0.0,22.6,37.4,34.9,82.9,,
2021-03-27,Khammam,Kamepalle,0.0,22.3,36.8,33.5,85.5,,
2021-03-28,Khammam,Kamepalle,0.0,22.7,36.9,39.2,92.4,,
2021-03-29,Khammam,Kamepalle,0.0,23.3,37.9,34.8,90.6,,
