Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Konijerla,0.0,16.7,30.9,57.7,95.3,,
2021-01-02,Khammam,Konijerla,0.0,16.2,30.7,52.3,99.0,,
2021-01-03,Khammam,Konijerla,0.0,17.0,31.1,51.6,98.6,,
2021-01-04,Khammam,Konijerla,0.0,16.3,31.5,45.7,99.3,,
2021-01-05,Khammam,Konijerla,0.0,17.7,33.5,41.3,99.0,,
2021-01-06,Khammam,Konijerla,0.0,21.1,34.3,38.8,95.7,,
2021-01-07,Khammam,Konijerla,0.0,21.8,31.4,44.5,90.8,,
2021-01-08,Khammam,Konijerla,0.0,19.4,31.0,60.9,97.9,,
2021-01-09,Khammam,Konijerla,0.0,17.0,34.4,48.9,98.3,,
2021-01-10,Khammam,Konijerla,0.0,15.6,33.0,41.6,95.5,,
2021-01-11,Khammam,Konijerla,0.0,16.6,33.7,41.2,96.1,,
2021-01-12,Khammam,Konijerla,0.0,17.8,33.5,47.7,97.7,,
2021-01-13,Khammam,Konijerla,0.0,19.0,33.8,46.1,100.0,,
2021-01-14,Khammam,Konijerla,0.0,20.5,33.4,52.6,100.0,,
2021-01-15,Khammam,Konijerla,0.0,18.2,32.6,50.0,100.0,,
2021-01-16,Khammam,Konijerla,0.0,17.6,32.7,47.6,100.0,,
2021-01-17,Khammam,Konijerla,0.0,17.9,32.6,49.1,100.0,,
2021-01-18,Khammam,Konijerla,0.0,18.6,32.5,54.5,98.8,,
2021-01-19,Khammam,Konijerla,0.0,18.1,31.9,52.7,100.0,,
2021-01-20,Khammam,Konijerla,0.0,18.0,32.8,50.9,100.0,,
2021-01-21,Khammam,Konijerla,0.0,18.0,33.5,37.5,100.0,,
2021-01-22,Khammam,Konijerla,0.0,19.3,34.3,44.0,99.9,,
2021-01-23,Khammam,Konijerla,0.0,20.8,33.6,49.8,100.0,,
2021-01-24,Khammam,Konijerla,0.0,18.3,33.3,46.1,100.0,,
2021-01-25,Khammam,Konijerla,0.0,18.2,33.5,49.7,100.0,,
2021-01-26,Khammam,Konijerla,0.0,18.3,33.3,45.7,99.9,,
2021-01-27,Khammam,Konijerla,0.0,19.7,33.3,48.3,100.0,,
2021-01-28,Khammam,Konijerla,0.0,19.2,32.9,56.3,100.0,,
2021-01-29,Khammam,Konijerla,0.0,19.7,32.8,52.2,100.0,,
2021-01-30,Khammam,Konijerla,0.0,20.3,33.5,47.5,100.0,,
2021-01-31,Khammam,Konijerla,0.0,20.4,33.7,46.0,99.9,,
2021-02-01,Khammam,Konijerla,0.0,20.4,33.4,48.7,100.0,,
2021-02-02,Khammam,Konijerla,0.0,17.4,32.7,47.9,100.0,,
2021-02-03,Khammam,Konijerla,0.0,16.6,32.9,37.2,100.0,,
2021-02-04,Khammam,Konijerla,0.0,16.4,32.9,39.0,100.0,,
2021-02-05,Khammam,Konijerla,0.0,14.9,33.0,39.0,99.9,,
2021-02-06,Khammam,Konijerla,0.0,16.7,32.4,35.6,99.9,,
2021-02-07,Khammam,Konijerla,0.0,16.7,34.0,38.2,100.0,,
2021-02-08,Khammam,Konijerla,0.0,16.1,32.8,41.0,99.9,,
2021-02-09,Khammam,Konijerla,0.0,16.9,32.9,43.5,99.9,,
2021-02-10,Khammam,Konijerla,0.0,16.8,33.7,42.3,100.0,,
2021-02-11,Khammam,Konijerla,0.0,17.6,32.5,44.9,100.0,,
2021-02-12,Khammam,Konijerla,0.0,17.4,32.8,47.2,100.0,,
2021-02-13,Khammam,Konijerla,0.0,17.7,33.3,45.1,100.0,,
2021-02-14,Khammam,Konijerla,0.0,17.9,33.6,49.2,100.0,,
2021-02-15,Khammam,Konijerla,0.0,18.7,34.5,41.1,100.0,,
2021-02-16,Khammam,Konijerla,0.0,19.7,34.8,40.5,100.0,,
2021-02-17,Khammam,Konijerla,0.0,17.5,34.8,43.7,100.0,,
2021-02-18,Khammam,Konijerla,0.0,18.8,33.4,41.9,98.2,,
2021-02-19,Khammam,Konijerla,0.0,19.9,32.6,54.6,99.9,,
2021-02-20,Khammam,Konijerla,0.0,20.2,29.8,49.4,99.9,,
2021-02-21,Khammam,Konijerla,0.0,19.6,31.9,45.3,96.0,,
2021-02-22,Khammam,Konijerla,0.0,20.7,31.5,50.3,99.9,,
2021-02-23,Khammam,Konijerla,0.0,19.5,35.4,44.1,99.9,,
2021-02-24,Khammam,Konijerla,0.0,19.7,35.4,43.8,100.0,,
2021-02-25,Khammam,Konijerla,0.0,18.8,36.8,40.8,99.4,,
2021-02-26,Khammam,Konijerla,0.0,17.9,37.7,42.7,99.9,,
2021-02-27,Khammam,Konijerla,0.0,19.0,37.5,42.4,99.9,,
2021-02-28,Khammam,Konijerla,0.0,19.0,35.7,39.3,100.0,,
2021-03-01,Khammam,Konijerla,0.0,20.1,37.5,41.2,100.0,,
2021-03-02,Khammam,Konijerla,0.0,20.9,34.7,40.2,100.0,,
2021-03-03,Khammam,Konijerla,0.0,19.3,35.8,39.9,98.2,,
2021-03-04,Khammam,Konijerla,0.0,19.0,36.2,39.0,95.9,,
2021-03-05,Khammam,Konijerla,0.0,19.0,37.0,33.9,100.0,,
2021-03-06,Khammam,Konijerla,0.0,18.3,37.1,33.6,99.9,,
2021-03-07,Khammam,Konijerla,0.0,18.5,35.9,34.4,100.0,,
2021-03-08,Khammam,Konijerla,0.0,22.1,36.5,41.5,100.0,,
2021-03-09,Khammam,Konijerla,0.0,21.5,34.5,52.0,100.0,,
2021-03-10,Khammam,Konijerla,0.0,20.7,34.6,50.4,100.0,,
2021-03-11,Khammam,Konijerla,0.0,21.7,35.4,45.2,100.0,,
2021-03-12,Khammam,Konijerla,0.0,21.5,35.0,38.3,100.0,,
2021-03-13,Khammam,Konijerla,0.0,18.3,36.4,44.9,100.0,,
2021-03-14,Khammam,Konijerla,0.0,19.1,36.9,29.0,99.9,,
2021-03-15,Khammam,Konijerla,0.0,21.3,37.0,31.9,100.0,,
2021-03-16,Khammam,Konijerla,0.0,22.4,35.9,41.5,100.0,,
2021-03-17,Khammam,Konijerla,0.0,23.6,35.8,49.7,100.0,,
2021-03-18,Khammam,Konijerla,0.0,21.8,37.6,41.7,100.0,,
