Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Kusumanchi,0.0,19.9,30.5,55.9,95.2,,
2021-01-02,Khammam,Kusumanchi,0.0,19.2,29.8,54.6,96.9,,
2021-01-03,Khammam,Kusumanchi,0.0,20.1,30.7,49.8,97.6,,
2021-01-04,Khammam,Kusumanchi,0.0,18.5,30.2,46.7,97.0,,
2021-01-05,Khammam,Kusumanchi,0.0,19.5,30.9,46.5,97.8,,
2021-01-06,Khammam,Kusumanchi,0.0,22.7,33.3,46.5,96.4,,
2021-01-07,Khammam,Kusumanchi,0.0,21.9,30.3,54.3,94.9,,
2021-01-08,Khammam,Kusumanchi,0.0,20.8,31.0,57.7,97.0,,
2021-01-09,Khammam,Kusumanchi,0.0,19.8,35.2,55.1,97.4,,
2021-01-10,Khammam,Kusumanchi,0.0,20.1,32.4,48.7,97.8,,
2021-01-11,Khammam,Kusumanchi,0.0,19.5,32.9,42.1,93.0,,
2021-01-12,Khammam,Kusumanchi,0.0,20.0,33.3,46.8,96.9,,
2021-01-13,Khammam,Kusumanchi,0.0,20.0,33.3,47.1,97.4,,
2021-01-14,Khammam,Kusumanchi,0.0,24.4,34.6,55.0,98.3,,
2021-01-15,Khammam,Kusumanchi,0.0,21.9,32.8,54.8,98.6,,
2021-01-16,Khammam,Kusumanchi,0.0,19.0,32.9,46.8,98.5,,
2021-01-17,Khammam,Kusumanchi,0.0,19.6,33.0,54.3,98.9,,
2021-01-18,Khammam,Kusumanchi,0.0,20.3,32.0,55.0,97.8,,
2021-01-19,Khammam,Kusumanchi,0.0,20.0,33.1,54.7,98.1,,
2021-01-20,Khammam,Kusumanchi,0.0,19.2,32.5,55.9,97.0,,
2021-01-21,Khammam,Kusumanchi,0.0,19.2,34.7,33.0,97.7,,
2021-01-22,Khammam,Kusumanchi,0.0,20.3,33.9,46.9,94.5,,
2021-01-23,Khammam,Kusumanchi,0.0,22.9,35.3,47.7,96.8,,
2021-01-24,Khammam,Kusumanchi,0.0,21.1,33.1,47.8,96.8,,
2021-01-25,Khammam,Kusumanchi,0.0,20.6,35.5,46.9,94.9,,
2021-01-26,Khammam,Kusumanchi,0.0,20.5,34.7,46.8,91.2,,
2021-01-27,Khammam,Kusumanchi,0.0,19.7,35.3,47.3,97.2,,
2021-01-28,Khammam,Kusumanchi,0.0,19.9,32.9,55.0,97.7,,
2021-01-29,Khammam,Kusumanchi,0.0,20.4,32.1,50.6,99.3,,
2021-01-30,Khammam,Kusumanchi,0.0,20.9,32.3,55.0,98.1,,
2021-01-31,Khammam,Kusumanchi,0.0,21.0,33.5,55.0,97.5,,
2021-02-01,Khammam,Kusumanchi,0.0,21.7,34.7,55.0,98.1,,
2021-02-02,Khammam,Kusumanchi,0.0,19.3,33.3,55.1,97.8,,
2021-02-03,Khammam,Kusumanchi,0.0,19.5,34.7,42.1,98.1,,
2021-02-04,Khammam,Kusumanchi,0.0,20.0,32.6,42.7,97.7,,
2021-02-05,Khammam,Kusumanchi,0.0,17.3,33.2,32.9,96.6,,
2021-02-06,Khammam,Kusumanchi,0.0,20.2,31.7,33.3,92.9,,
2021-02-07,Khammam,Kusumanchi,0.0,20.3,32.6,43.2,89.1,,
2021-02-08,Khammam,Kusumanchi,0.0,18.7,31.2,44.9,90.2,,
2021-02-09,Khammam,Kusumanchi,0.0,19.3,32.1,47.3,96.8,,
2021-02-10,Khammam,Kusumanchi,0.0,19.2,33.3,46.6,98.3,,
2021-02-11,Khammam,Kusumanchi,0.0,18.3,33.1,43.6,98.0,,
2021-02-12,Khammam,Kusumanchi,0.0,19.2,35.4,46.9,97.2,,
2021-02-13,Khammam,Kusumanchi,0.0,19.3,32.4,42.2,96.2,,
2021-02-14,Khammam,Kusumanchi,0.0,19.6,32.3,54.6,96.8,,
2021-02-15,Khammam,Kusumanchi,0.0,18.9,35.4,41.3,97.7,,
2021-02-16,Khammam,Kusumanchi,0.0,19.6,35.3,38.8,96.2,,
2021-02-17,Khammam,Kusumanchi,0.0,18.6,35.8,39.7,96.2,,
2021-02-18,Khammam,Kusumanchi,0.0,19.5,35.6,41.0,95.4,,
2021-02-19,Khammam,Kusumanchi,0.0,20.3,33.0,50.4,89.6,,
2021-02-20,Khammam,Kusumanchi,0.0,21.0,27.8,62.2,94.8,,
2021-02-21,Khammam,Kusumanchi,0.0,19.7,32.8,40.4,95.6,,
2021-02-22,Khammam,Kusumanchi,0.0,21.2,33.0,46.8,90.1,,
2021-02-23,Khammam,Kusumanchi,0.0,20.5,35.3,46.9,96.4,,
2021-02-24,Khammam,Kusumanchi,0.0,20.4,35.0,41.4,94.1,,
2021-02-25,Khammam,Kusumanchi,0.0,19.2,37.5,42.5,89.0,,
2021-02-26,Khammam,Kusumanchi,0.0,18.8,36.5,38.4,88.2,,
2021-02-27,Khammam,Kusumanchi,0.0,20.0,37.9,31.6,89.5,,
2021-02-28,Khammam,Kusumanchi,0.0,20.8,38.8,33.0,96.2,,
2021-03-01,Khammam,Kusumanchi,0.0,21.2,39.7,34.9,96.9,,
2021-03-02,Khammam,Kusumanchi,0.0,20.6,37.1,39.8,97.8,,
2021-03-03,Khammam,Kusumanchi,0.0,20.0,35.5,39.7,97.3,,
2021-03-04,Khammam,Kusumanchi,0.0,20.0,36.9,39.7,89.5,,
2021-03-05,Khammam,Kusumanchi,0.0,18.4,36.1,30.9,93.9,,
2021-03-06,Khammam,Kusumanchi,0.0,18.7,38.8,30.9,91.4,,
2021-03-07,Khammam,Kusumanchi,0.0,19.5,36.4,23.5,90.1,,
2021-03-08,Khammam,Kusumanchi,0.0,22.1,36.6,41.5,98.3,,
2021-03-09,Khammam,Kusumanchi,0.0,21.6,35.0,43.9,98.0,,
2021-03-10,Khammam,Kusumanchi,0.0,20.3,34.6,49.6,96.6,,
2021-03-11,Khammam,Kusumanchi,0.0,21.2,37.2,47.2,98.0,,
2021-03-12,Khammam,Kusumanchi,0.0,20.7,36.4,40.6,98.0,,
2021-03-13,Khammam,Kusumanchi,0.0,19.1,36.7,39.9,95.5,,
2021-03-14,Khammam,Kusumanchi,0.0,18.8,36.1,23.9,94.8,,
2021-03-15,Khammam,Kusumanchi,0.0,21.3,37.4,30.9,97.4,,
2021-03-16,Khammam,Kusumanchi,0.0,21.6,36.2,39.9,96.5,,
2021-03-17,Khammam,Kusumanchi,0.0,23.4,35.9,47.8,98.1,,
2021-03-18,Khammam,Kusumanchi,0.0,22.6,37.0,43.5,98.5,,
2021-03-19,Khammam,Kusumanchi,0.0,20.7,34.8,50.5,97.5,,
2021-03-20,Khammam,Kusumanchi,0.0,19.8,34.9,50.0,93.0,,
2021-03-21,Khammam,Kusumanchi,0.0,21.2,36.8,33.6,92.5,,
2021-03-22,Khammam,Kusumanchi,0.0,22.3,36.2,39.7,87.6,,
2021-03-23,Khammam,Kusumanchi,0.0,21.6,36.4,41.1,95.5,,
2021-03-24,Khammam,Kusumanchi,0.0,23.3,37.0,34.7,77.0,,
2021-03-25,Khammam,Kusumanchi,0.0,22.6,39.1,40.0,85.0,,
2021-03-26,Khammam,Kusumanchi,0.0,22.3,38.6,41.0,89.4,,
2021-03-27,Khammam,Kusumanchi,0.0,22.3,38.2,39.7,84.0,,
2021-03-28,Khammam,Kusumanchi,0.0,23.0,38.2,40.0,100.0,,
2021-03-29,Khammam,Kusumanchi,0.0,23.1,39.3,32.0,99.9,,
2021-03-30,Khammam,Kusumanchi,0.0,24.0,37.8,47.5,100.0,,
2021-03-31,Khammam,Kusumanchi,0.0,22.8,40.6,40.2,100.0,,
2021-04-01,Khammam,Kusumanchi,0.0,23.0,40.0,22.2,75.3,0.0,15.4
2021-04-02,Khammam,Kusumanchi,0.0,23.0,39.9,24.9,81.2,0.0,17.0
2021-04-03,Khammam,Kusumanchi,0.0,23.5,41.4,23.4,97.6,0.0,10.5
2021-04-04,Khammam,Kusumanchi,0.0,25.8,39.0,34.0,91.6,0.0,3.6
2021-04-05,Khammam,Kusumanchi,0.0,26.1,36.2,48.1,93.0,0.0,5.5
2021-04-06,Khammam,Kusumanchi,26.0,24.4,39.6,47.6,99.9,0.0,62.1
2021-04-07,Khammam,Kusumanchi,0.0,24.7,39.7,47.6,97.2,0.0,7.1
2021-04-08,Khammam,Kusumanchi,0.0,24.0,39.5,42.8,98.6,0.0,3.4
2021-04-09,Khammam,Kusumanchi,0.0,23.9,39.6,40.0,97.0,0.0,1.4
2021-04-10,Khammam,Kusumanchi,0.0,23.7,37.1,47.5,93.9,0.0,2.2
2021-04-11,Khammam,Kusumanchi,0.0,24.2,36.4,40.3,95.5,0.0,9.7
2021-04-12,Khammam,Kusumanchi,0.0,24.6,39.1,40.0,96.9,0.0,12.7
2021-04-13,Khammam,Kusumanchi,0.0,24.4,38.9,47.1,76.4,0.0,13.1
2021-04-14,Khammam,Kusumanchi,0.0,23.8,38.4,40.2,79.9,0.0,18.2
2021-04-15,Khammam,Kusumanchi,0.0,24.9,34.3,44.3,86.6,0.0,10.3
2021-04-16,Khammam,Kusumanchi,0.0,23.7,37.1,39.9,97.1,0.0,16.1
2021-04-17,Khammam,Kusumanchi,0.0,24.8,39.0,40.8,97.0,0.0,7.4
2021-04-18,Khammam,Kusumanchi,0.0,25.8,38.9,31.4,90.8,0.0,3.0
