Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Singareni,0.0,17.3,30.2,55.7,83.8,,
2021-01-02,Khammam,Singareni,0.0,17.7,32.4,57.3,96.4,,
2021-01-03,Khammam,Singareni,0.0,17.6,31.3,51.2,83.9,,
2021-01-04,Khammam,Singareni,0.0,15.9,31.9,54.8,97.9,,
2021-01-05,Khammam,Singareni,0.0,18.6,32.1,39.2,96.5,,
2021-01-06,Khammam,Singareni,0.0,21.3,35.1,36.7,87.6,,
2021-01-07,Khammam,Singareni,0.0,21.2,29.6,51.7,89.3,,
2021-01-08,Khammam,Singareni,0.0,19.5,31.4,58.7,84.1,,
2021-01-09,Khammam,Singareni,0.0,16.9,35.7,32.0,86.6,,
2021-01-10,Khammam,Singareni,0.0,17.2,35.0,32.3,79.0,,
2021-01-11,Khammam,Singareni,0.0,16.5,33.4,36.8,87.2,,
2021-01-12,Khammam,Singareni,0.0,19.6,35.2,37.3,84.3,,
2021-01-13,Khammam,Singareni,0.0,18.9,35.2,41.9,84.7,,
2021-01-14,Khammam,Singareni,0.0,22.3,22.3,73.8,73.8,,
2021-01-15,Khammam,Singareni,0.0,19.5,32.6,49.7,96.5,,
2021-01-16,Khammam,Singareni,0.0,18.9,33.1,45.0,96.6,,
2021-01-17,Khammam,Singareni,0.0,19.3,34.9,36.6,90.0,,
2021-01-18,Khammam,Singareni,0.0,19.1,33.5,46.7,97.6,,
2021-01-19,Khammam,Singareni,0.0,19.0,34.2,45.1,97.0,,
2021-01-20,Khammam,Singareni,0.0,19.5,33.3,45.3,96.8,,
2021-01-21,Khammam,Singareni,0.0,17.9,35.5,30.3,82.9,,
2021-01-22,Khammam,Singareni,0.0,20.8,34.3,43.4,88.6,,
2021-01-23,Khammam,Singareni,0.0,20.5,34.9,43.0,87.1,,
2021-01-24,Khammam,Singareni,0.0,21.9,34.2,46.8,99.9,,
2021-01-25,Khammam,Singareni,0.0,20.1,35.0,55.0,99.9,,
2021-01-26,Khammam,Singareni,0.0,18.7,34.7,40.2,80.5,,
2021-01-27,Khammam,Singareni,0.0,19.8,34.0,44.2,97.7,,
2021-01-28,Khammam,Singareni,0.0,19.6,33.3,51.7,82.5,,
2021-01-29,Khammam,Singareni,0.0,19.7,33.2,48.8,79.6,,
2021-01-30,Khammam,Singareni,0.0,20.4,32.5,52.2,96.6,,
2021-01-31,Khammam,Singareni,0.0,19.8,34.3,42.8,86.0,,
2021-02-01,Khammam,Singareni,0.0,19.3,33.8,45.2,87.0,,
2021-02-02,Khammam,Singareni,0.0,16.2,33.6,42.0,97.4,,
2021-02-03,Khammam,Singareni,0.0,17.7,34.3,27.2,79.7,,
2021-02-04,Khammam,Singareni,0.0,17.3,34.1,26.3,87.3,,
2021-02-05,Khammam,Singareni,0.0,17.2,32.6,21.4,86.7,,
2021-02-06,Khammam,Singareni,0.0,18.6,33.4,29.3,83.6,,
2021-02-07,Khammam,Singareni,0.0,18.7,34.5,32.7,87.0,,
2021-02-08,Khammam,Singareni,0.0,17.4,33.6,38.8,84.2,,
2021-02-09,Khammam,Singareni,0.0,17.5,32.8,28.4,86.3,,
2021-02-10,Khammam,Singareni,0.0,19.0,34.2,36.5,80.5,,
2021-02-11,Khammam,Singareni,0.0,19.3,35.1,41.5,99.9,,
2021-02-12,Khammam,Singareni,0.0,19.8,33.9,41.2,96.9,,
2021-02-13,Khammam,Singareni,0.0,20.8,34.3,40.4,81.5,,
2021-02-14,Khammam,Singareni,0.0,19.3,34.7,40.5,89.5,,
2021-02-15,Khammam,Singareni,0.0,20.7,35.5,40.6,99.9,,
2021-02-16,Khammam,Singareni,0.0,22.8,35.6,32.4,84.4,,
2021-02-17,Khammam,Singareni,0.0,19.3,33.6,40.8,99.9,,
2021-02-18,Khammam,Singareni,0.0,19.6,34.3,36.9,89.8,,
2021-02-19,Khammam,Singareni,0.0,19.9,32.3,48.8,88.2,,
2021-02-20,Khammam,Singareni,0.0,20.0,28.6,44.3,87.4,,
2021-02-21,Khammam,Singareni,0.0,19.7,34.2,32.1,80.8,,
2021-02-22,Khammam,Singareni,0.0,20.2,33.9,36.8,83.9,,
2021-02-23,Khammam,Singareni,0.0,19.8,34.1,49.4,96.1,,
2021-02-24,Khammam,Singareni,0.0,19.7,34.9,41.7,96.3,,
2021-02-25,Khammam,Singareni,0.0,19.8,35.5,34.4,94.9,,
2021-02-26,Khammam,Singareni,0.0,18.4,37.7,31.3,86.6,,
2021-02-27,Khammam,Singareni,0.0,20.1,37.8,27.4,87.8,,
2021-02-28,Khammam,Singareni,0.0,20.4,37.5,27.9,97.4,,
