Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Khammam,Wyra,0.0,18.8,33.0,56.1,96.6,,
2021-01-02,Khammam,Wyra,0.0,18.6,32.1,56.1,96.7,,
2021-01-03,Khammam,Wyra,0.0,19.0,32.4,56.6,97.3,,
2021-01-04,Khammam,Wyra,0.0,18.5,33.2,49.3,99.8,,
2021-01-05,Khammam,Wyra,0.0,19.6,33.1,47.8,96.7,,
2021-01-06,Khammam,Wyra,0.0,21.8,35.1,40.1,97.6,,
2021-01-07,Khammam,Wyra,0.2,23.0,32.6,46.5,96.2,,
2021-01-08,Khammam,Wyra,0.0,21.7,32.4,62.6,97.3,,
2021-01-09,Khammam,Wyra,0.0,19.1,35.9,55.2,99.5,,
2021-01-10,Khammam,Wyra,0.0,19.0,35.3,42.4,98.2,,
2021-01-11,Khammam,Wyra,0.0,19.6,35.8,40.5,97.2,,
2021-01-12,Khammam,Wyra,0.0,19.9,33.2,48.6,98.8,,
2021-01-13,Khammam,Wyra,0.0,21.3,34.9,50.3,98.0,,
2021-01-14,Khammam,Wyra,0.0,20.5,35.0,55.5,100.0,,
2021-01-15,Khammam,Wyra,0.0,20.9,34.6,46.3,100.0,,
2021-01-16,Khammam,Wyra,0.0,20.6,35.3,52.0,99.5,,
2021-01-17,Khammam,Wyra,0.0,19.6,32.6,50.3,100.0,,
2021-01-18,Khammam,Wyra,0.0,20.5,34.9,56.3,99.5,,
2021-01-19,Khammam,Wyra,0.0,19.7,34.6,55.0,100.0,,
2021-01-20,Khammam,Wyra,0.0,19.4,33.0,53.5,100.0,,
2021-01-21,Khammam,Wyra,0.0,20.1,34.6,43.4,100.0,,
2021-01-22,Khammam,Wyra,0.0,21.5,34.6,46.8,98.6,,
2021-01-23,Khammam,Wyra,0.0,22.8,35.8,55.2,99.4,,
2021-01-24,Khammam,Wyra,0.0,20.5,35.6,47.0,100.0,,
2021-01-25,Khammam,Wyra,0.0,19.5,35.6,54.0,100.0,,
2021-01-26,Khammam,Wyra,0.0,19.6,35.3,47.1,98.3,,
2021-01-27,Khammam,Wyra,0.0,21.0,35.5,50.4,100.0,,
2021-01-28,Khammam,Wyra,0.0,20.9,34.7,58.0,100.0,,
2021-01-29,Khammam,Wyra,0.0,21.3,34.6,55.5,100.0,,
2021-01-30,Khammam,Wyra,0.0,21.5,34.6,53.5,100.0,,
