Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Bheemgal,0.0,17.0,28.6,52.2,95.1,,
2021-01-02,Nizamabad,Bheemgal,0.0,16.6,29.1,51.7,97.1,,
2021-01-03,Nizamabad,Bheemgal,0.0,15.8,29.8,47.6,97.0,,
2021-01-04,Nizamabad,Bheemgal,0.0,16.4,28.8,50.4,94.1,,
2021-01-05,Nizamabad,Bheemgal,0.0,16.6,30.5,40.8,93.6,,
2021-01-06,Nizamabad,Bheemgal,0.0,20.4,30.1,46.0,90.8,,
2021-01-07,Nizamabad,Bheemgal,0.0,21.4,28.8,62.4,86.5,,
2021-01-08,Nizamabad,Bheemgal,1.2,21.1,25.2,76.5,96.9,,
2021-01-09,Nizamabad,Bheemgal,0.0,18.9,31.9,41.1,93.8,,
2021-01-10,Nizamabad,Bheemgal,0.0,18.0,32.3,27.2,89.0,,
2021-01-11,Nizamabad,Bheemgal,0.0,17.2,32.7,26.6,90.2,,
2021-01-12,Nizamabad,Bheemgal,0.0,18.5,31.4,43.9,93.0,,
2021-01-13,Nizamabad,Bheemgal,0.0,18.7,32.0,45.3,95.2,,
2021-01-14,Nizamabad,Bheemgal,0.0,17.5,31.2,41.4,93.2,,
2021-01-15,Nizamabad,Bheemgal,0.0,17.3,31.2,34.7,93.4,,
2021-01-16,Nizamabad,Bheemgal,0.0,17.4,30.7,43.9,93.3,,
2021-01-17,Nizamabad,Bheemgal,0.0,17.6,31.3,37.7,93.5,,
2021-01-18,Nizamabad,Bheemgal,0.0,18.1,30.5,45.2,93.5,,
2021-01-19,Nizamabad,Bheemgal,0.0,17.6,30.0,42.8,94.7,,
2021-01-20,Nizamabad,Bheemgal,0.0,20.0,32.2,39.8,81.9,,
2021-01-21,Nizamabad,Bheemgal,0.0,20.3,32.1,40.6,84.4,,
2021-01-22,Nizamabad,Bheemgal,0.0,18.7,30.7,47.2,93.8,,
2021-01-23,Nizamabad,Bheemgal,0.0,18.4,32.0,41.9,93.2,,
2021-01-24,Nizamabad,Bheemgal,0.0,19.6,32.2,40.8,89.1,,
2021-01-25,Nizamabad,Bheemgal,0.0,19.7,32.4,44.1,88.2,,
2021-01-26,Nizamabad,Bheemgal,0.0,19.5,32.2,44.8,88.4,,
2021-01-27,Nizamabad,Bheemgal,0.0,19.7,32.3,42.8,90.1,,
2021-01-28,Nizamabad,Bheemgal,0.0,21.4,32.3,47.2,86.7,,
2021-01-29,Nizamabad,Bheemgal,0.0,20.2,31.4,44.1,88.8,,
2021-01-30,Nizamabad,Bheemgal,0.0,19.5,30.8,48.1,89.7,,
2021-01-31,Nizamabad,Bheemgal,0.0,18.7,29.7,56.0,86.9,,
2021-02-01,Nizamabad,Bheemgal,0.0,17.9,30.3,50.9,82.9,,
2021-02-02,Nizamabad,Bheemgal,0.0,15.7,30.7,37.2,96.1,,
2021-02-03,Nizamabad,Bheemgal,0.0,13.3,31.2,19.9,86.6,,
