Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Chandur,0.0,17.3,28.3,46.5,75.0,,
2021-01-02,Nizamabad,Chandur,0.0,16.7,29.0,50.7,90.5,,
2021-01-03,Nizamabad,Chandur,0.0,17.8,30.1,45.0,89.8,,
2021-01-04,Nizamabad,Chandur,0.0,17.9,28.3,55.5,89.3,,
2021-01-05,Nizamabad,Chandur,0.0,16.2,32.1,28.6,95.1,,
2021-01-06,Nizamabad,Chandur,0.0,18.9,28.8,48.9,94.2,,
2021-01-07,Nizamabad,Chandur,1.8,19.2,28.4,58.9,94.2,,
2021-01-08,Nizamabad,Chandur,0.5,21.2,27.9,62.9,75.0,,
2021-01-09,Nizamabad,Chandur,0.0,19.0,30.2,46.6,95.6,,
2021-01-10,Nizamabad,Chandur,0.0,18.8,33.3,26.8,94.0,,
2021-01-11,Nizamabad,Chandur,0.0,17.0,31.3,39.2,91.9,,
2021-01-12,Nizamabad,Chandur,0.0,16.6,34.1,31.4,94.6,,
2021-01-13,Nizamabad,Chandur,0.0,17.5,30.9,52.6,95.1,,
2021-01-14,Nizamabad,Chandur,0.0,16.1,28.5,58.1,95.1,,
2021-01-15,Nizamabad,Chandur,0.0,15.5,30.7,43.3,93.5,,
2021-01-16,Nizamabad,Chandur,0.0,17.2,30.6,45.4,91.0,,
2021-01-17,Nizamabad,Chandur,0.0,16.4,30.9,42.4,93.5,,
2021-01-18,Nizamabad,Chandur,0.0,19.0,32.0,42.4,89.6,,
2021-01-19,Nizamabad,Chandur,0.0,17.4,30.2,45.6,93.0,,
2021-01-20,Nizamabad,Chandur,0.0,18.9,32.0,38.3,87.0,,
2021-01-21,Nizamabad,Chandur,0.0,18.7,34.0,32.1,89.1,,
2021-01-22,Nizamabad,Chandur,0.0,17.6,30.6,42.4,93.5,,
2021-01-23,Nizamabad,Chandur,0.0,16.3,31.8,36.0,95.1,,
2021-01-24,Nizamabad,Chandur,0.0,19.7,32.6,39.0,87.9,,
2021-01-25,Nizamabad,Chandur,0.0,19.1,31.6,45.8,88.3,,
2021-01-26,Nizamabad,Chandur,0.0,19.0,31.8,47.2,84.7,,
2021-01-27,Nizamabad,Chandur,0.0,19.7,31.7,40.8,75.0,,
2021-01-28,Nizamabad,Chandur,0.0,21.3,33.0,34.3,82.3,,
2021-01-29,Nizamabad,Chandur,0.0,20.9,31.8,39.0,82.6,,
2021-01-30,Nizamabad,Chandur,0.0,20.8,31.7,38.1,89.3,,
2021-01-31,Nizamabad,Chandur,0.0,19.4,28.5,57.0,83.1,,
2021-02-01,Nizamabad,Chandur,0.0,19.3,29.3,49.1,90.7,,
2021-02-02,Nizamabad,Chandur,0.0,16.6,30.2,40.5,75.5,,
2021-02-03,Nizamabad,Chandur,0.0,14.7,31.0,25.8,79.9,,
2021-02-04,Nizamabad,Chandur,0.0,14.1,30.8,22.1,74.3,,
2021-02-05,Nizamabad,Chandur,0.0,16.2,30.2,23.0,69.5,,
2021-02-06,Nizamabad,Chandur,0.0,16.8,31.0,24.7,74.0,,
2021-02-07,Nizamabad,Chandur,0.0,14.9,29.1,36.0,91.2,,
2021-02-08,Nizamabad,Chandur,0.0,10.9,27.6,38.1,85.1,,
2021-02-09,Nizamabad,Chandur,0.0,9.4,27.8,23.3,95.0,,
2021-02-10,Nizamabad,Chandur,0.0,13.6,29.6,22.8,84.8,,
2021-02-11,Nizamabad,Chandur,0.0,13.7,30.4,26.3,91.8,,
2021-02-12,Nizamabad,Chandur,0.0,15.6,31.0,26.7,90.3,,
2021-02-13,Nizamabad,Chandur,0.0,17.4,30.4,31.8,78.2,,
2021-02-14,Nizamabad,Chandur,0.0,19.0,30.4,40.8,77.8,,
2021-02-15,Nizamabad,Chandur,0.0,18.6,30.8,36.7,77.2,,
2021-02-16,Nizamabad,Chandur,0.0,21.7,32.2,28.3,68.7,,
2021-02-17,Nizamabad,Chandur,0.0,18.3,33.7,22.8,84.8,,
2021-02-18,Nizamabad,Chandur,0.0,16.6,31.1,35.2,94.0,,
2021-02-19,Nizamabad,Chandur,0.0,16.0,28.7,33.9,96.7,,
2021-02-20,Nizamabad,Chandur,7.3,15.5,22.6,61.0,97.2,,
2021-02-21,Nizamabad,Chandur,0.0,18.2,28.1,42.0,74.4,,
2021-02-22,Nizamabad,Chandur,0.0,17.5,29.1,45.6,74.7,,
2021-02-23,Nizamabad,Chandur,0.0,17.7,30.5,38.7,74.5,,
2021-02-24,Nizamabad,Chandur,0.0,16.4,32.1,26.4,74.5,,
2021-02-25,Nizamabad,Chandur,0.0,17.3,33.1,26.8,70.9,,
2021-02-26,Nizamabad,Chandur,0.0,16.3,34.9,22.3,86.7,,
2021-02-27,Nizamabad,Chandur,0.0,16.7,34.5,28.3,88.6,,
2021-02-28,Nizamabad,Chandur,0.0,16.6,35.4,21.6,87.7,,
2021-03-01,Nizamabad,Chandur,0.0,22.6,35.1,18.9,65.1,,
2021-03-02,Nizamabad,Chandur,0.0,18.7,35.8,19.7,88.6,,
2021-03-03,Nizamabad,Chandur,0.0,17.3,34.7,19.6,89.6,,
2021-03-04,Nizamabad,Chandur,0.0,16.3,33.6,23.6,83.9,,
2021-03-05,Nizamabad,Chandur,0.0,18.6,34.1,21.0,76.8,,
2021-03-06,Nizamabad,Chandur,0.0,16.7,34.7,21.6,80.5,,
2021-03-07,Nizamabad,Chandur,0.0,19.1,34.9,21.1,74.0,,
2021-03-08,Nizamabad,Chandur,0.0,19.6,36.6,16.6,80.7,,
2021-03-09,Nizamabad,Chandur,0.0,21.7,34.8,26.6,76.9,,
2021-03-10,Nizamabad,Chandur,0.0,20.4,34.4,28.3,85.0,,
2021-03-11,Nizamabad,Chandur,0.0,19.8,34.0,30.7,81.1,,
2021-03-12,Nizamabad,Chandur,0.0,18.5,34.9,21.4,84.8,,
2021-03-13,Nizamabad,Chandur,0.0,19.0,34.5,22.1,72.4,,
2021-03-14,Nizamabad,Chandur,0.0,18.6,32.1,33.3,66.5,,
2021-03-15,Nizamabad,Chandur,0.0,19.2,33.3,25.8,64.4,,
2021-03-16,Nizamabad,Chandur,0.0,20.9,34.3,25.7,63.6,,
2021-03-17,Nizamabad,Chandur,0.0,21.6,33.6,34.3,69.8,,
2021-03-18,Nizamabad,Chandur,0.0,24.8,35.6,26.3,74.8,,
2021-03-19,Nizamabad,Chandur,0.0,21.1,35.6,27.5,83.5,,
2021-03-20,Nizamabad,Chandur,0.0,20.9,34.8,25.6,80.2,,
2021-03-21,Nizamabad,Chandur,0.0,18.4,32.9,38.1,84.8,,
2021-03-22,Nizamabad,Chandur,0.0,19.6,33.4,29.1,86.9,,
2021-03-23,Nizamabad,Chandur,0.0,21.0,33.6,38.4,79.2,,
2021-03-24,Nizamabad,Chandur,0.0,20.3,32.4,32.6,83.1,,
2021-03-25,Nizamabad,Chandur,0.0,19.4,32.8,31.9,85.0,,
2021-03-26,Nizamabad,Chandur,0.0,20.9,35.3,22.7,80.3,,
2021-03-27,Nizamabad,Chandur,0.0,19.7,34.6,30.9,82.7,,
2021-03-28,Nizamabad,Chandur,0.0,18.4,36.7,18.5,82.5,,
2021-03-29,Nizamabad,Chandur,0.0,21.6,37.0,15.9,71.2,,
2021-03-30,Nizamabad,Chandur,0.0,21.4,38.8,15.6,84.5,,
2021-03-31,Nizamabad,Chandur,0.0,19.7,38.4,17.1,63.3,,
