Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Dichpalle,0.0,16.5,28.2,51.8,87.5,,
2021-01-02,Nizamabad,Dichpalle,0.0,15.8,27.3,56.8,88.0,,
2021-01-03,Nizamabad,Dichpalle,0.0,15.1,28.7,51.2,88.6,,
2021-01-04,Nizamabad,Dichpalle,0.0,14.8,29.0,53.8,88.4,,
2021-01-05,Nizamabad,Dichpalle,0.0,15.1,29.5,36.6,89.1,,
2021-01-06,Nizamabad,Dichpalle,0.0,19.0,28.6,43.7,87.1,,
2021-01-07,Nizamabad,Dichpalle,0.0,19.9,28.3,55.1,85.7,,
2021-01-08,Nizamabad,Dichpalle,0.0,20.0,24.3,73.5,88.5,,
2021-01-09,Nizamabad,Dichpalle,0.0,18.5,31.0,46.6,92.7,,
2021-01-10,Nizamabad,Dichpalle,0.0,16.7,31.7,34.8,92.3,,
2021-01-11,Nizamabad,Dichpalle,0.0,15.7,32.0,38.8,89.0,,
2021-01-12,Nizamabad,Dichpalle,0.0,17.1,31.7,45.0,90.8,,
2021-01-13,Nizamabad,Dichpalle,0.0,17.5,31.7,40.1,91.6,,
2021-01-14,Nizamabad,Dichpalle,0.0,16.1,30.3,40.3,86.7,,
2021-01-15,Nizamabad,Dichpalle,0.0,16.5,31.9,40.4,90.7,,
2021-01-16,Nizamabad,Dichpalle,0.0,17.8,30.8,43.8,90.0,,
2021-01-17,Nizamabad,Dichpalle,0.0,17.2,31.3,47.0,78.0,,
2021-01-18,Nizamabad,Dichpalle,0.0,18.3,30.5,50.4,90.4,,
2021-01-19,Nizamabad,Dichpalle,0.0,17.1,30.3,47.8,76.6,,
2021-01-20,Nizamabad,Dichpalle,0.0,18.1,32.7,43.7,71.1,,
2021-01-21,Nizamabad,Dichpalle,0.0,18.6,32.2,43.2,99.1,,
2021-01-22,Nizamabad,Dichpalle,0.0,17.8,32.5,44.2,100.0,,
2021-01-23,Nizamabad,Dichpalle,0.0,17.5,32.2,41.8,94.9,,
2021-01-24,Nizamabad,Dichpalle,0.0,19.8,32.4,41.8,83.7,,
2021-01-25,Nizamabad,Dichpalle,0.0,18.9,32.5,46.1,75.0,,
2021-01-26,Nizamabad,Dichpalle,0.0,18.6,32.8,46.3,91.8,,
2021-01-27,Nizamabad,Dichpalle,0.0,19.0,33.0,40.3,100.0,,
2021-01-28,Nizamabad,Dichpalle,0.0,21.0,31.8,36.3,91.1,,
2021-01-29,Nizamabad,Dichpalle,0.0,19.2,31.3,43.6,95.2,,
2021-01-30,Nizamabad,Dichpalle,0.0,19.2,31.8,34.0,100.0,,
2021-01-31,Nizamabad,Dichpalle,0.0,17.8,30.3,38.6,100.0,,
2021-02-01,Nizamabad,Dichpalle,0.0,17.6,30.2,39.1,93.4,,
2021-02-02,Nizamabad,Dichpalle,0.0,14.6,30.6,39.4,95.9,,
2021-02-03,Nizamabad,Dichpalle,0.0,12.9,31.6,21.6,100.0,,
2021-02-04,Nizamabad,Dichpalle,0.0,13.8,31.0,17.9,99.6,,
2021-02-05,Nizamabad,Dichpalle,0.0,13.7,30.3,21.8,83.2,,
2021-02-06,Nizamabad,Dichpalle,0.0,15.6,31.7,27.6,77.8,,
2021-02-07,Nizamabad,Dichpalle,0.0,14.2,29.2,34.8,85.0,,
2021-02-08,Nizamabad,Dichpalle,0.0,11.5,29.0,38.8,80.8,,
2021-02-09,Nizamabad,Dichpalle,0.0,11.8,28.7,25.4,90.4,,
2021-02-10,Nizamabad,Dichpalle,0.0,12.0,30.6,24.5,92.5,,
2021-02-11,Nizamabad,Dichpalle,0.0,14.2,32.1,25.9,78.3,,
2021-02-12,Nizamabad,Dichpalle,0.0,15.2,31.9,22.1,77.8,,
2021-02-13,Nizamabad,Dichpalle,0.0,15.6,32.2,23.4,70.2,,
2021-02-14,Nizamabad,Dichpalle,0.0,16.2,31.6,34.8,77.0,,
2021-02-15,Nizamabad,Dichpalle,0.0,17.9,34.8,33.8,80.8,,
2021-02-16,Nizamabad,Dichpalle,0.0,20.1,34.0,29.7,64.4,,
2021-02-17,Nizamabad,Dichpalle,0.0,17.9,32.9,30.1,70.6,,
2021-02-18,Nizamabad,Dichpalle,0.0,16.6,30.8,39.1,85.0,,
2021-02-19,Nizamabad,Dichpalle,0.0,17.9,29.7,40.8,81.0,,
2021-02-20,Nizamabad,Dichpalle,1.3,14.7,23.4,59.3,87.9,,
2021-02-21,Nizamabad,Dichpalle,0.0,16.3,29.0,37.7,86.5,,
2021-02-22,Nizamabad,Dichpalle,0.0,16.7,29.8,38.6,86.0,,
2021-02-23,Nizamabad,Dichpalle,0.0,16.2,32.1,29.3,80.7,,
2021-02-24,Nizamabad,Dichpalle,0.0,17.0,33.1,26.8,70.0,,
2021-02-25,Nizamabad,Dichpalle,0.0,16.7,34.2,22.1,72.3,,
2021-02-26,Nizamabad,Dichpalle,0.0,18.6,35.9,22.4,70.0,,
2021-02-27,Nizamabad,Dichpalle,0.0,18.5,34.9,26.1,74.4,,
2021-02-28,Nizamabad,Dichpalle,0.0,18.3,34.7,22.8,66.0,,
2021-03-01,Nizamabad,Dichpalle,0.0,23.8,35.8,15.8,54.6,,
2021-03-02,Nizamabad,Dichpalle,0.0,18.5,34.9,20.6,80.4,,
2021-03-03,Nizamabad,Dichpalle,0.0,18.0,35.1,16.6,79.0,,
2021-03-04,Nizamabad,Dichpalle,0.0,17.4,34.7,21.3,70.2,,
2021-03-05,Nizamabad,Dichpalle,0.0,19.2,34.6,13.0,64.1,,
2021-03-06,Nizamabad,Dichpalle,0.0,18.2,34.6,17.0,65.8,,
2021-03-07,Nizamabad,Dichpalle,0.0,19.4,36.0,19.5,68.1,,
2021-03-08,Nizamabad,Dichpalle,0.0,19.7,36.2,14.7,69.3,,
2021-03-09,Nizamabad,Dichpalle,0.0,20.6,35.2,24.6,79.6,,
2021-03-10,Nizamabad,Dichpalle,0.0,19.5,34.1,27.9,81.5,,
2021-03-11,Nizamabad,Dichpalle,0.0,21.7,34.4,34.4,71.9,,
2021-03-12,Nizamabad,Dichpalle,0.0,18.9,35.9,17.0,79.2,,
2021-03-13,Nizamabad,Dichpalle,0.0,19.6,34.9,25.4,65.4,,
2021-03-14,Nizamabad,Dichpalle,0.0,17.9,32.7,29.5,59.6,,
2021-03-15,Nizamabad,Dichpalle,0.0,19.0,35.2,17.6,67.6,,
2021-03-16,Nizamabad,Dichpalle,0.0,21.0,35.5,20.5,59.4,,
2021-03-17,Nizamabad,Dichpalle,0.0,20.3,34.7,34.4,73.9,,
2021-03-18,Nizamabad,Dichpalle,0.0,22.5,35.2,32.2,76.3,,
