Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Indalwai,0.0,16.1,27.7,59.9,100.0,,
2021-01-02,Nizamabad,Indalwai,0.0,15.6,27.8,61.4,100.0,,
2021-01-03,Nizamabad,Indalwai,0.0,15.1,29.6,47.7,100.0,,
2021-01-04,Nizamabad,Indalwai,0.0,14.7,28.9,48.3,100.0,,
2021-01-05,Nizamabad,Indalwai,0.0,15.6,28.4,45.7,100.0,,
2021-01-06,Nizamabad,Indalwai,0.0,18.9,29.2,52.2,100.0,,
2021-01-07,Nizamabad,Indalwai,1.0,19.4,28.4,64.9,100.0,,
2021-01-08,Nizamabad,Indalwai,3.0,19.8,24.6,74.5,100.0,,
2021-01-09,Nizamabad,Indalwai,0.0,18.0,30.0,51.1,100.0,,
2021-01-10,Nizamabad,Indalwai,0.0,17.7,29.5,31.8,100.0,,
2021-01-11,Nizamabad,Indalwai,0.0,15.8,31.0,38.3,100.0,,
2021-01-12,Nizamabad,Indalwai,0.0,17.4,31.0,49.4,100.0,,
2021-01-13,Nizamabad,Indalwai,0.0,17.6,30.7,55.0,100.0,,
2021-01-14,Nizamabad,Indalwai,0.0,16.2,32.5,37.0,100.0,,
2021-01-15,Nizamabad,Indalwai,0.0,16.1,31.2,38.3,100.0,,
2021-01-16,Nizamabad,Indalwai,0.0,16.5,30.7,49.4,100.0,,
2021-01-17,Nizamabad,Indalwai,0.0,16.6,30.5,43.9,100.0,,
2021-01-18,Nizamabad,Indalwai,0.0,17.6,29.8,49.4,100.0,,
2021-01-19,Nizamabad,Indalwai,0.0,16.8,29.3,53.1,100.0,,
2021-01-20,Nizamabad,Indalwai,0.0,17.8,32.6,41.1,100.0,,
2021-01-21,Nizamabad,Indalwai,0.0,17.4,32.5,44.2,100.0,,
2021-01-22,Nizamabad,Indalwai,0.0,17.6,31.3,50.0,100.0,,
2021-01-23,Nizamabad,Indalwai,0.0,17.1,32.0,42.0,100.0,,
2021-01-24,Nizamabad,Indalwai,0.0,18.4,31.5,47.0,100.0,,
2021-01-25,Nizamabad,Indalwai,0.0,18.9,32.4,46.5,100.0,,
2021-01-26,Nizamabad,Indalwai,0.0,18.2,32.3,49.3,100.0,,
2021-01-27,Nizamabad,Indalwai,0.0,18.9,32.4,40.3,100.0,,
2021-01-28,Nizamabad,Indalwai,0.0,20.6,31.0,47.7,100.0,,
2021-01-29,Nizamabad,Indalwai,0.0,18.6,29.4,50.5,100.0,,
2021-01-30,Nizamabad,Indalwai,0.0,19.1,31.7,47.6,100.0,,
2021-01-31,Nizamabad,Indalwai,0.0,17.7,28.9,67.2,100.0,,
2021-02-01,Nizamabad,Indalwai,0.0,17.1,29.3,59.0,100.0,,
2021-02-02,Nizamabad,Indalwai,0.0,14.3,29.6,42.8,100.0,,
2021-02-03,Nizamabad,Indalwai,0.0,11.6,30.3,19.3,100.0,,
2021-02-04,Nizamabad,Indalwai,0.0,12.6,29.4,17.9,99.6,,
2021-02-05,Nizamabad,Indalwai,0.0,13.0,29.6,21.9,100.0,,
2021-02-06,Nizamabad,Indalwai,0.0,15.0,30.5,22.6,100.0,,
2021-02-07,Nizamabad,Indalwai,0.0,13.7,29.7,41.7,100.0,,
2021-02-08,Nizamabad,Indalwai,0.0,11.5,27.6,42.9,100.0,,
2021-02-09,Nizamabad,Indalwai,0.0,11.8,27.9,24.3,97.6,,
2021-02-10,Nizamabad,Indalwai,0.0,12.3,30.5,21.9,100.0,,
2021-02-11,Nizamabad,Indalwai,0.0,13.7,31.6,19.3,100.0,,
2021-02-12,Nizamabad,Indalwai,0.0,14.7,31.0,25.9,100.0,,
2021-02-13,Nizamabad,Indalwai,0.0,15.5,31.9,29.2,100.0,,
2021-02-14,Nizamabad,Indalwai,0.0,18.7,30.0,46.1,82.7,,
2021-02-15,Nizamabad,Indalwai,0.0,18.9,32.6,34.0,75.4,,
2021-02-16,Nizamabad,Indalwai,0.0,19.2,33.3,28.1,88.2,,
2021-02-17,Nizamabad,Indalwai,0.0,17.3,31.1,36.1,89.8,,
2021-02-18,Nizamabad,Indalwai,0.0,15.8,30.2,47.7,100.0,,
2021-02-19,Nizamabad,Indalwai,0.0,17.6,28.2,50.1,92.6,,
2021-02-20,Nizamabad,Indalwai,1.3,14.5,23.7,70.7,100.0,,
2021-02-21,Nizamabad,Indalwai,0.0,16.4,28.8,51.1,100.0,,
2021-02-22,Nizamabad,Indalwai,0.0,16.2,29.6,49.4,100.0,,
2021-02-23,Nizamabad,Indalwai,0.0,15.8,31.2,39.4,100.0,,
2021-02-24,Nizamabad,Indalwai,0.0,15.1,32.2,30.1,93.9,,
2021-02-25,Nizamabad,Indalwai,0.0,15.6,33.7,21.5,100.0,,
2021-02-26,Nizamabad,Indalwai,0.0,17.1,35.5,19.7,86.2,,
2021-02-27,Nizamabad,Indalwai,0.0,17.0,35.0,23.7,100.0,,
2021-02-28,Nizamabad,Indalwai,0.0,16.6,34.2,20.4,96.9,,
2021-03-01,Nizamabad,Indalwai,0.0,22.3,35.0,15.7,82.3,,
2021-03-02,Nizamabad,Indalwai,0.0,18.3,36.4,17.9,100.0,,
2021-03-03,Nizamabad,Indalwai,0.0,17.7,34.0,19.7,77.5,,
2021-03-04,Nizamabad,Indalwai,0.0,16.4,34.0,24.4,72.7,,
2021-03-05,Nizamabad,Indalwai,0.0,17.4,34.0,17.0,86.2,,
2021-03-06,Nizamabad,Indalwai,0.0,18.1,34.2,17.0,76.7,,
2021-03-07,Nizamabad,Indalwai,0.0,17.1,34.9,16.4,88.5,,
2021-03-08,Nizamabad,Indalwai,0.0,17.7,35.7,17.0,70.8,,
2021-03-09,Nizamabad,Indalwai,0.0,20.5,36.4,21.3,91.0,,
2021-03-10,Nizamabad,Indalwai,0.0,19.3,35.3,19.5,100.0,,
2021-03-11,Nizamabad,Indalwai,0.0,17.9,34.1,40.7,97.9,,
2021-03-12,Nizamabad,Indalwai,0.0,17.3,34.9,19.5,100.0,,
2021-03-13,Nizamabad,Indalwai,0.0,17.2,35.0,28.1,84.6,,
2021-03-14,Nizamabad,Indalwai,0.0,15.2,32.9,35.8,68.1,,
2021-03-15,Nizamabad,Indalwai,0.0,17.2,35.7,13.1,75.5,,
2021-03-16,Nizamabad,Indalwai,0.0,18.9,34.1,17.0,67.6,,
2021-03-17,Nizamabad,Indalwai,0.0,19.3,36.6,26.7,90.7,,
2021-03-18,Nizamabad,Indalwai,0.0,21.2,36.4,34.0,92.8,,
2021-03-19,Nizamabad,Indalwai,0.0,20.2,36.5,24.6,92.8,,
2021-03-20,Nizamabad,Indalwai,0.0,19.3,32.7,28.1,78.4,,
2021-03-21,Nizamabad,Indalwai,0.0,17.9,33.8,40.9,81.5,,
2021-03-22,Nizamabad,Indalwai,0.0,20.0,34.2,31.7,92.4,,
2021-03-23,Nizamabad,Indalwai,0.0,20.9,34.1,37.8,66.8,,
2021-03-24,Nizamabad,Indalwai,0.0,20.5,32.3,42.0,71.3,,
2021-03-25,Nizamabad,Indalwai,0.0,19.6,34.4,35.6,94.6,,
2021-03-26,Nizamabad,Indalwai,0.0,20.3,37.1,22.6,86.4,,
2021-03-27,Nizamabad,Indalwai,0.0,19.7,36.3,23.0,63.0,,
2021-03-28,Nizamabad,Indalwai,0.0,18.6,36.8,13.2,67.5,,
2021-03-29,Nizamabad,Indalwai,0.0,21.6,38.2,10.6,64.2,,
2021-03-30,Nizamabad,Indalwai,0.0,22.6,38.8,15.2,77.3,,
2021-03-31,Nizamabad,Indalwai,0.0,20.3,40.3,13.9,63.3,,
2021-04-01,Nizamabad,Indalwai,0.0,21.0,37.7,8.0,50.9,0.0,4.0
2021-04-02,Nizamabad,Indalwai,0.0,21.4,38.0,15.2,54.2,0.0,1.5
2021-04-03,Nizamabad,Indalwai,0.0,21.7,39.1,12.6,56.3,0.0,6.3
2021-04-04,Nizamabad,Indalwai,0.0,22.8,39.1,9.5,60.8,0.0,5.3
2021-04-05,Nizamabad,Indalwai,0.0,21.4,37.9,15.9,77.5,0.0,4.8
2021-04-06,Nizamabad,Indalwai,0.0,22.3,37.4,32.0,100.0,0.0,6.5
2021-04-07,Nizamabad,Indalwai,0.0,22.2,38.0,26.7,100.0,0.0,7.1
2021-04-08,Nizamabad,Indalwai,0.0,24.6,39.0,25.6,78.8,0.0,5.9
2021-04-09,Nizamabad,Indalwai,0.0,23.0,36.0,19.7,65.2,0.0,9.3
2021-04-10,Nizamabad,Indalwai,0.0,22.7,37.7,19.3,90.1,0.0,6.5
2021-04-11,Nizamabad,Indalwai,0.0,23.7,37.5,26.0,85.3,0.0,7.1
2021-04-12,Nizamabad,Indalwai,0.0,21.9,36.2,34.0,100.0,0.0,6.8
2021-04-13,Nizamabad,Indalwai,0.0,23.3,35.1,36.7,88.6,0.0,6.5
2021-04-14,Nizamabad,Indalwai,0.0,22.6,36.1,38.4,83.9,0.0,7.2
2021-04-15,Nizamabad,Indalwai,0.0,19.6,34.8,30.4,100.0,0.0,7.9
2021-04-16,Nizamabad,Indalwai,0.0,19.9,34.6,26.4,97.6,0.0,8.1
2021-04-17,Nizamabad,Indalwai,0.0,23.6,35.9,22.4,78.8,0.0,9.6
2021-04-18,Nizamabad,Indalwai,0.0,21.4,38.4,15.9,92.3,0.0,6.4
2021-04-19,Nizamabad,Indalwai,0.0,23.4,40.2,14.8,77.0,0.0,6.6
2021-04-20,Nizamabad,Indalwai,0.0,24.0,39.9,19.5,75.2,0.0,7.0
2021-04-21,Nizamabad,Indalwai,0.0,25.6,39.6,12.1,86.5,0.0,9.4
2021-04-22,Nizamabad,Indalwai,0.0,24.1,38.3,18.6,92.3,0.0,7.5
2021-04-23,Nizamabad,Indalwai,0.0,22.2,37.7,30.0,79.7,0.0,9.6
2021-04-24,Nizamabad,Indalwai,0.0,22.0,37.6,26.7,84.1,0.0,7.3
2021-04-25,Nizamabad,Indalwai,0.0,23.6,39.2,11.9,76.1,0.0,11.0
2021-04-26,Nizamabad,Indalwai,0.0,26.8,39.4,17.5,62.3,0.0,9.1
2021-04-27,Nizamabad,Indalwai,1.4,22.0,39.4,17.5,90.1,0.0,7.5
2021-04-28,Nizamabad,Indalwai,0.0,25.4,39.3,16.8,58.5,0.0,10.2
2021-04-29,Nizamabad,Indalwai,0.0,24.3,39.8,12.1,64.2,0.0,6.7
2021-04-30,Nizamabad,Indalwai,0.0,27.1,39.9,11.5,54.1,0.0,7.4
2021-05-01,Nizamabad,Indalwai,0.0,24.8,39.3,0.0,0.0,0.0,0.0
2021-05-02,Nizamabad,Indalwai,0.0,22.4,37.2,0.0,0.0,0.0,0.0
2021-05-03,Nizamabad,Indalwai,0.0,22.6,36.1,0.0,0.0,0.0,0.0
2021-05-04,Nizamabad,Indalwai,0.0,22.0,36.4,0.0,0.0,0.0,0.0
2021-05-05,Nizamabad,Indalwai,0.0,25.5,38.2,0.0,0.0,0.0,0.0
2021-05-06,Nizamabad,Indalwai,0.0,23.8,38.0,0.0,0.0,0.0,0.0
2021-05-07,Nizamabad,Indalwai,0.0,24.8,36.8,0.0,0.0,0.0,0.0
2021-05-08,Nizamabad,Indalwai,0.0,26.3,34.9,0.0,0.0,0.0,0.0
2021-05-09,Nizamabad,Indalwai,0.0,26.2,35.3,0.0,0.0,0.0,0.0
2021-05-10,Nizamabad,Indalwai,0.0,24.5,35.5,0.0,0.0,0.0,0.0
2021-05-11,Nizamabad,Indalwai,0.0,26.8,38.5,0.0,0.0,0.0,0.0
2021-05-12,Nizamabad,Indalwai,0.0,26.1,39.3,0.0,0.0,0.0,0.0
2021-05-13,Nizamabad,Indalwai,0.0,27.1,40.4,0.0,0.0,0.0,0.0
2021-05-14,Nizamabad,Indalwai,0.0,28.8,39.5,0.0,0.0,0.0,0.0
2021-05-15,Nizamabad,Indalwai,0.0,26.4,38.6,0.0,0.0,0.0,0.0
2021-05-16,Nizamabad,Indalwai,0.0,27.0,36.0,0.0,0.0,0.0,0.0
2021-05-17,Nizamabad,Indalwai,1.0,25.7,32.2,60.4,92.7,1.6,12.9
2021-05-18,Nizamabad,Indalwai,0.0,26.8,36.8,40.1,86.5,0.2,12.1
2021-05-19,Nizamabad,Indalwai,0.0,27.7,36.9,38.7,74.9,0.7,7.5
2021-05-20,Nizamabad,Indalwai,0.0,27.5,37.2,38.2,75.9,3.9,12.6
2021-05-21,Nizamabad,Indalwai,0.0,23.8,35.5,39.5,79.7,0.0,11.1
2021-05-22,Nizamabad,Indalwai,0.0,26.6,38.8,15.9,75.4,0.0,10.2
2021-05-23,Nizamabad,Indalwai,0.0,28.8,39.2,21.5,60.9,0.0,9.6
