Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Makloor,0.0,16.8,30.3,49.6,99.7,,
2021-01-02,Nizamabad,Makloor,0.0,16.8,29.3,51.7,100.0,,
2021-01-03,Nizamabad,Makloor,0.0,16.2,29.3,48.4,98.0,,
2021-01-04,Nizamabad,Makloor,0.0,16.3,30.7,48.5,95.5,,
2021-01-05,Nizamabad,Makloor,0.0,15.7,30.9,42.4,97.5,,
2021-01-06,Nizamabad,Makloor,0.0,18.7,30.8,49.1,97.2,,
2021-01-07,Nizamabad,Makloor,0.0,20.1,28.7,63.5,90.6,,
2021-01-08,Nizamabad,Makloor,0.0,20.5,26.8,70.0,98.5,,
2021-01-09,Nizamabad,Makloor,0.0,19.1,31.9,48.4,97.7,,
2021-01-10,Nizamabad,Makloor,0.0,17.8,31.3,34.7,95.2,,
2021-01-11,Nizamabad,Makloor,0.0,16.5,32.8,36.9,97.2,,
2021-01-12,Nizamabad,Makloor,0.0,17.6,33.1,43.4,99.2,,
2021-01-13,Nizamabad,Makloor,0.0,18.0,33.2,43.9,99.2,,
2021-01-14,Nizamabad,Makloor,0.0,17.2,33.7,41.0,94.7,,
2021-01-15,Nizamabad,Makloor,0.0,16.6,33.5,38.8,99.7,,
2021-01-16,Nizamabad,Makloor,0.0,17.3,34.8,34.7,96.2,,
2021-01-17,Nizamabad,Makloor,0.0,17.6,33.6,40.5,97.2,,
2021-01-18,Nizamabad,Makloor,0.0,17.7,32.9,44.5,99.2,,
2021-01-19,Nizamabad,Makloor,0.0,17.3,31.9,45.6,99.2,,
2021-01-20,Nizamabad,Makloor,0.0,17.9,34.5,39.8,97.2,,
2021-01-21,Nizamabad,Makloor,0.0,19.4,35.2,38.1,93.9,,
2021-01-22,Nizamabad,Makloor,0.0,17.0,34.1,41.1,100.0,,
2021-01-23,Nizamabad,Makloor,0.0,17.7,33.6,29.0,99.2,,
2021-01-24,Nizamabad,Makloor,0.0,18.9,34.3,42.0,95.4,,
2021-01-25,Nizamabad,Makloor,0.0,18.8,35.1,38.6,96.7,,
2021-01-26,Nizamabad,Makloor,0.0,18.1,35.0,34.3,96.2,,
2021-01-27,Nizamabad,Makloor,0.0,19.1,34.3,36.9,100.0,,
2021-01-28,Nizamabad,Makloor,0.0,20.0,34.4,41.7,95.2,,
2021-01-29,Nizamabad,Makloor,0.0,18.5,35.0,40.9,94.3,,
2021-01-30,Nizamabad,Makloor,0.0,19.4,34.1,40.3,100.0,,
2021-01-31,Nizamabad,Makloor,0.0,17.9,31.6,48.5,100.0,,
2021-02-01,Nizamabad,Makloor,0.0,16.7,31.3,48.4,95.5,,
2021-02-02,Nizamabad,Makloor,0.0,14.6,31.2,42.2,99.2,,
2021-02-03,Nizamabad,Makloor,0.0,12.7,32.7,23.4,100.0,,
2021-02-04,Nizamabad,Makloor,0.0,13.2,32.2,17.9,99.6,,
2021-02-05,Nizamabad,Makloor,0.0,13.7,30.9,21.8,94.7,,
2021-02-06,Nizamabad,Makloor,0.0,15.4,34.8,26.5,96.5,,
2021-02-07,Nizamabad,Makloor,0.0,14.8,32.3,33.7,88.1,,
2021-02-08,Nizamabad,Makloor,0.0,11.5,31.0,27.8,95.7,,
2021-02-09,Nizamabad,Makloor,0.0,11.4,31.8,22.5,97.7,,
2021-02-10,Nizamabad,Makloor,0.0,12.3,33.4,20.0,95.2,,
2021-02-11,Nizamabad,Makloor,0.0,13.8,34.5,26.2,96.2,,
2021-02-12,Nizamabad,Makloor,0.0,15.1,34.6,26.5,91.5,,
2021-02-13,Nizamabad,Makloor,0.0,15.4,34.2,29.1,89.7,,
