Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Mendora,0.0,15.8,28.0,51.2,94.2,,
2021-01-02,Nizamabad,Mendora,0.0,15.9,27.8,59.1,96.1,,
2021-01-03,Nizamabad,Mendora,0.0,14.3,28.3,54.9,96.3,,
2021-01-04,Nizamabad,Mendora,0.0,16.8,27.5,59.0,95.5,,
2021-01-05,Nizamabad,Mendora,0.0,15.7,28.8,47.1,92.9,,
2021-01-06,Nizamabad,Mendora,0.0,18.5,28.4,53.8,93.2,,
2021-01-07,Nizamabad,Mendora,0.0,21.7,28.5,64.2,92.5,,
2021-01-08,Nizamabad,Mendora,0.0,21.6,25.3,74.8,93.4,,
2021-01-09,Nizamabad,Mendora,0.0,19.5,30.2,53.7,91.6,,
2021-01-10,Nizamabad,Mendora,0.0,17.1,30.7,28.3,90.7,,
2021-01-11,Nizamabad,Mendora,0.0,16.7,31.0,28.3,93.2,,
2021-01-12,Nizamabad,Mendora,0.0,17.7,30.9,44.4,94.9,,
2021-01-13,Nizamabad,Mendora,0.0,18.4,31.4,45.2,94.7,,
2021-01-14,Nizamabad,Mendora,0.0,17.0,30.4,47.5,93.0,,
2021-01-15,Nizamabad,Mendora,0.0,16.7,30.4,46.3,90.5,,
2021-01-16,Nizamabad,Mendora,0.0,17.3,30.3,39.4,92.8,,
2021-01-17,Nizamabad,Mendora,0.0,17.1,30.1,43.2,93.9,,
2021-01-18,Nizamabad,Mendora,0.0,17.3,29.3,45.0,94.1,,
2021-01-19,Nizamabad,Mendora,0.0,17.0,29.2,46.1,94.7,,
2021-01-20,Nizamabad,Mendora,0.0,17.9,31.1,50.9,94.1,,
2021-01-21,Nizamabad,Mendora,0.0,19.1,30.6,51.3,94.2,,
2021-01-22,Nizamabad,Mendora,0.0,17.5,31.0,42.5,92.2,,
2021-01-23,Nizamabad,Mendora,0.0,16.6,31.2,37.1,94.4,,
2021-01-24,Nizamabad,Mendora,0.0,18.2,32.0,40.2,94.5,,
2021-01-25,Nizamabad,Mendora,0.0,18.8,31.8,52.0,94.0,,
2021-01-26,Nizamabad,Mendora,0.0,18.4,32.1,50.7,93.8,,
2021-01-27,Nizamabad,Mendora,0.0,19.3,32.1,47.4,91.0,,
2021-01-28,Nizamabad,Mendora,0.0,20.1,31.0,50.1,94.2,,
2021-01-29,Nizamabad,Mendora,0.0,18.7,31.0,46.1,94.2,,
2021-01-30,Nizamabad,Mendora,0.0,19.4,30.7,52.9,85.4,,
2021-01-31,Nizamabad,Mendora,0.0,18.5,29.4,50.9,73.0,,
2021-02-01,Nizamabad,Mendora,0.0,16.9,29.2,42.4,83.9,,
2021-02-02,Nizamabad,Mendora,0.0,14.4,29.8,38.1,94.8,,
2021-02-03,Nizamabad,Mendora,0.0,12.4,30.6,23.3,94.9,,
2021-02-04,Nizamabad,Mendora,0.0,13.2,30.5,19.9,93.6,,
2021-02-05,Nizamabad,Mendora,0.0,14.0,29.5,25.1,88.9,,
2021-02-06,Nizamabad,Mendora,0.0,15.5,30.5,29.7,90.8,,
2021-02-07,Nizamabad,Mendora,0.0,17.9,31.1,32.1,93.4,,
2021-02-08,Nizamabad,Mendora,0.0,11.3,30.4,32.4,89.6,,
2021-02-09,Nizamabad,Mendora,0.0,12.1,30.3,23.7,93.4,,
2021-02-10,Nizamabad,Mendora,0.0,12.8,31.1,26.2,93.3,,
2021-02-11,Nizamabad,Mendora,0.0,13.9,31.2,26.0,93.6,,
2021-02-12,Nizamabad,Mendora,0.0,15.5,31.6,29.9,92.4,,
2021-02-13,Nizamabad,Mendora,0.0,15.7,31.5,31.3,92.0,,
2021-02-14,Nizamabad,Mendora,0.0,17.1,31.6,33.8,89.9,,
2021-02-15,Nizamabad,Mendora,0.0,17.3,32.6,38.6,90.2,,
2021-02-16,Nizamabad,Mendora,0.0,17.8,34.0,34.6,91.3,,
2021-02-17,Nizamabad,Mendora,0.0,18.3,32.8,36.3,89.4,,
2021-02-18,Nizamabad,Mendora,0.0,18.4,30.7,37.0,86.9,,
2021-02-19,Nizamabad,Mendora,5.5,17.2,28.3,50.1,95.7,,
2021-02-20,Nizamabad,Mendora,0.5,15.6,24.4,73.5,97.7,,
2021-02-21,Nizamabad,Mendora,0.0,17.3,29.6,43.8,93.2,,
2021-02-22,Nizamabad,Mendora,0.0,18.0,30.9,44.4,91.5,,
2021-02-23,Nizamabad,Mendora,0.0,16.5,33.0,31.7,93.5,,
2021-02-24,Nizamabad,Mendora,0.0,16.5,33.5,32.1,94.2,,
2021-02-25,Nizamabad,Mendora,0.0,16.4,35.3,26.5,90.4,,
2021-02-26,Nizamabad,Mendora,0.0,17.8,36.3,22.8,88.9,,
2021-02-27,Nizamabad,Mendora,0.0,18.8,35.9,27.0,89.7,,
2021-02-28,Nizamabad,Mendora,0.0,18.0,36.2,24.2,88.9,,
2021-03-01,Nizamabad,Mendora,0.0,23.7,37.0,18.2,77.1,,
2021-03-02,Nizamabad,Mendora,0.0,19.9,36.2,26.9,87.2,,
2021-03-03,Nizamabad,Mendora,0.0,19.2,36.5,21.9,83.2,,
2021-03-04,Nizamabad,Mendora,0.0,17.3,36.0,20.0,86.5,,
2021-03-05,Nizamabad,Mendora,0.0,18.6,35.3,18.2,82.9,,
2021-03-06,Nizamabad,Mendora,0.0,18.5,36.0,24.3,82.3,,
2021-03-07,Nizamabad,Mendora,0.0,18.1,35.4,21.3,85.0,,
2021-03-08,Nizamabad,Mendora,0.0,18.9,37.6,16.4,87.4,,
2021-03-09,Nizamabad,Mendora,0.0,19.6,35.2,29.3,87.5,,
2021-03-10,Nizamabad,Mendora,0.0,20.7,34.6,32.8,87.9,,
2021-03-11,Nizamabad,Mendora,0.0,20.5,35.5,30.9,90.0,,
2021-03-12,Nizamabad,Mendora,0.0,18.5,34.7,33.9,91.3,,
2021-03-13,Nizamabad,Mendora,0.0,18.6,35.8,33.3,83.3,,
2021-03-14,Nizamabad,Mendora,0.0,17.1,33.0,31.5,89.2,,
2021-03-15,Nizamabad,Mendora,0.0,18.5,35.3,26.3,85.4,,
