Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Mosra,0.0,16.7,29.5,48.5,93.9,,
2021-01-02,Nizamabad,Mosra,0.0,16.1,28.7,52.1,97.4,,
2021-01-03,Nizamabad,Mosra,0.0,16.6,28.9,53.0,90.3,,
2021-01-04,Nizamabad,Mosra,0.0,16.0,28.3,56.4,93.8,,
2021-01-05,Nizamabad,Mosra,0.0,16.1,31.3,34.6,94.0,,
2021-01-06,Nizamabad,Mosra,0.0,18.7,29.7,47.1,93.9,,
2021-01-07,Nizamabad,Mosra,0.5,19.7,27.7,67.8,93.4,,
2021-01-08,Nizamabad,Mosra,0.5,20.4,26.7,71.2,97.0,,
2021-01-09,Nizamabad,Mosra,0.0,19.3,31.4,45.0,95.1,,
2021-01-10,Nizamabad,Mosra,0.0,18.0,32.1,25.4,92.8,,
2021-01-11,Nizamabad,Mosra,0.0,16.1,31.4,37.6,93.3,,
2021-01-12,Nizamabad,Mosra,0.0,17.1,32.1,37.6,91.4,,
2021-01-13,Nizamabad,Mosra,0.0,17.4,30.1,49.5,95.0,,
2021-01-14,Nizamabad,Mosra,0.0,17.0,31.2,44.7,91.6,,
2021-01-15,Nizamabad,Mosra,0.0,17.3,31.2,44.7,87.3,,
2021-01-16,Nizamabad,Mosra,0.0,17.1,30.2,49.5,92.0,,
2021-01-17,Nizamabad,Mosra,0.0,17.4,29.8,57.7,92.9,,
2021-01-18,Nizamabad,Mosra,0.0,18.0,31.5,44.3,93.8,,
2021-01-19,Nizamabad,Mosra,0.0,17.3,30.4,47.2,95.4,,
2021-01-20,Nizamabad,Mosra,0.0,19.2,31.2,48.7,82.3,,
2021-01-21,Nizamabad,Mosra,0.0,19.3,32.8,39.2,88.3,,
2021-01-22,Nizamabad,Mosra,0.0,18.5,30.9,46.7,85.1,,
2021-01-23,Nizamabad,Mosra,0.0,17.0,31.9,45.5,90.9,,
2021-01-24,Nizamabad,Mosra,0.0,21.1,31.7,43.7,80.6,,
2021-01-25,Nizamabad,Mosra,0.0,18.7,33.5,38.8,94.6,,
2021-01-26,Nizamabad,Mosra,0.0,21.3,32.0,45.4,80.7,,
2021-01-27,Nizamabad,Mosra,0.0,18.8,31.3,43.6,89.9,,
2021-01-28,Nizamabad,Mosra,0.0,21.0,32.8,38.9,78.0,,
2021-01-29,Nizamabad,Mosra,0.0,21.2,30.9,49.4,79.5,,
2021-01-30,Nizamabad,Mosra,0.0,20.2,31.8,46.9,88.6,,
2021-01-31,Nizamabad,Mosra,0.0,19.1,29.0,59.8,82.3,,
2021-02-01,Nizamabad,Mosra,0.0,18.3,29.5,51.7,90.8,,
