Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Mugpal,0.0,17.0,30.0,54.6,99.9,,
2021-01-02,Nizamabad,Mugpal,0.0,15.8,30.5,56.8,97.1,,
2021-01-03,Nizamabad,Mugpal,0.0,17.0,29.2,46.6,99.9,,
2021-01-04,Nizamabad,Mugpal,0.0,15.6,29.3,46.5,99.9,,
2021-01-05,Nizamabad,Mugpal,0.0,15.9,30.2,39.8,99.9,,
2021-01-06,Nizamabad,Mugpal,0.0,19.4,32.8,48.9,99.9,,
2021-01-07,Nizamabad,Mugpal,1.8,20.4,30.5,71.3,99.9,,
2021-01-08,Nizamabad,Mugpal,1.0,20.6,27.3,77.1,99.9,,
2021-01-09,Nizamabad,Mugpal,0.0,19.3,33.3,48.9,99.9,,
2021-01-10,Nizamabad,Mugpal,0.0,18.6,35.0,23.6,99.9,,
2021-01-11,Nizamabad,Mugpal,0.0,15.9,32.4,30.9,96.9,,
2021-01-12,Nizamabad,Mugpal,0.0,21.4,33.2,43.2,95.5,,
2021-01-13,Nizamabad,Mugpal,0.0,17.6,33.3,49.5,99.9,,
2021-01-14,Nizamabad,Mugpal,0.0,19.3,30.8,39.5,99.9,,
2021-01-15,Nizamabad,Mugpal,0.0,16.8,31.3,45.7,99.9,,
2021-01-16,Nizamabad,Mugpal,0.0,17.2,32.4,45.9,99.9,,
2021-01-17,Nizamabad,Mugpal,0.0,17.5,30.9,45.5,99.9,,
2021-01-18,Nizamabad,Mugpal,0.0,18.0,29.9,54.6,98.3,,
2021-01-19,Nizamabad,Mugpal,0.0,16.9,30.6,54.0,99.9,,
2021-01-20,Nizamabad,Mugpal,0.0,17.5,32.8,40.3,89.0,,
2021-01-21,Nizamabad,Mugpal,0.0,19.1,32.1,44.3,92.9,,
2021-01-22,Nizamabad,Mugpal,0.0,19.2,32.7,44.6,99.9,,
2021-01-23,Nizamabad,Mugpal,0.0,20.0,32.3,37.0,100.0,,
2021-01-24,Nizamabad,Mugpal,0.0,19.3,33.3,46.9,96.2,,
2021-01-25,Nizamabad,Mugpal,0.0,20.3,35.2,48.0,84.4,,
2021-01-26,Nizamabad,Mugpal,0.0,18.2,32.6,41.9,93.1,,
2021-01-27,Nizamabad,Mugpal,0.0,19.0,32.5,47.1,89.5,,
2021-01-28,Nizamabad,Mugpal,0.0,20.8,32.4,49.4,100.0,,
2021-01-29,Nizamabad,Mugpal,0.0,19.9,32.8,48.8,100.0,,
2021-01-30,Nizamabad,Mugpal,0.0,19.2,30.7,62.6,100.0,,
2021-01-31,Nizamabad,Mugpal,0.0,19.5,30.5,71.9,100.0,,
2021-02-01,Nizamabad,Mugpal,0.0,19.8,29.4,62.6,99.9,,
2021-02-02,Nizamabad,Mugpal,0.0,15.9,32.4,46.2,100.0,,
2021-02-03,Nizamabad,Mugpal,0.0,16.3,32.2,22.7,94.4,,
2021-02-04,Nizamabad,Mugpal,0.0,12.7,29.5,16.6,99.6,,
2021-02-05,Nizamabad,Mugpal,0.0,13.1,32.4,22.7,91.6,,
2021-02-06,Nizamabad,Mugpal,0.0,15.6,30.6,22.9,82.5,,
2021-02-07,Nizamabad,Mugpal,0.0,16.7,30.6,39.4,99.9,,
2021-02-08,Nizamabad,Mugpal,0.0,14.9,30.5,46.3,87.6,,
2021-02-09,Nizamabad,Mugpal,0.0,11.8,30.5,22.7,74.2,,
2021-02-10,Nizamabad,Mugpal,0.0,12.6,32.6,30.5,84.1,,
2021-02-11,Nizamabad,Mugpal,0.0,14.0,32.9,22.8,83.4,,
2021-02-12,Nizamabad,Mugpal,0.0,14.4,33.3,25.3,88.9,,
2021-02-13,Nizamabad,Mugpal,0.0,17.0,32.8,33.8,80.0,,
2021-02-14,Nizamabad,Mugpal,0.0,16.2,30.7,30.9,77.0,,
2021-02-15,Nizamabad,Mugpal,0.0,19.1,33.6,29.3,82.6,,
2021-02-16,Nizamabad,Mugpal,0.0,19.7,35.2,25.3,78.8,,
2021-02-17,Nizamabad,Mugpal,0.0,18.9,35.2,31.9,75.5,,
2021-02-18,Nizamabad,Mugpal,0.0,15.8,32.5,48.3,92.5,,
2021-02-19,Nizamabad,Mugpal,0.0,19.3,30.4,46.1,81.9,,
