Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Mupkal,0.0,16.3,28.0,52.5,92.0,,
2021-01-02,Nizamabad,Mupkal,0.0,16.7,27.5,59.3,92.7,,
2021-01-03,Nizamabad,Mupkal,0.0,15.6,28.5,54.8,92.5,,
2021-01-04,Nizamabad,Mupkal,0.0,16.2,28.3,57.4,92.2,,
2021-01-05,Nizamabad,Mupkal,0.0,16.1,29.0,48.2,91.3,,
2021-01-06,Nizamabad,Mupkal,0.0,18.4,28.8,54.3,90.1,,
2021-01-07,Nizamabad,Mupkal,0.0,21.4,28.5,64.4,89.0,,
2021-01-08,Nizamabad,Mupkal,0.0,21.3,25.3,74.5,91.6,,
2021-01-09,Nizamabad,Mupkal,0.0,19.2,30.0,54.4,90.2,,
2021-01-10,Nizamabad,Mupkal,0.0,17.0,30.5,31.9,89.4,,
2021-01-11,Nizamabad,Mupkal,0.0,16.7,31.2,34.1,90.6,,
2021-01-12,Nizamabad,Mupkal,0.0,18.1,30.9,46.5,91.1,,
2021-01-13,Nizamabad,Mupkal,0.0,18.4,30.5,52.2,91.5,,
2021-01-14,Nizamabad,Mupkal,0.0,17.6,31.5,47.7,90.4,,
2021-01-15,Nizamabad,Mupkal,0.0,17.7,30.8,47.9,88.1,,
2021-01-16,Nizamabad,Mupkal,0.0,17.0,30.8,42.4,91.2,,
2021-01-17,Nizamabad,Mupkal,0.0,17.4,30.1,44.6,91.7,,
2021-01-18,Nizamabad,Mupkal,0.0,17.3,29.2,48.6,92.0,,
2021-01-19,Nizamabad,Mupkal,0.0,17.6,29.3,47.9,91.5,,
2021-01-20,Nizamabad,Mupkal,0.0,18.0,31.4,52.4,90.9,,
2021-01-21,Nizamabad,Mupkal,0.0,19.8,30.8,52.6,86.5,,
2021-01-22,Nizamabad,Mupkal,0.0,18.3,31.2,44.3,89.2,,
2021-01-23,Nizamabad,Mupkal,0.0,17.1,31.7,39.5,91.4,,
2021-01-24,Nizamabad,Mupkal,0.0,18.6,32.2,41.0,91.6,,
2021-01-25,Nizamabad,Mupkal,0.0,18.6,31.8,53.3,91.5,,
2021-01-26,Nizamabad,Mupkal,0.0,18.5,31.9,51.6,91.5,,
2021-01-27,Nizamabad,Mupkal,0.0,19.1,31.7,47.1,89.9,,
2021-01-28,Nizamabad,Mupkal,0.0,19.8,31.5,49.5,91.6,,
2021-01-29,Nizamabad,Mupkal,0.0,18.7,31.5,47.1,91.8,,
2021-01-30,Nizamabad,Mupkal,0.0,18.9,30.0,56.9,83.9,,
2021-01-31,Nizamabad,Mupkal,0.0,18.5,29.2,53.4,73.6,,
2021-02-01,Nizamabad,Mupkal,0.0,16.9,29.1,46.2,82.8,,
2021-02-02,Nizamabad,Mupkal,0.0,15.2,30.2,40.8,91.5,,
2021-02-03,Nizamabad,Mupkal,0.0,13.3,31.4,25.8,90.7,,
2021-02-04,Nizamabad,Mupkal,0.0,14.0,30.2,24.2,88.9,,
2021-02-05,Nizamabad,Mupkal,0.0,14.2,29.2,28.5,88.7,,
2021-02-06,Nizamabad,Mupkal,0.0,15.4,31.0,32.6,88.6,,
2021-02-07,Nizamabad,Mupkal,0.0,17.0,30.6,36.1,76.4,,
2021-02-08,Nizamabad,Mupkal,0.0,11.7,29.4,35.1,88.4,,
2021-02-09,Nizamabad,Mupkal,0.0,12.6,29.7,27.2,89.1,,
2021-02-10,Nizamabad,Mupkal,0.0,13.3,30.4,29.0,86.5,,
2021-02-11,Nizamabad,Mupkal,0.0,14.1,30.8,26.8,88.7,,
2021-02-12,Nizamabad,Mupkal,0.0,16.0,31.5,32.4,87.9,,
2021-02-13,Nizamabad,Mupkal,0.0,17.3,31.1,39.0,79.0,,
2021-02-14,Nizamabad,Mupkal,0.0,17.6,31.6,37.0,70.0,,
2021-02-15,Nizamabad,Mupkal,0.0,18.9,30.3,49.0,75.0,,
2021-02-16,Nizamabad,Mupkal,0.0,18.3,30.4,44.8,78.0,,
2021-02-17,Nizamabad,Mupkal,0.0,19.1,30.1,45.0,79.0,,
2021-02-18,Nizamabad,Mupkal,0.0,19.0,29.6,40.0,79.0,,
2021-02-19,Nizamabad,Mupkal,8.5,17.4,28.3,52.0,88.0,,
2021-02-20,Nizamabad,Mupkal,1.0,16.4,21.7,76.0,92.0,,
2021-02-21,Nizamabad,Mupkal,0.0,18.5,28.0,48.0,85.0,,
2021-02-22,Nizamabad,Mupkal,0.0,18.9,29.2,48.0,87.0,,
2021-02-23,Nizamabad,Mupkal,0.0,17.7,31.5,33.0,85.0,,
2021-02-24,Nizamabad,Mupkal,0.0,17.7,32.6,33.0,85.0,,
2021-02-25,Nizamabad,Mupkal,0.0,18.6,33.3,30.0,81.0,,
2021-02-26,Nizamabad,Mupkal,0.0,20.4,34.6,25.0,79.0,,
2021-02-27,Nizamabad,Mupkal,0.0,20.5,35.1,28.0,79.0,,
2021-02-28,Nizamabad,Mupkal,0.0,19.6,34.1,23.0,77.0,,
2021-03-01,Nizamabad,Mupkal,0.0,24.9,35.0,20.0,71.0,,
2021-03-02,Nizamabad,Mupkal,0.0,21.6,34.9,26.0,76.0,,
2021-03-03,Nizamabad,Mupkal,0.0,21.0,35.7,23.0,74.0,,
2021-03-04,Nizamabad,Mupkal,0.0,20.0,34.3,20.0,74.0,,
2021-03-05,Nizamabad,Mupkal,0.0,21.2,34.1,20.0,67.0,,
2021-03-06,Nizamabad,Mupkal,0.0,19.5,34.6,23.0,71.0,,
2021-03-07,Nizamabad,Mupkal,0.0,20.3,33.8,20.0,75.0,,
2021-03-08,Nizamabad,Mupkal,0.0,20.4,33.9,24.0,76.0,,
2021-03-09,Nizamabad,Mupkal,0.0,21.4,33.6,31.0,80.0,,
2021-03-10,Nizamabad,Mupkal,0.0,21.2,32.3,38.0,80.0,,
2021-03-11,Nizamabad,Mupkal,0.0,21.2,33.1,33.0,77.0,,
2021-03-12,Nizamabad,Mupkal,0.0,18.6,34.2,37.5,67.0,,
2021-03-13,Nizamabad,Mupkal,0.0,20.0,33.7,34.0,72.0,,
2021-03-14,Nizamabad,Mupkal,0.0,18.3,31.9,33.0,64.0,,
2021-03-15,Nizamabad,Mupkal,0.0,18.9,34.9,29.6,85.1,,
2021-03-16,Nizamabad,Mupkal,0.0,21.2,33.8,35.0,70.0,,
2021-03-17,Nizamabad,Mupkal,0.0,21.1,33.0,36.0,80.0,,
2021-03-18,Nizamabad,Mupkal,0.0,23.1,33.8,33.0,82.0,,
2021-03-19,Nizamabad,Mupkal,0.0,22.6,35.1,45.0,79.0,,
2021-03-20,Nizamabad,Mupkal,0.0,21.2,32.6,37.0,74.0,,
2021-03-21,Nizamabad,Mupkal,0.0,20.6,31.6,44.0,72.0,,
2021-03-22,Nizamabad,Mupkal,0.0,22.9,33.5,29.0,74.0,,
2021-03-23,Nizamabad,Mupkal,0.0,23.0,34.7,33.0,65.0,,
2021-03-24,Nizamabad,Mupkal,0.0,21.8,33.0,34.0,76.0,,
2021-03-25,Nizamabad,Mupkal,0.0,22.6,34.3,29.0,75.0,,
2021-03-26,Nizamabad,Mupkal,0.0,23.1,35.8,26.0,72.0,,
2021-03-27,Nizamabad,Mupkal,0.0,21.7,37.2,29.0,62.0,,
2021-03-28,Nizamabad,Mupkal,0.0,19.7,37.7,26.9,79.8,,
2021-03-29,Nizamabad,Mupkal,0.0,21.2,38.5,21.7,77.0,,
2021-03-30,Nizamabad,Mupkal,0.0,22.2,39.2,23.2,74.4,,
2021-03-31,Nizamabad,Mupkal,0.0,22.3,38.5,24.7,63.3,,
2021-04-01,Nizamabad,Mupkal,0.0,23.7,39.0,17.1,49.0,0.0,1.8
2021-04-02,Nizamabad,Mupkal,0.0,23.2,38.4,17.1,58.0,0.0,1.7
2021-04-03,Nizamabad,Mupkal,0.0,22.6,38.9,17.0,56.0,0.0,8.3
2021-04-04,Nizamabad,Mupkal,0.0,22.7,40.2,16.0,76.1,0.0,5.7
2021-04-05,Nizamabad,Mupkal,0.0,24.3,38.2,25.4,84.0,0.0,5.7
2021-04-06,Nizamabad,Mupkal,0.0,24.0,35.8,41.0,83.0,0.0,7.1
2021-04-07,Nizamabad,Mupkal,0.0,23.7,38.0,28.9,85.0,0.0,0.9
2021-04-08,Nizamabad,Mupkal,0.0,24.6,39.4,21.9,76.9,0.0,1.9
2021-04-09,Nizamabad,Mupkal,0.0,25.3,36.8,32.1,69.9,0.0,2.9
2021-04-10,Nizamabad,Mupkal,0.0,23.9,37.4,25.9,87.4,0.0,1.0
2021-04-11,Nizamabad,Mupkal,0.0,23.5,35.6,35.5,88.5,0.0,2.3
2021-04-12,Nizamabad,Mupkal,0.0,22.9,32.6,44.6,90.3,0.0,1.3
2021-04-13,Nizamabad,Mupkal,0.0,23.7,35.9,36.5,81.0,0.0,2.2
2021-04-14,Nizamabad,Mupkal,0.0,24.0,36.4,36.6,76.9,0.1,1.8
2021-04-15,Nizamabad,Mupkal,0.0,20.1,34.9,35.6,87.0,0.0,2.6
2021-04-16,Nizamabad,Mupkal,0.0,22.2,35.0,30.6,81.0,0.0,1.1
2021-04-17,Nizamabad,Mupkal,0.0,22.9,37.5,27.3,80.0,0.0,1.2
2021-04-18,Nizamabad,Mupkal,0.0,24.0,38.1,26.5,74.5,0.0,1.3
2021-04-19,Nizamabad,Mupkal,0.0,25.2,39.2,20.1,69.5,0.0,2.0
2021-04-20,Nizamabad,Mupkal,0.0,26.1,40.3,17.8,58.1,0.0,1.3
2021-04-21,Nizamabad,Mupkal,0.0,25.8,39.8,18.1,79.7,0.0,2.0
2021-04-22,Nizamabad,Mupkal,0.0,23.0,37.7,33.8,81.4,0.0,1.8
2021-04-23,Nizamabad,Mupkal,0.0,25.3,37.9,26.8,73.6,0.0,1.4
2021-04-24,Nizamabad,Mupkal,0.0,23.9,37.7,31.4,75.4,0.0,1.4
2021-04-25,Nizamabad,Mupkal,0.0,23.9,39.8,11.7,69.8,0.0,1.7
2021-04-26,Nizamabad,Mupkal,0.0,28.1,40.2,14.6,54.8,0.1,1.8
2021-04-27,Nizamabad,Mupkal,0.0,23.3,39.6,25.5,75.7,0.0,1.6
2021-04-28,Nizamabad,Mupkal,0.0,24.4,38.8,23.4,67.6,0.0,1.4
2021-04-29,Nizamabad,Mupkal,0.0,24.7,39.5,15.7,63.0,0.0,1.7
